vond001jose05_01.TEI.2.text.body.div.head.163.s.1	jozef in Dothan .	None
vond001jose05_01.TEI.2.text.body.div.sp.660.s.1	zullen gij die broedermoord mede droog wang zieden ?	Aquiescence_BodyPart_BodilyProcess_Other
vond001jose05_01.TEI.2.text.body.div.sp.664.s.1	ik moeten zieden , al het geren ik niet kunnen hinderen nog verbien .	None
vond001jose05_01.TEI.2.text.body.div.sp.668.s.1	gij hebben uw zelf niet , gelijk het betamen , kwijten .	None
vond001jose05_01.TEI.2.text.body.div.sp.672.s.1	gij weten wel , hoeze zijn vinden oud op hij bijten .	None
vond001jose05_01.TEI.2.text.body.div.sp.676.s.1	mare niet tot moordens toen .	None
vond001jose05_01.TEI.2.text.body.div.sp.676.s.2	wat grof onbescheit !	None
vond001jose05_01.TEI.2.text.body.div.sp.680.s.1	ik hebben al zijn feil in doen besteden plooi leggen .	None
vond001jose05_01.TEI.2.text.body.div.sp.684.s.1	kunde gij die hart niet tot mededogen neigen ?	Emotion_BodyPart_Compassion
vond001jose05_01.TEI.2.text.body.div.sp.688.s.1	zijde borst echter uiten mede uw en ik te dreigen .	None
vond001jose05_01.TEI.2.text.body.div.sp.692.s.1	hebben kosten ook wat hebben kosten , ik zullen ' er tegen woeden .	None
vond001jose05_01.TEI.2.text.body.div.sp.698.s.1	gij zullen uw zelf leed , de knaap geren voordeel doel .	None
vond001jose05_01.TEI.2.text.body.div.sp.698.s.2	daar komenze : zien toen ; bedenck u onvermogen .	None
vond001jose05_01.TEI.2.text.body.div.sp.698.s.3	zijde dreigen uw de dood , en moord mede zij oog .	EmotionalAction_Hatred_BodyPart
vond001jose05_01.TEI.2.text.body.div.sp.702.s.1	WAt horen ik , broeder , hoe ? ik geloven het zijn schimp en spotten .	None
vond001jose05_01.TEI.2.text.body.div.sp.706.s.1	geren schimp , mare louter ernst .	None
vond001jose05_01.TEI.2.text.body.div.sp.710.s.1	die kaar die goed god .	None
vond001jose05_01.TEI.2.text.body.div.sp.714.s.1	hebben vonnissen liggen vellen : hier helpen geren tegenstreven .	None
vond001jose05_01.TEI.2.text.body.div.sp.718.s.1	ik hebben tot die besluiten ik stemmen nog niet geven .	None
vond001jose05_01.TEI.2.text.body.div.sp.723.s.1	hebben hand niet aen u stemmen .	None
vond001jose05_01.TEI.2.text.body.div.sp.728.s.1	zullen gij uw zulk een daad Vermeten , buit ik ' , u oudsten broeder , raad ?	Emotion_Other
vond001jose05_01.TEI.2.text.body.div.sp.732.s.1	zijn het uw om d'eer te doel , zo sluiten hebben geren wie sluiten .	Honor_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.736.s.1	doen stemmen zijn dwangeloos .	None
vond001jose05_01.TEI.2.text.body.div.sp.741.s.1	een stemmen kunnen deze niet stuiten .	None
vond001jose05_01.TEI.2.text.body.div.sp.741.s.2	doen meest dragen het weg .	None
vond001jose05_01.TEI.2.text.body.div.sp.741.s.3	wie stem het , hoofd voor hoofd .	None
vond001jose05_01.TEI.2.text.body.div.sp.749.s.1	Indien ik , in deze rechte , zo velen mogen zijn geloven , laat reden schaal zijn schuld , mede zin overwegen .	None
vond001jose05_01.TEI.2.text.body.div.sp.749.s.2	nooit recht rouwen het raad en overleg te plegen In halsrecht .	None
vond001jose05_01.TEI.2.text.body.div.sp.749.s.3	vintghy deze dan evenwel geraden , zo nemen zijn bloed op uw : ik wil'er niet voor staan .	None
vond001jose05_01.TEI.2.text.body.div.sp.753.s.1	vertrouwen hebben vonnissen wij : het zijn buit uw strijken .	None
vond001jose05_01.TEI.2.text.body.div.sp.757.s.1	laat ik in vader nader dan eest ik harden uitspreecken .	None
vond001jose05_01.TEI.2.text.body.div.sp.761.s.1	Wel spreken u harden vrijen uiten , en zwijgh dan langen genoeg .	None
vond001jose05_01.TEI.2.text.body.div.sp.785.s.1	Wat liefde vader stag die loos janhen dragen , Tot smaad vinden wij , die eer en oud zijn baren , verdrieten ik meer , dan uw .	Emotion_Love_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.785.s.2	ook spelden ik langen te voorn , Eer het nog dus ver equam , die liefde zonder maat , En ongelijk gul tot zulk een bitt'ren haten In het einde gedijen moeten , en enkel jammer baar .	Emotion_Hatred_Love
vond001jose05_01.TEI.2.text.body.div.sp.785.s.3	ik bidden hij menigmaal , bij zijn grijs haar , hij zij zien maetigen . ik vermanen menighwerf hij tot onzijdigheit en vrede ; hebben zeker erve , En d'allerbeste schatten in zo een huis vol kind .	None
vond001jose05_01.TEI.2.text.body.div.sp.785.s.4	ik riet , hij zij het een kind om het ander niet verminderen : die deze genegentheit en liefde bluschte en brak , En al broeder vasten tegen het hart steken : mare ik gaan te achteren , mede vader aen te porren .	Emotion_BodyPart_Love_Dissapointment_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.785.s.5	hij slaan ik telkens af mede grauw en mede knor ; En , tonen openbaar , waar harden en zijn na trek , bestaan , o blintheit , nog mede die schakeren ruk Te tergen wij geduld , in plaats vinden zien te tomen .	BodyPart_Love
vond001jose05_01.TEI.2.text.body.div.sp.785.s.6	torn komen doen klein nog braveren mede zijn droom , Wel tweemaal achter een , zijn dik verklikken broeder , Ja zelf zijn ouder : al het huis wassen vol rumoers .	None
vond001jose05_01.TEI.2.text.body.div.sp.790.s.1	zo Ruben , vaar zo voor , gelijk gij hebben beginnen .	None
vond001jose05_01.TEI.2.text.body.div.sp.794.s.1	die zijn hij rechte op het hoofd : nu zien ik het speld gewinnen .	None
vond001jose05_01.TEI.2.text.body.div.sp.798.s.1	Wel twijfelen Ruben nog te stem in zijn dood ?	None
vond001jose05_01.TEI.2.text.body.div.sp.802.s.1	hij brengen zijn vonnissen met : doen nuk liggen bloot .	None
vond001jose05_01.TEI.2.text.body.div.sp.823.s.1	ik zien vader misgrijpen wel : hebben mogen ik hart moeien : Wat zij ik doel ?	Offended_BodyPart_Anger
vond001jose05_01.TEI.2.text.body.div.sp.823.s.2	ik kennen zijn vrijheid niet besnoeien , waar door , vasten d'een wat meer en d'ander minnen bezinnen , hij meer verdiensten zien in het een dan het ander kind .	None
vond001jose05_01.TEI.2.text.body.div.sp.823.s.3	ik kennen de klein , die doen groot scheiden te grief , Niet afraen , die hij denken zijn ' vader te believen ; Die ongelijk meer hoops uiten hij te scheppen scheiden , Aen wieden natuur bestede al haar bevalligheen En gaaf , nut voor een , die het al gebruiken mede oordelen , En vorderen zijn ander nut , gelijk zijn eigen voordeel ; Dies wereld ik zien blind , en houden ik stillen en stom ; En weten deze Josephs jeugd , en vader ouderdom .	Emotion_EmotionalAction_Hope_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.823.s.4	d'Een schorten wat tijd , om vinden zijn wulpsheit te bedaren , En d'ander nemen vasten af door aen wassen zijner jaar .	None
vond001jose05_01.TEI.2.text.body.div.sp.823.s.5	laat lopen , denken ik : maken hebben huis geren ongemak .	None
vond001jose05_01.TEI.2.text.body.div.sp.823.s.6	doen kreupel hoeven een stok : zijn been worp zwak .	None
vond001jose05_01.TEI.2.text.body.div.sp.823.s.7	Wat schaden wij , die hij zien wat houden aen Josephs schouder , ik vinden nooit huis , of het schorten aen kind , of aen ouder .	None
vond001jose05_01.TEI.2.text.body.div.sp.827.s.1	ik dunken gij slachten de kreeft , en kruipen al achterwaarts .	None
vond001jose05_01.TEI.2.text.body.div.sp.831.s.1	hij slachten hebben schorpioen : het vergif liggen in de staart .	None
vond001jose05_01.TEI.2.text.body.div.sp.855.s.1	ai broeder , geven gehoor , en elk twee lijdzaeme oor : ik spraak luiden niet zode vreemd , of z'is nog woerd te horen .	Aquiescence_Emotion_BodyPart
vond001jose05_01.TEI.2.text.body.div.sp.855.s.2	Gelijk ik slaan dikwijls d'oirzaeck gade , waarom de ouder zijn Meer op de jong vallen , en op de oud minnen .	None
vond001jose05_01.TEI.2.text.body.div.sp.855.s.3	zij het wees , die doen spade en lest vlucht vinden al gemeenlijk wat teder en zwacker willen bevallen ; alles spruiten uiten een rauw en ongekoockter bloed , En die deze teerheit trekken de ouder gemoed Tot d'onvermogenste en onnozelste de erf ; In wieden zylieden , nu op d'oevers vinden zij sterven , verrijzen uiten de graaf ?	None
vond001jose05_01.TEI.2.text.body.div.sp.855.s.4	of zij het wel zijn uiten vrezen , die moer Lea niet die moederlooze wezen , naar vader dood , wat ruw mogen op zijn stiefmoeder handelen ?	Fear_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.855.s.5	Of Bilha al te haat , of Zilpa hij doen wandelen , En Agar Saraes zode een wezen zijn broeder bidden ?	None
vond001jose05_01.TEI.2.text.body.div.sp.855.s.6	Hoe het zijde , eenzijdigheid brengen altijd onlust aen In huisgezinnen ; en hebben gaan ' er nooit zo even , Of Esaus liefde staan in Isax harden schrijven , En Jakob hebben doen gul de moer op zijn hand .	Emotion_Love
vond001jose05_01.TEI.2.text.body.div.sp.855.s.7	doen weegschaal held aen die of aen de ander kanten .	None
vond001jose05_01.TEI.2.text.body.div.sp.859.s.1	Indien uw het preken lusten , zo preeck voor deze boom .	None
vond001jose05_01.TEI.2.text.body.div.sp.863.s.1	komen mennen , zien een uiten : doen dromer zullen straks komen .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.1	horen broeder ik bekennen het , zijn droom zieden wat ver : mare droom in de daad zijn droom , en niet meer .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.2	doen droom grens dichten aen ijdelheid en logen .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.3	wij zijn nacht vinden schat dromen , vinden zijn morgen zien bedriegen .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.4	Al wat op zulk een grond bouwen worden , zackt terstond .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.5	bedenken ook , hoe wie staan op een ' uitheems grond , Die nauw om Sichems mogen , verdragen doen vreemdeling .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.6	splitsen tweedracht het huis , het goed vasten , deze volk zullen het huis bespringen .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.7	het vergeten bloed roepen wraak , en roken nog over het land .	Emotion_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.879.s.1	verwijten gij wij die stuk ?	None
vond001jose05_01.TEI.2.text.body.div.sp.879.s.2	o al schande schandt !	None
vond001jose05_01.TEI.2.text.body.div.sp.883.s.1	nul bloetschant vinden het slachten , wat bed durven gij beklimmen !	None
vond001jose05_01.TEI.2.text.body.div.sp.887.s.1	Die moederschender !	None
vond001jose05_01.TEI.2.text.body.div.sp.887.s.2	zien zijn aen zicht nu een glimmen .	None
vond001jose05_01.TEI.2.text.body.div.sp.891.s.1	wijd gij wij , die wie zieden vinden Hemors bloed bekladden .	None
vond001jose05_01.TEI.2.text.body.div.sp.895.s.1	hij zelf hebben vinden die buiten hebben besteden delen gehadt .	None
vond001jose05_01.TEI.2.text.body.div.sp.899.s.1	wie aanzien Dinaes smaad en schennis rechte wreken .	EmotionalAction_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.903.s.1	Och broeder , ik hebben uw niet een woord te naar spreken .	None
vond001jose05_01.TEI.2.text.body.div.sp.907.s.1	hij dragen vergif in het harden , de honing op zijn tong .	None
vond001jose05_01.TEI.2.text.body.div.sp.911.s.1	hebben heugen wij nog , hoe kleed hij lest bij vader zingen .	None
vond001jose05_01.TEI.2.text.body.div.sp.915.s.1	Wat wroeten gij op doen wraak vinden wij verkrachten zuster ?	Emotion_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.919.s.1	wie leesden naar die straffen velen vrij en gerust .	None
vond001jose05_01.TEI.2.text.body.div.sp.927.s.1	deze lopen rechte averechts , torn straffen gij geweld , Tot voorstant vinden u bloed : nu razen gij al t'onstelt Op deze arm hals , die uitzien zo verliggen , na uw en het vee , en brengen zijn vader groeten en zege .	None
vond001jose05_01.TEI.2.text.body.div.sp.931.s.1	hij houden die zege zelf , en schutten hier met de vloek .	None
vond001jose05_01.TEI.2.text.body.div.sp.935.s.1	wie zullen hij terstond gaan helpen om een hoek .	None
vond001jose05_01.TEI.2.text.body.div.sp.939.s.1	zullen dan deze heilig huis vermoorden zijn broeder ?	None
vond001jose05_01.TEI.2.text.body.div.sp.943.s.1	zullen dan deze heilig huis onteren zijn moer ?	None
vond001jose05_01.TEI.2.text.body.div.sp.950.s.1	ai broeder , waarom tocht zo bitter gekrackeelt , En wond opgekrabt , die nauwelijks zijn helen ?	Emotion_EmotionalAction_Hatred_BodilyProcess_Anger
vond001jose05_01.TEI.2.text.body.div.sp.950.s.2	ik waerschuw uw : zien toen , het plegen hier omtrent te schuilen .	None
vond001jose05_01.TEI.2.text.body.div.sp.950.s.3	hebben gij die wreed gedrocht , die die , niet horen huilen ?	BodilyProcess_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.954.s.1	lopen heen mede u gedrocht .	None
vond001jose05_01.TEI.2.text.body.div.sp.958.s.1	wie weet vinden geren die .	None
vond001jose05_01.TEI.2.text.body.div.sp.978.s.1	Een schrikkelijk gedrocht : hebben broed , niet ver vinden hier , In het grondeloos hol een heilloos slag vinden janhen : hebben knagen zijn eigen harden , vinden spijt schier toegewrongen .	Emotion_BodyPart_BodilyProcess_Remorse
vond001jose05_01.TEI.2.text.body.div.sp.978.s.2	hebben aengezicht zien doods : hebben keren doen blik dwars vinden ieder af , vinden het liggen vinden liggen en blijdschap wars : hebben blauw schuim begroeien doen scherp en hol kies : doen tong hand zwart vinden gift : doen bek doen niet dan bies : doen kaak val in , begruist mede een korst vinden schimmel : groen gal verstoppen doen rauw barsten : hebben slorrept mens bloed , en plassen ' er in tot d'enkelen : hebben lijf schijnen een ramen , stutten vinden mager schenkel , gans dor en mergeloos : hebben scheppen allee vermaak In zijn ander ongenoeght : hebben oog krijgen nimmer vaak : Een scherreprechter , in zijn ingewand wikkelen , mede stalen prikkel zijn barsten en nier prikkelen : Dan balken hebben overluidt , tot razens toen verstoren .	Joy_Emotion_BodyPart_BodilyProcess_Remorse
vond001jose05_01.TEI.2.text.body.div.sp.978.s.3	Een gruwelijk gedrocht : hebben niemand die horen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.982.s.1	ik geloven gij schimpen , en wanen doen broeder in te luiden .	None
vond001jose05_01.TEI.2.text.body.div.sp.986.s.1	Hoe heten deze die ?	None
vond001jose05_01.TEI.2.text.body.div.sp.986.s.2	zeg op , wat willen deze die beduiden ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1000.s.1	die die heten haten en nijd , hebben welk niet zonder smarten vervloekt janhen werpen in het hol vinden zijn mens harden .	Emotion_Hatred_Envy_BodyPart_Anger
vond001jose05_01.TEI.2.text.body.div.sp.1000.s.2	ai mennen , geven gehoor : ai laat die die niet binden wij huis ; wan waar hebben komen , daar slopen hebben huisgezinnen En huis in de grond , en scheit mede schande en stank .	None
vond001jose05_01.TEI.2.text.body.div.sp.1000.s.3	die kaar die goed god .	None
vond001jose05_01.TEI.2.text.body.div.sp.1000.s.4	gij weten ik luttel dank , Nu ik doen waarheid spreken , die dikwijls worden verschuiven : mare ik weten ik zullen ik ' raad te hoog namaels lof , hebben gade zo het willen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1000.s.5	ik broeder , zien toen : waar lopen deze heen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1000.s.6	verantwoorden een het geweld vinden negen broeder op een ' .	None
vond001jose05_01.TEI.2.text.body.div.sp.1004.s.1	verantwoorden gij het , die dus de dromer komen beschutten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1008.s.1	wie zieden de vallen vinden het huis , en zoeken het huis te stut .	None
vond001jose05_01.TEI.2.text.body.div.sp.1015.s.1	zo wrikken niet aen doen stutten vinden vader ouderdom .	None
vond001jose05_01.TEI.2.text.body.div.sp.1015.s.2	verwrikken gij die , zo vallen doen vader mede haar om , En storten op Josephs barsten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1015.s.3	zo storten wie mede vader , In het algemeen bederven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1015.s.4	zien toen , hebben dienen niet nader .	None
vond001jose05_01.TEI.2.text.body.div.sp.1019.s.1	daar komen hij vinden doen stad , na deze heuvel toen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1023.s.1	Nu Ruben , houden u rusten : wie zijn deze tergen moede .	EmotionalAction_Annoyance
vond001jose05_01.TEI.2.text.body.div.sp.1038.s.1	verbeelden uw , die deze kind , hebben welk zijn broeder komen groeten , mede traan op doen wang , voor uw al voeren Vergiffenis verzoeken : zullen gij , gelijk ontzint , doen hand durven slaan aen die onmondigh kind ?	BodyPart_BodilyProcess_Remorse
vond001jose05_01.TEI.2.text.body.div.sp.1038.s.2	wij hitste ooit tigers aen , om weerelooze ziel , Een onderbrachte schaarde , mede klauw te vernielen ?	EmotionalAction_Hatred
vond001jose05_01.TEI.2.text.body.div.sp.1038.s.3	zullen gij bestaan een stuk , die leeuw zien ontzien ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1038.s.4	geren leeuw verslinden een ' manna , die neerleit op doen knie , nog minnen doen kind , die oud zijn , of jong Dan deze , het en waar uiten nood , en schrickelijcken hongeren .	None
vond001jose05_01.TEI.2.text.body.div.sp.1038.s.5	Och , jozef zijn geren straffen mare eer erbarmens woerd , ik willen hij tegen gaan , eer iemand verder vaart .	Emotion_Compassion
vond001jose05_01.TEI.2.text.body.div.sp.1042.s.1	houden stand , en gade niet voor .	None
vond001jose05_01.TEI.2.text.body.div.sp.1046.s.1	staan vasten , of het geld uw het leven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1052.s.1	laat lossen , of ik zullen een krijten op deze heuvel geven , daar Syrie vinden waag , en die hebben Mambre horen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1052.s.2	laat lossen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1052.s.3	helpen Judas , helpen : wat hebben gij mede ik voor ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1056.s.1	zwijgen korten , of het geld die hals .	None
vond001jose05_01.TEI.2.text.body.div.sp.1060.s.1	willen ik hij het harden afsteken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1064.s.1	horen broeder : hout gemak : vergunnen ik tijd te spreken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1068.s.1	Nu Judas , laat ik lossen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1068.s.2	ik zullen hij niet misdoen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1075.s.1	Nadien het onmooghlijck schijnen , die ik de knaap verzoenen mede uw , zijn broeder , al t'onmenschelijck bijten , zo gunnen ik dan een bede .	None
vond001jose05_01.TEI.2.text.body.div.sp.1079.s.1	die zijn mare tijd verslijten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1083.s.1	laat horen , wat gij bidden , nu spreken , en reppen uw , dra .	None
vond001jose05_01.TEI.2.text.body.div.sp.1088.s.1	ik bidden uw , die doen zinnen nog eest een onder gade , Eer iemand zien vergrijpen aen die verwijzen janhen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1092.s.1	Ja straffen hij morgen , passen wanneer hij zijn ontspringen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.1	ik beloven uw niet een woord te reppen vinden die raad .	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.2	doen hersenen zijn te heten , om nu , op heet daad , Te straf , zo het betamen : gij moeten mede billijk oog deze inzien .	Hatred_BodyPart_BodilyProcess
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.3	blind wraak hebben menig manna bedriegen , Die mede haar gaan te raden .	Emotion_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.4	wat schaden een luttel tijd ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.5	u rechte blijven even schonen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.6	ik schelden hij het sterven kwijt , Niet meer dan een dag , en goed dan vrijen u gang .	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.7	daar staat een droog putten : ik zetten de knechten gevangene ; Of hij vergaan daar in , vinden hongeren en vinden dor , Eer gij uw mede zijn bloed zo lasterlijk bemorsen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.8	het luiden schandelijk een wezen aen het leven te verkorten ; nog alderschandelijckst zijn broeder bloed te storten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.9	verschonen u ' nader en faam , en zetten hij in die poel , Op die hij sterven zijn straffen te lang veel .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.1111.s.1	Si	None
vond001jose05_01.TEI.2.text.body.div.sp.1113.s.1	hebben gij deze eest geraden , wie waar langen verdragen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1117.s.1	hij hebben de goed raad vinden al voorslaan .	None
vond001jose05_01.TEI.2.text.body.div.sp.1121.s.1	wij het stemmen , die knik ik toen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1125.s.1	doen broeder zijn te vreen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1129.s.1	daar komen doen dromer aen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1135.s.1	wel broeder , ik gade heen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1135.s.2	het zullen nodig zijn ik vee al weder te verweien : ik betrouwen u woord .	None
vond001jose05_01.TEI.2.text.body.div.sp.1139.s.1	gade voor .	None
vond001jose05_01.TEI.2.text.body.div.sp.1143.s.1	wie zullen zode niet scheien .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1163.s.1	hij komen , hij komen , die jong barsten , alles het hygent harden , het welk zijn dor willen lessen aen doen vers springen de zilverzuivre koelen bron ; Terwijl doen jager , schuwen vinden zinnen , ( Op hopen , of zijde hebben wild een vangen , In donker en naar schaduw vasten , daar leus brak nog windhond bassen ) mede zwijnspriet en spannen buigen .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1163.s.2	Beloeren hebben onnozel bloed ; het welk niemand leed nog letsel doen ; En , al te jammerlijk bedriegen , zien vinden op het onverzienst bezetten vinden jaeger jaghtspriet hond en netten .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1180.s.1	hij komen , troosten op zijn hemel helpen .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1180.s.2	gelijk doen parel in haar schelp , de parel moer , zullen hangen doen lauw traan , zilt vinden smaak , vinden wederzijden op doen kaak , Op het parelmoer de lief wang .	BodyPart_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.lg.1180.s.3	Och , stremdenze op deze parelmoer ; die wie die regen aen een snoeren vinden goud , om ons hals te sieren ; Wanneer wie , tot doen keel vervullen vinden blijdschap , zijn jongelings geduld En onverbloemde deugd vier !	Joy_Emotion_BodyPart_BodilyProcess
vond001jose05_01.TEI.2.text.body.div.sp.lg.1180.s.4	Zijn eer willen bloeien op zijn ' graf .	Honor_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.lg.1180.s.5	hebben lof de deugd vallen nimmer af .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1189.s.1	het moeten schonen zijn , het geren een schets moeten strekken vinden iets volmaeckts , en zonder vlek .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1189.s.2	wij of doen zinnen uitdaegen dorren , die hooftlicht , bron vinden al klaarheid , Een zichtbaar Godheit , het oog de waarheid ?	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1189.s.3	wij ander , alles doen morgenster ?	None
vond001jose05_01.TEI.2.text.body.div.head.1192.s.1	hebben derde bedrijf .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.1	ik broeder , zijn groeten , vinden ik heer vader weg , Die , hartelijk begaan , ik , onder zijn zege , na Sichem henestuurde , op die hij weet mogen , Hoe het uw en het vee al gaan .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.2	wat hoek beven onbezocht ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.3	Wat herder ongevraagd , om Sichem , en zijn weiden En landstreeck ? ik houden gewis ik vader engel leiden ik herwaarts aen : wan torn ik , moed en afgezucht , gaan dwalen , hopeloos en jammerlijk beducht , Wat raedzaemst wassen vinden beide : of lang daar te toeven , Op enig klaar bescheid ; of vader te bedroeven , mede even wijze na huis , na Hebron , en wij dal , vinden waar ik komen , te spoeden ; ontmoete bij geval ( Of lief zo het god geven ) ik iemand , die juist vragen : wieden zoeken gij dus mede smarten ?	Emotion_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.4	torn ik ik harden uitklaegde , En bidden om naakt berichten , wezen hij ik herwaarts aen ; En hebben uiten uw horen : laat wij na Dothan gaan .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.5	spel , spreken hij , hier geren tijd : zijde zijn al voortgetogen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.6	zo spreken , gelijken doen vriendschap in zijn oog , Aen het flonckeren , een ' geest , zodanig alles voorheen ( naar die ik zij beschrijven ) ons ouder wel verscheiden .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.7	Zijn oog stemmen mede d'aenminnigheit de lip , verven , alles mede een ' geur vinden roos , op doen tip .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.8	In het scheiden danken ik hij , en rook een fris luchten , Een lang strijken lang het pad , en scheppen ik genught velen reizend stillen te staan , en telkens om te kijken ; verbaasd om zijn gang , en hoe hij heen gaan strijken , Niet alles een sterfelijk mens , mare een vinden het hemels keur , wij tot een liggen sturen , op het onbekend spoor .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.9	hebben zijde wij het willen , god lof , hij hebben ik rechte wijzen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.10	ik vinden uw hier gezond : nu zijn ik harden genezen vinden die quetsuur .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.11	o hoe verkwikken u aengezicht , zo welgedaan , ik meer , dan het al verquickend liggen !	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.12	ik broeder , och , ik weten , doen vader zullen verlangen , Om tijding , uiten ik ' mond , vinden uw , zijn zoon t'ontfangen , doen grootvader desgelijx , en ons moeder met .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.13	Hoe goed hebben tocht , ik broeder ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.14	hoe staat hebben mede wij vee ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.15	helaas , wat mogen deze zijn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.16	wat mogen doen held deren , die zijde dus overdwars hebben aanzicht elders karn ?	EmotionalAction_BodyPart_Disgust
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.17	ik aenzien mede de nek , en stom alles beeld staan ?	BodyPart_BodilyProcess_Disgust
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.18	Och broeder , hebben ik uw mede mijn komst misdoen , Of niet groeten alles het horen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.19	ontschuldight ik gebrek .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.20	verschonen ik dommigheid .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.21	hoe krijgen ik heen aen het spreken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.22	ik zijn geren antwoord woerd : helaas , hebben zijn ik schuld .	None
vond001jose05_01.TEI.2.text.body.div.sp.1245.s.1	ai , zien die huichelaer : hoe tergen hij u geduld , En spreken gei niet een woord ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1250.s.1	wel heerschap over moeder , En vader , en al het huis .	None
vond001jose05_01.TEI.2.text.body.div.sp.1255.s.1	bezoeckt gij weer doen broedets ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1255.s.2	komen gij wij weder bespien ?	None
