vond001gysb04_01.TEI.2.text.body.div.head.296.s.1	Gysbrecht vinden Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.1	doen hoplien wensen dik hebben leger op te breken , naardien mede stormen op stormen , en endeloos gevecht , hebben heel ronden jaar , niet meer wassen uitgerecht Dan moeite en volk spillen , en tijd onnut verslijten : hebben welk zo menigmaal de veldheer wereld verwaten ; Een smaad die lastig vallen : en houden hij niet verplichten Zijn eer en eed , hij hebben zijn anker lang lichten : En och , of het waar gebeuren een goed wijlen te voorn , ik waar deze ongeluk nog onheil niet beschoren : wan het zijn een manen lijden , die ik hij heimlijck riet Te maken op ik woord , een eend vinden het verdrieten : En zo hij wassen zinnen een luttel volx te wagen , ik wouw hij in doen stad op bei ik hand dragen , En stap zelf voor aen , en maken zij hebben spoor , ik openen ik witten , en slaan hebben middel voor .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.2	ik hebben zomwijl door doen gracht , bij duisternacht , zwemmen , En al doen wachten bespieden , en het groots rondeel beklimmen , die aen de hoek vinden het ij u sterk stad bewaren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.3	Hier liggen blijde in , en ander krijghsgevaert .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.4	ik nemen aen , en het kosten geschien , door muur en al te boren rechte waterpas , zo stillen , die niemand ik zij horen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.5	Wanneer nu door doen breuk een krijgsman heen mogen , zij het braaf puik , hier toen loten en uitgezocht , doen gracht , daar ondiepst zijn , mede rijzen op kerstnacht dam , En kruipen in het rondeel , om d'eerste poort te ram , alles d'afgewaeckte wachten vellen lach en vermoorden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.6	hebben heir dan over dam , en door geramde poort , Aen het nederhouwen , wat op straat zien openbaren , Terwijl doen burgerij kapel en kerk bewaren : En het wassen te nacht doen tijd , en vraeghtge na bewijzen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.7	gei zien , hoe daar een schip , hebben zeepaard liggen vol rijzen , hebben welk ik door doen vluchten verzuimen hebben en vergeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.8	Wat werdt'er niet al tijd mede kibbelen verslijten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.9	doen hoofd liggen vasten elendigh overhoop .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.10	ik schuiven doen schuld op ik . ik hebben menslevleesch god koop : nog weten niet wat ik drijven : zijde zullen het niet gehengen , die ik hebben volk zo liggen zij op doen vleeschbanck brengen , En jagen in zij dood .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.11	dus gaan het aen d'eene zijde : Aen d'andre stemdemen eendrachtelijck mede ik : Tewijl verlopen doen kans , en d'aenslagh beven vasten steken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.12	torn zochten'er een delen zij leed aen ik te wreken .	Emotion_Vindictiveness
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.13	daar komen , zonder slot , velen klacht t ' mijn lassen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.14	ik wassen een tovenaar , en daar op raken ik vasten , En mos , door pijnen persen , al het opgedichte melde .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.15	ik doemen ik te dood , en heden zij het ik geld : mare gisteren avond brak een vriend ik boei lossen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.16	ik vlughte lang de dijk , gelijk een hollend ros .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.17	Doch hielt'er niet , uiten angst vinden het leven te verlies .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.18	ik slaan te zijde af , en schoot'er in doen bies , En steken in diep moeras al de verlijden nacht .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.19	zijde trekken ik voorbij .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.20	ik hielme stillen , en zien het ; Tot die u burger komen doen Kermers nagevlogen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.21	ik roepen om helpen , en wereld uiten diep moeras tijgen : wan ander wassen ik daar blijven en smoren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.22	Doch zo ik sterven moeten ; ik willen lief voor u poort , Aen wij ik het hebben verdiend , deze lastig leven laten , Dan bij ik eigen volk , die ik mede onrecht haten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.814.s.1	gade heen , ik schenk uw het lijf : hebben zijn geren straffens tijd , wie zijn vinden ons hals de groot vijand kwijt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.814.s.2	ik ontvang uw in ik ' dienst , en zullen uw wel betalen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.814.s.3	gade helpen terstond hebben rijzen en het zeepaard binden halen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.814.s.4	doen koude beginnen , en zijn nog ver ' vinden haar vertrekken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.814.s.5	In het wachthuis en op het slot zijn houden en branden gebrek : ik maghze straks verzien , en branden het rijzen tot as , zo kunne zijde hier met doen vasten niet verasschen , ik horen doen Goyer doen doen waarheid niet te korten , wan zijn vertelling stemmen mede vader Willebord .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.816.s.1	rijden vinden amsterdams maagd .	None
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.1	NU stellen hebben puik vinden zoet keel , Om daar gezang op te spel , Tot lof vinden god , die op zijn ' tronen zitten zijn , zo oog en heerlijk , vinden waar hij zieden kennen , hoe begeerlijk hebben Sparen steken na Aemstels kroon ; Hoe wraak mede zwaard en mede speer doen torenkroon vinden het hoofd wouw schaar de schoon en wijd vermaard stad , En rukken door geweld vinden bende de vasten gordel vinden zij lende , Een plunderen haar kleinood en schatten ; En schenden d'edele en getrouw , gelijk doen schender Velzens vrouw , Wel ruimen zo waardig alles Heleen , de branden vinden een herboren Troje , En krijgen , die het overschot verstroie , naar die ik jaar hebben gestreen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.2	waar zijn doen reus mede al zijn stof , Die Gysbreghts stad te neder wouw ploffen , En om haar ' muur zijn arm slaan ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.3	Wat ijdel schrikken hebben hij slaan ?	Fear_Emotion_BodilyProcess
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.4	Wat ijdel vrees mogen heen jagen , Die nu mede schande strijken gaan ?	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.5	het zijn tijd doen kerk te stofferen , Te dansen , en te bancketteren , En mede een ' uitlaten geest deze blijdschap aen doen vreugde te huwen , Die vrolijk englen wij vernieuwen mede gezang , op god geboortefeest .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.6	trek in , o Aemstel , trek nu binden , Die zonder slag kunde overwinnen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.7	trek in , o braaf burgerij , Die uw zo moedig hebben kwijten , geren eeuw en zullen u eer vergeten , doen hemel staan uw eeuwig bij .	None
vond001gysb04_01.TEI.2.text.body.div.head.856.s.1	hebben tweede bedrijf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.858.s.1	Willem vinden Egmont .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.858.s.2	Die drick vinden Haerlem .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.858.s.3	Hoplieden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.864.s.1	wie zijn bij het klooster weer , daar Willebord in vrede mede al doen broeder wonen , en storten zijn avontbee .	None
vond001gysb04_01.TEI.2.text.body.div.sp.864.s.2	het zullen nodig zijn die wie de hoplien openbaar hebben geren op hand zijn .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.866.s.1	Die .	None
vond001gysb04_01.TEI.2.text.body.div.sp.869.s.1	het zijn tijd , zijde weten garen Wat heimlijck bij wij broeden : verlossen heen vinden doen pijnen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.871.s.1	Eg .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.1	Manhafte hoplien , horen : wie aanzien , onder schijn vinden onderling krakeel , een ' aenslagh voornemen , Om goed tot wij witten op een springen te komen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.2	ik hebben daar op hebben heir vinden dag te rug voeren : mare die en zijn hebben niet , waar op doen veldheer loeren , nog het geren ik onder het volk velen dag horen mompelen , wij witten zijn deze nacht de vijand t'overrompelen , Nu hij zien veilig achten , en buit krijghsgevaer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.3	Voor het opgaan vinden doen manen [ hebben duncke niemand zwaar ] zullen het leger meest zijn vinden poort en vinden vest .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.4	Wat is'er dan voor uw een rijk buiten te besteden !	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.5	Hoe zultge weide gaan op het slot , en in doen stad !	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.6	zo iemand streven na eer ; ik tonen hij het recht pad , doen heirbaan vinden doen deugd , om moedig op te steigeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.7	zijde offeren uw de prijzen , het en zijde het u hand weigeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.8	wij rustig zijn die spreecke , en houden doen wapen rijden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.9	wij zien flaeuwhartigh vinden , die die te rug treden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.10	ik hebben ik op deze stuk mede weinig beraden , En het zeepaard , die eest lach aen het ij , mede rijzen doel lade , Op dat'er doen soldaat rusten in schuilen mogen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.11	doen Sparewouwer reus , mede ijver aengezocht , gaan mede doen bloem de volx en het puik vinden al doen groot Te nacht grootmoedig schip , op het noemen vinden doen loot : ik broeder Wouter zelf , Vianen , mede doen zorg En hoop vinden zijn huis : Abkou , en Ryzenborgh , putten , Grobber , Kuilenburgh , mede Arckel , Borsslen , voorn , En het graeven zoon beide : en het schip , naar die wie horen uiten wij ' doortrapt spie , zijn al in stad halen , Door Vossemeers beleggen : zo dat'er niets en falen Dan nu te nacht , zo ras zijde poort en slot breken , En Zwaenenburregh vuren , te lid op die rekenen , En voor mede al macht te volgen op hebben liggen de schrickelijcken brants , vinden Vosmeers toorts stichten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.908.s.1	Hop .	None
vond001gysb04_01.TEI.2.text.body.div.sp.910.s.1	doen veldheer geven slechts lassen , aen wij zullen niet gebrek .	None
vond001gysb04_01.TEI.2.text.body.div.sp.914.s.1	waar zullen ik goed een delen vinden het oorloghsvolk versteken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.918.s.1	het Katuizers klooster zijn wij het ree , hebben liggen hier bij .	None
vond001gysb04_01.TEI.2.text.body.div.sp.922.s.1	die volk zijn liefst verschonen , en vinden inlegering vrijen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.926.s.1	het zijn voor een kort wijlen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.931.s.1	Een Godtshuis zo t'ontwyen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.931.s.2	ik hebben hebben langen verschonen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.938.s.1	laat ik daar met betyen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.938.s.2	gei hoplien , voeren terwijl de voortoght herwaarts aen : Wanneer gei komen dan zullen hebben klooster openen staan , Of het moeten ik aen doen macht , die zweren ik heen , ontbreken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.945.s.1	ik gaan terwijl na stad , om Vosmeer nog te spreken , Die te gezet tijd komen zwemmen door de bodem .	None
vond001gysb04_01.TEI.2.text.body.div.sp.945.s.2	verstoren doen broeder niet , mare houden uw wat in tomen , En roepen niet luiden , ik mogen u stemmen te ver horen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.949.s.1	Een krijgsman laat zien vinden geren paepen ringeloren .	None
vond001gysb04_01.TEI.2.text.body.div.stage.951.s.1	portier .	None
vond001gysb04_01.TEI.2.text.body.div.stage.951.s.2	Diederick vinden Haerlem .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.953.s.1	Poor .	None
vond001gysb04_01.TEI.2.text.body.div.sp.955.s.1	wij klopt'er ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.959.s.1	doen vrijen op , en vrezen niet : het zijn uw vriend .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.964.s.1	het zijn avond , en een tijd die wij geren vriendschap dienen : komen morgen vragen bij dag .	None
vond001gysb04_01.TEI.2.text.body.div.sp.969.s.1	Wat zullen wij hier gebeuren ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.969.s.2	ik zeg anderwerf , doen op .	None
vond001gysb04_01.TEI.2.text.body.div.sp.974.s.1	ik openen hier geren deur zo spade : gade u ' gang : komen morgen tijdig weer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.978.s.1	ik zeg voor het lest , doen op , en doen gei het niet , ik zweren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.1	wij zijtge , die dus razen , alles wild en uitgelaten ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.2	wie dunken lang niet om ruiter nog soldaat .	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.3	Heer maarschalk , wel hoe dus ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.4	wat jagen uw hier zo spade ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.5	ik slaan uw het heilig kruis , torn het leger optrock , naar .	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.6	ik geloven niet die gei wij al weder zoeken te kwellen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.7	En koomtge dus allee ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.8	waar zijn u rotgezellen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.991.s.1	ik komen allee .	None
vond001gysb04_01.TEI.2.text.body.div.sp.991.s.2	waar zijn u meest Willebord ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.995.s.1	te kerk , daar hij vasten , en zijn bidden storten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.999.s.1	gade roepen hij , wan ik moeten die goed vader spreken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1004.s.1	nul jezus , staan wij bij , deze zijn een misselijk tekenen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1004.s.2	ik hebben bellen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1004.s.3	hij komen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1008.s.1	gade roepen de vader , fluks .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1013.s.1	soldaat brengen wij helen zelden velen gelux .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1013.s.2	wie zienze node vinden voor , en allerliefst vinden achter .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1019.s.1	wij een hopman huizen , die hebben een trouw wachter , En ridderlijk beschutten , en hoeven geren poort nog slot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1027.s.1	doen besteden wachter zijn doen sterk en groot god , Die nimmermeer en slapen , en luisteren na wij zucht .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1027.s.2	wie bidden stag om peis , en haten krijgsgeruchten , En horen mede verdrieten hebben kraaien vinden die haan .	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1027.s.3	In oorlog houwen eest abdy en klooster aen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1031.s.1	gei zitten hier in het beleg voor al moedwil veilig .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1036.s.1	wie weet het Egmont dank , en houwen hij voor heilig .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1036.s.2	daar zijn doen vader zelf , zo bleek en afgevast .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1040.s.1	Heer maarschalk , wel , wat nu ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1044.s.1	ik komen bij uw te gast .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1050.s.1	gei zijn ik welkom , al komen gei ongebeden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1050.s.2	ik verwachten uw avond niet , en lustre na doen rijden die gei dus schichtig keren : daar zijn wat meer aen vasten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1056.s.1	ik verzoek allee op uw , en die door Egmonts lassen , Of ik wat krijgsvolck mogen te nacht in het klooster liggen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1056.s.2	hebben zijn een krijgsmans bede , gei mooghtze niet ontzeggen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1060.s.1	ik geloven gei deunen mede ik .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1065.s.1	het zijn errenst , en geren speld .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1065.s.2	En Egmonts eigen lassen : hij gafme deze bevel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.1	Hoe zullen ik deze verstaan ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.2	hebben Egmont die bevelen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.3	hij steken nooit Godtshuis aen , nog zoeken zien bij doen kool Te warm vinden die vieren . het zijn enkel misverstand .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.4	gei zijn ik welkom , ik heer , daar zijn ik hand .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.5	ik zullen uw en uw stoot gewillig innelaten mare het Godtshuis op te doel baldadig soldaat Of ruitren , ik lijden niet : ik vermogen het mede geren gemoed .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.6	hebben klooster zijn god erve , en jezus eigen god .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.7	wij klooster raken , die raken de appel vinden god oog .	BodyPart_Love
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.8	Heer overste , geloven , het zijn buit wij vermogen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1084.s.1	het zijn om een uur of twee te doel , te hoog drie .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1084.s.2	ik blijven uw borghr en houden u kerk en klooster vrijen vinden overlasten en schade , en zullen doen boosheid straf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1086.s.1	willen :	None
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.1	mede krijghsmans borreghtoght en hebben ik niet te schaffen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.2	Al waar het doen veldheer zelf , ik zeggen het hij in het gezicht : deze zijn een overoud en vorstelijk stichten , verzorgen in wreed en krijgen mede zegel en brief , die wij hebben kwetsen , gedenken een vorst de rijx te grief , Die zeggen : hij raken ik kroon wij het Godshuis iets misdoen .	Offended_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.3	sinds Andries zijn het wijden : hebben passen geren ' krijgsmans voeden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.4	het zijde ver ' die Diedrick nu zijn Katuizers vijand worden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.5	Twee Alexanders zelf , doen vieren en ook doen derde , gelijk doen tweede Urbaen , bevestighden deze slag vinden godsdienst , daar ik bruine wel d'eer vinden geven mogen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.6	Ja op die geren gerucht zij storen wij gemoed , mogen niemand deze plaats , beneden honderd roede , Betimmeren , velen minnen bezwaeren mede de lassen , die d'oorlogh na zien sleipt , of enig oorloghsgast .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.7	wie staan op keizerlijcke en pauzelijcke weten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1109.s.1	doen weten zwijgen stillen voor wapen en trompet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1109.s.2	doen node breken weten : gei mogen op gene weten staan .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1113.s.1	Ontwijtge dan het gewijd ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1120.s.1	alles David hebben gedaan , torn hij voor het zwaard vinden Saul te Nobe komen vlieden , En zijn hongeren boeten aen priesterlijk brood , die niemand ooit vermogen , het en waar het gezalfde hoofd .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1130.s.1	doen stout Usia wereld rechtvaerdelijck beroven vinden zijn gezontheit , torn hij het heiligdom ontwijde .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1130.s.2	doen priester aanzien god en d'englen op zij zijden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1130.s.3	deze zijn hebben errefdeel , die wij te beurt vallen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1130.s.4	hij laten de graeven vloek rampzalig op zijn ziel , Die het Godtshuis in zijn rechte en vrijdom willen verdrukken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1130.s.5	hebben gei een ' aenslagh voor , hebben kunnen uw niet gelukken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1134.s.1	Hoe luiden de graeven vloek , die ik uw wel verstaan ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1143.s.1	die al heilige toorn en eeuwig ongenade allee niet treffen zullen doen kind , en de vader , nul gruwel !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1143.s.2	mare hij moeten mede Judas , god verrader , mede Lucifer en al zijn engel vergaan , En schaamrood en verdoemen voor jezus vierschaar staan .	BodilyProcess_Shame
vond001gysb04_01.TEI.2.text.body.div.sp.1143.s.3	het zijn schrikkelijk , beginnen u harden nog niet te beven ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1147.s.1	Ja het klooster hebben die vloeken de lantsheer voorschrijven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1153.s.1	hebben zijde daar met zo het willen , ik openen nu geren poort .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1153.s.2	het zijn kerstmis ; het klooster vuren god vrolijk boren ; doen hoog feest vinden het jaar ; dus laat deze werreck steken .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1161.s.1	Katuizerbroer , hier geld geren prevelen , nog preken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1161.s.2	bewilligen ik verzoek , en staan ik bede toen , Of ander lijden die ik hebben ongebeden doen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1161.s.3	doen tijd verlopen , het zijn spade : daar komen ik soldaat .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1166.s.1	ik troosten ik eer doen dood , dan ik deze toen zullen laten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1166.s.2	Wat wild gij het hels vieren op uw hals laen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1171.s.1	voor mennen , vaart vrijen voor , en steken hebben klooster aen : het zijn kouten , zo mogen wie wij bij doen kool warm .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1178.s.1	Och maarschalk , houden gemak : och wild uw tocht ontfermen hebben zijn geren Kristen mens die branden in klooster stichten .	Emotion_EmotionalAction_Compassion
vond001gysb04_01.TEI.2.text.body.div.sp.1178.s.2	Al wat hebben Godtshuis hebben , huisvesting , vieren en liggen , En spijs , en drank , hebben zijn voor het krijgsvolk al te besteden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1182.s.1	Nu mennen , trekken vrijen in : trekken voor , ik blijven doen lest .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1184.s.1	Vosmeer : Willem vinden Egmont ,	None
vond001gysb04_01.TEI.2.text.body.div.sp.1188.s.1	ik komen al heimelijk zwemmen door doen gracht .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1188.s.2	waar sammelt Egmont nu ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1188.s.3	hij zij ik hier verwachten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1188.s.4	het zijn donker .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1188.s.5	ik zijn natten , en klippertant vinden koude .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1193.s.1	Wel waar of Vosmeer blijven , wij afscheid wassen , hij zij verzekeren op deze uur alhier zien laat vinden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1198.s.1	Hier zijn doen manna al zelf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1198.s.2	wij zien durven onderwinden Een ' aenslagh , vol gevaar , moeten pas op zijn tijd .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1204.s.1	wezen welkom , braaf barsten , nu blijken hebben , datge zijn Een krijgsman , op wie woord ik wel een kerk mogen bouwe .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1204.s.2	Hoe hebben gei het mede de heer vinden Aemstel al brouwen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.1	zo geestig , dat'er niets aen deze aenslagh falen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.2	doen burgerij hebben zelf hebben zeepaard inhalen , mede zang en triomf , alles die vinden Troje doen .	Joy_Emotion_EmotionalAction_Pride
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.3	ik sturen en houden hebben roeren : mare het oorloghsvolck , beneden In het schip , lopen groots gevaar .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.4	doen bodem slorpte het natten , Door het stoten op een ' paal , waar door een ieder zitten In het water tot doen knie , en vrezen te verstikken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.5	hebben ongemak wassen groots , nog durven niemand kikken : Doch het lek geraken dichten , en stoppen wonderbaar vinden zelf , torn brengen doen hoest wij weder in gevaar ; Vermits ik het schor geluid bescheidelijck kennen horen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.6	hebben god niet zelf verdoofd de Aemsterdammers oor , wie waar vinden wij stemmen en eigen keel verraen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.7	ik geven ik zelf moed , en heffen een rustig aen Te zingen , die hebben klinken , schonen hart en nier krompen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.8	Dan trantelde ik vinden koude : dan vallen ik een aen het pomp .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.9	zo raken wie in stad , daar , alles een waterval , Al het volleck schieten na het schip , vinden straat en burgwal .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.10	doen geest vinden oud en jong door een scheiden uitspannen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.11	ik brengen hebben Vosmeer toen mede kroes en mede kan .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.12	mare het zagh'er deerlijk uiten , torn Gysbrecht laten gebieden , ik zij doen naast poort en het slot vinden rijzen verzien : wan door hebben langen beleg , en door doen koud dag wassen al doen turf verbranden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.13	ik holpze rustig dragen , En scheiden doen gaeust vinden al , in het bangste vinden die node : wan hebben hebben langen geduurt , doen zolder waar ontbloten , waar onder het krijgsvolk lach duiken in zijn liggen ; Doch d'avont vallen helen korten , en ik beginnen te klagen , En hielme gans vermoeien , en roepen : vinden daeg genoeg Geslaeft ; ik vallen aen't werken , na'et hoogtijt , zijn morgen vragen .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.14	hebben wachthuis zijn verzien .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.15	hebben zijn nu tijd vinden vier , na die gei vinden de schrikken de hollands banier genadig zijn verlossen , en ick'er het lijf af brengen .	None
