huyd001achi01_01.TEI.2.text.body.div.head.900.s.1	Achilles , treurspel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.14	Drie schoon maagd , drie prinses , uiten hebben bloeden vinden Atreus stam telen , en prachtig opvoeden In Agamemnons hof , staan uw te dienst vaardig .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.15	hij geven uw zelf doen keuren , wij gei vinden drie waardig zullen acht tot die staan ; mare doelen voor al op doen eer , die hij een Held , alles uw , tot schoonzoon krijgen ' , ik Heer .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1489.s.1	gei hebben u lassen voldoen , ik uw horen , ik ' heer .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1489.s.2	gei kunde , zode het uw believen , weer na de Dwingland karn : En zeggen hij uiten ik naam , die zijn ' geschenk ik nog haatelyker zijn , alles zijn dwingelandij .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1489.s.3	ik begeren zijn ' dochter niet , hoe oog vinden elk gepreezen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1489.s.4	zijn gans slachten kunnen ik niet alles verfoeilyk wees .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1489.s.5	En eindlyk zeggen hij , die ik ik aanstonds zullen beraden , Wanneer ik mede ik ' vlieden weder denke in zee te gaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1489.s.6	ik ' ziel , zode fel gezond , schijnen rijden vinden spijt te breken , die ik zode langen vinden die Tieran moeten horen spreken .	Offended_Emotion_BodyPart_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.1	gei weer in zee gaan !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.2	gei u Vaderland , uw eer Aldus mede voeren te vertreden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.3	gei ik Heer !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.4	Achilles , die zode vaak zijn vijand hebben verdrijven , zullen in de groot node zien het eest te vluchten begeven , hebben gans leger vinden doen griek doel verslaan , Om Agamemnon , die allee hij hebben misdoen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.5	nul smarten !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.6	hoe zullen ik voor u Vader wederkeren , die het ik mede zulk een ' gul gelieven te vereren , torn ik , rampzalig , tot hebben uiterst brengen , Een ' schuilplaats bij hij vinden , die ik zolang vruchteloos zoeken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.7	Versteend en hard gemoed !	BodyPart_BodilyProcess_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.8	doen kleppen zij ik breken Door zulk een ' nederigheid , door zulk een vurig smeken , terwijl u harden , verstalen door wraakzucht en door spijt , u Vaderland verlaten in d'allerlaatsten strijd .	Emotion_EmotionalAction_BodyPart_BodilyProcess_Despair_Vindictiveness_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.9	wild gei in deze node niet meerder voor wij vechten , ik arm , hoe oud hoe stram , zullen wonder uitrechten , En vlieg vol vinden moede de vijand in het zichten ; En sterven , nu gei dus ontaard zijn vinden u ' plicht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.10	moeten ik deze horen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.11	ik deze aanzien !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.12	groot god !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.1	Ik luisteren wel eer , nog jong , na u ' gebod .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.2	doen moeite kunde gei nu wel sparen , na ik menen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.3	ik weten nu wat ik moeten doel , en volgen ik ' zinnelijkheid .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.4	wild gei ik op doen reizen na Phthie niet verzellen , gei kunde hier blijven , om ik namaals te vertellen , Hoe Hectors woedend vuist hebben grieks heir verslaan , En Agamemnon het stalen in het beven hart jagen .	Fear_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.5	En gei , ik ' heer , gaan : u ' moeite zijn hier verliezen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.6	gei kwaamt ik ' mening straks uiten mijn mond te horen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.7	Ik hebben uw ander niets te zeggen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.8	het zijn ik lijden , die gei hier uw tij zode vruchteloos hebben besteden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1548.s.1	wassen het Agamemnon , die u ' bijstand hebben vinden nood , allee , ik wassen het mede uw eens : die zweren ik bij doen god .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1548.s.2	mare nu gei het Vaderland verlaten in deze node , tonen gei ...	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1548.s.3	mare laten wij gaan , eer zijn toren vergroten .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1548.s.4	doen Hemel midlerwyl geven uw een goed zin , En lederen uw , hoe gei landen en vriend moeten beminnen !	Emotion_BodyPart_Love
huyd001achi01_01.TEI.2.text.body.div.div.p.1550.s.1	Einde vinden hebben eerst bedrijf .	None
huyd001achi01_01.TEI.2.text.body.div.head.1554.s.1	Tweede bedrijf .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.1558.s.1	patroclus	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.1	benauwd , bekommeren en verliggen zuchten mijn ziel in deze node , nul griek , om u ' droef dood , nul Trojen , om u blijde zege .	Fear_Worry_Emotion_BodyPart_BodilyProcess_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.2	spannen Hemel , aard en Zee en al In het einde dan t ' zaam tot ons vallen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.3	doen gul de god zijn verdwijnen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.4	wie zenden vruchteloos wij zucht na om oog .	BodilyProcess_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.5	zij hart zijn verkeren in steen .	BodyPart_BodilyProcess_Spitefulness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.6	Een wolk vinden gramschap dekken zij ogen .	Emotion_BodyPart_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.7	Achilles , wreed in zijn woeden alles hongerig wolf , of leeuw , verheugen zien in wij bang geschreeuw , En kunnen , mare willen zulks niet vergoeden .	Fear_BodilyProcess_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.8	nul wraakzucht , gramschap , bitter haten , Wat brouwen gei het Vaderland al kwaad !	Emotion_Hatred_Anger_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.9	alles vriend zien vinden vriend scheiden , wij zullen de vijand in zijn ' woede dan weerstaan ?	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.10	hij gaan in bloedrivieren weide , En durven zijn ' hand aan het heil'ge slaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.11	Ik , die vinden mijn kinds jaar , Door vriendschap en door broedermin , Eens vinden gedachte , eens vinden zijn , ik ' ziel weten mede u ' ziel te paar ; moeten ik ook schuldig zijn , nu gei uw wreken vinden zijn dwinglands tieranny ?	Emotion_EmotionalAction_Love_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.12	Hier veel ik ik op het felst bespringen , Om het Vaderland in node ik ' bijstand aan te bieden : Hier schijnen u ' vriendschap ik te dwingen , mede vreugde uw hooners smarten te zieden .	Joy_Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.13	nul vriendschap , edel in deze leven !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.14	zullen ik , tot mijn en mijn schande , Om uw , ik dierbaar Vaderland In deze jong node begeven ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.15	En aanzien mede een stillen gemoed , Hoe Troje trappen in het grieks bloeden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.16	nul eer , o Vaderland , o vriend !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.17	zullen ik stilzwijgend zieden , hoe het Troische vieren uw blaken , Om ik aan een vriend te binden , Die zien in al ramp vermaken , ik ' ziel , slingeren heen en weder , zien dan allee doen vriendschap aan ; woord weer nopen te strijd te gaan , Om d ' uitlaten Hector neder Te ploffen in het bebloede sant , te dienst vinden ik Vaderland .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.18	mare ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.19	Achilles te verstoren , zij het allerlaatst zijn , daar ik ik in node toen kaar : En gaan hebben grieks heir verliezen , zode sterven ik zonder roemen of eer .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.20	nul vriendschap , willen het ik dan vergeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.21	doen eer , doen eer zijn ik velen meerder woerd .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.22	ik zullen zonder eer hier niet op aarde , Al moeten ik zonder vriend leven .	Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.23	doen vriendschap wankelen in de node : doen eer blijven wij bij zelf naar doen dood .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.24	deze zijn onsterflyk , die kunnen eend .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.25	Ik gaa .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.26	mare weigeren hij de Griek zijn ' helpen ; ik zweren , Of hij zullen ik te strijd zenden , Of ik , ik zijn zijn vriend niet meer .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.1660.s.1	patroclus , alcimus .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1667.s.1	AChilles zelf , ik Heer , zullen uw hier komen vinden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1667.s.2	vertoeven nog wat .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1675.s.2	getrouwste mijn vriend , weten hij de staan vinden het heir , en blijven zijn stenig harden nog onbeweeglijk ?	BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.1675.s.3	lachen hij nog mede ons smarten ?	Joy_Emotion_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1711.s.1	doen schrander Ulysses hebben zijn ' ziel wel iets bewegen , mede Ajax : mare helaas !	BodilyProcess_Moved
huyd001achi01_01.TEI.2.text.body.div.div.sp.1711.s.2	ofschoon hebben mededogen die wreed al eenigszins geraken hebben en ontroerd , hij woord gedurig door zijn ' gramschap weder vervoeren .	Emotion_Compassion_Moved_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1711.s.3	Dan grijpen hij het bloedig zwaarte een beven in zijn ' hand ; Dan zieden wie hij vinden spijt weder knarsen op zijn ' tand , die hij , die zien zode zeer verheugen in het stromen bloeden , de strijd vinden ver zieden , en zelf rust moeten .	Joy_Emotion_BodyPart_BodilyProcess_Anger_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1711.s.4	Dan schijnen hebben , die hij wat geraken zijn aan het bedaren ; Dan zwaard hij weder , nog Trojaan nog Griek te sparen , mare al te offeren aan zijn ' honen deugd ; En tonen zich om de node de griek gans verheugd .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1711.s.5	hij roepen doen god aan , om zijn rouw te wreken ; En bidden , die Hectors hand de veldheer mogen doorsteken : wan zode langen , alles die leven , en het grieks heir gebied , willen hij voor het Vaderland niet strijd ; ja ontzien zien zelf niet , na doen dood te wensen vinden zij al , zode hij de Dwingland slechts mogen aan zij zijde zieden val .	Emotion_EmotionalAction_Sadness_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1711.s.6	Dan willen hij mede zijn volk , en uitrusten hand , doen schae herstellen vinden het martelen Vaderland ; de zegepralen Trojaan te stad in drijven , En mede zijn moedig volk allee verwinnaar blijven : Op die geren ander deel in zijn oorlogsroem , En Griekenland allee hij zijn verlosscher noemen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1727.s.1	zode hebben hij rijden , zien in het kort te verblijden .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1727.s.2	wan zode hij deze dagge allee nog wachten mede strijd , zijn het al verliezen , en mede ons vlieden braden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1727.s.3	zode dan doen vlammen een in doen schip door willen slaan , zijn zullen het rampzalig volk dan enig uitkomst vinden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1727.s.4	Die wreed zullen wij op zij gemak verslinden , alles teder lam , die weerloos en stillen doen dood verdragen , alles het zij overwinnaar willen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1753.s.1	mare neen ; ik hopen nog op uw , die gei zijn ' gramschap neder zullen zet door u raden : hij achten , hij minnen uw teder ; hij hebben de gans nacht slijten in geklag , En droef zuchten , om die hij uw niet weder zien , Die hij beloofd hebben voor de avond weder te komen .	Emotion_EmotionalAction_BodilyProcess_Love_Dissapointment_Sadness_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1753.s.2	Om uwent willen allee hebben ik die held zieden schromen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1753.s.3	beschrijf hij dan de staan vinden het bang Vaderland Op het allerschrikkelykst : bezweren hij bij de band vinden vriendschap , die zijn harden aan het uw hebben verbond : zeggen hij , hoe gei doen bloem vinden het grieks heir wonden , en te dood toen afmatten , zagen vlucht na doen vlieden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1753.s.4	beschrijf hij het na luiden de gene , die half dood nog kermen op hebben veld , en trachten nog te spreken , Om hun ramp op hij mede woord slechts te wreken , wild zijde hij aanzien , alles doen bron vinden hun elend ; Hoe gei doen tranen , en hebben bloeden , zijn gei uw wenden , zien stroom lang de grond .	EmotionalAction_BodyPart_Sadness_Despair_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1753.s.5	beschrijf hij al doen naarheid , Die gei bedenken kunde ....	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1765.s.1	Ach ! ik hoeve allee doen waarheid Te zeggen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1765.s.2	mare hij , die Ulysses hebben horen , En al weerstaan , zullen die zien op ik woerd Bedwingen , en hebben zwaarte weder vat in doen hand ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1765.s.3	Neen , Alcimus , o neen , hij kunnen zien zonder schande Voor ik en mijn raden niet buigen , die zode fier Vorst Agamemnons bod , en zijn ' geschenk , weer gelijk hij zelf nauw zien hebben vinden zijn leven , Te rug zenden hebben , en smaadelyk verdrijven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1769.s.1	Wat middel dan voor wij , tot troosten in deze elend ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1796.s.1	Indien hij voortgaan hier rusten in zijn tent Te blijven zetten , zien niet moeiende mede strijd , zode hopen ik door ik arm doen griek te bevrijden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1796.s.2	Niet door ik ' dapperheid en vreselijk wellen , mare door doen wapen vinden die onverwinbren Held .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1796.s.3	ik dunken , wanneer ik die mogen gesp om ik ' lid , wapenen mede zijn zwaarte mogen in hebben strijdperk treden , Ik zij Sarpedon , ik zij AEneas , en doen bloem vinden Trojes oorlogsmagt , held Hector , die zijn roemen Thans door Achilles toren zien aan doen ster rijzen , Voor ik doel vlucht , of de wegge te affront wijze .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1796.s.4	ik veel , hoe die eerzucht rijden ik jeugdig harden beginnen Te strelen .	Honor_Emotion_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.1796.s.5	god !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1796.s.6	die volvoeren , wat gij onderwind , gei , die ik aanleiding hebben tot deze zaak geven , kronen , kronen ik groots besluiten , al kosten het ook ik leven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1800.s.1	Daar komen Achilles zelf .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.1804.s.1	achilles , patroclus , alcimus .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.1	zijn welkom , waard vriend !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.2	zijn driemaal welkom !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.3	danken zijde de Hemel ! ik vinden uw eindelijk dan weder , en , naar zode langen te zucht , doen uw wederkomst al mijn zorg vlucht .	Worry_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.4	gei leven dan nog !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.5	god !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.6	wat hebben ik voor uw vrezen !	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.7	mare ik zien mede vreugde , ik ' vrezen zijn zonder , grond wezen .	Fear_Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.8	mare hoe ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.9	gei staan en zuchten , en hout u ' droevig oog geslagen op de grond , wat hebben uw zode bewegen ?	Emotion_BodyPart_BodilyProcess_Moved_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.10	treuren gij om de slecht staan vinden het grieks Leger ?	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.11	of zijn uw uiten Griekenland , vinden Phthie , of elders , stof Tot droefheid aandienen ?	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.12	spreken op , laten ik uw horen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.13	doen droefheid , die ik in zijn boezem willen versmoren , groeien dagelijks aan , en slaan in het einde tot wanhopen uiten .	Emotion_BodyPart_BodilyProcess_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.14	gei zuchten , en zwijgen !	BodilyProcess_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.15	zeggen ik , zijn uw smarten uiten spruiten .	Emotion_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1836.s.2	kunnen Achilles ik na mijn droefheid vragen !	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1836.s.3	gei zijn ' er doen oorzaak vinden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1836.s.5	die uw oog zien , hebben geren ik hebben zien , u fier en stenig harden zij zien haasten zieden vermurwen door doen algemeen smarten vinden ons held , en manmoedige soldaat ; zode gij eenge menschlykheid slechts over hebben gelaten In u verstokt gemoed .	Emotion_BodyPart_BodilyProcess_Moved_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1843.s.1	Hoe staan hebben mede doen vlieden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1843.s.2	Hoe mede doen vorstin ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1843.s.3	spreken .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1843.s.4	Hoe naar zijn wij doen node ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.1	zode naar , die uw hand allee wij kunnen bevrijden vinden ons ondergang , zode zijde voor wij willen strijd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.2	doen grieks vlieden zijn tot hebben uiterst brengen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.3	doen groot held zijn kwetsen ; hebben volk , vinden kracht , En moede bijna geheel beroven , weerstaat flaauwmoedig doen Troische krijgsmacht nog .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.4	hebben slagveld liggen gans bloedig mede grieks lijk opvullen , en , zijn ik zien , ik speuren geren ' teken , alles vinden wanhopen en verdrieten .	Emotion_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.5	doen Veldheer hebben de strijd verlaat , om zijn ' wond In zijn recht hand . ik hebben Tydeus zode vinden , die steunen vinden het grieks heir , door het mis vinden zijn bloeden , Schier leevenloos .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.6	ik zijn Eurypylus ontmoeten , mede een scherp schicht schieten in zijn ' dij .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.7	doen minder soldaat vallen zijn vijand raazernye te prooi , door het woeden en doen onwederstaanbre kracht vinden Hectors ijzeren vuist , en Trojes oorlogsmagt .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.8	En gei , Achilles , blijven nog even onbewogen ; zien wij te vallen gaan , en blijven zonder mededogen !	Emotion_Compassion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.10	die geren ' gramschap , zode nadelig , zode verwoed , ik ooit vermeestre , nog stelen grype in ik gemoed !	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.11	wild gei allee tot schade en onheil uw vriend Beroemd zijn ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.12	wij zullen troosten in uw bijstand vriend , Voor wieden bewaren gei tocht doen kracht vinden uw hand , naar gei die hebben ontzeid zelf aan u vaderland ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.13	En gei , gei zijn die manna , die Troje moeten vernielen , Die menig duizend vinden vijandelijk ziel te affront zenden moeten ; gei zijn die dapper Held , Die wij bewaren zullen , gelijk wij zijn spellen Door Priester Calchas mond !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.14	o Hemel !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.15	kunnen hebben wees ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.16	Een ongeluk , zijn voor ik eest niet scheiden te vrees , treeft wij velen nader , wennen het wij overkomen , alles iets , die een voorzichtig ogen langen vinden te voorn zien .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.17	Nu razen , nu knarsen hebben volk vinden spijt op zijn tand , terwijl doen Trojers heen vinden al zijden aanranden .	Emotion_BodilyProcess_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.18	zijde sneuvlen , een voor een , en verven mede zij bloeden de vijandelijk grond , terwijl doen moordlust woeden : En gei , daar al zij hopen wel eertijds op berusten , die elk in zijn ziel , alles zijn verlosscher , kussen , En strelen vol vinden liefde en vriendschap , zien deze aan , En laten u ' vriend door u ' vijand verslaan .	Emotion_EmotionalAction_Hope_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.19	ik dunken , ik horen , hoe zijde in het uiterst nog kermen : Achil ...	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.20	Achilles komen , ai willen wij nog beschermen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.21	zode sterven ' er menig niet u naam nog in de mond .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.22	Een ander , razend , en verbitteren door zijn ' winden , zijn vinden hij doen oorzaak uw alleenig toen durven schrijven , zwaard , zode hij weder bekomen , uw het stalen in het harden te drijven .	Emotion_BodyPart_BodilyProcess_Anger_Spitefulness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1928.s.1	En zullen ik zulk een volk ik ' helpen nog bieden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.2	Ontmenschte !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.3	zode u ogen in hun boezem zien , Hoe teder een ' vriendschap zullen gei daar voor uw niet vinden !	BodyPart_Love_Benevolence
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.4	Een onrechtvaarde toren kennen u gemoed verblind ; En gei keuren kwaad in zij , hebben geren gei zelf doen .	Emotion_BodyPart_BodilyProcess_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.5	doen wanhopen en doen spijt verheert ook zij gemoed .	Emotion_BodyPart_Despair_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.6	u toren zijn straffens woerd ; zij gramschap zijn rechtvaardig .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.7	zijde , uw altijd getrouw , zieden zien vinden uw onwaardig handelen in de node .	Emotion_Loyalty
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.8	gei zien doen grieks jeugd Rampzalig sneeven , en tonen uw daarom verheugd .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.9	Wel aan !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.10	kaar nog te strijd , en tonen u ' metgezel , die zij weerwaardigheen uw eed'le ziel nog kwellen ; zode zullen gei zieden , hoe diep gei in zij boezem staan , En hoe u ' vriendschap zij ook nog te hart gaan .	BodyPart_BodilyProcess_Love_Compassion_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.1	Patroclus , ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.2	ik willen het allee voor uw belijden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.3	ik ' hand , zode langen rusten , verlangen om weder te strijd .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.4	mare ik willen hebben uiterst eest afwachten , eer ik ik weder te strijd vervaardige , en in het bloedig slagveld kaar .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.5	ik willen Agamemnon , en gans Griekenland dus toon , die Held Achilles zien niet straffeloos laten honen .	Offended_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.6	Ik wensen uiten al ik harden , die zulks nooit zijn geschieden , het zijn ik een oorzaak vinden onlydelyk verdrieten .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.7	mare wild hebben zijn braden , willen ik niet tegenspreken , moeten ik ik op het allerfelst op die aarddwingland wreken .	EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.8	die trots !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.9	Neen , die vrijen doen Trojers woeden , en de tij waarnemen , die ik niet in het strijdperk zijn !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.10	zode zullen doen wereld zieden , die Griekenland moeten vlijen , Wanneer Achilles hebben zijn bijstand niet willen bieden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.1	nooit wassen een sterveling zode wreed , nog zode verharden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.2	een eed'le en braaf ziel hebben meely mede doen smarten zelf vinden zijn vijand , en gei kunde vernoeging vinden In d'onverdienden ramp vinden u ' getrouwste vriend .	Emotion_BodyPart_Compassion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.3	het zijn onbegrijpelijk .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.4	Of hebben doen vrezen ook plaatsen Gekreegen in hebben harden de moedigsten soldaats ?	Fear_Emotion_BodyPart
