noms001mich01_01.TEI.2.text.body.div.head.282.s.1	Michiel Adriaansz doen Ruiter , treurspel .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.8	bedenken , doen zekerheid de land zijn in deez ' staan gronden op doen eendracht vinden zijn land hoofd en vinden de raden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.9	het zijn zijn , op ik bevel moeten al weerstand vlijen ; Doch willen in deze zaak verzoekend ' niet gebieden , begrijpen gei liggen die ik , hoe hard uw deze ook val ' , nog minderen ik gezag gebruik kunnen , of zullen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.10	ik vervoegen ik daar doen raden ik plechtig zullen begroten .	None
noms001mich01_01.TEI.2.text.body.div.div.head.678.s.1	vieren toneel .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.680.s.1	valkenburg , mevrouw laten bord .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.1	mijnheer , ik toeverlaat !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.2	ik vallen aan uwe voeren .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.3	hebben wreed belang die ik te helpen hij verbieden , weerhouden uw , vrijen vinden rank , om ik te helpen niet .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.4	u drift voor doen eer de raad , zode menigmaal blijken , zullen , alles gei spreken , in het harden de streng rad spreken .	Honor_BodyPart_BodilyProcess_Compassion_Dedication
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.5	doen trouwen vinden ik ' gemaal spreken in u edel harden , ik droefheid slaan deze uur uw meer dan ooit mede smarten ...	Emotion_BodyPart_Loyalty_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.6	gei markt ik bede .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.7	Wat baten een werkeloos mededogen !	Emotion_Compassion
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.1	hebben grieven en strelen die niets te helpen de deugd vermogen : hebben medelijden strekken de waarlijk braaf manna te foltring , alles het doen deugd in node niet baat kunnen ; En het strelen nochtans zijn ziel , die zijde zien voelen ontvonken Door doen eelste drift die ooit hebben schepsel zijn schenken .	Emotion_Happiness_BodyPart_BodilyProcess_Compassion_Dedication_Desire
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.2	o Hemel !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.3	moeten die gift , die onwaardeerlyk goed , Die dubbel werking doel op Valkenburgs gemoed !	BodyPart_Moved
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.4	Verwys , daar hij zode velen voor doen onschuld willen verrichten , zijn mededogen niet voor werkeloosheid te zwichten .	Emotion_Compassion
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.5	hebben zijn uw ramp , ik kind !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.6	die ik hebben harden doorsnyd : Ik lyde op het wreed , mede uw , omdat gei schuldeloos lijden , En omdat ik om beide een ' wegge tot troosten te baan , Helaas !	BodyPart_BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.7	geren middel weten dan het storten deze traan .	BodyPart_BodilyProcess_Compassion_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.712.s.2	zullen doen raden , mijnheer , alles hij uw naderen zien , u voorstellen ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.2	gei kennen de aard de groot niet , Meest dorstig na gezag , zullen , schonen zijde het loods verbergen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.3	Een voorstellen die hunn ' rank te ontluistren schijnen heen tergen ; zijde weet een verzoek , hoe heus heen ook braden , alles heen het verzoek mishagen , mede heusheid af te slaan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.4	deze staan ontwijfelbaar ik vinden de raden te wacht .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.5	ik zode kennen goed de geest de streng raad verzachten : hij kennen , aanvaardend ' zijn aanzienlijk ambt vinden staan , hebben doel een gunstbewys opdringen aan de raden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.6	deze wassen ik hopen ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.8	herinneren , tot ik smarten , ik niet in deze staan ik ' zoon hoogmoedig hart .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.9	beklagen ik : doen eerst dagge waarop hij het volk begroeten alles landvoogd , in ik plaatsen , kosten ik een ' tranenvloed .	BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.11	doen mede spoed de admiraal heet land !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.12	ik harden trekken door de vloed zijn vlieden na deze strand .	BodyPart_BodilyProcess_Desire
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.13	In zijn gewenst komst bestaan ik hopen allee .	Emotion_Hope
noms001mich01_01.TEI.2.text.body.div.div.sp.738.s.1	Wel !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.738.s.2	wanhopen gei de raden te treffen door gebeen , hopen die gei het harden uw zoon bewegen zullen , door smeken , ik toen te staan slechts eens mede ik ' gemaal te spreken .	EmotionalAction_BodyPart_BodilyProcess_Compassion_Moved_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.747.s.2	willen dan hebben loten zode gruwzaam op wij woeden , die gei niets smeken kunde waaraan ik kunnen voldoen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.747.s.3	bedenken , die tot de manna die het zwaarte de recht zullen dood , bijna in ieder landen , doen toegang zijn verbod .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.747.s.4	Nochtans , ik kind !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.747.s.5	ik zullen , hoe hopeloos het ook zijde , hebben harden ik straf zoon ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.747.s.6	mare , hoe !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.747.s.7	wij naderen ik ?	None
noms001mich01_01.TEI.2.text.body.div.div.head.750.s.1	vijfde toneel .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.752.s.1	valkenburg , mevrouw laten bord , een hoofdman .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.763.s.1	vergeven die ik uw storen ' .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.763.s.2	wie zieden vinden deze vasten , mijnheer , een kloek vlieden , wij nadrende uiten hebben west .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.763.s.3	wij ogen , wapenen door een sterk aantrekkend glas , Bespeurde op eene kiel , schonen die doen vers wassen , hebben merken een schouts bij nacht aan doen achtermast binden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.763.s.4	u zode hebben ik tot uw mede deze berichten zenden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.763.s.5	ik wensen die deze vlieden haasten op doen rijden verschijnen ' .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.1	zode het niet doen Ruiter zijn , hebben zullen zijn voortogt zijn .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.2	gade heen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.3	Ik zullen terstond ik bij ik ' zode begeven , ik kind !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.4	Ik veel ik vreugde in het bang gemoed herleven !	Fear_Joy_Emotion_BodyPart
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.5	Die ras komst de vlieden verschaffen , in deze staan , een ander bezigheid dan straf aan de raden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.6	doen Ruiter zijn nabij !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.7	wie zijn wij lijden te boven !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.8	Ik kunnen vinden zijn deugd ik niets dan goed beloven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.9	gei kennen zijn inborst niet , mare ik kennen die voor langen .	None
noms001mich01_01.TEI.2.text.body.div.head.784.s.1	Tweede bedrijf .	None
noms001mich01_01.TEI.2.text.body.div.stage.786.s.1	hebben toneel zijn in hebben voorportaal vinden de kerker .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.790.s.1	mevrouw laten bord , een hoofdman .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.801.s.1	stellen uw rusten , mevrouw !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.801.s.2	gei zullen laten bord spreken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.801.s.3	deze zeldzaam gunstbewys zijn geren ongunstig teken : Een heimelijk gesprek worden nimmer toestaan mede hij die zeker zullen doen doodstraf ondergaan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.801.s.4	wie acht u ' gemaal , zijn loten doen ieder zucht ; zijn lyfsgevaar kunnen uw niet meer dan ik doel duchten .	BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.801.s.5	doen staan vinden ongeluk zijn die gesteltenis .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.801.s.6	Waarin doen mens bespeuren of hij beminlyk zijn .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.814.s.1	All ' wat ik kunnen , mijnheer !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.814.s.2	in deze omstandigheid , Waarin ik harden door hopen en doodsangst worden bestrijden , It uw te danken voor die edelheid vinden harden , Die uw doen deel in laten Bordes bitter smarten .	Fear_Emotion_Hope_BodyPart_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.814.s.3	Die edelmoedigheid doen ik genoeg bespeuren , die gij in de kerker hij niet troosteloos hebben doel treuren .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.814.s.4	doen gul , waarvan gij ik voor hij velen goed beloven , zijn ik verplichten aan u wijzen opperhoofd , Die zijn ' gestrengen zode daartoe hebben kunne nopen , En ik op het edel harden de admiraals doen hopen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.820.s.1	ik pryst doen Ruiter oog : ik zeggen die inderdaad zijn harden meer tot genae dan strafheid overslaan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.820.s.2	zelf zeggen ik zijn deugd gaan ver ' het gerucht te boven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.832.s.1	Ik hebben geren reden , mijnheer , die ik het niet zij geloven : doen grijs Valkenburg , die niemand ooit bedriegen , Pryst bij aanhoudendheid doen ruiter deugd oog .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.832.s.2	Doch , buit deze , doen hopen , die doorgaans het harden de mens Geloven doen all ' het geren zijde zijn te wees wensen , doen ik geren ' twijfel slaan aan held doen ruiter deugd .	Emotion_Hope
noms001mich01_01.TEI.2.text.body.div.div.sp.832.s.3	hebben zijn die hopen allee die thans ik ziel verheugen .	Emotion_Hope_BodyPart
noms001mich01_01.TEI.2.text.body.div.div.sp.832.s.4	ontsluiten ik ' echtgenoot .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.832.s.5	 Ik veel ik lid beven !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.838.s.1	Ik gade op het ogenblik daartoe bevel geven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.838.s.2	Ik weten ik ' lassen , mevrouw .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.838.s.3	verwachten in deze vertrekken mede hij om wieden gei wenen een ongestoord gesprek .	BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.844.s.1	mevrouw laten bord , allee .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.1	Hoe strijd hopen en vrezen gestadig in ik gedachte !....	Fear_Emotion_Hope_BodyPart
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.2	mare moeten ik siddrend ' hier ik ' echtgenoot verwachten ?	Fear_BodilyProcess
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.3	o Ja !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.4	laten Bordes loten hand vinden de vlootvoogd af ; ik zeggen doen groot zijn meedoogenloos en straffen , En het hoofd de vlieden behoren voorzeker tot doen groot ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.5	mare grijs Valkenburg , uiten edel bloeden spruiten , doen ik te klaar zieden , door het deel in ik smarten , die alle groot niet onmenschlyk zijn vinden harden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.6	hij roemen de admiraal : waarom zijn woerd te vrees ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.7	hij zijn alom geacht , hij zullen ik voorspraak wees !...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.8	wijken , vrezen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.9	die weinig baten , en slechts wij wede vergroten .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.861.s.1	mevrouw laten bord , laten bord .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.865.s.1	laten bord , driftig toeschieten , en zij ombelzende .	EmotionalAction_Love
noms001mich01_01.TEI.2.text.body.div.div.sp.867.s.1	gelieven wederhelft !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.871.s.1	mevrouw laten bord , wenen , in zijn arm .	BodilyProcess_Other_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.873.s.1	trouwhartig echtgenoot !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.876.s.1	laten bord .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.881.s.1	weerhouden die traan tocht , die ik hebben harden doorboren .	BodyPart_BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.881.s.2	Door wieden zijn ik het geluk vinden uw te zieden beschoren ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.881.s.3	wieden dank ik deze gul ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.881.s.4	die ik hoogst dierbaar zijn , schonen zijde niets goed voorspellen in deze gesteltenis .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.885.s.1	danken grijs Valkenburg die gei ik moogt aanschouwen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.893.s.1	Ik kunnen geren ' enklen stappen vinden deze held mistrouwen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.893.s.2	spreken , geven ik ik te gul tot deze bezoeken bevel ?...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.893.s.3	Of zeggen gei anderwerf voor eeuwig ik vaarwel !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.893.s.4	Ontzie ik niet , spreck vrijen ; voldoen aan ik begeren : Wat zullen ik noodlot zijn ?	Emotion_Desire
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.895.s.1	Mevrouw laten bord .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.899.s.1	hebben kunnen , hebben zal verkeren !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.899.s.2	te minst Valkenburg , die waarlijk vroom manna , die ik geloven moet , verzekeren ik daarvan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.904.s.1	zode hij het verzekren durven , wat staan wij dan te vrees ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.904.s.2	Wat doen , bij zode velen hopen , uw dan zode treurig wees ?	Emotion_Hope_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.909.s.1	wij kunnen hebben geren hij minnen , gelijk zijn eigen harden , Gevoelloos leiden zieden ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.921.s.1	verbannen , verbannen die smarten .	Emotion_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.921.s.2	Indien een schelmstuk ik mijn eer hebben doel verkorten , Dan voegen het uw mede rechte die tranenvloed te storten ; mare ik hebben uw eer , mijn eer , vol moed , door het stalen redden , En zijn dus het offeren slechts de strengheid vinden doen weten .	Honor_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.921.s.3	mare wat kunnen Valkenburg uw doel verzekering geven , die niet te tweedemaal ik vonnissen zijn schrijven ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.921.s.4	Onthef ik harden vinden schrik , die ik hebben sterven baard , Om uw , geenszins om ik : gei kennen laten Bordes aard !	Fear_Emotion_BodyPart
noms001mich01_01.TEI.2.text.body.div.div.sp.934.s.1	doen hollands admiraal , die hier in het korten zullen land , doen Ruiter , hebben u loten volkomen in zijn hand ; En grijs Valkenburg bezweert ik die die held In goedertierendheid zijn hoogst glorie stellen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.934.s.2	doen gryzaart , die uw achten , wie deugd wij zijn blijken , beloven ik zelf voor uw de admiraal te spreken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.934.s.3	scheppen moede , ik echtgenoot !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.934.s.4	wij leven ' er die een ' manna alles edel Valkenburg een bede ontzeggen kunnen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.934.s.5	ik liefde doen ik het all ' vinden zijn ijver hopen .	Emotion_Hope_Love
noms001mich01_01.TEI.2.text.body.div.div.sp.950.s.1	Een zwak hopen , helaas !	Emotion_Hope
noms001mich01_01.TEI.2.text.body.div.div.sp.950.s.2	die haasten tot niet zullen lopen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.950.s.3	u liefde zijn het all ' voor ik ; mare , tot ik ' bitter druk , verzwaren die liefde allee laten Bordes ongeluk : het Besef vinden het wede , die zij uw om ik gevaar doen leiden , moeten in deze ogenblik ik harden op het felst doorsnyden ; Naardien u ijdel hopen , allee uiten liefde ontstaan , alles hopen vervliegen , u harden te diep winden ' zullen slaan .	HeavyHeartedness_Emotion_Hope_BodyPart_BodilyProcess_Love_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.950.s.5	hoe kunnen Valkenburg , door zulk een hopen drijven , vinden ik bevrijding uw mede grond verzekering geven ?	Emotion_Hope
noms001mich01_01.TEI.2.text.body.div.div.sp.950.s.6	vergeten hij die zijn zode , uiten achten voor de raden , ik aan ik yslyk loten volstrekt bevelen laten ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.950.s.7	En kunnen hij ooit mede grond vinden het hoofd de vlieden verwachten , die hij doen rad belg ' , te gul vinden ijdel klacht ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.962.s.1	doen lassen de ongeluks sporen uw tot wanhopen aan .	Emotion_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.962.s.2	ik weten die doen ramp in wij doen wantrouwen doen ontstaan ; mare laten zij nevel thans u ' geest niet meer bevangen .	Suspicion_Emotion_BodyPart_BodilyProcess
noms001mich01_01.TEI.2.text.body.div.div.sp.962.s.3	doen jong Valkenburg , dringen door belang de raden te ontzien , volgen slechts wat hij het belang gebied ; mare nederland admiraal kennen die belang niet : Die held hebben aan doen wrok de raad zien niet te storen ; doen raden , hoe fel gebelgd , kunnen hij niet ringeloren .	Emotion_Spitefulness
noms001mich01_01.TEI.2.text.body.div.div.sp.962.s.4	het Kostalles hij een woerd :  ik eisen het !  en al zwichten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.1	die zijde zode ; mare die woerd zijn waarlijk vinden gewicht ; het zijn voor een ' staatsman velen daarvan gebruiken te manen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.2	laten wij het gewis gevaar niet voor wij zelv ' verzaken !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.3	het zijn mogelijk die ik geest , bedwelmen door het ongeluk , Te velen gevaar zien , tot meerdring vinden ik ' druk ; mare hopen , ruimen zode bekwaam alles smarten om het ogen te blind , kunnen ook aan schijn vinden heil uw doel een toevlucht vinden : Beproeven wij , onbedwelmd , aan zijn tijd gesteltenis , Of hopen of vrezen voor wij hebben meest bedrieglijk zijn .	HeavyHeartedness_Emotion_Hope_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.4	wanen gei het in zijn land gevaar doen ruiter zaak te wees , Hoe weinig hij het gemor de rad hebben te vrees , die hij , op Valkenburgs , of u ' , of iemants drang , zien menge in een geval voor hij vinden geren belang ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.5	Wat raken hij of ik ik op nieuw verwyz ' tot sterven ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.6	Waarom tocht zij hij ik genadig doel verwerven ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.7	Om Valkenburgs verzoek !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.8	mare wat zijn in deez ' staan hij nut , Valkenburg ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.9	of het lichaam vinden de raden ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.10	zijn het heden zijn belang , al willen hij ik verschonen , de raden door het scheuren vinden zijn vonnissen fel te honen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.11	moeten ooit deze rijk kussen vinden tweedracht zijn bevrijden , hebben zijn vooral in deez ' hoogst hagchelyken tij .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.12	hebben doen admiraal doen spijt de rad niet te vrees , zij vriendschap moeten nochtans hij aangenaam wees Dan hun vijandschap , die hij niet zoeken zullen Door een ' verwijzen manna te onttrekken aan zijn ' vallen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.13	wij deze vertrouwen durven kennen weinig het harden de groot ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.995.s.1	mevrouw laten bord , mede drift .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.1	gei dwaalt : hebben hoofd de vlieden , uiten liggen stam spruiten , hebben in een ' arm staan , die nooit zijn man lustre krenken , leren hoe in de node zijn medeschepsel denken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.2	hij weten wat waard elk mens , hoe arm , of oog verheffen , bij het aanzien vinden doen dood natuurlijk hechten aan het leven ; doen manna , die in een stolp op het landen zijn voortbrengen , zijn hij , alles mens , zode woerd alles het vorstelykst slachten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.3	deze zijn niet vreemd : doen node doen wij aan deugd gewennen ; ik dienen om mens te zijn zichzelv ' eest zwak te kennen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.4	Gelnof ik , doen admiraal zijn vinden die groot niet , weer ogen meedoogenloos zij mindren leiden zien .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.5	u trouwen voor Valkenburg , de zeeheld aanprijzen , u moede , alom bekennen , u dienst aan het landen bewezen , doen wonder zeldsaamheid vinden u berucht geval , het gaan vasten die al op de vlootvoogd werk zullen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.6	het geren ieder vinden hij zeggen maken hij ons achten waardig .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.7	Verdenk doen groot tocht niet al , wezen rechtvaardig , zijn Helds roemen zijn te algemeen , dan die deze spoorloos zijde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.8	Nooit spreken hebben gans volk doen talen de vleierij .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.1	hebben volk schatten , inderdaad !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.2	vol onbezonnen yvers , hebben schonen de daad na de rank de daadbedryvers .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.3	alles een aanzienlijk manna een goed daad verrichten , zijde groeien in ieder mond , zij zijn groots in elk zichten ; Daar wat een burger zien ook loflyks moog ' vermeten Meest flaauwlyk worden roemen , en spoedig worden vergeten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.4	doen goedheid vinden de held , roemen schier buit maat , zij zode beroemd niet zijn zijn ' hij geren manna vinden slaan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.5	die grijs Valkenburg hebben al gunstig schijnen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.6	hij oordelen ieder harden te al tij ' na het zijn .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.7	En schonen doen Ruiter hebben in liggen staan leren , Wat smarten doen droefheid baard , zijn staan zijn langen verkeren .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.8	doen mens zijn doorgaans in liggen staan meedoogend '; mare het loten heen uiten zij Niet te toppen vinden staan verhoogend ' , schrijven heen , bij het wisselen vinden zij standgesteltenis , Die streng koelheid voor die groot eigen zijn .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.9	Doch hoe doen ruiter zuchten voor het mensdom zijde blijken , zijn strengheid doen niet minnen doen wereld vinden hij spreken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.10	bedenken deze .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.11	oordelen nu of ik vinden zulk een ' manna , In weerwil zijn belangs , vergifnis hopen kunnen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1042.s.1	mevrouw laten bord , naar een weinig zwygens .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1050.s.1	Gemaal !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1050.s.2	moeten uw vrezen ik , eensslags , het all ' doel vrees !	Fear_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.1050.s.3	 doen gul de admiraals moeten niet onzeker wees ; En evenwel , het gaan vasten , zijde kunnen onzeker zijn ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1050.s.4	doen vrezen ik echtgenoots zijn niet ontbloten vinden schijn !	Fear_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1046.s.1	naar een pozen hij sterk te aanzien aanzien , peinzen en te zijden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1054.s.1	spreken , wat besluiten u harden ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1054.s.2	het schijnen heimlyk zien te kwellen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1057.s.1	mevrouw laten bord , uiten zij gepeins tot doen uiterst levendigheid overgaan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1060.s.1	u noodlot aan uzelv ' , en die terstond !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1060.s.2	te stillen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1060.s.3	doen Hemel storten daartoe ik het middel in de zijn !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1064.s.1	Wat wild gei zeggen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1064.s.2	spreken !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1064.s.3	Wat middel vallen uw in ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1074.s.1	Een middel die u harden geenszins zullen kunne wraak , die vinden doen Ruiter uw zullen onashangklyk manen , die grijs Valkenburg doen moeite sparen zullen vinden uw door zijn verzoek te onttrekken aan u ' vallen , En die zijn ' streng zode , en al doen trots rad , terwijl wij ieder roemen , mede schande ' zullen overladen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1074.s.2	die middel zijn ... doen vlucht !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1074.s.3	maken uw daartoe reden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1077.s.1	laten bord , mede verwondering .	Emotion_Wonder
noms001mich01_01.TEI.2.text.body.div.div.sp.1079.s.1	Wat dekken ik in het uitgaan voor het zichten de wachten ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1082.s.1	mevrouw laten bord , mede vervoering , hij om de hals vallen , bij doen hand nemends en , naar een weinig zwygens , hij mede tederheid aanziende .	Emotion_EmotionalAction_BodyPart_Love_Benevolence
