hare003agon01_01.TEI.2.text.body.div.div.head.995.s.1	persoon	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1925.s.3	weten gei die om het Altaar , het geren wij ' trouwen gaan ontvangen zweven Fathema's haten en bloedig belang , Maccassars Kroon in het stof , voor Nederlands hoogmoed , En het rystveld vinden hebben oogst verdrinken in hebben bloeden ; Samboepo's waal verwoesten , en zij verbranden straat vertonen allom ik moeder lidmaat verstrooid , wanneer het wellen vinden het ijselijk schudden doen voorzorg vinden doen kunst voor het leven maken ' onnut ; ik Vader vluchten , beroven vinden syne land , En dragen ' om zijn hals Fathema's teder hand !	Emotion_Hatred
hare003agon01_01.TEI.2.text.body.div.div.sp.1925.s.4	zien daar , in week staan Agon ik hier ontving gelijk zijn eigen kind , niet alles een vluchteling ; En zullen Fathema nu zich durven onderwinden Om zijn zoon aan zij loten en aan zij wraken te binden , zullen het oogst , getuige vinden zijn ' edelmoedigheid , Niet laken uw keuren , en ik ' ondankbaarheid !	Emotion_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.1939.s.1	Indien het geheel oogst voor uw wassen te bestrijden , zij Hassan's harden het geluk vinden ieder Vorst benijden Die door Fathema's hand kiezen tot zij wraken , Op het Maccassaarsche stranden zij sterven voor zij zaak !	Emotion_Happiness_BodyPart_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.1939.s.2	mare hebben verslaafd oogst , wel ver vinden uw te wreken durven zelf niet denken om zijn keten te breken : En mede welk ' schrik zullen het oogst , Batavia niet zieden Wel haasten in Bantam's waal , en Abduls rijk gebieden ?	Fear_Emotion_EmotionalAction_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.1944.s.1	Batavia gebieden alhier ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1944.s.2	in Bantams wal ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1944.s.3	En Abdul , Agons zode , voor Holland neder zieden val !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1979.s.1	ik vrezen die ik gissing mare al te gronden zijn , Hoe zeer die zaak aan u nog ongelofelijk schijn ' , hebben zijn te deezer tij bijna een Jaar lijden die Agon hebben bereiden het geren hij volvoeren op heden , die hij in het openbaar verklaren hebben , die hij denken tussen zijn beide zoon te deel syne macht : Abdul hebben wel te vrede mede die besluiten gescheenen mare sedert zijn Steenwyk tot tweemaal toen verdwijnen , Die Europeer die in Abduls gul geraken , Hier hebben , gelijk gei weten , zijn landen en God verzaken , Of om ( zij al wensen ) rijkdom te bekomen , te minst hier in schijn een God hebben aannemen : ik weten die Batavia hij tweemaal hebben zien verzoek haar gul en Abduls dienst aanbien ; ik weten die nederland krygsvolk ontboon uiten al land Een leger vinden gewicht uitmaken op Java's strand ; En die Batavia wapend bij dagge en nacht , Zonder in krijgen te zijn mede enig Oosters Macht .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1985.s.1	mare waarom Agon niet , eer hebben gevaar komen nader ...	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2034.s.1	Ik weten genoeg voor ik , niet genoeg voor ik Vader ; gei weten die Agons harden zode zwak zijn voor die zoon die hebben onnodig zijn die ik hij gissing tonen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2034.s.2	En het zijde hebben nieuw verbinden , nog niet geheel sluiten Abdul verplichten om zijn geheim nog niet t ' ontbloten , het zijde doen voorwaarde zijn vinden deze heilloos Verdrag die ik wij hier mare zullen waarschuwen mede doen slag ; Abdul scheiden mede dulden zijn Vader aan te horen En het deel vinden hebben rijk zijn wees niet te storen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2034.s.3	mare wild het gouden openbaard al geheimenis , En al bij die Volk voor gelden te krijgen zijn , hebben ik doen nodig maatregulen nemen , Om vinden Batavia zekerheid te bekomen Wat Steenwyk daar verrichten , en waarom zonder node doen Rhee zien dagelijks toen takel zij vlieden ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2034.s.4	En ik hopen nog vragen genoeg hebben antwoord te ontvangen Voor Agon , het Bantams rijk , en u en ik ' belang .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.2042.s.1	camoeni , aan Hassan	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2051.s.1	EEn vinden u slaaf die reizen hebben al doen nacht hebben rijden een kort staan in u Paleis wachten , hij zegd u zijn bekennen doen rijden vinden verschonen Waarom hij zich alhier op het Hof niet komen vertonen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2066.s.1	deze zijn waarschijnlijk doen langen verwachten manna , Die ik doen nodig bewijzen geven kunnen : te zijde , voor d ' eerst malen , hebben gouden mogen ondervinden die hebben Batavia's geheim niet kunnen ontbinden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2066.s.2	Ik gade , en hopen in het korten ik Vader te doel zieden , wij vinden zijn zoon , zijn willen hebben meest zoeken te eerbien .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2096.s.1	IK zien die ik wel haasten die rover zij befnuyken , zo ik in Indien weten hebben gouden wel te gebruiken , En latende te zijde onnut dapperheid die Volk altijd bevochten door haar gierigheid : doen ondervinding leren , die gouden zijn het enig ' wapen zijn voor Natuur bij zij geren middel hebben scheppen ; En alles een tegengift in ons hand geven Tegen het geducht stalen voor het welk hebben Oosten beven ; En zo ik in het beginnen die wegge hebben inslaan Misschien , geren Vorst in het oogst , die keetenen zij dragen ; En door het gouden wel besteden , zij elk wezen zijn vrijen , Goedkoper , alles heen nu kosten haar slavernij ' .	None
hare003agon01_01.TEI.2.text.body.div.div.stage.2101.s.2	Abdul .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.2103.s.1	abdul	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2117.s.1	MEvrouw , ik hebben langen gewenst naar zulk een dagge alles heden , naar een dagge die ik zij aan u bevalligheeden kunne te zelf tij aanbieden Abduls hand En daar bij Bantams Kroon , en d ' Oppermacht vinden het landen , hebben ongelijk vinden het loten op deze wijze ' vergoeden , En uw voor onheil in het toekomen behoeden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2117.s.2	gei weten hoe die ik harden hebben , vinden ik ' eerst jeugd , altijd bij Fathema vinden al zijn vreugde .	BodyPart_Desire
hare003agon01_01.TEI.2.text.body.div.div.sp.2127.s.1	ik heer , ik Vader hier vluchten uiten syne land hebben Fathema stellen in uw vader hand .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2127.s.2	En het zijn vinden hij allee die afhangd mijn hand .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2127.s.3	mare mede ik hand gaan ook ik haten en wraken verpanden .	Emotion_Hatred_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.2138.s.1	Ik kunnen niet denken die Fathema's zacht zede Niet altijd luisteren naar doen gezond rijden ; die in zij ongeval doen staan vinden het gans oogst , Aan zij niet strekken zij tot voorbeeld , of tot troosten .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2150.s.1	hebben Maccassaarsche bloeden , voorheen in het oogst zode machtig ; zijn altijd d ' Adeldom vinden zijn slachten indachtig ; En week kronen nu hebben loten aan ik ontvreemden , leren , die Fathema nooit voorbeeld vinden ander nemen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2150.s.2	doen Vorst , die ik Gemaal of die ik Vriend willen wees moeten voor Batavia en Holland nimmer vrees : Die voorwaarts ' zijn doen eest ' zijn op ik harden zich geven .	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.2166.s.1	ik geloven die niemand , minnen alles ik , voor Holland beven .	Fear_BodilyProcess
hare003agon01_01.TEI.2.text.body.div.div.sp.2166.s.2	En tot hebben winden vinden een harden vinden zode velen waard , slaan gei aan Abdul voor doen licht zaak op aard .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2166.s.3	tonen lief aan ik harden , het geren voor u schoonheid branden , Iets die mede meerder roemen verdienen kunnen u hand , Daar ik uitblinken kunnen tot nut vinden uw zaak En ik Fathema's harden mede glorie waardig maken .	BodyPart_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.2210.s.1	komen aan , en zode ik harden u zijn vinden enig ' prijs , geven ik dan vinden u Liefd ' hebben zeekerste bewijs : zweren hier , en roepen mede God zijn profeet tot getuige , die Bantam , onder uw , voor Neerland nooit zullen buigen ; die gei , te al tij getrouw aan mijn haten , zullen eeuwig vijand zijn vinden Hollands macht en staan ; die het allereerst werken vinden u zwaarte , en u hand , zullen zijn Maccassars rijk te ruk uiten zij band ; die gei het geheel oogst , uiten syne laf rusten wekken , zullen voor ik wraken doel vechten op deze ' kussen Tot gei Batavia verbranden in haare wal , mede zij kasteel verwoesten voor ik zullen neer doel val ; die ik op doen roken ' als vinden het pragtigste Gebouw kunnen trap op hebben harden vinden doen voornaam Vrouw , die ik doen hond het bloeden vinden Indiens rad zien drinken , En dus Fathema's wraken in het Oosten mogen uitblinken !	Emotion_Hatred_Love_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.2210.s.2	En geven ik dan doen keuren t ' ontvangen uw hand Of op die bloedig puin , of op Samboepo's stranden , Of mijden in het gekerm de westers barbaar , Of onder het blij gejuich de vrijen Maccassaaren !	Fear_Joy_Emotion_EmotionalAction_BodilyProcess_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.2232.s.1	Indien Fathema zij ' en ik ' belang zoeken Misschien die zijde zij rusten door zacht middel kogt .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2232.s.2	Ik denken die ik vergeefs , hebben geren zijde vergen zij pogen , Al komen het geheel oogst wapenen voor zij ' oog .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2232.s.3	doch wachten niets vinden die kanten : hebben oogst zijn niet meer vrijen , En zijn allee bedacht om zacht slavernij ; Batavia's kasteel hebben Indien doel bezwijken , En het zijn geren schande meer voor Hollands macht te wijken .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2232.s.4	mare ik vrezen die Hassan's hand u goed aan moeten staan , wild gei het onmoogelyk aan Abdul kunde voorslaan .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2245.s.1	wij Abdul in ik harden ook aanzien mogen te vrees hebben zullen nog nu , nog nooit , een slaaf vinden Holland , wees .	Fear_Emotion_BodyPart
hare003agon01_01.TEI.2.text.body.div.div.sp.2245.s.2	En ik hebben ik wel wachten aan u ik hand t ' aanbien , zode ik in het zeker niet u antwoord hebben voorzien .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.1	HOvaardige prinses , u harden zullen zich beklagen die gei u haten , u wraken , u moede zode oog wild dragen !	Emotion_Hatred_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.2	Misschien die u haasten rouwd hebben weigeren vinden ik hand , Indien ik nieuw verbinden komen zijn tot staan , En zode mare vragen genoeg doen helpen daar ik op rekenen doen onrechtvaardigheid vinden Agons harden komen wreken .	Emotion_Sadness_Vindictiveness_Remorse
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.3	hebben wassen dan niet genoeg die ik Hassan zij zieden Een groots delen vinden hebben rijk , en vinden ik erve , gebieden , En die ik Vader durven , tegen all ' ons weten , Tartassa's Kroon op het hoofd , vinden ander alles ik , zet , Fathema en zij rechte vermeerdren Hassans delen alles of , Bantam allee , voor ik nog wassen te velen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.4	En Hassan zullen ' aldus , misschien in kort jaar vroeg bij Java's kussen hebben rijk de Maccassaaren !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.5	zijn rijk , zijn gouden , zijn macht , zij boven mijn gaan , En Abduls loten aan hij en aan Fathema staan !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.6	Dan lief duizendmaal in Hollands weten leven , alles hier voor Fathema's en Hassan's hoogmoed beven !	Fear_BodilyProcess
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.7	mare , helaas ! ik weten nog niet in deze droef dagge Of ik op Hollands helpen in het zeker reek'nen mogen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.8	Steenwyk komen niet wederom !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.9	welk ' moeten doen rijden wees ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.10	hebben ik ook vinden zijn kanten verraderij , te vrees ?	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.11	hebben ik ook bij geval een dwaalinge begaan , En ik te velen vertrouwen aan die Europeaan ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.12	zij hij ook mede hebben gouden reizen zijn in zijn hand , Niet naar Batavia , mare naar Europa's strand !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.13	mare neen , hij komen daar aan ,	None
hare003agon01_01.TEI.2.text.body.div.div.head.2305.s.1	zesde toneel	None
hare003agon01_01.TEI.2.text.body.div.div.stage.2307.s.2	Steenwyk .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2315.s.1	ACh , al te wreed Vriend , mede welk ' loomheid hebben gei ik ongeduld dienen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.2317.s.1	Steenwyk	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2331.s.1	Ik hopen , wanneer ik Vorst het verhandelen zullen weten , die hij zijn ongeduld en gramschap zullen vergeten .	Emotion_Annoyance
hare003agon01_01.TEI.2.text.body.div.div.sp.2331.s.2	Hoe zeer ik vinden ik kanten hebben al spoed maken zijn het echter gisteren mare die ik zijn klaar geraken .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2331.s.3	En zonder het meerder gouden door uw aan ik zenden wassen er geren hopen wezen voor helpen en tot verbond .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2331.s.4	wan elk bedienen ' aldaar , hoe die hij zich ook hout Mind wel doen Compagny , mare mind nog meer hebben gouden .	Emotion_Greed
hare003agon01_01.TEI.2.text.body.div.div.sp.2337.s.1	mare hoe liggen hebben verbinden ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.2339.s.1	steenwyk	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2350.s.1	gei zullen helpen wees En hebben hier voor altoos vinden Hassan niets te vrees .	Emotion_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.2350.s.2	Hassan's vermetel harden zijn daar rijden niet beminnen , En gans Batavia zijn voor u meer gezind .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2350.s.3	ik haten die dapperheid betoond aan muitelingen , Nog boven maat vergroten door laf vluchteling .	Emotion_Hatred
hare003agon01_01.TEI.2.text.body.div.div.sp.2364.s.1	mare weten gei die deze ' dagge verergerd hebben doen zaak , En nog vermeerderen hebben doen reden vinden wraken ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2364.s.2	weten gei die Agon ik Fathema durven ontroven , En , mede Tartassa's Kroon , zij aan Hassan belooven ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2364.s.3	Niet die ik harden zich stoord aan het verliezen vinden een vrouw , mare gei weten week macht ik op zij ' recht bouwen ; En die Batavia , door uw , ik hebben doel hoop die ik mede Fathema te minst ' een rijk zij kopen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2400.s.1	Ik weten allee het geren ik bij ik komst zijn verhalen die Agon deze dagge tot d ' afstand hebben bepalen ; mare gisteren hebben een vlieden Batavia verlaat , Die nu rijden wees moeten in zicht vinden Agon's staat , En zode doen winden en stroom niet merklyk tegen zijn zijn die voor Bantam eer doen zon in het west schijn .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2400.s.2	Die vlieden brengd herwaarts aan doen nodig bevel Om Agon te verbien zijn rijk te verdelen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2400.s.3	En bieden aan Fathema , mits zijde u ' geev ' zij ' hand Een vinden zij ' kronen weer , op het rijk Celebes stranden : En om die weten hier te hoed voor het verachten , zijn op die vlieden gescheepd doen nodig Krygsmachten , En St. Martin , beroemd door harden en door verstaan , komen en alles Veldheer hier , en ook alles Afgezant .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2400.s.4	deze zijn het geren ik voor u hebben weten te bezorgen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2400.s.5	mare wild doen vlieden misschien niet komen zullen voor morgen , zijn het nodig die ik Vorst op heden mare tij winden , En , zode hebben moog'lyk zijn rijden tot uitstel vinden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2422.s.1	Ik zullen te zijn tij ik dankbaarheid u toon ; Ik zullen Steenwyk zijn trouwen en ijver dus belonen die nimmer op deze ' kussen enig ' Europeaan In rijkdom en in macht hij zullen te boven gaan .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2422.s.2	mare ik hebben zijn wijze raden nu meer dan ooyt vinden nood doen groot vinden hebben rijk zijn rijden op het Hof ontbooden , En elk vinden zij waard hier all ' ogenblik verwachten ; Daar kunnen geren middel meer tot uitstel zijn bedacht , Wat nu braden ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2437.s.1	vinden daag zode het nodig zijn te veinzen , Te dekken voor hebben ogen al wat u harden kunnen peinzen ; Wat ook Agon u vergd mare willig toen te staan , Morgen zullen al hier u weten ondergaan ,	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2442.s.1	mare alles die vlieden vertrekken , die hier nu staan te komen , hebben ik , en Hassans woeden ' en Agons wraken te schromen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2457.s.1	vrezen niet , Sulthan , deze zijn ook al rijden voorzien : Agon zullen naar het vertrekken de vlieden wel hier gebieden , mare op die Abdul hier zich zeker mogen vertrouwen , zullen ik voor zijn verblijf alhier een kasteel bouw ; En door bezetting , die aan u gebied zullen zijn , zijn gei Heer in de daad , en Agon mare in schijn .	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.2461.s.1	Een kasteel bouw hier ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2461.s.2	Agon zullen het nooit toestemmen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2467.s.1	Europa's moede en kunst zullen Agon lichtelijk temmen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2471.s.1	mare zode Agon weerstaat , zode zijn onbuigzaam harden ...	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.1	Dan moeten hij aan zich zelv ' toeschrijven syne smarten .	Emotion_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.2	En , zode ik hebben zeggen mogen , alles deze u geest kunnen storen , Dan zijn en mijn moeite ' en mijn reis verliezen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.3	zode gei mede Agon's haten , en Hassan's hoovaardy , Fathema's honend ' ogen , en uw slavernij Te vreeden waard , waarom dan uw bondgenoot Genodigd om alhier hebben hoofd te komen stoten ?	Emotion_Hatred_Pride
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.4	Die heersen willen moeten ook reden zijn al uur Te trap onder voeden het vooroordeel vinden Natuur .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.5	Die vlieden voor zij vertrekken zullen hier een kasteel zet , het geren staan zullen onder u ' , of onder Hassans weten , gei kennen Hassan genoeg en weten of syne moede zich steurd aan het geren het gemeen noemd band vinden hebben bloeden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.6	zode ras Hassan mare weten Batavia's bevel , En die Agon nog nu , zijn rijk , nog nooit mogen deel , die hij Abdul het aanbod vinden Holland zien afslaan , nemen hij het op staandevoet en zonder omzien aan : Batavia en hij vereend zullen niet vragen Of deze aan Agons harden genoegd , of kunnen mishagen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.7	Ik spreken niet vinden ik selv ' , mare ik weten welk ongeval , Aan Abdul , en daar naar ik ook gebeuren zullen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.8	wan Hassan meest hier , zullen in het korten doel berouwen Al wij op Abduls gul stellen heefd zijn betrouwen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.9	En Abdul's loten , om die hij d ' eerstgeboren zijn , zullen zijn , op het allerminst ; eeuwig ' gevangenis !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.2528.s.1	Abdul	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2541.s.1	Hassan hier meest zijn !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2541.s.2	ik vinden Hassan afhangen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2541.s.3	En naar zijn willekeur , of vrijen zijn , of gevangene !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2541.s.4	zode iemand hier ik rechte vinden eerstgeboort ' verkorten , wij weten welk bloeden ik hand , en kris , nog heden storten !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2541.s.5	Hassan hier meest zijn !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2541.s.6	gei doen ik oog openen , Ik hebben twee prikkel om ik behouden te kopen , doen Heersch-zucht , die toelaten die ik doen weten schenden , En doen noodzakelijkheid , die gene weten kennen !	Emotion_Greed
hare003agon01_01.TEI.2.text.body.div.head.2547.s.1	Derde bedrijf	None
hare003agon01_01.TEI.2.text.body.div.div.stage.2551.s.4	Ibrahim .	None
hare003agon01_01.TEI.2.text.body.div.div.stage.2553.s.1	Javaanse groot aan Weerzyden	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.1	ik hand hebben vijftig jaar bestieren deze ' koninkrijk En vijftig jaar het wellen vinden uw grens , doel wijken , het zijn tij die mijn Kroon verciere een ander hoofd , het Welk u een nieuw geluk , of duurend ' rusten beloofd .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.2	doen kracht vinden ik geest mogen nog ietwes schijn , gei zien hoe blykelyk die vinden het lichaam verdwijnen , Ik veel hoe lang hoe meer wat d ' Ouderdom vermogen , En d ' Engel vinden doen Dood naderd vinden dagge tot dagge : hij waarschouwd ik doen tij vinden d ' eeuwigheid te scheiden , En ik in stil rusten tot syne komst bereiden , hij wijzen ik die een vragen die ik t ' antwoord staan , zijn , hoe ik vinden ik rijk , en hoe ik hebben verlaten .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.3	u vader aanzien u verhalen lang week weg u Vorst uiten Ballingschap zijn op de troon stijgen , En op welk wijze ' door zijn ' en hun dapperheid wij welvaart en wij macht rondom zijn uitbreiden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.4	deze rijk het geren voor ik tij in duister scheiden te zinken , zien nu zijn naam in het oogst mede zode velen lustre blinken die Bantam zijn vermaard , vinden daar doen profeet rusten , Tot daar doen Khoran liggen doen Ternataansche kussen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.5	Tartassa's rijk , wel eer voor Bantam zode te schromen , zijn door ik wapen in Bantam's macht komen : doen fier Keizer , die zich Heer vinden Java noemd , zijn blij , die hij mede reden op Agon's vriendschap roemen : doen Hollander , die het oogst geheel zoeken t ' onderbrengen , En vrijen in Holland , hier geren vrijheid willen gehengen , wie vlieden in d ' Indien begeren hebben hoogst gezag , hebben mijn Wimpel nooit zieden strijken voor zijn Vlag ; En al die christen die door zode velen gevaar , Op hopen vinden veulen gewin naar ons land varen , aanzien in ik gebied zij twist niet brengen , En zij ' onrustig ' aard eerbiedigd mijn macht .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.6	ik hebben meer , ik hebben durven hier ontvangen in ik staat doen Dochter , vinden een Vriend door doen Fortuin verlaat , alles het Maccassaarsche rijk , door Speelman's wakker hand , hebben moet zwichten voor het geluk vinden Nederland : En hoe zeer deze ook mogen Batavia mishagen , Batavia hebben deze , en zonder klacht , verdragen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.7	Die praal , en die geluk , koomd , vinden die nooit tweedracht hebben sedert vijftig jaar alhier verzwakken doen kracht , En zode doen Eendracht mare op deese kussen kunnen blijven zullen macht en welvaart hier nog daag'lyks meer beklijven , En ik mogen ik vleien die ik stervend ' ogen zullen zieden ik kind alhier mede eer en roemen gebieden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.8	doen Hemel , die aan ik twee zoon hebben gelaten , hebben ik gelukkiglyk bedelen ook mede twee staat : Bantam zijn vader erve , Abdul die zijn u delen ; Hassan , Tartassa's rijk zijn het u , mare niet geheel : u Vader hout voor zich die plaatsen , en die gehugten , Daar hij het gewoel vinden het Hof zode dik werven zoeken t ' ontvlugten ; En daar hij nu verhopen die niets zijn stil vreugde zullen storen , alles het geroep vinden syner zoon deugd !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.9	imam , liggen daar hebben Boek , het geren uiten de hemel zaal Door god profeet voor wij zijn komen nederdaalen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.10	zijn voor elk Musulman doen diep eerbied hebben , En doen meinedig te al tijd beven !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.11	treden nader mijn zoon : beloven hier bij doen groot , die nooit d ' ellendig bij uw zullen zijn verstoten !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.12	die God , en deze weten nooit uiten u harden zullen gaan !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.13	En in u harden , naast God , altijd doen eendracht staan !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.14	die gei , elk in zijn rijk , d ' inwoner zullen regeren naar weten en naar rechte , en niet naar u begeren !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.15	zijn gei te vreeden ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2686.s.1	Ik volkomen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2713.s.1	En ik niet : ik Verzoek eest en vooral die gei behouden het gebied ; En zode gei weig'ren mogen om hier toen te besluit , die elk vinden wij zich mogen in deze woord uiten , ik Ontvang ik vader gift mede danken , mare ik bekennen die ik ik vader gul en Kroon onwaardig zijn , zode ooyt enig verbinden , door , of voor , ik sluiten ik Broeder uiten zijn rijk of erve hebben uitstoten !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2713.s.2	zode ooyt mede ik toezeg een nederlands waal , ik Vader , Broeder , het rijk , of Bantam dwingen zullen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2713.s.3	Abdul zijn gei reden om die eed af te liggen ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2717.s.1	Ik zijn .. reden .. te doel .. hebben geren Agon zullen zeggen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2730.s.1	Abdul , gei schynd verbaasd !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2730.s.2	Hassan wat zijn die eed ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2730.s.3	Welk Nederlands verbinden , of waal zijn hier reden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2730.s.4	spreken Abdul , denken die gei , mede lang hier te zwijgen , doen zwaar agterdogt zullen tegen uw verkrijgen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2743.s.1	ik bekennen opregtelyk die deze ' beschuldiging mede d ' allervreemste schrik ik harden en ziel bevangen !	Fear_Emotion_BodyPart_BodilyProcess
hare003agon01_01.TEI.2.text.body.div.div.sp.2743.s.2	ik hebben tot ik ongeluk , meermalen rijden te voorn , doen snood lastering vinden Hassan moet horen , mare ik hebben nooit vrezen , en nog velen minnen denken , die zijn ' haten of zijn ' woeden ' hij zode ver ' hebben brengen !	Emotion_Hatred_Anger
hare003agon01_01.TEI.2.text.body.div.div.sp.2743.s.3	Helaas !	None
