hoof001gran01_01.TEI.2.text.body.div.head.885.s.1	P.C. hoofd GranidaSpel	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.6	Al doen dienstwillicheit geveinsd de edellieden zijn ik zo velen niet woerd ; wan deze die betonen zijn heusheid , niet uiten hopen vinden die te zien belonen : te hof , op hopen vinden lot , zijn het aanschijn vol genegenheid , mare hebben onheus moeten vol onwillig tegenheit .	Emotion_Hope_Love_Benevolence
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.7	Ghij , groots prins , die door u uitheems plegen verwondering zoeken bij het volk , om vinden hebben hoog slachten de god afdalen te schijnen , u cieraeden , u scepter , kroon , en u purperen gewaad En manen uw niet zo grootachtbaer aangezien , alles doen natuire maken een laech-geboren , die - het haar lusten , om liefelijk doen wereld te verbazen , Een edel geest in't harden en in't gezicht te blazen : En sieren hebben aanschijn vol vrolijckheden zoet mede deftigheid mengen , vinden hoofd tot doen voeden Besprengend ' overal doen welgemaeckte lid mede goddelijcker glans alles prinselijk cleden .	Honor_Emotion_BodyPart_Wonder
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.8	gelijk d'eerwaerde zon zijn bij wij aertsche voeren , zulks zijn bij d'arme kunst , doen kunst-rijcke natuur .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.9	Wat handen hebben ooit haar zo vernuftig merken laat die zijde , bootseerende doen koninklijk vatten , vormen het gewrochte goud in aerdiger manier , alles doen natuur de sculp , daar ik uiten drinken alhier ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.10	Dan het hof en zien niet schoon in ding licht-vercregen , natuur gebod dienst zijn hebben onwaert en tegen ; mare ghij , eenvoudig volk , ontvangen haar gaaf rijk mede openen arm , en gebruicktse danckbaerlijck .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.11	vs. 365 -368 Ghij lodderlijcke Nymphen zoet , Die nauwelijks een rosen-hoedt Om gouden kroon soudt geven , Hoe wel lusten uw u leven !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.12	u lust zijn uw alles een weten , u lonken zijn een tij-geset , u kouten zijn vrijage , u min zijn boelage .	EmotionalAction_BodilyProcess_Love_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.13	doen schaduw die doen kuil helen , waarin ghij u genoechjens stelen , En soudt ghij niet verwinssen , Om schaduw-throons vinden Prinssen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.14	Wanneer ghij aen doen rei goed , En die hebben schalk lietjen raden hebben diep vinden u gepeinsen , Hoe kwalijk cundt ghij veinzen !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.15	mare zo het u lief niet goed kan , En tonen uw die zijn hart , vinden - u hartjen zijn drijven , Wat isser om te geven ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.16	zo ruilden ghij die deuntjen niet Om avondt-spel , of morge-liedt , die , voor prinses deur , haar dun slaap komen storen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.17	Een appel , die mede gunst groots u boeltje werrept in u schieten , daar om soudt ghij versmaden zijn hof tafel-overdaden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.18	alles vinden u lief melden wereld , zijn t'uwaerts overgegeven harden , zo zijde ghij goed te vrede , alles prinssen aanbidden . het eenvoudig leven haylich , , leiden Ghylien in vrede ' en vaylicheit , u vrijheid goed te boven doen schijn-wellust de hof .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.stage.2002.s.1	rijden vinden juffer	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.2095.s.1	rijden , granida	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.speaker.2097.s.1	rijden	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2109.s.1	ik vrouw , God zijde danken die ghij wij hier ontmoeten . het gezelschap zijn een delen te paard , een delen te voeden , verstrooid om zoeken na uw op bijzonder straat , En haar by-eencomst zijn daar ghij wij hebben gelaten , In het naast dal , en zijn enten karn al misschien .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2113.s.1	En het wild ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2117.s.1	gevangene zijn , ik vrouw , en zullen hebben zien .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2149.s.1	Daifilo , beiden wat , hoe ? het en goed te hof niet toen gelijk ghij uw laat veurstaen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2149.s.2	En wild zo liggen niet doorgaan mede die uw wel gevallen ; horen hoe Palemon calt , Die zeggen die hei verdoorde , doel hij doen lusten becoorde vinden het hof te volgen .	Emotion_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.2149.s.3	hei menen , gelijk alles ghij , die heusheid zoet vinden zede , vriendschap , en weelde mede daar wassen in overvloed , gelijk doen rijkdom doen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2155.s.1	En alles hei het komen te proef ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.1	doen vinden hei mede bedroeven , die daar die ding zijn Niet ander alles in schijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.2	Wat sneuvel ( zeggen hei ) och wassen voor ik groen jaar , alles ik ik zoet buurt , en vrijheid laten varen !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.3	En dienst ghing te hof ; ik menen het wassen al klaar - goud dat blonck , mare het zijn een momme-vollick daar ; hebben aanschijn vol sachtmoedicheits , het gemoed vol fel woedicheits , Een minnelijk gelaat , het harden vol vinden nijd en haten ; Saechdij doen visser ooit , om licht doen vis te trek , de scherpen angel-hoeck mede lockend aas bedekken ?	Emotion_Hatred_Envy_BodyPart_Other_Benevolence_Anger
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.4	rechte goed hebben zo te hof .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.5	doen dienstbaarheid , die zijde zo mild uw bieden aen , zijn lockbedriegerij : haar dienst , en hullep strekken mare om uw te verrassen mede onvermoed slag , en door u vallen te zijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.6	oprecht vriendschap , Godts-vrucht , onbevlekt trouwen , veilig ' onnoselheit , recht-uitheit zonder vouw , waarheid vinden woord , goedicheit , worp daar voor kleinmoedigheid , Voor slechtheid ijl verachten , Beguigelt , en belacht . het zijn al geveinsd te hof wat ' er zien vertoog , geveinsd zijn haar gelaat , geveinsd haar mond , haar oog , geveinsd haar Godsvrucht , gunst , haar vriendschap en haar vrede , En g'lijck haar deugd zijn , zo zijn haar weelde mede .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.7	Wanneer doen hoveling Een vrolijk liedtjen zingen , het en zijn vinden vreugde niet , mare het zijn , om hebben verdrieten daar het harden af worden verbijten , Een weinig te vergeten .	Joy_Emotion_BodyPart_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.8	haar lachen zijn vinden spijt , Of het duren doen kort tijd een oogenblix , tot die zijn gemoedts staedige plaag , Die het weer uiten hebben harden , het ook uiten hebben aanzicht jagen .	Emotion_BodilyProcess_Remorse
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.9	wat al de wereld lusten alles het harden niet zijn rusten ?	Emotion_BodyPart_BodilyProcess_Other_Desire_Trust
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.10	Hierom , Daifilo , staken u opzet voornemen , Ghij weten waar die ghij zijde , mare niet waar ghij zullen komen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.11	Die wel zijn , blijven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2239.s.1	ja , mare Of ik niet wel en waar , Of of ik goed winst ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2250.s.1	zo soudij doch te minst hebben hof niet volgen , dan slaan iets wat ander an zonder hebben groen woud en deze landouw te laat .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2256.s.1	ja Dorilea , ghij nog al Palemons praten En zullen ik meer zijn raden doel volgen dan zijn daad .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2273.s.1	zo mogen hebben uw wel gaan gelijk hebben hij nu goed , Die na het verdrag vinden zo velen slaevernij en snootheit , alles hei verwachten het lot vinden ingebeeld grootheit , zijn wijze worden die zijn hopen niet wassen dan wind ; En claecht , nu het ommecomt , die hei zien zelf vinden In plaats vinden een jong hoveling worden een oud schoveling .	None
hoof001gran01_01.TEI.2.text.body.div.div.head.2277.s.1	Tweede delen	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.1	Hoe aangenaam zijn in een schonen lichaam doen deugd !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.2	Hoe liefelijk heusheid in doen geren die mogen gebieden !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.3	En ghij die het goed doel lusten , daar ghij wel kwaad doel meucht , Hoe heerlijk zijn de straal de goedheid in ulieden !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.4	Hoe velen schoonheid hebben doen schoonheid t'saemgeveucht Eer s'haer vernoeghen laten aen het schonen vinden een Granide !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.5	nul schoon zon , alles ghij verscheent in ik denken , doen leren ik de dag die ik in duistre nacht , mede vlies overschaduwen zijn ik oog beide , Bij het rookrich liggen een lamps ik dromich leven lei .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.6	wan alles begeerlijckheit in eigen lusten verblind , Die schoonheits lichaam meer alles lichaam schoonheid mindt , ik tot vereniging vinden aertsch mede aertsch doen pooghen doel suiverde uw glans doen dickheit vinden ik oog , optrekken ' haar gezicht tot uwaerts , waar door ik ziel kennen ' haar waerdij , pogen mede haar een te zijn ; Al zullen zijde , klein mug , om in glans te verwanderen , Vliend ' in doen zon mede die verenen door het veranderen .	Emotion_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.7	mare belcht u schoon ziel haar die ik ziel kleed Altevermetel pogen mede uw te wees een , zo zullen doen willen ik ziel in alles mede d'uw gemeen , , zijn behalve in ( die zijde niet kan ) niet wil een , , zijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.8	zijde willen al wil die gij wild , die kan zijde niet , zonder haar eigen dood , zo langen ghij het haar verbieden : mare gaefdij haar verlof , en wild ghij die met , zo maken liefd , en weerliefd wij vereende wreed ; die zullen doen vriendschap zijn waar na ik liefde trachten ; Dan vangen ik die ik jagen ; doch alhoewel ik jachten zijn zonder hopen vinden vangst , nochtans ik lusten te taal , , vinden - Naebij te volgen het geren die ik niet achterhalen , , kan .	Emotion_Hope
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.9	Hoe kwalijk vatten ik zelf ik eigen ziel beroer !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.10	ik hebben doen waarheid , mare ik hebben haar aen een snoeren , En zijde vliegen ommendom mede haar snorrende vlerk , tonen ' een ander zijden ' , eer ik wel d'een kan merkel .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.2365.s.1	tisiphernes , daifilo	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2401.s.1	hout , Daifilo , te hoog !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2401.s.2	mare zien , hier komen ik heer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2401.s.3	Hoe onbekend voor ik wassen deze nader wel eer !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2401.s.4	mare om aen het geren die ik behagen weder te bedragen , moeten ickse lederen , mede dienstbaarheid te verdragen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2401.s.5	Een ander zoeken om winst te dienst , en ik lei Om gaarne dienst te doel ongaarne slavernij .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2401.s.6	ik zoeken geren ander lot vinden dienst , alles dienst ; ik leven Granide , tot u dienst ik over hebben geven : deze Prins te dienst schijnen om daar te raak an hebben naast middel , wan worden hei u echt manna , ik worden ' u staag slaaf , en krijg ik hopen door deze ; En mogen ik uw niet zijn , ik zullen dan d'uwe wees .	Emotion_Hope
hoof001gran01_01.TEI.2.text.body.div.div.sp.2406.s.1	zien hier doen dienaer daar ik ik goed op vertrouwen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2406.s.2	Daifilo ' , horen hier .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2410.s.1	ik heer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2448.s.1	goed knielen voor ik vrouw uiten mijn nader , en melden , die ik door het vier drijven het welk stag hoochaerdich klimmen , en walgen vanden dalen , In deze barsten ontfonckt vinden haar schoonheits straal , de kroon vinden pers eisen voor ik , om haar te geven .	EmotionalAction_Other_Dedication
hoof001gran01_01.TEI.2.text.body.div.div.sp.2448.s.2	Indien die zijde , dewijl ik eindelijk bescheiden Op ik verzoek verbid , vinden zijn conings mogendheid , Een windeken vinden gunst laten in haar hart wade Tot mijwaerts , het waar een wenk voor zijn hemel god blij , waarop zijde passen zullen het geluk tot ik vinden duizend aengesichten het lachen doel draad .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2448.s.3	bidden haar ootmoedelijck , die zijde daar het al aen staat , vinden ik vernederen harden haar deze ontsmeken laat .	Emotion_BodyPart_Other_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.2448.s.4	goed heen , ik gaan te hof terstond de koning spreken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2507.s.1	Aen ik dienstwillicheit , ik heer , zullen niet gebrek .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2507.s.2	ik ijverighe moed , door moeilijk kwel vinden langen vertoeven , zijn zat vinden uitstel op uitstel ; En ik gedachte , die te toppen vinden eren strekken , Cunnen uiten ijdel hopen niet lang voedsel trek ; die deze dag de draad ik hoops in stuk kort , Of ik vergelden het bloed mede ruimte uitstorten In dienst vinden hebben rijk ; voor zo velen zwarigheid , Voor arbeiden , lijfs-gevaer , voor oog en liggen lijden , ik loonende ( na eisen vinden zaak uitgerecht ) mede zijn Conings hoogst gunst , en doen Prinsses te echt ; Op die doen pers zien , wij , alles de Conings dag verlopen zulle zijn , doen groot kroon zullen dragen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2507.s.3	doen raden zijn al vergaren , het zijn tijd om in te treden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2507.s.4	Ayme , wat zoetigheid vloeien ik door al ik lid !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2507.s.5	ik voorbarig ziel haar wentelen in het verheugen , Al eer doen zin haar die mededelen mogen , En lopen haar boon voorbij onlijdsaem vinden vertoeven , waar door ik vreuchd genieten al eer die ickse proeven .	Joy_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.2507.s.6	hemels Venus , drijven ik tong door uw goedicheit , die ik uitdrukken mogen hebben minst vinden ik ootmoedicheit , vinden d'overgevenheit ik hard tot haar , en vinden D'eerbiedicheit , die niet alles haar verwondren kan .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.2509.s.1	koning , ostrobas , tisiphernes	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2569.s.1	loffelijk Prinssen , tot nog toen hebben ik gelaten Yemandt te noemen , die ik dochter huwelijk waard sijnd ' , aenvaerden mogen doen breidel vinden deze rijk , En heerschappij vinden zo velen verscheiden staat ; Om d'ingeseten door voorzichtig kloek beleggen Tegen uitheems geweld zorgvuldig te bewaren , En voor ik na het verloop vinden ik slippen jaar , Te stier mede ontzag , en mede lieftallicheit .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2569.s.2	D'oorsaack , nul Tisiphernes , die ghij niet en trouden Te saemen overlang , na u verdienst en wens , zijn niet die ik ontken , ik grootmoedig Prins , Hoeveel deze koninkrijk zijn in u deugd houwen ; mare het zijn die Ostrobas , vinden hoochverheven stam , wie vroomheits lofgeclanck verdoofd al zijn wereld kant , deze ook door brief op brief , gezant op gezant , verzien hebben tot nu toen die hei hier zelf komen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2569.s.3	wij deucht-vruchtbaere tijd hebben , schijnen hebben , wil dragen Twee mennen even groots vinden achtbaerheit bij ik , de een in verdienst , de ander in waerdij , de welken even zeer ik wens te behagen ; mare die en kan niet zijn ; nochtans ik boven al Niet meer op d'eene zijde ' , alles d'ander zijde ' zullen hel , mare ik begeren die ghij , in het vrijen metgezel , komen overeen wij die de ander wijken zullen .	Emotion_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.2569.s.4	Een ieder doen de ander blijk zijn rijden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2569.s.5	doen bestgegrondste winnen , doen zwak willig wijken , Of die hebben loten uw schey ' zijn u reden gelijk ; zo blijven binden hebben rijk in rusten , buit in vrede .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.1	Hoe nu ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.2	Een onderdaan , een slaaf die doen voochdij vinden hoog weten dwingen , gelijcktmen die bij ik ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.3	Bij het bloed vinden Arsaces ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.4	wie grootheid hoog rijzen doen partij , zijn wereld vrezen , allee ontzien en vrees ; doen Prins voor wie geweld d'opgaende zon zwichten , En nauw zijn vrezen ontslaan alles hei zijn hiel liggen .	Fear_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.5	de donderen vinden ik nader zullen pers die versmaden Tot-dat hebben zien en voelen , doen bliksem vinden ik daad ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.6	ik wijken ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.7	ja , zo wijken doen Nijl wanneer hei vlijt mede onbetoomde lopen , nog letsel aen en zien Wat hei vinden inde weech , verslepen boschage ' en dijk !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.8	Puinbergen ophopen vinden uitgeroyde rijk Die zulle ik de weg baan tot hoocheits toppen daar ik gemoed na staat , en om te klimmen op de troon vinden ik opzet , zulle die zijn doen trap .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.9	En of de Hemel vallen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.10	ik salder overstap , Eer zijn getuimels drang ik streng moed verdrukken : hei spuwen zijn kracht uiten , en het bulderen geluk klateren vrijen mede zijn zweep , het zullen ik geren vrezen in prent ; ik trots zijn geweld , en puffen zijn dreigement .	Fear_Emotion_Happiness
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.11	mare ghij , nul teder pees , wat stadij na ik eisen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.12	Die niet een senu taai hebben aen u week vlees , Ghij , halve-vrouw , laat man d'oefning van heersen houden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.13	mare het zijn uw om doen vrouw : ghij vinden wel ander vrouw waar mede ghij oefenen doen troetel-cunste meucht daar ghij uw op verstaan , en die ghij vinden u jeugd mede geil zede leren , bedampen vinden wijn en roosen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.14	Sardanapalus komen en willen Atlas verpozen , nul god , wachten u hals !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.15	gelijk het oneedel bloed , zulk u hantering zijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.16	mare ik zijn opvoeden Onder het geknars van staal , het geberst vinden helm en zwaard , het gekrijs van oorloochs-volck , en het briesen vinden doen paard ; doen dol trommel , en d'opstokende trompetten zijn ik dertelste speld ; d'hard ' aard ' , alles het nauwt , ik goed .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.17	aanzien u zwakheid om uw zelf te verschonen : Ghij het rijk vinden pers ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.18	Hoe ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.19	doen lassen vinden zo velen kroon kneuzen ' uw hebben beckeneel ; hebben pak vinden zulk gebied drukken ' uw doen schouder in , geven uw daar onder niet : doen voorstandt vinden zo velen t'samen - gegroeyde land vereisen een cloecker barsten , en klim vinden grof hand .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.20	Voorts die zien willen bij ik gelijk in waerdij moeten daar geren proeven vinden doel door loten of praterij , mare door doen deugd allee : die vroomheid in hebben vechten zien tegen vroomheid stellen om wij geschil te slecht , hebben rijk en doen Prinsses zijde de verwinners prijzen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.21	Dan ghij zullen , mijn raad volgend , sijdij wijze , ( Hoewel een onderdaan geren dienst zo menigvuldig kan doel , of hei en blijven nog velen zijn prins schuldig ) uw laat loons genoech voor u verdiensten zijn die uw doen koning hier lijken hebben bij ik .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2776.s.1	Wanneer zijn moed bui dol de reden tomen ontslippen , gelijk de stormen , die ghij blazen uiten verwaand lip , zijn onbesuisd wind die vaak hebben minst schaedt , mare scheuren zijn eigen kracht op onbeweechde klip ; zo doen u raserij op koning , ik , en raden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2776.s.2	doen rij vinden Prinssen oud , uiten welk braaf zaad Ghij uw spruiten roemen , en worden hier niet versmeten ; mare die ghij d'eer vinden ik doorluchtig huis versmaden , Om die een oppervoocht zijn boven ik zitten , ik en deze pers al u bitter ondank weet .	Emotion_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.2776.s.3	wan ons koning vallen wij niet zo wreed en wrang , nog wijden de ons , alles ghij , die tros en vermeten u verbluft menen in slavernij strang Ondrachelijck verheert mede harden geweld , en dwang : waar door u moede verheffen die ghij het mede u braveren de god , zo ghij waendt , de hemel , maken te bang , Die , ( lachen ' er niet om ) het uw ras zulle verleren : mare wij bijzonder volk rechtvaardig wijden verheeren , En mede bescheidenheid doen koning het algemeen : deze deugd houwen wijden op het alderhoochst in eren , Die ghij , verkeerd , vervreemden vinden al rechte en reden , zo smaedelijck gewoon mede voeren zijde te treden , En moedeloosheit noemen een ondeugd in de held : waar door te aanzien vinden u overdwaelsche zede Ghij ik en deze , komen voor half vrouw schelden .	Emotion_Pride
hoof001gran01_01.TEI.2.text.body.div.div.sp.2776.s.4	mare niet meer alles u dol gramschaps ijl-gewelden , vrezen ik zonder benul u grof lichaam kracht ; En het vallen liggen die ghij nooit tot uwent na vertelden doen troetelingen vinden deze half vrouw zeggen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2776.s.5	Dan of het gebeuren , die ghij ik al ommebracht , zo zullen uw nochtans deze pers kloek , en moedig Niet kennen voor haar Prins , ( kennen ik haar ) mare verwachten vinden al hebben rijk , en elk bijzonder wraak bloedig : wan sijlien nimmermeer zulle hebben heersen woedich , En u uitheems tros leiden in plaats vinden ik , nog laat wraak te doel over een prins goedich , vinden wie verdiensten en loffelijk daad , zijde gunstig oordelaar en kenner zijn alles ghij .	Emotion_Sadness_Vindictiveness
hoof001gran01_01.TEI.2.text.body.div.div.sp.2796.s.1	Een lekker trotst ik kracht , ( wat zullen ik nog ontmoeten ? ) En hei liggen niet vertreden aen mortel vinden ik voeren ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2796.s.2	Ostrobas , wat uw beuren ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2796.s.3	Ghij dreicht ik mede gevaar vinden uw wraak ; ik tarten doen pers allegaer .	Emotion_Vindictiveness
hoof001gran01_01.TEI.2.text.body.div.div.sp.2796.s.4	daar liggen de handtschoe , d'eerst vinden zo velen onvervaard tassen zonder beven aen , en heffen hij vinden de aarde .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2796.s.5	zo langen ' er een zullen zijn , die ik darf tegenstaan vinden al , en zullen ik niet weigeren te slaan .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2796.s.6	Ghij meucht uw vrijen mede keuren vinden wapen verzorgen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2807.s.1	ik zijn dan d'eerste beuren .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2807.s.2	Nu die dan tegen morgen , rechtvaardig koning , wij een plaats waard bestellen , Op die doen bleek dood in een besteken veld , Een vinden wij beiden doen zijn stijf opzet vergeten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.1	zijn u gramschap op elckander zo bijten , die zacht middel niet kan einde u krakeel , zo laat te minst uw doen roven vinden het afgereten Harnas uw vyants , zonder hij te moord helen , vol verwinning zijn , en slechting vinden het verschelen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.2	Wanneer hebben aardrijk vinden de ruw winter plaag , En zijn ontijdig koud omhelzen worden ontslaan , voelen zijde in haar harden oprekenen doen schier helen uitgedoofde kracht vinden haar begraven vieren ; Door die doen lente zoet , in zijn verliefd week , haar strelen , en ondergaan mede minnelijk treek , Wanneer die hei vernieuwen de outsbekenden branden ; levend ritseling doorkruipen haar het ingewand ; alzo gevoelen ik velen gepeisen in ik wekken uiten haar diep slaap , en door ik lid trek , Die oorsprong nemen in ik teer-beweechde geest , alles ik eest worden gewaer hebben schoon , die ik meest behagen vinden al het geren die ik ooit zijn verschijnen ; wan na het verliezen vinden die , allensjens zijde verdwijnen , mede doen gedaante , die ik in de zin liggen , En nu door die ik het een behagen schonen herzien mede meerder hefticheit zijde op een nieuw verrijzen , Om ik doen schoonheid vinden een herder aen te prijzen .	Emotion_BodyPart_Moved
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.3	mare zeggen , Granida ' , hout op , hout op , wan waar toen dienen Dus hoog te zetten een die ghij tot heer , en vriend geenszins verkiezen meucht ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.4	mare leiden moeten u leven mede , die uw ander keuren uiten weinig zullen geven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.5	Wat leed boodschap , uiten wat aengenaemer mond Helas !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.6	wassen , Daifilo , die ik vinden uw verstaan ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.7	Ayme !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.8	Wat vriendschap in u voorhoofd staan schrijven ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.10	hebben schijnen die op doen staat hooch-verheven vs. 727 -733 wijden zitten mede gebied , mare die het wel ondertast , vinden wij verheert , verdrukken onder haar overlasten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.12	Meer droefheid vrezen ik harden dan het hopen verblijding : ik gaan vernemen doch na doen verlangen tijding .	Fear_Joy_Emotion_Hope_BodyPart_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.13	Wat storten al gaaf groots , bewoner vander aarde , de Hemel in u schieten , alles ghijs ' ondankbaar snood Niet mede doen voeden en stoten , mare vorder zorg dood , Om het aengeboon t'aenvaerden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.14	manen , ster , zijn nacht sieraad , D'eerwaerde Sonnestraelen , het aardrijk mede vloot doorwaedt , daar kruid , en bodem beblaedt , Bij blij bloemkens staat , het schonen menschelijcke zaad mede lusten uw het oog onthaelen .	None
