stee033tham01_01.TEI.2.text.body.div.head.198.s.1	Thamas Koelikan , of doen verovering vinden hebben Mogolsche rijk ; Treurspel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.633.s.3	deze geven ik hopen : o ja ! het zullen ik misschien geluk ' Aan het gruwzaam ongeval de droef staan te ontrukken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.633.s.4	komen , laten wij Nadir zieden ; opdat ik spoedig blijk ' Wat deze vorst verrichten voor het Indostansche rijk .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.635.s.1	Einde de eerst bedrijf .	None
stee033tham01_01.TEI.2.text.body.div.head.639.s.1	Tweede bedrijf .	None
stee033tham01_01.TEI.2.text.body.div.stage.643.s.1	Nizamelmoluk , Alikan , Malek .	None
stee033tham01_01.TEI.2.text.body.div.sp.speaker.646.s.1	Malek , tegen Nizamelmoluk .	None
stee033tham01_01.TEI.2.text.body.div.sp.651.s.1	ik koning willen uw hier zijn oogmerk openbaar .	None
stee033tham01_01.TEI.2.text.body.div.sp.651.s.2	Ik weten zijn opzetten niet : vrezen echter geren gevaar : u eedle vijand zullen zijn glorie niet verraen .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.651.s.3	ik zullen hij u beide komst in het leger doel verstaan .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.655.s.1	Nizamelmoluk , Alikan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.657.s.1	Alikan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.666.s.1	gei , Nizamelmoluk , ontbieden door de koning , genieten , door zijn vijand keuren , een groot gunstbetooning , Een ' dierbren voorrang , die genoeg te kennen geven Wat achten deze vorst voor u verdiensten hebben ; En die hij niemand , uiten wij leger , na zijn oordelen , zijn groots bestaan kunnen doel gedyen tot zijn voordeel , Dan gei , die onbeschroomd zijn heldendeugden roemen , En mede geren duistre talen zijn ' krygstogt wettig noemen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.669.s.1	Nizamelmoluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.674.s.1	hebben voegen aan Alikan zode stout vinden ik te spreken ; Aan uw , wie onschuld niet genoegzaam zijn blijken , Aan uw , die vinden verraad in schijn uzelv ' verschonen , Wanneer gij u ' ijver dus voor het vaderland betonen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.681.s.1	mijn ongeveinsd trouwen zullen onweerspreekbaar blijk , En deze verdenken ontbod daarover het vonnissen strijken .	Emotion_Loyalty
stee033tham01_01.TEI.2.text.body.div.div.sp.681.s.2	zode iemand iets tot schae vinden Indostan besluiten , Dan zijn hij schuldig die doen vijand hier ontbieden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.1	Een overtuigend blijk !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.2	zode achten gij ik dan schuldig ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.3	zode moeten dan Alikan , voor het vaderland zorgvuldig , bekommeren die ik vorst en volk verraden zij , ik hier verzellen ? het rijk behoeden door zijn trouwen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.4	Doorslepen hoveling !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.5	gei zullen ik niet misleiden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.6	laten wij doen logen uiten doen waarheid onderscheiden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.7	doen vijand , hebben ik ik bezoedelen mede verraad , En spannen ik mede hij aan tot nadeel vinden de staan , zij , door ervarenis in staatkunde onderwijzen , Niet roekeloos ik ontbien , mare al argwaan vrees .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.8	hebben Nadir uw ontboon , ik spreken uw vinden ontrouw vrijen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.9	Ik geven geren reden tot achterdocht , mare gei .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.10	u ijver , die voor het rijk uw nodeloos doen wak , bedekken in zijn keizer geest ik pogen verdenken te manen , uw aanspoorde om mede ik na zijn vijand heir te gaan , Misschien uiten enkel vrezen die ik uw hier mogen schaen , Deze ijver geven ik rechte , o Alikan !	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.11	te denken , die gei , voorheen verdenken , u ' plicht , u trouwen durven krenken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.714.s.1	Ik duchten , op wis grond , die uw arglistigheid , Die ik doen zwichten , en uw vrijen vinden ontrouw pleiten , uw zullen door Nadirs gul de rykstroon doel bekleden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.714.s.2	doen staatzucht zijn spitsen in gruweldaen te smid .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.714.s.3	ik zeggen andermaal , die gei , die Nadirs deugd pryst , gei , wieden doen vijand thans doen groot gul bewyst , bij zien in het heir ontbied , om uw allee te spreken , ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.725.s.1	gei kunde ik ' aanslag , zode ik schuldig zijn , verbreken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.725.s.2	gei , die bij Nadir door u bijzijn ik bespieden , Verhoe die toeleggen ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.725.s.3	Neen , gei vrezen mijn ontrouw niet ; gei vrezen allee , die ik , vinden argwaan innemen , u schandelijk verraad trouwhartig voor zullen komen .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.725.s.4	denken , hoe gei meer ik tergen , in schijn ik schuldig achten , uw zuiveren , hoe ik meer u ' ijver houden verdenken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.1	varen voor ; verbergen voor ik de grond vinden u gepeins ; bedriegen ik , zode gei kunde , door u behendig veinzen ; Verdenk , beschuldig ik ; voegen al u kunst byeen : ik zien echter , uw te spijt , door al u loosheid heen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.2	Indien gij u doelen bereiken , staan al ik te duchten : gei zullen de tronen bekleen ; ik in u boeien zucht , Of door een wreed dood u grimmigheid voldoen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.3	Aanstaande keizer !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.4	spreken : wat loten , u wraken te zoenen , zullen ik beschoren zijn ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.5	of staan ik niets te vrees ?	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.6	Ik weten die Alikan u gunsteling niet zullen wees .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.7	Dan zullen het Mogolsche rijk , door uw zorgen bewaken , ontheffen vinden een ' vorst , wie ryksbestier gei wraken , volmaken gelukkig zijn , het heelal te wonder strekken , En koning Nadir uw voor al ramp dekken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.1	Indien gei het rijk niet winden door uw arglistigheid , hebben zijn te minst een goed waarmee gij u staatzucht vleien .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.2	Ik kunnen , uiten achterdocht , uw het zelfde feit verwijten , die u geveinsd drift te bits ik toen durven bijten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.3	gei voeren die stout talen , dewijl gei schandlyk wanen die uw doen vijand rijden een ' wegge te rykstroon banen : gei kunde u dwaas hopen , u blijdschap , niet verbergen .	Joy_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.4	Of durven u overmoed zode onbeschaamd ik tergen , Opdat ik roekeloos uiten gramschap iets bestaan , Waardoor ikzelf ik storten in zijn keizer ongenade ?	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.5	Neen , listig Alikan !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.6	gei zijn niet meer ervaren , In u vermetel jeugd , dan ik in rijp jaar .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.7	Ik , die hebben veinzen doemen , die all ' u treek kennen , Die vinden u ' wrevlen nijd hebben smaadlyk doelwit zijn ; Ik , door geren gramschap , door gene eigenbaat bewegen , zien al u poging aan mede medelijden oog .	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.8	kaar weder tot u ' plicht ; betoon een zijn berouw ; beschermen hebben rijk , uzelv ' , door ongeveinsd trouwen .	Emotion_Loyalty_Remorse
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.9	Ik zullen , zodra ik uw voor het vaderland zien leven , u list , u veinzerij , u ' toeleggen uw vergeven ; Ja , uiten erkentenis , uw eren alles een ' vriend , Die ik verachting nooit door ontrouw hebben verdiend .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.776.s.1	Nadir , Nizamelmoluk , Alikan , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.776.s.2	Lyfwachten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.790.s.1	tonen , zode gei Nadir zijn , gewoon aan eedle daad , Of Alikan bij uw zijn ' keizer hebben verraden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.790.s.2	mijnheer , ik zijn verdenken vinden zulk een gruwelstuk , bij deze meegezant , bij Nizamelmoluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.790.s.3	hij zullen , zodra gei hij doen waarheid zullen ontdekken , mijn onbevlekt trouwen niet meer in twijfel trek ; mare , t'eenemaal rusten op u getuigenis , doel blijk hoe volmaken voor uw zijn achten zijn .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.790.s.4	u deugd , u glorie eisen die gei ik trouwen verdedigen , Nadien zijn argwaan uw , niet minnen dan ik , beleedigt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.790.s.5	spreken tot mijn onschuld niet , dan voor uzelv ' allee .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.1	zij ik getuigenis geloven verdienen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.2	Neen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.3	het zij ik tot schande , en uw tot erg lijden gedyen : Een vijand zijn altoos verdenken vinden veinzeryen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.4	ik zullen echter klaar doel zieden aan u ' gedreigden staan , die Nadir niets begeren door bijstand vinden verraad .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.5	horen , Nizamelmoluk , wat ik hebben voornemen , En waarom ik ontbod uw in ik heir doen komen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.6	u leger , uitteren , vinden hongersnood geplaagd , Op het enkel zichten een Persiaans vertsaagd , Door binnenkryg verdelen , vinden hopen ontbloten , aan het muit , Aan het moord , machteloos ik zegepralen te stuiten , u talryk leger worden vernielen , zodra het ik lusten : deze rijk zijn in ik macht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.7	stellen echter uw rusten : ik zullen in u weerloos heir , het geren door onlydbre ellende ik ziel tot deernis nopen , mede fris legerbenden geren ' schandelyken moord , geren gruwzaam feit bestaan : Ik eisen geren ' stroom vinden bloeden ; ik dingen na lauwerblaen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.8	o Ja !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.9	ik willen ik gul aan Indostan bewijzen , ik voordeel afstaan , en u kermen leger spijs , Indien u vorst , leren hoe weinig hij vermogen , zien willen behoeden door een billijk vredesverdrag .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.10	Die weldaad zullen meer vreugds verwekken in ik zin , Dan doen eer vinden door ik ' moede gans Indostan te winden .	Joy_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.1	mijnheer , ik kunnen genoeg besef welk een vreugde , Die al overtreffen , uiten waar heldendeugd In groot ziel spruiten , die het edel mededogen Verkiezen voor het wellen vinden het vijandelijk vermogen : Ook weten ik die u harden na zulk een blijdschap trachten : u weldaad , wij beloofd , zijn niet bij ik verdenken .	Joy_Emotion_BodyPart_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.2	geren laf vleierij doen tot u ' lof ik spreken : uw edelmoedigheid zijn Azie blijken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.3	vergunnen ik , die ik vragen ' hoe uw die zwaar elend ' , Die hongerswoede , die verdeeldheid zijn bekennen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.4	Of zijn uw niets gemeld ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.5	gei zullen , door louter gissen , Of door een vals berichten , doen waarheid kunne mis , En dus een eedle gul beloven , die , versmaden , En vruchteloos voor wij heir , u macht te boven gaan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.6	geloven gij die ik vorst , door all ' u Persianen , zien , zode doen node hij dringen , geren ' wegge zij durven baan , mare , tot vermijding vinden een glorieryke dood , Lafhartig zij vergaan vinden zwaar hongersnood ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.7	Erken , indien gei het wanen , o Nadir !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.8	u verblinding .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.9	ik vrezen , in doodsgevaar , geren hagchlyke onderwinding : doen wanhopen , onbevreesd , vinden razernij verzeld , maken vinden een ' bloodaart zelf een ' zegepralend ' held .	Fear_Emotion_Despair_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.846.s.1	Alikan , tegen Nadir .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.856.s.1	Hoe heilryk zijn wij loten , nu ons legerschaar , Door hongeren niet geplaagd , beveiligen voor gevaar , vinden heldenmoed bezielen , tot tegenweer bereiden , geren ' danken verschuldigd zijn aan u meedoogendheid !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.856.s.3	u deernis , vreemd , verbazend , overbodig , verdenken vinden veinzerij , zij , zijn ' zij wij leger nodigen , Misschien , zodra gij wij hebben behendig uitgehoort , verkeren in wellen , in oorlogswoede , in moord .	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.859.s.1	Nadir , tegen Alikan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.874.s.1	gei achten ik dan bekwaam tot snood veinzeryen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.874.s.2	gei vrezen niet die die talen uw kunnen tot lijden gedyen ?	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.874.s.3	Indien ik trouweloos door list ik voordeel zoeken , Dan moeten gij zwijgen vinden u zorgelijk achterdocht ; Nadien ik , fel tergen door u vermetel spreken , In spijt vinden het vrijgeleide ' die honen zij kunne wreken .	Suspicion_Worry_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.874.s.4	gei tergen ik roekeloos , of beleedigt ik in schijn ; mare tonen u trouwen te velen , dan die zij oprichten zij zijn .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.874.s.5	wij schaamtloos , mede gevaar , een ' vijand durven trotseren , Om listig vinden zichzelv ' al achterdocht te weer , zijn veeltijds minnen bedenken op het welzijn vinden de staan , Dan op zijn zelfbelang , op lafheid , op verraad .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.874.s.6	gei spreken , alsof gei loods , ver ' vinden ik wraken te vrees , ik dienstig zijn wezen , of dienstig pogen te wees .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.881.s.1	gei wanen die deze talen ik spijt verwekken : mare neen ; Ik zijn uw die verplichten voor deze vrindlykheen , Die , schonen een vals gerucht ik glorie hebben schenden , doel zieden hoe Alikan aan Nadir zijn verbond .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.884.s.1	Nadir , tegen Nizamelmoluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.1	gei , die ik niet verdenken , en echter uw elend ' , u ' zwaar hongersnood , u ' binnenkryg ontkennen , gei zullen ontwijfelbaar doen waarheid ik ontdekken , Indien het geren ' argwaan , in u nadeel , zij verwekken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.2	Een edel harden , alles het u ' , betrouwen zien onvervaard Op het onherroeplyk woerd een vijand vinden ik ' aard .	Emotion_BodyPart_Trust
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.3	mare ik willen deze oorzaak vinden ontkenning doel verdwijnen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.4	gei , Malek , doen terstond doen vrouw hier verschijnen , Ik zullen bewijzen , hoe , door wat onfeilbaar blijk , het Gevaar ik zijn bekennen vinden het Indostansche rijk , Ik doemen u loosheid niet ; ik prijs u veinzeryen , Zolang doen oprechtheid uw tot onheil zij gedyen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.5	mare alles gei zij zullen zieden , die , door heldinnetaal , vinden uw ellende ik een ongeveinsd verhalen Tot u verlossing doen , en ik tot mededogen Voor het kermen talloos heir een vijand hebben bewegen , Dan zullen gij , op die zichten volkomen overreden , behoeden voor lastertaal , bekennen het gene ik weten : Of zode gei listig nog een uitvlucht durven verzinnen , Weerspreek dan het zijn verbaal vinden eene uiten u vorstin .	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.6	zijde komen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.7	Ontken ik nu de schrik , die gei betonen , Die uw vinden veinzerij beschuldigen , zij verschonen .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.894.s.1	Tegen Nizamelmoluk , terwijl Malek vertrekken .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.916.s.1	Nadir , Nasser , Milko , Nizamelmoluk , Alikan , Semire , Malek , Lyfwachten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.923.s.1	Mevrouw , gei zullen terstond na u begeerte aanschouwen die zien een groot ziel op Nadir mogen betrouwen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.923.s.2	zien hoe doen koning rijden , uiten mededoogendheid , Voor u ellendig volk een heilryk loten bereiden .	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.930.s.1	Mevrouw , ik zullen u heir voor ondergang behoeden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.930.s.2	mare Nizamelmoluk , uiten vrezen vinden kwaad vermoeden , ontkennen de hongersnood , die vorst en volk vernielen : u bijstand zijn ik nut .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.945.s.1	doen deugd , die uw bezielen , o Edelmoedig held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.945.s.2	voldoen aan ik verwachting .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.945.s.3	Nadien zij gaadloos zijn , verdiend zij een gaadlooze achten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.945.s.4	verwachten niet , nu ikzelve uw wij gevaar belijden , die Nizamelmoluk die waarheid uw ontstry ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.945.s.5	het Gevaar , die uw weerhouden de node de legerschaar vinden ons keizer aan de koning te openbaar , zijn het uw niet , mare het mijn ; ik hebben die daad verrichten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.945.s.6	ik ijver blaken voor het rijk : bekennen ; gei weten u ' plicht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.939.s.1	Tegen Nizamelmoluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.952.s.1	Prinses ! het verbaasd ik uw in zijn vijand heir te vinden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.952.s.2	wij zij , daar iemand zien een daad durven onderwinden , Die het rijk verdelgen of redden door onbedacht trouwen , vermoeden die Milko zelf die daad verrichten zij ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.956.s.2	Milko ? zijn keizer nicht ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.956.s.3	zijn het mogelijk het geren wie horen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.962.s.1	Prinses , u eedle rank , hoe oog gei zijn baren , strekken minderen tot uw eer , dan u heldinnemoed , Die u slachten verheffen , die vorst en volk behoeden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.978.s.1	o Held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.978.s.2	ik kunnen voor uw wij krygswee niet verbergen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.978.s.3	het zijn noodloos uw voor wij een groot daad te vergen : gei weten die wie vergaan vinden hongersnood en moord : wij jammer deren uw : wie betrouwen op u woerd : Ik vrezen niet die gij u deugd baatzuchtig zullen verzaken , Door het minst kwaad gebruiken vinden ons elend ' te manen , Door wij te dwingen tot een schandlyk vredesverdrag .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.978.s.4	Een held , alles Nadir , doen velen minnen het geren hij vermogen , Dan het geren zijn glorie eisen ; kunnen zijn belang versmaden , Wanneer het geren hopen verschaffen tot nieuw lauwerbladen ; En stellen geren vreugde , geren ' roemen , in zijn vijand schande en schae , mare in meedoogendheid , in weldaen , in genae .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.1	zode zijn het .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.2	Ik zullen ik ' eisen op rechte en rijden vasten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.3	Ik eisen vinden Mahomet doen land , die , bewesten de Indus , door wellen , meinedig , tegen rechte , Aan het Indostansche rijk voordezen zijn hechten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.4	Aan Persie behoren doen koningklyke zetel , Door Tamerlan bouwen , doen onschatbaar tronen , vermetel vinden all ' u keizer alles zij wettig eigendom bezitten , wij ontroven : ik eisen die tronen wederom .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.5	Vorst Abas brengen weleer een legermacht te vellen , Opdat zijn bondgenoot zien op de tronen herstellen : mare keizer Homajoen , bevestigen in het gebied vinden het muiten Indostan , houden zijn beloven niet ; hij schenden hebben ryksverding , mede Persie sluiten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.6	u keizer staf aan ik het verdrag die bondgenoot .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.7	zelf Mahomet , verplichten in krijgen ik bij te staan , mare ongetrouw , hebben niet aan wij verbinden voldoen , torn het wuft Agwaansche volk , oproerig aanspannen , ik dreigen , en torn ik strijden in het rijk de Ottomannen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.8	Ik eisen vergelding voor zijn ontrouw , ik betoond .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.9	hij , die ik roekeloos in ik gezant honen , En telkens op de eisen , hij billijk voorschrijven , Een wrevelig antwoord , vol verachting , hebben geven , zijn echter , nu zijn ramp erbarmelijk voor hij pleiten , hebben voorwerp vinden ik helpen en mededoogendheid .	Emotion_Compassion_Disgust_Annoyance
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.10	hij komen , opdat ikzelf aan hij ik gul bewyze , Aan hij doen wreed schenke , en het kwijnen leger spyze ; hij spreken ' ik in deze heir ; hij zien , zelf deze dagge , Hoeveel zijn krygselende op ik gemoed vermogen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.11	gei , Nasser , zullen terstond , om hij ik ' willen te ontdekken , mede Nizamelmoluk na zijn vijand heir vertrek .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.12	Ik wachten uw , binden het uur , mede Mahomet hier weer .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.13	hij blyke , door u komst , hoe ik een ' keizer eer .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.14	Prinses , ik zullen deze dagge , ver ' boven u verwachting , Voor u kloekmoedigheid een teken mijn achten Aan uw bewijzen , tot bevordring vinden doen vrede .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.15	gei zullen hier veilig zijn , alles in u legerstede .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.16	gei , Alikan , vertoeven .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1023.s.1	Milko , Alikan , Semire .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1035.s.1	Prinses , minnen uw doen koning ?	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1035.s.2	Of zij prins Nasser uw beminnen ?	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1035.s.3	ik eisen verschoning , Indien ik stout vragen uw enigszins misdoen : denken die een minnend harden gedurig argwaan voeden .	Emotion_BodyPart_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1035.s.4	zij Nadir goed uw zijn achten kunne toon , te vordering vinden doen vrede , dan alles hij beide kroon Vermaagschapt door een ' echt , die uw aan ik ontroven ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1035.s.5	scheppen gei bedragen in deze achten , uw beloofd ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.2	zij deze achten ik niet tot genoegen strekken , Indien zij het vaderland aan het krygswee kunnen onttrekken ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.3	gei twijfelen die doen prins , of Nadir , ik beminnen !	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.4	gade , vragen deze aan hunzelf , zode gei het geraden vinden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.5	gei moeten blyhartig , om ik liefde woerd ' te wees , In plaatsen vinden het minnevuur de vijand laf te vrees , ik afstaan voor het geluk vinden het schreijend vaderland .	Fear_Joy_Emotion_BodilyProcess_Love_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.6	wij onvermogend zijn tot zulk een offerhand ' , wij meer zijn voordeel zoeken dan het voordeel ons staat , zijn mijn liefde onwaard ' , die moeten ik dodelijk haten .	Emotion_Hatred_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.7	ik harden , door uw ontlasten vinden al erkentenis , zullen echter meer bestaan dan het uw verschuldigd zijn ; het zullen uw , die het niet beminnen , nochtans trouwhartig rad .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.8	ik hebben uw , zijn of vals , betigt mede gruweldaad ; ik hout uw noch verdenken , die gei , om zijn keizer tronen , de vijand , tegen het rijk , u helpen hebben aangeboon : hij schijnen , zode gei hij rijden u ' dienst niet hebben huldigen , verwittigen die ik uw mede ontrouw hebben beschuldigen ; hij woerd uw uiten wij heir , misschien opdat u list Aan wij doen wreed , aan hij zijn weldaad , niet betwisten ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.9	trachten , nu het gevaar vinden het rijk geren macht hebben op u zin , te minst om u gevaar u liefde te overwinnen , Eer Nadirs deugd uw storten in zijn keizer ongenade .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.10	die niets , dan u behouden , uw thans te hart gade .	None
stee033tham01_01.TEI.2.text.body.div.div.head.1066.s.1	Zesde toneel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1069.s.1	Alikan , allee .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.1	Ondankbre !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.2	ik zullen u ' schimplust haasten bepalen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.3	doen ik , o staatzucht !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.4	op doen liefde zegepraal : gei blaken ik , in eedler gloed , voor kroon en scepterstaf : doen liefde zijn , in een harden alles het mijn , velen te laf .	Emotion_BodyPart_Love
