hoof001achi01_01.TEI.2.text.body.div.head.500.s.1	P.C. hoofd speld vinden  Achilles en Polyxena	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1603.s.3	laat uw een weinig tijd velen lief niet verdriet Dan t ' geren ghij muecht mede eer , mede schande te genieten .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.head.1606.s.1	[ 2e. handeling ]	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1607.s.1	2e. handeling 1 .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1609.s.1	Priamus , Paris , Deiphobus , Aeneas , Antenor , op doen muur Hecuba , Helena , Polyxena , Andromache , Astianax .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1614.s.1	T griexsche heijr passeren voorbij , doen troijanen rust binden toen om te slaan .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1617.s.1	Antenor	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1628.s.1	zien Jovis dochter daar , haar schoonheijts glans hovaardig !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1628.s.2	zijn ook die aanschijn geren teen iarich oorloch waardig ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1628.s.3	Aeneas , wat dunken uw , gelijctse uw moer niet ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1630.s.1	Aeneas	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1634.s.1	ik vinden ' zeer wel besteden doen kommer en t ' verdrieten vinden deze ellendich rijk , zo dikwijls ik aenschouw hebben goddelijk klaar aanschijn vinden Paris edel vrouw .	HeavyHeartedness_Worry_Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1636.s.1	Deiphobus	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1648.s.1	ik vrouw en zuster , die doen griexse prins kennen , ik bidden ' uw , zeggen wij wij die zijde , die daar omtrent Achilles mede zijn pluijm zo moedig komen treden , die hebben vasten aardrijk druent onder zijn trots schrede .	EmotionalAction_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1650.s.1	Helena	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1665.s.1	die deze voor Troyen komen , grootmoedig prins , beklagen !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1665.s.2	doen wakker Aiax zijn , daar na ik broeder vragen , doen jonckste vinden doen twee ; die daar mede hij schijnen twistich , Dats Diomedes , kloek in slag en aenslach listig .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1665.s.3	Dats d ' ander Aiax , mede de helm , vinden schonen stallen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1667.s.1	Priamus	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1681.s.1	ik vrouw en dochter , soot uw niet te lastig vallen , Noempt d ' ander prins ik , zijn Menelaus deze , Die manna voor manna vermanen , lijken schijnen aen zijn wees ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1714.s.1	ik Heer , ik Vader , lezen !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1714.s.2	kennen hebben ghij hij wel t ' sinds hei hier alles gezant wassen mede zijn meegesel .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1714.s.3	zijn Menelaus , iaet , en die hij bij de cleede trekken , dats Ulysses zelf , die zo velen moeijtens doen , Veijnsden zien zelf zot , ploechde doen dor strand , Op die ik hij mede vrede soud ' laat in zijn land , Om zijn Penelope t ' aanbidden en te vier , Hoe wel doen vrouw en zijn mare vinden gemeen manier .	EmotionalAction_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1714.s.4	Dats Patroclus , die daar vinden ver Achilles groeten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1714.s.5	Dan zien , heer vader , wat daar Agamemnon doen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.1	strijdbaar mennen , die uit griek zijde gevaar Om mede uw daad kloek doen wereld te verklaren , die niemand trotste uw mede schaden ' oijt off mede schande ' En ongewroocken bleeff vinden uw verwinners hand .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.2	Altsamen weten ghij , hoe die Paris zijn gecomen Tot Lacedemon , die ik broeder hebben nemen Beleefd'lijck in zijn huijs , tot welxs vergelding die doen vals gast hij stelen zijn huijsvrou en zijn schatten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.3	Daar t ' rechte zijn zijn doen god , hebben rechte zijn op wij zijden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.4	mede deze betrouwen vasten goed ghij altsaem te strijd .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.5	Al hebben wijden te slaan een ieder tegen teen En t ' rechte wassen op wij zijde , ik mostse niet ontzien .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.6	Nu komen wijden te vellen , niet tegen vers kracht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.7	teen mennen tegen een hebdij niet te verwachten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.8	Gheen nieuw vijand zijn , off daar ghij noijt ik sloecht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.9	hebben zijn hebben zelf volk , die binden haar wal zucht .	HeavyHeartedness_BodilyProcess_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.10	t zijn doen troyanen , die binden haar wal zucht .	HeavyHeartedness_BodilyProcess_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.11	Achilles , zijn hebben heijr , die ghij allee doen vlucht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.12	zijn , Aiax , t ' zelf volk vinden wieden ghij mede uw zwaarte alleen voor de branden doen schip hebben bewaren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.13	Ghij griexse crijsluij vrome , die ver vinden wijf en kind'ren Troct om uw vaderland zijn schade te verhindren , zien daar doen vrouw op doen muur tot wij profijt , Die haar doen moed benemen zulle doort gecrijt .	EmotionalAction_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.14	zien Helena daar selff ; wijden aanzien wij vernoegen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.15	mede meerder schrikken zullen haar gemoed in het vechten wroegen !	Fear_Emotion_Remorse
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.16	zien hier een eijndt de crijchs , die teen jaar hebben geduert , Een eijnt vinden alt verdrieten tot nog vinden uw bezuren .	Emotion_Sadness_Remorse
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.17	tonen ghij hier uw moed en vlieden hebben schandlijck vrees .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.18	geren lang weerstand cunnen zijde doel na deze .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.19	dracht ghij uw hier niet vrome , zo doettet wij geren nut , die Aiax mede zijn hand doen schip hebben beschutten , wan die zijn langen verrotten , en onbekwaam om vlijen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.20	En ander bouw , die derff niemand vinden wij lied Eer Troijen leijt te neder , gelijk een ieder zweren vinden deze prins al , wanneer ik herwaarts voeren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.21	Dus ander wtcompst goed al stillen uit uw zin behalve sterven vrome , of eerlijk overwinnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1836.s.1	2e handeling .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1836.s.2	2e Wtcoompst	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1837.s.1	Hector mede hebben heijr .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.1	Troyanen , hebben ghij ooit oorzaak te zijn verblijd , zo hebben ghij boven al oorzaak op deze tijd .	Joy_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.2	zien hier de dag en uier , ghij crijsluij en ghij heer , Die elk plegen mede zo groots verlangen te begeren .	Emotion_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.3	Hoe dikwijls hebben ghij enten bijzonder elk geseijt :  Och , die mogen in een slag wreken zijn schant ' en leijt , En toon t ' geren die zijde gebrek vinden vroomheijt acht , wassen wangunst vinden geluk , en geren gebrek vinden kracht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.4	 die zijde laatst winnen schruemt daarom niet mede al , Hoe hoog enten geluk , hoe nader an de vallen .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.5	 Die wannen zullen winden  .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.6	waar zijn zot rein te vinden ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.7	mare diets de wereld lopen :  Die laatst verliezen zullen winden  .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.8	Alree keren hebben geluk door dienen tot deze staan Gelegentheijt tot wraak vinden ons schade iont .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.9	zijn tijd Aiax mede meerder angst te doel zweten En om te stil al Achilles groots vermeten .	Fear_Emotion_BodilyProcess_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.10	zien doen juffrouw daar , zien daar d ' wtheemse vrow , Daermen teen ander jaar nog crijch om voer zij .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.11	Die harden hebben in zijn barsten en laat hij nu niet jagen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.12	En winden wijden de slag , t ' zijn t ' eijnde vinden wij plaag .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.13	Penthasilea vrome mede velen volxs enten getal verwachten ik al daech , die zonder twijfelen zullen zo gruwelijk ontzag in ons vijand manen , die hei daar door geheel in moed'loosheijt zullen raken , verklaren door zijn schrikken vinden zijn verliezen en schant .	Fear_Emotion_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.14	zo , ghij Troijanen , houden in deze slag d ' overhand .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.15	elk enen tonen doen kracht vinden zijn recht arm En dapperheijt vinden moed .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.16	zien daar de griek .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.17	Alarm !	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1935.s.1	Patroclus blijfft .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1935.s.2	Hector dracht hebben lichaam te zien en schenden hebben .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1935.s.3	doen griek winnent weder en worden geiaecht .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1935.s.4	Troijanen victorieus en gaan binden .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1937.s.1	2e Handeling .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1937.s.2	3e. Wtcoompst	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1939.s.1	koor	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.2	hebben hoogst , die de mens op aarde zijn geven Door de eersaemen raad vinden s ' hemel god hoog zijn eer , hebben waard god enten tijttlijcke leven , Op welk hebben groot hart alleenlijck nemen zijn oog .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.4	doen god al dingen de mens om zweet verkopen , Dus krijgen ik t ' hoogst god niet dan door d ' hoogst daad .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.5	En die zijn crijchs beleijt , een kunst om braaf hopen t ' houwen in heerschappij allee tot s ' vijants kwaad .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.7	die doen ghij , braaf prins , goed Mars daar in te boven , Die d ' een na d ' ander reis uw vijand stout verwinnen , die die selff uw deugd dwingen zijn te lof , Al haten hei t ' gene , die uw ondersaet beminnen .	Emotion_Hatred_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.9	uw daegh'lijcxs werk hebben zijn in slavernij alles eijgen Te lei prins tros , en treense mette voeden , Pilair de vaderlants , die t ' wreed vermetel drijgen de vreemd volk stilte , en cneust haar hoog moeten .	Emotion_Pride
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.11	zijde dankckbaer aen uw Prins , goed de verwinner tegen , schonen edel vrouw hij mede lauwer cransen croont .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.12	Al zijn doen dancbaerheijt hier selff om dank verlegen , doen dank die toonlijck zijn aen uw verlosser tonen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.13	zes .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.14	doen palm vinden gans oogst en boschen vinden laurier zijn weinig enten getal bij zijn verdiend lof .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.15	Alleenlijck hebben denken kan hij te wil vier , Gebrecklich wereld doen tong door overvloed vinden stof .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.16	zevende .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.17	Gheen sterfflijck god zijn god om hij genoech te lonen , Onsterfflijck eer allee zijn eer wees zullen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.18	deze zullen hij naar zijn dood aen elk onsterfflijck toon En ewich alles een god verbreijden over al .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.2031.s.1	2e. handeling .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.2031.s.2	4e Wtcoompst	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2033.s.1	Aiax mede hebben lichaam vinden Patroclus .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2033.s.2	Achilles , Agamemnon , Ulysses .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2035.s.1	Aiax	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2055.s.1	grootmoedig Prins , dewijl mede uw gezelschap ghij de harden vijand iaecht en druct aen dander zijde , zien hier uw troutste vriend door Hectors hand verklaren !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2055.s.2	tonen nu uw groots moeten in tegenspoed te dragen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2055.s.3	Peijnst op doen wraak allee , onnut droefheijt sparen .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.1	Och !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.2	zijn dan bij doen god doen dienst zo weinig woerd ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.3	Ach god !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.4	ach wreed god !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.5	vervloekt lopen de ster !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.6	Ghodlosen hemel , die hebben god enten kwaad verwarren !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.7	Ach wreed ghoden schikken !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.8	doen wang zijn alles lood , Die roos scheen corts !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.9	melijdelose dood , Noijt doen ghij meerder kwaad !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.10	Ha hels rasernijen !	Emotion_BodilyProcess_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.11	Ha Pluto !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.12	roven ghij deze , wij suldij voortaan mijden ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.13	Jupijn !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.14	Ha wreed Jupijn !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.15	die niet dan droefheijt dor !	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.16	komen , bliksem , doen te niet , daar zijn Achilles barsten !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.17	mengen t ' element vinden vieren en t ' water mede malcandren , doen d ' aarde in doen luchten en luchten in d'aert veranderen , mengen hal en hemel t ' saem , laat geren dingen op zijn stede !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.18	En in natuers bederff , verderf uw zelf mede !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2102.s.1	Achilles , waar toen dienen onnut reden te spreken ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2102.s.2	betonen doen dood zijn eer , en peijnst om uw te wreken , Hector belacht uw rouw .	Emotion_Hatred_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2115.s.1	Hoe ghij meer wenen en zucht , Hoe ghij hij blijder maken , laat dan hebben droeff gerucht .	Joy_Emotion_BodilyProcess_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2115.s.2	uw droefheijt zijde voor hij geren oorzaak om verblijden .	Joy_Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2132.s.1	dracht binden t ' lichaam dan , ik zweer tot gene tijd Te slaap ander dan op d ' aarde kouten en hart , Tot die volmolen wraak vinden ik nemen wereld Over deze wreed stuk , en die ik hebben doel clagen , Betael een wreed wraak , vinden deze hand verklaren .	Emotion_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2134.s.1	Ulysses	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2145.s.1	de uitvaart zullen ik doel op kost vinden gemeen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2145.s.2	op heerlixst die ik mogen brand doen dood lid .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2145.s.3	Dus geven , o veldheer , lassen om t ' hoog vieren te bouw .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2151.s.1	Datmen in Ida gade terstond om houden te houden .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.2153.s.2	5e. Wtcoompst	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.2	de hemel mede zijn gouden laken zadelen , herberg de god , vol goddelijcken glans , heerlijk geciert mede Phoebus klaar straal , wie zuster haar staetdochters leijt te dans , Die op haar plaats blijven en die dwaal ; Hoe hoog , hoe groots zijde zijn , bestaan nochtans Door vriendschap zoet , welk woord hier wereld nemen Voor eendracht vasten en over een komen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.4	t ' aardrijk , duerwracht mede berg en revier , mede stellen rijk vinden toren , schatten en plegen , t ' welk heuvel schonen en zoet dal sieren , mede duister bos , mede bloem en kruid zeggen , t ' gevogelte wild , doen zorgeloos dier En de verwaender mens zwak slachten bestaan alt'saem door eendracht , eend zonder doen vriendschap zout vergaan , en raken t ' onder .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.6	vieren , water , luchten en d'aerde zijn tweedrachtig Een ieder tegen ander in zijn aard .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.7	Nochtans natuur off s ' wereld schepper machtig hebben haar in ieder schepsel zo vergaren , dat geren twisten mare stadig vriendschap crachtich wereld tussen haar , elk in zijn ambt bewaren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.8	En alles hebben een hebben ander willen verwinnen , Bederfft hebben geren daar in zijde twisten beginnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.10	vriendschap zijn doen geboorte vinden doen stad , haar voedsel en haar leven , twisten haar dood .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.11	enten oorloch zwaar en moijlijck om beleeden , zijn eigen twisten doen vreeselijckste stoten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.12	Eendracht maken macht , en kan doen macht verbreden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.13	Dus worp liggen doen klein rijk groots .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.14	Om in de slag door gene twisten te dolen zijn Agamemnon t ' pak allee bevelen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.16	Dan , zijn eendracht en vriendschap woerd om eren Voor een gans rijk , t ' welk door haar wereld beschutten , elk mens allee zijde tot geren schade kunnen karn , mare d ' een vriend zijn d ' ander onderstutten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.17	vinden al hebben geren wij hart kan begeren zijn een getrouw vriend hebben hoogst nut .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.18	mare d ' hemel saijt twee vriend trouwen vinden waarde Om d ' honderd jaar , helaas , mare een op aarde .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.20	deze prins bei wel zulk nader verdiend , gelijk de rouw vinden d ' een wel blijk doen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.21	Nu sijnse dood en t'sijn niet meer dan twee vriend : alles d ' een vriend sterven d ' ander vriend sterven mede .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.22	wan alles doen god doen vriend , die zijde wij lienden , Wechnemen , sterfft doen vriendschap daar te stede , zonder doen welk wereld niemand vriend heten , Hoewel ik goed na dood vrints trouwen kunnen weten .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.2276.s.2	6e. Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2277.s.1	Automedon .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2277.s.3	Hector .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2277.s.4	soldaat .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2291.s.1	ik heer , doen spieen brengen tijding op te daad , die Hector te moeten doen Amasonen goed mede weinig volxs , om haar prinses eer te betonen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2291.s.2	zien hier gelegenhtheijt omt schelmstuck te belonen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2300.s.1	Fluxs , roepen ik vriend , die elk ander ding staken .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2300.s.2	Nu op , Achilles , hier zijn tijd vinden wrede wraak .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2300.s.3	voor ras , versuijmt geren tijd , mare laat s ' wij wel besteden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2300.s.4	Ghij weten , Automedon , de weg , voorwt wild tred .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2302.s.1	griek binden .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2302.s.2	Hector aan d ' ander zijden uit .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2302.s.3	Achilles op zijn hiel .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2316.s.1	wan grootlijckxs zijn w ' altsaem in deze prinses houwen , Die wij te hulp komen mede haar strijdbaar vrouw .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2316.s.2	Hier ik Troijanen ....	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2316.s.4	de vijand weder wild bieden !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2316.s.5	Ach , dats Achilles selff !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2316.s.6	hier zijn geren plaats om vlijen .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2320.s.1	Hector vinden Achilles verklaren .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2320.s.2	Troyanen verjagen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2345.s.1	zo moordenaar , die niet alles vrome , mare alles doen blooden na d ' overwinning nog voeren oorloch mette dood , schenden weder haar lichaam , meer zullen mennen vinden uw niet zien , Dan t ' zelf zullen ( ik zwaard ) uw lichaam ook geschien .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2345.s.2	Bespotten ghij ik vriend , ghij sultet ook bezuren .	Emotion_Remorse
hoof001achi01_01.TEI.2.text.body.div.div.sp.2345.s.3	trekken driemaal t ' lichaam rondom troijens hoog muur , binden achter t ' paren , en sleeptet door de slijk Tot lasterlijk schant vinden hebben vermetel rijk .	Emotion_Anger_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.head.2348.s.1	[ 3e. handeling . ]	None
hoof001achi01_01.TEI.2.text.body.div.div.head.2349.s.1	3e. handeling .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.2349.s.2	1e. Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2350.s.1	Pryamus .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2350.s.2	Polyxena .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2350.s.3	Andromache .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2350.s.4	Astianax .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2352.s.1	Pryamus	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2393.s.1	Die door zijn Adel groots , en scepter zien verstouten , Die op een hoog staat , en machtig rijk vertrouwd , En daarom niet en vrezen , die s ' hemel god waardig gelijk doen mens zijn , verkeerlijck en lichtvaardig , mare stellen zijn geest rusten in voorspoed en geluk , Die spiegelen zien aen ik in deze bedroeven druk .	Fear_Aquiescence_Emotion_EmotionalAction_Happiness_BodyPart_Other_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2393.s.2	t ' geluk vinden d ' uw stad , vinden al ik volk en land , die hebben ik altesaem stellen in Hectors hand .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2393.s.3	alles deze vermoorden warren vinden doen griexsce prins verwoed , doel vallen al troijens hopen en troosten onder doen voeden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2393.s.4	Ach arm koning oud !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2393.s.5	wel waardig te betreuren , hebben lichaam vinden uw zoon en mogen uw niet gebuur .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2393.s.6	goed , cooptet , en ontsmeect hebben de verwinner straf , Op die hebben mede genieten zijn oud voorvaders graf .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2395.s.1	Andromache	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2414.s.1	Ach , kleed Astianax !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2414.s.2	komen , goed de vijand groeten , de overwinnaar tros vallen vrijelijk te voeren , bidden hij ootmoedig aen , en achten geren schande niet Te doel hebben gene , die uw t ' wreed geluk gebied .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2414.s.3	laat dal uw moeten , off houden zijn kracht binden , vergeten uw oud slachten , stellen Hector uit uw zin , Off , zo ghij mede voelen doen wond vinden uw leijt , zo doen gelijk alles ik , en mede uw moer schraijt .	Emotion_BodyPart_BodilyProcess_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.head.2416.s.2	2e. Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2418.s.1	Nestor , Pryamus , Ulysses , Achilles , Agamemnon , Aiax , Andromache , Polyxena , Astianax , Automedon .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2420.s.1	Nestor	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2431.s.1	Eij , arm koning oud , wel waardig te beklagen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2431.s.2	enten hoogst vinden uw node beven uw zoon verklaren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2431.s.3	enten hoogst vinden uw node zijde ghij vinden hopen beroven .	Emotion_Hope
