ross006zing01_01.TEI.2.text.body.div.head.278.s.1	doen zingen kraamer , kamer speld .	None
ross006zing01_01.TEI.2.text.body.div.sp.1025.s.2	wat lappen ik meenig glas mede frans Nectar in ik gat , wan hebben wassen ik in lang tij niet gebeuren , zode dapper te smullen , En wie brengen doen prijs tot Zeeland op , daar gaan ik braaf ons hand vollen , wan ieder Matroos , krijgen vijftig gild buit geld allee voor zijn hoofd , En daar ik weder in Zee .	None
ross006zing01_01.TEI.2.text.body.div.sp.1036.s.1	Die niet en roven , Wanneer wie Scheepe nemen , Die kussen hebben gat vinden Breemen , hij zijn vinden brein beroven .	None
ross006zing01_01.TEI.2.text.body.div.sp.1055.s.1	mare weder op Zee zijn , worden ons vreugde schielijk uytgedoost , Door die vieren Spaanse Oorlog-Scheepe , wij zode drommel onthaalden , die wie al doen vooriege profijt , braaf mede Knokkenbroot betalen , Vermits zijde wakker spelen , poffen , pef , paf , en geven lustig vuur , wie vloode alles doen nikker voor een Sprinkhaan , wan al die bruyen staan wij velen te duur , En zijde jagen wij lustig naar , dog't kennen zij weinig baten , Vermits zijde door doen duisterheid de nacht , wij weder aanzien verlaat , En wie tellen smorgens ons dood , die zijn doen bootsman vijf Matrooze , en doen Kok , Ik denken o sinds Gerrit !	Joy_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.1055.s.2	komen ik een weder vinden deze hout Blok , Hier of daar aan landen , ik pakken terstond ik bies , nu , hebben geluk dienen ik bijzonder , wan hebben beginnen helen fel te Vriezen , zode die ik vinden het Sehip , over het ijs ik voetpad nemen , naar wijken op Zee , daar ik ook behouden te landen komen , En doen alder eerst die ik daar zien , zijn een Visser , die zitten boven op duin , in zijn broek te knooyen , Ik geloven hij Luyze zoeken .	None
ross006zing01_01.TEI.2.text.body.div.sp.1074.s.1	doen twee eerst plooi , Daar hij zijn hand in steken , Daar vinden bij wel een vijfentwintig Vlooye , die hij altemaal doen been breken , Ook vinden hij nog een luis , Die zijn groot alles een muis , hij gafze aan zijn katten , Die hij ook voor een rotten opvreten .	None
ross006zing01_01.TEI.2.text.body.div.sp.1084.s.1	nu denke doen heer liggen , wat drommelse loog zijn die ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1084.s.2	wan ik kunnen hebben aan jouw oog zieden , doch daar zijn niet aan liggen , Ik hebben zode eeve zeggen , die een loge zomtyds een goed zege , kunnen brengen in doen zak , zijn die niet zijn Musjeurs ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1084.s.3	zijn ' er imand onder jouw al , die verzien zijn mede doen beurs ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1084.s.4	zode passen ' er op , wan ik weetze wonder wel te snuiten .	None
ross006zing01_01.TEI.2.text.body.div.sp.1093.s.1	komen uit termuyten , Liefje na buit , Daar boord ik doen Voog'le sluiten .	None
ross006zing01_01.TEI.2.text.body.div.sp.1106.s.1	En te wijken op Zee , bijten ik een Hond in doen kuit , zode die ik bij ik zoole in geren vieren dag lopen kennen , En ik hebben niet in ik zak , alles nog een Luykse Dukaton , doch evenwel kouragie , ik gaan bij een Visser logeren , Daar zij ik een Daalder in doen wijken , voor eten en Slaape verteren , mare ik hebben ' er passen drie dag wezen , of ik wassen al verzeggen , die zijn te zeggen ik hebben ik verloofd aan een jong meid , Die zode zot na ik zijn , alles Prokris tot zij uytgeleezen , En daar op zingen ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.1113.s.1	zij hebben min schande wees ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1113.s.2	alles het in deugd en eer bestaan ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1131.s.2	Neen beget , wan roepen ik ik hondje , zode roepen zijde ik toeverlaat , bloed !	None
ross006zing01_01.TEI.2.text.body.div.sp.1131.s.3	wat zijn ik bars , ja ik menen die ik gat een Kardinaal wassen , mare weinig weten die meisje , die ik ook zode drommel kaal wassen , nu , die lopen zode heen , tot de dagge die ik trouwen zij , doen lenen die goed sloof een Jak vinden zij buurvrou , En ik krijgen een uw vaal Rok aan ik gat , vinden een venten die daar wonen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1131.s.4	Ja ik lijken wel een Rogstekker vinden woerd doel ik ik vertonen , doch wie ginge naar doen Kerk , en wiere een paren , En doel wie thuis kwamme , waard ook een ketel mede schoon Wyker scharre gaar , Ook twee Konynen , aan een verroeste deeg braden , mare nu geven ik doen Musjeurs een te raden ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1131.s.5	Wat ik drinken ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1131.s.6	hoe spreekt'er niemand niet ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1131.s.7	wie dronke vinden die god die ik te Amsterdam Roosegrafje heet , En die zijn bij de hout duivel wij Bruylofs Banket , zode die ik wel mogen Zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1141.s.1	Een potje raap , En daar met slapen , wan wie ginge voor naar Bed .	None
ross006zing01_01.TEI.2.text.body.div.sp.1147.s.1	En wat ik daar zamen uytvoerde , die behoeven ik niet te snak , Dan staan genoegzaam bekennen in doen Cineesche almanak , mare ik hebben in het korten een walgen vinden al die vreugde , en zingen .	Joy_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.1162.s.2	zoet Ieugd , hebben zijn mare zot ding , Die om een kort vreugde , zuid zuya , op moeten zingen , Koop zoet koek , Mang'le , en Razyne , koop zoet koek .	Joy_Emotion_EmotionalAction
ross006zing01_01.TEI.2.text.body.div.sp.1180.s.1	wan eer een Jaar te einde wassen , hebben ik al een janhen die moeten in doen Broek , doel woerd holderdebol , om luier , en Pislappe te koop , Ik lied wijken op Zee ik krent zieden , en gaan naar Haarlem lopen , Daar wonen een Nigt vinden ik , daar krijgen ik teen dag Logimend , Wel heden spreken zijde tege ik , gei zijn nu een ander venten , alles torn ik uw voor nege jaar zien Neef Krispyntje , Dat's zijn Nigt , ( antwoord ik zij ) doch zijde trek aan het verkeerd lyntje , wan zijde menen die ik vinden ik ouder daar om een plysiertje komen , komen zyse , wilje met , hebben zijn Kermis te Sparrendam ; Ja , antwoord ik zij , en wie stond niet langen te faaze , mare ginge naar doen Kermis , en spronge mede doen Sparrendammer baas , een deftig in doen bocht , en ik tonen die ik met een aardig knevel zijn , En zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1187.s.1	doen Kermis raaf , Die komd mare een in het Iaar ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1196.s.1	doch s'avonts , doel raken ik in een groots gevaar , Nu mooge doen heer vragen , hoe Krispyn , worden gei doorje bakhuys snijden ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1196.s.2	Neen die kunde gei wel goed zieden , horen ik zullen uw al ontleden , hebben gaan mede ik ' , alles mede die manna , die wel een Kruywaagen vinden doel hebben , Of ander .	None
ross006zing01_01.TEI.2.text.body.div.sp.1209.s.1	zijn ik nu drinken , of zijn ik nu zitten , zijn ik nu drinken , of zijn ik nu zitten , zijn ik nu drinken , Of zijn ik beschenken , zijn ik nu schief , of waggel ik wat .	None
ross006zing01_01.TEI.2.text.body.div.sp.1225.s.1	wan ik bruyde zode pomp verloren vinden de dijk , mede ik gat vinden bovenneer in het ij , doch ik gaan terstond aan het schreeuwen , zode die doen boer , aan kwamme lopen alles jong leeuw , En trekken ik bij arm , en been weder op hebben landen , o !	None
ross006zing01_01.TEI.2.text.body.div.sp.1225.s.2	Ik moet'er nog om lachen , daar komen een Besje Die vragen zijn zijn de branden ?	Joy_EmotionalAction
ross006zing01_01.TEI.2.text.body.div.sp.1225.s.3	ach Moertje !	None
ross006zing01_01.TEI.2.text.body.div.sp.1225.s.4	antwoord ik Nigt , daar zijn geren branden roepen , die zijn god roepen doen uw sloof , en zijde beginnen te poep , die ik menen die Jupyn weder mede doen reus in Batalje wassen , wie raken in doen kroeg , en daar krijgen ik voor een glas , mede vinden die god , ei !	None
ross006zing01_01.TEI.2.text.body.div.sp.1225.s.5	hoe zullen ik hebben nu beduyen , ik zetten hebben wel op Lepelbladen , en op and're kruid , Ja hebben wassen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1234.s.2	goed drank , de drank , Gebrouwe voor doen Kranken , Tot koeling vinden zij pijn .	None
ross006zing01_01.TEI.2.text.body.div.sp.1242.s.1	hebben zijn Spiritus Jinipri , o neen , ik willen zeggen , brandewijn , En daar lappen ik voor een glas vinden in ik darm , die gaan ik weder vinden hebben , hoofd tot aan doen teen verwarmen , zijn op die ik zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1249.s.1	Nu weder aan hebben Kermis bouwen , Die nog zijn verzien vinden gelden .	None
ross006zing01_01.TEI.2.text.body.div.sp.1266.s.1	wan doen boer tot klein jong , ieder wassen een Held , En ik dansen na doen Veedel , vinden al wat ik haasten kunnen bedenken , vinden mal Symen , en vinden ik zalje een wenk , doen Bootermark , doen Haarelemmerdyk , en vinden jouw zuster doen dol Hoer , Dorateetje , doen Mossele , Wilhelmus , en doen groen Boer ; Ook vinden het Juffertje , doen frans ik , doen Krand , ook Klarinde , Ik dansen onder doen Boere , alles mal Jan onder doen blind .	None
ross006zing01_01.TEI.2.text.body.div.sp.1266.s.2	Daar zitten ' er een , die hebben zijn mest ophangen , voor doen geren die snijden wouw , Daar zitten ' er weder een , die brengen kalf te Mark zonder touw , Of ander gezyd , hij bespoog hij vinden hebben hoofd , tot aan doen voeren , Daar lag'er een op doen vloer , mede zijn neuzen in doen stront te wroeten , Ja schoppen , en vloekten , alles of hij een uytzinden zijn , Knarsten op zijn tand , en trek zich zelf bij hebben haar ; Waarom ik lagten , en zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1278.s.1	Dronkaars zijn gelijk doen beest , alles ik hier beschouwe kunnen , Ook vinden ik velen kwaje geest , alles doen wijn zijn in doen manna .	None
ross006zing01_01.TEI.2.text.body.div.sp.1289.s.1	En zode alles ik die zingen hebben , gooyden een Boer mede een tin kunnen , ik naar doen kop , die hij door doen ruit vliegen in t ' water , Ik stoeg een paren blik op , en vragen , zijn die op ik gemund komfrater ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1289.s.2	doch hij zwijgen stillen , en die duren tot aurora zij gild Poort ontsluiten , doel zijn het repje , scheerje , Ja al scheiden wel dood , wie betalen ook wij gelach en gaan naar huis toen faazen , mare onderweg horen ik nog enig vinden die Sparrendammer baas , Die al vrolijk zingen .	Joy_Emotion_EmotionalAction
ross006zing01_01.TEI.2.text.body.div.sp.1298.s.1	doel ik laatst te Sparrendam , te Kermis hebben wezen , En zij na huis toen varen , ontmoeten ik een Geest , hij zode drinken , hij zode drinken , hij zode drinken , alles een Beest .	None
ross006zing01_01.TEI.2.text.body.div.sp.1312.s.1	Ik denken mennen gei liegen hebben niet , wan zijde waar meest al zode vol wijn , alles een ei vol zuivel kunnen wees , Wel Krispyn vragen ik Nigje , hebje wel ooyt vinden zode een Kermis lezen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1312.s.2	Ik geven zij tot antwoord , god hebben ging'er tabak , wan vrinde recht uytgezyt , ik pissen die zoet sloof mare wat in zij zak , En beven nog twee dag bij zij om dankje te bewijzen , En doen gaan ik Krispyn , vinden Haarlem naar Amsterdam toen reizen , En daar op zingen ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.1323.s.1	die gaan naar Amsterdam , die eest vinden visser komen , mare nu een Koopstad , En een loopstat ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1328.s.1	doch daar vallen voor ik niet velen te koop , wan ik beurs wassen drommel prat , En een die daar geren geld hebben , weten zeer weinig te kreuk .	None
ross006zing01_01.TEI.2.text.body.div.sp.1335.s.1	Revelje voe , een schraal keuken , Revelje voe , ik hebben geren splind .	None
ross006zing01_01.TEI.2.text.body.div.sp.1349.s.1	Ik leven bij ik keel wel vieren dag vinden doen winden , o !	None
ross006zing01_01.TEI.2.text.body.div.sp.1349.s.2	denken ik , hebben zijn goed te steel alles te brand , En lopen bij een Bakker , daar krijgen ik een regelen Wittebrood in ik hand , Ik spelen broekt hij , wan hebben zijn voor een manna , Die groot hongeren hebben en geren duits bal betaale kunnen , mare zijde roepen voor houden de dief , en tot ik ongeluk , Daar komen twee Luysevangers , ja twee oud kruk , Die lopen ik in doen Mond , zode die ik o wat spijt : gelijk doen groot schelm daadlyk worden naar doen boei gelyd , zode die ik doen wel mogen zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1364.s.1	t ' Smorgens vragen alles het wassen schonen dagge , horen toen ik zaltje verklaren , zijde binden ik bij ik arm vasten , En ik Hertje vallen ik zode zwaar , zijde leiden ik door doen Stad , En doen burger fopte ik wat ;	None
ross006zing01_01.TEI.2.text.body.div.sp.1374.s.1	Ook hoordem ik , die ' er veel riepe : die lijken een olijk prat , nu , ik dan in doen boei komen , zijn het kruk verhoordag , zode die ik niet hoeven te wachten , Daar krijgen ik daad'lyk ik Vonnes ; om veertien dag , en veertien nacht , In het Rasphuys te zetten , en te spel mede doen Zaag , mare ik gooyde doen heel peeskit in het rumoer , wan ik wassen drommel traag ; doch hebben gaan mede ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.1393.s.1	zijde bragte ik in een Eys' ree klampen , wij duivel zij zij bedanken , En op doen plaatsen , daar staan een Paal , vinden dikhout , zaagtme doen plank , Al hebben ik die ongeluk een hebben , Nu zijn ik Burger vinden doen Stad , Nog een kaar , hij dan worden ik wel een Raads-Heer .	None
ross006zing01_01.TEI.2.text.body.div.sp.1405.s.1	mare steele die doel ik ik leven niet weder , nu , ik zitten dan veertien dag opsluiten bij doen boef , Daar ik ik bij ik keel , nog om moeten bedroeven , wan al dag wassen meest ons Spys , karnemelk mede god , of boon mede Paardevlys , En het zijn al werken , voor die , en die , of gei krijgen u huid vol slag , o !	None
ross006zing01_01.TEI.2.text.body.div.sp.1405.s.2	hebben zijn niet om te zeggen , wat ik al moeten verdragen , Dan waar de die zingen hebben Lietje vinden ach wat een kruis , En weder ander die lolde .	None
ross006zing01_01.TEI.2.text.body.div.sp.1425.s.1	hebben ik ik Mesje houwen thuis , Ik hebben gedaar gelijk doen vrome , Nu moeten ik zetten in hebben Rasphuys , wij weten wanner ik'er uit zullen komen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1425.s.2	Nu moeten ik zagen , Schier al dag , vinden die rood Bresilienhout , Om die ik niet zullen worp kouten .	None
ross006zing01_01.TEI.2.text.body.div.sp.1450.s.1	Ik denken wel duysendmaal , ach !	None
ross006zing01_01.TEI.2.text.body.div.sp.1450.s.2	hij zijn ongelukkig trouwen , Die hier zode een vijftig Jaar in deze kit moeten plak , Voor ik , ik wouw lief Pluymgraaf wees , om de groot Mogol zijn scheythuys te rak ; doch deze overgeslaagen , ik tij raken haasten om , En ik trek naar ik ouder , daar wassen ik drommel welkom , wan zode dra alles ik varen ik zien , zode gaan hij naar boven lopen , Daar lach nog vinden oud , een einde touwen mede knooppen , die krijgen hij voor de dagge , doch eer hij beneden wassen , zode hebben ik ik al versteken in ik Besjes Kleere kast , En ik moer bidden voor ik , zode langen tot ik varen hij laten bewegen , mare s'avonds , hebben om mijn willen wel twintig boer groot ruzie gekreegen , wan de een die roepen ik wedde , Krispyn zijn al weder thuis , die zijn loogens roepen de aar , en bruyde elkander braaf voor het bakhuys , En die lopen zode oog , door woord , en weder woord , Datze op elkander schieten , en doel die doen boer aan doen hand vinden leiden horen , Die menen die de zweet , mede de doen , op hebben Leydze Meertje in Battalje zijn , Ik gaan voor doen door , en zien hoe doen Boere mede elkaar , Wakker schermutzeerden , zijn op ik roepen : zoet mennen zijden te vreeden , mare daar waar bij ik keel al zes boer door zij bakhuys snijden , zode die ik aan het lollen gaan .	None
ross006zing01_01.TEI.2.text.body.div.sp.1461.s.1	welkom al uit de strijd , Boere jong trots held , Die elkander braaf bescheid , En door neuzen en oor sneyd .	None
ross006zing01_01.TEI.2.text.body.div.sp.1469.s.1	mare ik hebben nauw'lyks deze rijden gezyd , Of zij komen al de brui in wij huis val , En beginnen braaf mede ik Exselensie te mal , En die duurden , en weder duurden , tot omtrent midder nacht , wan zode alles doen laatst ons door uit gaan , roepen de Ratelwagt .	None
ross006zing01_01.TEI.2.text.body.div.sp.1480.s.1	meisje mede jouw blank bil , zouten gei wel een Ratelwagt wil ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1480.s.2	Een Ratelwagt mede zijn dik stikken ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1480.s.3	Twaalef uur slaan doen Klok .	None
ross006zing01_01.TEI.2.text.body.div.sp.1490.s.1	Ik lach ik hoofd een weinig daar geren wagen en rijden , mare ik kennen niet slapen , wan dan denken ik om het geren ik in het Rasphuys hebben lijden , Dan denken ik weder , om ik lief Wysje tot wijken op Zee , En dan weder hoe die doen een Boer , de ander door zijn bakhuys snede , Dan hoe die ik in Luylekkerland een dood paren zien hol , doch s'morgens doel raken ik aan het slapen en beginnen al droomend te lollen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1501.s.1	laten ik wijken op Zeese Tryntje , Lustig spel , dauw , dauw dyntje , Ik zijn nu hier , En verwachten een aar plysier ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1524.s.1	Hoewel ik beven niet lang alles een dagge of vieren , wan ik varen die doen gestadig niet alles knor , Ik denken laten doen venten voor Sunt Jutmus loop mede al zijn morren , En daar ik trek ik vinden Amsterveen , naar Amsterdam zode ras alles ik kennen , En daar verhuren ik ik voor knecht , in doen reizend zinnen Op doen Zeedyk , haa , doel zijn ik al dag bij doen vreugde en bij doen mooi meid , Daar ik ik bij ik keel wel duyzend malen om verbleyden , En wat ik daar al zien , die zijn doen vriend liggen wel bekennen , hebben ging'er alles hebben altijd op die plaats gaan , zoen , en zabbe zonder eend , Dan zien ik een , hoe die ik doen jonker vinden doen huig licht , Dan hoe die ik twee voor een schrijven , en dan hoe die ik Nigten , alles zode een zwerm bij vlooge , alles ' er imand in komen , Dan zien ik weder , hoe Mars zijn Venus in doen arm nemen , En dikklaareerde elkander de Oorlog , of ik willen zeggen , Velje Piek , op doen Poort , doch deze al uit te liggen , zijn onnodig , wan al passen juist niet gezyd , En in die verbruyde Kit wonen ik wel drie Jaar tij , Ja ik worden een Kneevel die hij wonder op zijn mest dor vertrouwen , Ook leren ik velen deunen daar ik deze nog vinden hebben onthouden	Joy_Emotion_BodyPart
ross006zing01_01.TEI.2.text.body.div.sp.1539.s.1	komen binden ik Heer , Za zetje wat neder , zijde roep en winken , Wat lusten uw te drinken ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1539.s.2	ik zullen hebben uw schenk , na uw begeren .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.1541.s.1	bij spreken .	None
ross006zing01_01.TEI.2.text.body.div.sp.1555.s.1	Ja het wassen mare tappen , schenk vol , suyp uit , hier zijn meer , Dan een glaasje voor ik Nigt , en dan een voor doen Musekanten , alles ik'er nog om denken , daar komen een zes licht kwant , Die menen een vlug , zoet ; ik menen een Kreup'le woerd te slaan , mare ons Hospes kwamse voor agter't gat mede een Walvis Kraan , En ik hebben een stikken , omtrent zode dik , alles ik arm , het zijn rompomp , de door uit , og laasje , og harmen , Over hals over kop , dadelyk in doen hand vinden de Frank , En zode na doen Kortegaard , vol getier , en gejank .	None
ross006zing01_01.TEI.2.text.body.div.sp.1555.s.2	bloed !	None
ross006zing01_01.TEI.2.text.body.div.sp.1555.s.3	wat zijn ik bars , doel al die gooregoet wassen gevangene , Ik wouw die tij wel voor beul spelen aanzien , om al die lichtmis op te hangen , En daar op zingen ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.1566.s.1	hij doen kwalijk die bij nacht , gaan doen dol pijp stillen , Daar een trots Raatelwagt , Loerd op zulk snood gezel .	None
ross006zing01_01.TEI.2.text.body.div.sp.1580.s.1	wan hebben zijn onmoogelyk om zich tegen doen keutel Franken in het geweer te stillen , doch deze overgeslaagen , doel ik daar drie Jaar hebben wonen , hebben ik een schoon stuiver geld te god , mare ik worden belonen , mede twee niet , in een boomeloozen mannen , of ander vriend , doen woerd , en doen Waardin die waar niet te vinden , doen hal die wassen bankrot , en doen duivel op een hond , Og !	None
ross006zing01_01.TEI.2.text.body.div.sp.1580.s.2	wat zijn ik droevig , ja zij ik zelf haasten tot stront , Zoet , ik menen tot water gehuylt aanzien , om zulk ding .	Emotion_BodilyProcess_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.1580.s.3	zode die ' er voor ik niet wassen , alles hebben Lied vinden de Snottolf te zingen , Of ander .	None
ross006zing01_01.TEI.2.text.body.div.sp.1599.s.1	wie zijn duivel met gebruyd , o Selderement !	None
ross006zing01_01.TEI.2.text.body.div.sp.1599.s.2	wat raad ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1599.s.3	zijn ik op het Schip sinds Rynout uit , Dan mogen hebben nog geren kwaad , mare nu zijn het mede ik uit bijl , Ik scheyter voor in folio , Wat raad , o zeld'rement !	None
ross006zing01_01.TEI.2.text.body.div.sp.1599.s.4	wat raad ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1599.s.5	wij zien hoe het ynt nog gaan ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1607.s.1	Ik trek naar berg op zolder , en daar worden ik Soldaat , Om voor agtentwintig stuiver in doen wijken ik Leven te waag , En ik hebben bij ik keel nog nooit een musket op ik schouw dragen , Wel wat zijn ik fors , en roepen niet ander , alles vinden dootslaan , En dan zingen ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.1615.s.1	Ik zijn al na de krijgen gaan , ik hangen de Degen al aan ik zijde .	None
ross006zing01_01.TEI.2.text.body.div.sp.1626.s.1	eest zijn ik onder hebben voeden Volk , en daar naar onder doen ruiterij , En ik Kapiteyn wassen genaamd Waaghals , een vinden doen dapperste held , mare ik wassen een vinden die mennen , die ik hebben voorst in het lopen tellen , doch alles wie beramen om mede elkander hier , of daar de toer te plund're , dan wassen ik altijd klaar , wan daar iets te beschaaren zijn , moeten ik niet lieden op wees , Kreygt ik een paren blauw oog , mede een dik neuzen daar moeten Soldaatje niet voor vrees , mare spel .	Fear_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.1635.s.1	hij , boerde jong geven wij knap , Eer die ik uw tot buspot kappen , geven Spek , geven Vlees , wie moet wij vervarssen ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1658.s.2	wie vinden zomtyds met al drol'ge mars , Die mede schop , Hooyvorken , en and're boer tuigen , wij braaf te kaar komen , doch wie licht ' er al menig vinden doen huig , Hier een Ham of twintig , daar een vorst of honderd , En dan ; schikken mede al manna door doen glas die hebben donderen , En kwammer wij een achter het gat , dan wassen hakken , steken , bruid hij in doen sluiten , Poef , pef , paf , schikken dood , schikken dood , En dan weder naar het Regiment , mede al doen beschaarde brok , Om braaf te rome , hoe die ik weten te roven , en te knok , En was'er imand onder wij , die wat ongelukkig onthaalt zijn , Die bruyde voor naar doen meest om een pleister , wan die manna wassen altijd klaar .	None
ross006zing01_01.TEI.2.text.body.div.sp.1658.s.3	Ook raken wie een in Battalje , die zij ik haasten vergeten , Daar worden ik vinden een oud Soldaat ik neuzen af bijten , mare nu zullen doen Musjeurs liggen denken , hoe Krispyn gei hebben ' er een ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1658.s.4	die moeten ik hoop , ik maken voor weder een and're vinden Kalk en stenen , Ha !	None
ross006zing01_01.TEI.2.text.body.div.sp.1658.s.5	kunnen doen Jonkertjes die op een verkeerd haven wezen aanzien , zij zelf ook zode genezen , Dan zij doen meest in doen verguld Engel mare een kalis wees , mede al zijn briefjes , die hij om laten brengen vinden de een , of de ander , die geren kostwinning hebben ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1665.s.1	Een die zich in hebben vuur begeven , moeten voor vlammen , nog vonk schromen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1672.s.1	die zijn te zeggen , die op partij lopen , moeten kloppen aanzien , of kloppen geven , al zij ' er geren lappen vinden te rechte komen , doch deze weder overgeslaagen , doel ik drie week in het Leger hebben wezen , worden ik Tamboer , god ik kennen zode mooi , rouw , dauw , dauw .	None
ross006zing01_01.TEI.2.text.body.div.sp.1687.s.1	Piek , en roeren , Op jouw scheren , Keertje slechts , slinks , en recht ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1687.s.2	strijd in het vellen , alles een moedig Held .	None
ross006zing01_01.TEI.2.text.body.div.sp.1696.s.1	mare of ik Tamboer wassen , ik zijn altijd verlegen om gelden , doch ik raken tot Venlo in het Garnizoen mede nog vijf honderd mennen , En daar gaan ik uit vrijen na een meid die wassen al tweemaal uytgebannen , Ja tweemaal , wat dunkje , zijn hebben niet een braaf naam ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1696.s.2	En zijde zijn tot ik zode geneegen , alles Thisbe tot Pyraam , zode datze dagelijks zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1712.s.1	moer ik willen een Tamboer aanzien , Een Tamboer die zijn god , hij doen , Over dagge slaan by'er alarm , s'Nagts al in ik Arm .	None
ross006zing01_01.TEI.2.text.body.div.sp.1712.s.2	het Schaat niks .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.1714.s.1	bij spreken .	None
ross006zing01_01.TEI.2.text.body.div.sp.1721.s.1	Nu mogen doen heer zeggen die deuntje kunnen doen Kramer fiks , Dat's zijn , doch ik hebben nog geren een lietje zingen , Of ik hebse in ik Mars , voor oude , en jougen , nu dat's tot daar aan toen , ik zullen daad'lyk vinden stuc , tot stuc , al op noteren , wan ik zijn beget geren kruk , Die bij stuk en brok , zijn avontuur op willen zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1728.s.1	Alderhanden raar ding , hebben ik in ik Googel tas .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.1730.s.1	hij spreken .	None
ross006zing01_01.TEI.2.text.body.div.sp.1750.s.1	En om die die meid tot ik zode geneegen wassen , zijn ik wonder in ik schikken , om bij zij doen vreyen slemp te houden , mare naar verloop vinden een Jaar , zode praten zijde vinden trouw , wan vriend recht uit , wie hebben elkander wat te naar wezen , Ik roepen : praten gei vinden trouw ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1750.s.2	rytje doen drommel , of maaltje doen geest .	None
ross006zing01_01.TEI.2.text.body.div.sp.1750.s.3	Ik zijn al trouwen tot wijken op Zee , voor vieren Jaar lijden , Daar begondze , jouw Eer dief , jouw Egtbreeker , ik zalje onder ik voeren treden , En zode vloogze ik in het haar , alles ofze ik zode levendig vreten wouw , ik steken weder ik hand uit , en denken wat geven ik om jouw , mare zij moeder , die slaan ik mede een kruk zode drommel tegen ik scheen , die hebben niet ander zijn , alles of ik bij ik been , hebben laten stukkent bruyen vinden meest Hans , doch op hebben laatst , doen krijgen ik een weinig kans , wan hebben oud wijf schoppen ik in het Vuur , vermits hebben een olijk zwijnen wassen , En doen meid sluiten ik in het Turfhok , en tonen wat voor een venten die Krispyn wassen , mare Sunt Robberd !	EmotionalAction_BodyPart_Anger
ross006zing01_01.TEI.2.text.body.div.sp.1750.s.4	wat maken die twee Vrouluy een getier , zode die ik de door uit lopen en zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1761.s.1	die zijn een zwieren , wij droely zij die denken ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1761.s.2	Ik zullen zij bij wenk , En ik trekken vinden hier .	None
