weye002holl01_01.TEI.2.text.body.div.head.158.s.1	doen hollands zinnelijkheid , Bly-spel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.681.s.1	geren gevaar , hebben recht kiezen ons zijde .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.681.s.2	Ik zullen Matant doel zieden , in spijt vinden d'Apotheken , die vaak het verstaan logeren in ongeleerd leek .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.681.s.4	het reizend Antonet , die maken een schrander knecht ; gei zullen in het korten of langen , nog worp onderregt vinden ik bequamigheen ... mare a propo , ik leven , Indien ' er in passant iets over zijn blijven vinden hamelpootjes , fricadel of hoenderbout , zo bidden ik nemen het rekwest , vinden doen arm maag , die kouten En half radbraken zijn door het vast , in genadig !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.687.s.1	kiezen Jantje watje lusten , zieden of braden , komen smulbroer , cellebroer , welkom avonturier , doen keukendeur hand nog op doen eigen plaatsen , hebben bier En wijn	None
weye002holl01_01.TEI.2.text.body.div.div.sp.693.s.1	Wat die belangen , die zullen ik nooit vergeten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.693.s.2	o !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.693.s.3	Meisje die muziek , die rammelen vinden doen speet zijn het zoet klokkenspel die ooit doen maag bedacht .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.693.s.4	Ik volgje , mede verlof , zijn toen dus langen wachten .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.695.s.1	hij lopen binden .	None
weye002holl01_01.TEI.2.text.body.div.head.698.s.1	Tweede bedrijf .	None
weye002holl01_01.TEI.2.text.body.div.sp.703.s.1	ach !	None
weye002holl01_01.TEI.2.text.body.div.sp.703.s.2	Antonet ik beven , Matant zullen wij verrassen .	Fear_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.sp.708.s.1	Daar zijn geren zwarigheid , ik zullen te wel oppassen : Ook zijn zijde beezig mede een porseleinen komen Te kus .	EmotionalAction_Love
weye002holl01_01.TEI.2.text.body.div.sp.711.s.1	Watje spotten !	None
weye002holl01_01.TEI.2.text.body.div.sp.720.s.1	ik mogen leiden die ik stom Blyf zo het niet zijn en zijn .	None
weye002holl01_01.TEI.2.text.body.div.sp.720.s.3	riepze , die zijn bloem , die zijn een zuiveren blauw !	None
weye002holl01_01.TEI.2.text.body.div.sp.720.s.4	die witten durven ik beroemen .	None
weye002holl01_01.TEI.2.text.body.div.sp.720.s.5	braveren doen lelijen , ja sneeuw in blank verf !	None
weye002holl01_01.TEI.2.text.body.div.sp.720.s.6	Mits vielze op bei zij knie , al schreeuwen ' ik besterf hebben waarlijk ; kunnen ik hier geren weerga toen bekomen !	None
weye002holl01_01.TEI.2.text.body.div.sp.723.s.1	zij Geest zijn bijster mede die zotheid innemen .	None
weye002holl01_01.TEI.2.text.body.div.sp.729.s.1	Ik hebben zij uur langen , steroogende zien Op biezen matjes , die geren stuiver acht a teen ophalen in zijn ; denken het zijn altoos geren vrouw Die op doen geks-kap vinden een leur het vernoegen bouw .	None
weye002holl01_01.TEI.2.text.body.div.sp.755.s.1	Ja d ' agtb're mennen schelen hebben mede vaak in doen kruin , Die wekelijks een dagge zes zeel in zij tuin verslijten om een tulp , oranje of plantgewassen t'Aanschouwen .	None
weye002holl01_01.TEI.2.text.body.div.sp.755.s.2	Eer doen zinnen zijn zweten hebben afwassen , verlaten hebben Heerschap zijn Madame , die vinden spijt gelijk gegomd fluweel uitraaffelt , doen uur en tij vervloeken , darze om een tulp , een roos verwaareloozen ; Opbrallen het zwart blad , misagten het altoos blozen .	Emotion_EmotionalAction_Sadness_Anger
weye002holl01_01.TEI.2.text.body.div.sp.755.s.3	Ik spreken nu laatst een Heer die niet noemen willen zijn , Die schat Floraas gift ver ' boven graan en wijn : Klarinde , roepen hij , admireerd deze mals tulp !	None
weye002holl01_01.TEI.2.text.body.div.sp.755.s.4	Wat ongevoelge ziel en moeten niet overstulpen uiten louter blijdschap , op het gezigte vinden die schatten , Die al hebben schonen in doen omkring vinden een bloem bevatten !	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.sp.755.s.5	beschouwen een doen Espinoy , die woerd zijn duizend gunnen , die zijn een Conquest vinden ik , hebben geren nooit mak dulden , omtrent zijn zuiveren witten of kantwerk .	None
weye002holl01_01.TEI.2.text.body.div.sp.755.s.6	deze Bisaart hebben zes kleur , welk om het zoet saam paren , hebben dert'le kunst-pinceel en het schilder brein braveren .	None
weye002holl01_01.TEI.2.text.body.div.sp.755.s.8	ik Typhone die geren sterveling waarderen ooit kennen naar waard , u verf trotst het gouden in hoog kleur .	None
weye002holl01_01.TEI.2.text.body.div.sp.755.s.9	deze Kabinet Royaal , zijn ook geren lor of leur , mare het puikje de Bisaards .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.1	Die willen ik juist niet doemen , Een schoon tulp verstrekken een Koning voor doen bloem .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.2	Een trotsje Auriculaas , het zijde engels of Luiks , zijn Floraas favoryt , iets aangenaams en puiks .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.3	mare ik weten kabaal vinden modern , gek snaak , Die al zij beezigheen vinden vlinder-uiltjes manen ; vinden tor , rups , spinnekoppe en het vliegen hart , In het ronden te zaam spellen , gelijk een Uilebert .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.4	deze hebben weder hoorentjes , en hout die voor zijn god , schonen vaak een voorspook vinden doen kransen a laten Mode .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.5	Die gadert Nesjes vol mede ei bij het dozyn .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.6	Een ander zijn voor het munten vinden Caesar , Constantyn , D'eerwaarde Nero .. en zulk soort vinden potentaat , zode duister alles Moskeen vinden Mahomet , of gat vinden het heilige roemen , die ik Catacombes noemen .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.7	Dan hebje een ander soort , die onkruid , willen gebloemd , vereren mede doen naam vinden raar plant-gewassen , zijn op zijde dagge en nacht mede al zij ijver pas , Niet denkende op zij vrouw , kind , maag of naast bloeden , zo minnen alles uw Galant , hoe hij zijn schuld voldoen .	None
weye002holl01_01.TEI.2.text.body.div.sp.781.s.1	zijn dan Alfons zo lossen gelijk doen lieden zeggen ?	None
weye002holl01_01.TEI.2.text.body.div.sp.792.s.2	Neen , mare Jan zijn knecht die weten hebben uiten te liggen , Die zeggen , Alfons leven alles een heilige ' Antonet , zwaard door gewoonte , betalen zijn schuld altemet ; Zes zevenmaal te wijken gebruiken hij kaart en steen : mare tienmaal op een dagge , zo zullen hij gelden gaan leen Op tripel interest , lopen mare eenmaal ieder uur bij d'een of d'and're pop ; ook zijn hij niets te duur zode het mare zijn op credyt .	None
weye002holl01_01.TEI.2.text.body.div.sp.792.s.3	En naar ik besef doen zaak sturen ik beminnen Jan zijn koers op het zelf baak .	None
weye002holl01_01.TEI.2.text.body.div.sp.795.s.1	die zijn een tekenen die het fortuin hij tegen gaan .	None
weye002holl01_01.TEI.2.text.body.div.sp.801.s.1	zode denken ik die doen Bank vinden lening het ook verstaan .	None
weye002holl01_01.TEI.2.text.body.div.sp.801.s.2	wan ik weten zeker die die respectief heer Meer op die beurs , alles d'Amsterdamsche negotieren .	None
weye002holl01_01.TEI.2.text.body.div.sp.804.s.1	houden stillen , ik horen gerucht .	None
weye002holl01_01.TEI.2.text.body.div.sp.804.s.2	mare hebje ook gewis bescheid .	None
weye002holl01_01.TEI.2.text.body.div.sp.811.s.1	Of Jan verbeuren een groots stuc vinden zijn zaligheid .	None
weye002holl01_01.TEI.2.text.body.div.sp.811.s.2	Indien Alfons niet komen : mare ik durven ' er wel op vasten gaan , wan die hij ik bedriegen , hoe zij hij voor doen mast staan !	None
weye002holl01_01.TEI.2.text.body.div.sp.811.s.3	Ik kennen hij door en door , hij zijn altoos vrome wezen .	None
weye002holl01_01.TEI.2.text.body.div.sp.811.s.4	Daar komen u Minnaar gewis , of voor hebben minst zijn Geest .	None
weye002holl01_01.TEI.2.text.body.div.stage.813.s.1	Antonet binden .	None
weye002holl01_01.TEI.2.text.body.div.sp.816.s.1	Alfonso , ja hij komen !	None
weye002holl01_01.TEI.2.text.body.div.div.stage.818.s.1	KLARINDE , ALFONSO .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.823.s.2	teder Klarinde ; zode groeten Diane , omringen mede ster , zij beminnen Endymion ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.828.s.2	ik Alfonso , Claraas liggen !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.828.s.3	zijn het mijn Alfonso , voor wie ogen doen vrees zwichten ?	Fear_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.828.s.4	zijn het mogelijk ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.828.s.6	ik ziel worden uiten zij als bewegen !	BodyPart_BodilyProcess_Moved
weye002holl01_01.TEI.2.text.body.div.div.sp.837.s.1	hebben zijn u Minnaar , die boeien door twee schoon oog zijn minnen ... hoe !	Emotion_Love
weye002holl01_01.TEI.2.text.body.div.div.sp.837.s.2	Clara schreid : zo weend doen balzem-spruit mede heil'ge dropp'len : ach !	BodyPart_BodilyProcess_Moved_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.837.s.3	ik blank lelie , stuiten doen dierb're peerlen-vloed vinden u bedoude licht .	BodyPart_BodilyProcess_Moved_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.837.s.4	Onsterffelyde god !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.837.s.5	wat tooverende schicht Doordringen deze ziel !	BodilyProcess_Love
weye002holl01_01.TEI.2.text.body.div.div.sp.849.s.1	Alfonso , zoet smarten !	Emotion_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.849.s.2	Herstelder vinden ik rusten , doch pijnbank vinden ik hart , Wat ziel-verrukkend gift , schuild in verliefd blik : Helaas !	BodyPart_BodilyProcess_Love_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.849.s.3	deze teder barsten zullen in zij zugjes stuk ; ik adren borrelen , en ik vingeren zijn vol gloed , doen polsen slaan stervend , wild het gekookte minnebloed blaken alles een Etna : spelen gei niet mede ik verlangen ?	Emotion_BodyPart_BodilyProcess_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.849.s.4	hebben niet een rooms pop , wie spinnenweb hangen , Arglistig uitspreiden u weifelende ziel mede geil minnen ontfonkt ?	Emotion_BodyPart_BodilyProcess_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.859.s.1	ik zweren die ik nimmer vallen : ik zweren bij hebben zwanewit vinden u vergode lid : ik zweren bij u vurig en u ziel-verlokkende eed : ik zweren bij u boezem , bij het belommeren nagt-altaar vinden het schuimen zee-kind ; bij doen boeien vinden uw haar : ik zweren bij u zugjes , die lang koralyne lip ik ademen stuiten , die ik looslyk tragt t ' ontglippen , bij Roozekaken .....	None
weye002holl01_01.TEI.2.text.body.div.div.sp.872.s.2	hij storen zich aan geren Een wij toeleggen op bedrog .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.872.s.3	belofte snel heen , En zijn onstraf baar , t'wyl wij blank borsjes zwellen , doen snood Theseus vlucht alles Aryadnes schel En treurig klacht god bewegen : Enoe schenken Paris het maagde-zoet , die fluks het onnozel vee En droef nimf verlaten , om het geil schonen de griek .	BodyPart_BodilyProcess_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.872.s.4	Ondanbre laf minnen ! het zijn dan het genot , het geren wiek kweken aan een snood .	Emotion_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.872.s.5	Eylaas !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.872.s.6	doen ontrouw volgen hebben zoet , En blussen doen kuis vlammen vinden Cypris minnegloet .	Emotion_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.878.s.1	moeten dan u minnaar ( om die Theseus gladden kiel Ontzeilden het druif-gewas vinden Bagchus , of doen hiel vinden Paris Enoe ontvlugten ) voor die smaad Onschuldig boete ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.886.s.1	Neen : mare het voorbeeld leren hoe haten doen minnen alles schaduw volgen , naar dier-verlangt genieten vinden het rijp minnezoet , doen traan-revieren vliet .	Emotion_Hatred_BodyPart_BodilyProcess_Love_Sadness_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.886.s.2	alles het nypend naar berouw doen vlies vinden wij ogen helen onmedoogend rukken , dan zietme na om oog mede duistre wolk .	Emotion_BodyPart_BodilyProcess_Remorse
weye002holl01_01.TEI.2.text.body.div.div.sp.897.s.1	Neen ik kind , u eer zijn veilig : ik trouwen zijn ongekreukt , ik bewaren deze eed heilige , En het onbewust geheim : hebben ik uw het maagdezoet ontijdig afpersen , deze hand die feil vergoeden .	Emotion_Loyalty
weye002holl01_01.TEI.2.text.body.div.div.sp.897.s.2	Eer Titans blauw gespan komen uiten doen golf hupp'len , zullen ik doen nectar vinden u mond , mede roozedrupp'len Bedauwt , alles echt manna op Hymens Bruilofts-bed Lief kozend zuigen .	EmotionalAction_Love
weye002holl01_01.TEI.2.text.body.div.div.sp.901.s.2	d ' onmogelijkheid ontzetten deze bang boezem , mede ziel-prangende ongenugten .	Fear_Worry_Emotion_BodyPart_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.906.s.1	vrees zijn doen voorsmaak vinden gewijd minnevrugten .	Fear_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.906.s.2	omhelzen stantvastigheid , op die die onverwrikt alles zuil u onderschragen ...	None
weye002holl01_01.TEI.2.text.body.div.div.stage.909.s.1	CLARINDE , ALFONSO , ANTONETTE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.914.s.2	ik , zijn die geschrikt !	Fear_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.914.s.3	Ik hebben Matant horen : ei wild u pos doch ruim ik Heer Alfonso , het oud spook liggen op zij luim .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.922.s.1	die zijn onmogelijk !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.922.s.2	ik vertrek Netje ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.922.s.4	neen , Ik zijn in minnen Jupyn , Klarinde ik Alcmeen .	Emotion_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.922.s.5	Nooit buigen een pelgrim , na een lang wegge nu veilig , mede meer devotie zich voor zijn dierb'ren heilige alles ik : ja zelf het gesternte zijn medepligtig ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.2	die zijn Rodrigoos rol : horen kind luisteren toen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.3	Ik hebben een middel om uw beide vasten en zeker Aan een te lijmen , spijt het contract mede d ' Apotheker .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.4	Daar zijn een koopvrouw , die het curieus porselein , Gestoelte en kabinet , en pronkgoed groots en klein Hier in de doelen tand veilen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.5	Mevrouw hebben zij ontbieden , En watertanden , om het nieuwste snofje vinden die mode t'Ontginnen : Jan u knecht , ik alderbeste maat , zijn vinden ik onderricht , om in een vrouw gewaar doen graagte vinden Matant zo vurig aan te hissen , die Spadulaan hebben spoor vinden Klaraas bed zullen mis .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.6	En verders zullen ik ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.8	ik horen een weergalm vinden hoest .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.9	Pakje voor , en eindig u getalm : Jan zullen uw verder vinden het bijzonder onderrichten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.10	Adieu tot wederzien , behartigen beide u plicht .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.945.s.1	varen wel Alfons .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.950.s.1	varen wel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.950.s.2	Helaas !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.950.s.3	die wreed woerd Bestolt ik boezem in een ysberg , en deurboort deze mingewyde ziel mede dodelijk steker .	Fear_BodyPart_BodilyProcess_Sadness
weye002holl01_01.TEI.2.text.body.div.div.stage.952.s.1	binden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.955.s.1	zo treuren doen zonnebloem , alles Phoebus zijn wijken .	Emotion_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.963.s.2	Juffrouw nog zode laten in een betrekken lucht ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.963.s.3	Of zijn voor geren krak in uw persoon bedugt ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.966.s.1	deze aangenaam koelen hebben ik lokken naar buit .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.975.s.1	ei sparen die koelte nu , ik zullen doen door gaan sluiten , Die avond-lugjes kind , bederven vaak een roos ; alles het weder op bloem vallen , verslensen zij fris blozen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.975.s.2	Ook hebben ik wel zien , die op hebben minst ontstellen velen Juffren borsjes , door die avondlugjes zwellen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.975.s.3	Een horzel vliegen zode wel bij duister alles bij daag ; Altoos in mijn jeugd wassen het een gemeen plaag .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.977.s.1	Klarinde binden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.981.s.1	Al het geren ik ondervinden , daar kunnen ik goed vinden spreken ; liggen zijn Mevrouw torn vinden een horzel ook steken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.986.s.1	Ik hebben u dienst vinden doel , verstandig Antonet : horen deze commissie aan , lopen zonder het minst beletten naar d ' oud doelen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.995.s.1	Mevrouw , geren mens zijn meer begerig alles uw dienares ; commissie zijn smerig : die zijn apparent om Juffrouw Vinkepoot ( die zijn jaar Hier over komen , mede pronk-juweelen , het fijn raar vinden oosters Aardigheen , en nieuw-hervormde stuk ) Te spreken .	Emotion_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1004.s.1	Antonet , ach !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1004.s.2	kennen hebben doch geluk Om het eerst en het besteden vinden zij stacy-praal te zieden ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1004.s.3	Ik zij ... mare zeggen die ik precies omtrent te teen Of hallif elf op het langs , alhier zij af zullen wachten ; Dan zullen het muziek vinden Spadulaan , die al zijn kracht inspannen om het hart te treffen vinden Klarinde , wel te einde ' zijn .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1004.s.4	Nu tot flus .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1018.s.1	zode ik die narrespel Niet binden kort tij gans vreselijk komen t ' ontroeren , moeten d ' heil'ge Sintreklaas ik in het oud manhuis voer : ontvangen doen Juffer geren meer munten ( naar ik vermoeden ) alles het u , zode zullen z ' zij malen op rozenwater doel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1018.s.2	En Spadulaan ( doen dood , wij zij die immer droom ) Die zullen gewapend hier mede muzikant komen , volgen vinden Herbamuf , die alles sinds Rochus hond zijn meest naloopt , om de zoet avondstond T'ontrusten door het gehuil vinden oud herbergs-klanken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1018.s.3	die zijn het voorspellen .. doch vinden het laatst zullen hij zich niet bedanken .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.1021.s.1	SPADULAAN , HERBAMUF , volgen vinden muzikant .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1022.s.1	SPADUL .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1029.s.1	Muf , hout een ogen in het zeel , passen wel op u geweer : Gewis een mens die sterven , komen nooit of zelden weder : Nooit dienen het gevaar verachten ; wij weten hoe het af zullen lopen ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1029.s.2	zode wij Alfonso ruiken , wij huid die zij het bekopen , En dan wassen het werken verbrodden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1029.s.3	Ook zijn een erg steken vrijen twijfelachtig .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1030.s.1	HERBAMUF .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1040.s.1	gewis , hebben geren nog onlangs blijken Aan Juffrouw Marssepein , en Jonker Kasuaris ; ik kiezen torn in doen plaatsen vinden Dokter een Notaris , Die steuitten het accident eer het kwaad zich hebben zetten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1040.s.2	mare ik lach mede zwarigheid ; u spitten , ik bajonet Die zullen hij en Jan , wel deeglyk werken beschaffen : wie aanzien het doodslaan gewis , en agten niet hebben blaffen vinden jong lekker , die d'Outaaren mede de bek Stout tergen , mare mede vuist of degen , pad , nog slak .	HeavyHeartedness_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1054.s.1	Ik altereren vrijen liggen voor gruwelijk vloek .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1054.s.2	En die methode , Muf , zijn niet helen ver ' te zoeken bij hemen Jan , die steeds in wijn - en koffy-huis zode bulderen , die ik stillen en vreedzaam alles een muis moeten loer : o !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1054.s.3	die maat die zweer bij het krakeel , Rinkinken , kreplen waard , nagtraven , dobble en spel : dag in doen schermschool , dansplaats , kaats - en maly-baan , En zijn avond vol en dol , die ik kunnen gaan nog staan .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1054.s.4	zijde vragen nergens naar : ik mogen zij minnen betrouwen alles speler eed , of het geween vinden jong vrouw , het Ja vinden een kwaker , of het woerd vinden een Polityk .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1060.s.1	Daar zijn hebben venster , ach ! het verlangen maken ik een lijk : ik wouw nu wel amber zijn , dan kennen ik Netje ruiken , mare zode doen zoet slaap zij oogjes hebben gaan luik , Wat raden dan ?	Emotion_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1068.s.1	wij muziek , die zijn doen besteden raden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1068.s.2	t'Sa , datme eenparig alles een brandklok toon slaan .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1068.s.3	Ik zullen een mannestem mede fleuit en veel paar , En toon wat een branden schuilen onder grijs haar .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1068.s.4	Apol ( te eren vinden u zode , ons Esculaap ) Vermeer deze harmony , en storen zij zacht slaap .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.1070.s.1	doen muziek spelen een Ouvertuure .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1073.s.2	zingen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1081.s.1	Al beven stampen ik zaad en kruid ( mede zoet muziek alles klok die lieden ) In een Mortiertje Korinthis Metaal : alles het naakt Galantje , hebben zoet Cupidootje de liefde Galenus , het voortteelende Goodje komen huppelend spring in ons zadel .	BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1089.s.1	wapenen mede pyltjes vinden salse parilla , En vlerkjes velen zoet dan spaansche banilla , Of stroop vinden Althea , en Mel Rosaad .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1089.s.2	Stout lachen roepen hij : wegge wegge mede u poeder ; Aposemaas en Haustus , vullen in voeder , zo vol virtuiten alles oud salaad !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1097.s.1	ik schigt zijn gewis dan al u drank , Linimenten , ptisanen , die doen arm kranken doel rammelen alles een houden tiktakbert !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1097.s.2	zo spreken , spannen hebben fieltje zijn boogje , En mikkende scherp mede het lonkende oogje , schieten snorrend een schigje dwars in ik hart .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1105.s.1	mede boeve grimmasjes zo tijgen hij aan het vlucht , En ruisen wiekjes , t'wyl bitter zucht ontschieten de boezem vinden Spadula .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1105.s.2	zode bitter zijn Coloquintische grein , Catholische extract , Absinthii wijn , En het oud Grieks Hiera Pikera .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1114.s.1	verzoeten dan deze Dosis vinden bitter opiaat , mede heel Manipels vinden Honingraaten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1114.s.2	schenken mede uiten lipjes vinden karmozijn palliatief zoentjes , schonen datze niet helpen doen source de quaalen , het zijn zeker zijde stelpen Voor het minst een groots gedeelte de pijn .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.1117.s.1	Antonet openen hebben venster .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1123.s.1	Krik krak , ja sellement !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1123.s.2	ha , ha !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1123.s.3	mijn Antonet , Wel zuiver nagt-princes , ik denken datje nog te bed Laagt mede een Incubus vinden fraai competentie , En die deze doen oorzaak wassen ( schonen kind ) vinden u silentie .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1131.s.1	Indien hebben niet en wassen uiten maagdelijk schamen , Verroeste zanger , die een koekoeks stemmen beschamen , weten zeker die ik zij die zot bek en koon mede het vol pis-lampet , op het aller-cierlykst kronen .	Emotion_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.1131.s.2	gei wekken nu katten en hond , die zoetjes zijn in rusten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1131.s.3	lopen naar hebben dolhuis nar , en storen geren meisje rusten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1134.s.1	slapen uw Juffer , Lam ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1140.s.1	Ja deftig Apotheker , chinees Nagt-god , mede die lang mens steker , Wat isser vinden u dienst , doorlugte musikant ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1140.s.2	ei ! het zijn mirakeleus , Messieurs , hebben ijs die branden .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1145.s.2	spotten niet zoet meit : zijde zullen gewis ontwaken En opstaan .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1148.s.1	Morgen ja .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1154.s.1	lopen gaan zij wakker maken Ik hebben twee schoteltjes , doch eventjes scharen , En drie paren kopjes , doch bij voorval ongepaard , Die zullen uw Herbamuf tot een verering brengen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1162.s.1	Klarinde schromen voor het vuur , hebben poesje mogen zij zeng .	Fear_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1162.s.2	gei zijn al t'amoreus , geleerd kruidervent .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1162.s.3	Nu pakje fluks vinden hier , straatlooper alsje zijn .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1162.s.4	zijde kunnen hebben stampen vinden u vijzel en mortier Niet horen , nog het gehuil vinden dokters , die alles gier , doen boodschap kras vinden een dood of stervend aas .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1166.s.1	zwijgen kruitje roertme niet , mede al u bits geraas : Ik hebben hebben woerd , geren ons of drachme zullen ik mis .	EmotionalAction_Anger
weye002holl01_01.TEI.2.text.body.div.div.sp.1175.s.1	Heer , die zijn astrant , ik zij zich schier bepissen .	Fear_BodilyProcess
