rivi001vero01_01.TEI.2.text.body.div.head.230.s.1	doen verovering vinden de Briel , Of grondlegging de bataaf vrijheid .	None
rivi001vero01_01.TEI.2.text.body.div.sp.813.s.1	wie gaan en doel terstond vinden uw eisen verslag .	None
rivi001vero01_01.TEI.2.text.body.div.div.head.814.s.1	Tweede toneel .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.837.s.1	gade , vander Hoeve , zorgen , voor het einde vinden deez ' dagge , die spiegelen , Kabeljaauw , vinden Dorp , vinden Everdingen , Ruikhaver , Duivel , Daam en graven , doen Stad omringen ; Doch enkel mare vinden ver ; om het Krygsvolk zo het behoord Te voer aan de waal op het eest geven woerd .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.837.s.2	gei , Entes , geven terwijl doen schip zulk een ligging Die dienstig zijde om wij , terstond , op doen eischontzegging , Te sterk mede Kanon , zo het op een storm gaan , Waarvan ik al zorgen aan branden en Jelmer laten , Daar Franssen en doen goed al het nodigen tuigen ontschepen , die Steltman en Merouws bevel zullen te sleep zijn het Robol en Gilain hebben allernuttigste achten , te aanloop op de muur ; om , mede d'aanstaanden nacht , In spijt vinden het Raadsbesluit , doen Stad te kunne winden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.stage.826.s.1	Een Edelman binden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.842.s.1	geren weigring vinden die raden vermeesterd ons zin , nog zullen wij wankelen doel naar gei de stormen gebied .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.847.s.1	doen zwak burgerij , zullen , eer zulks een geschieden , wennen zijde die toestel markt , doen Noordpoort straks ontsluiten .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.854.s.1	wij lusten tot vlucht hebben , gade door doen Zuid poortbuiten , Tot die ik eindelijk hebben vlieden beletten kunnen ; Dus woord doen Vesting zwak en gans ontleedigd vinden doen zulk , die , stuiten , wij zullen weerstreven .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.858.s.1	wie gaan , mijnheer , om achten op u bevel te geven .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.862.s.1	vander Mark , Treslong , doen rijk .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.870.s.1	het zullen niet ondienstig zijn die gei de Veerman spreken ; wie horen liggen vinden hij wat binden meest ontbreken , En wij voordelig zijn , zo ik doen stormen moeten waag , En aan wat kanten de muur ik het stormtuig dienen te dragen : hij wachten op uw lassen en blijven vinden ver staan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.874.s.1	mare zij ik op zijn reden wel zeker durven gaan ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.881.s.1	Ja ; hij zijn Geus in het harden : hij zullen wij niet bedriegen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.881.s.2	hij zijn een rondborstig manna , die wij niet voor zullen liegen : Ik hebben , in vroeger tij , hij wel iets meer betrouwen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.886.s.1	die hij dan nader komen , en wij in hebben korten ontvouwen Hoe het al binden staan , en wat hij hebben vernemen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.889.s.1	Treslong , Koppestok werkend .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.891.s.1	treden toen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.891.s.2	gei moogt bij wij , alles uw vriend , komen .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.895.s.1	Vander Mark , Treslong , doen rijk .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.895.s.2	Kopperstok .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.898.s.1	vander Mark , tegen Koppestok .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.902.s.1	gei deedt u boodschap wel , en houden getrouw u woerd ; mare hebben gei uiten de mond de heer niets horen die wij tot nut kunnen zijn ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.906.s.1	die zij wel kunnen wees .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.910.s.1	Hoe vinden gei het in de raden ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.924.s.1	In siddring en in vrees .	Fear_Emotion_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.924.s.2	doen raden wassen op het Stadhuis vergaderen , torn ik daar verscheiden , en elk gezicht !	Fear_BodyPart_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.924.s.3	staan angstig , bang en na .	Fear_HeavyHeartedness_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.924.s.4	Ik openen eest de lassen , door uw ik opleggen , En moeten torn buit staan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.924.s.5	naar al te overwegen doen Nikker ik doen vragen , hoe sterk vinden volk gei waard ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.924.s.6	Ik zeggen ' , vyfduizend manna ; waardoor de raden , vervaren , Twee heer mede ik zondt , die gei rijden hebben gesprooken .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.927.s.2	glimlagchende .	Joy_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.929.s.1	gei hebben zeer wel zeggen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.932.s.1	doen rijk , lachen .	Joy_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.935.s.1	Hoe hebben hij tocht ruiken , wij Krygsvolks juist getal ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.935.s.2	hoe weten hij het zo nabij ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.938.s.1	Treslong , tegen Koppestok .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.940.s.1	u gissing wassen niet kwaad .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.940.s.2	Wat zeggen doen burgerij ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.950.s.1	bij veel wekken gei vreugde , bij weinig , daar tegen , verdrieten : hebben Kloostervolk zijn uw meest ongenegen : doen geestelijkheid schijnen ik hebben allerminst stichten ; zijde roep vinden de eed , vinden Kerkdienst en vinden plicht , vinden Alva , Koning , graven , en vinden zien streng te wreken Aan Ketter en aan Geus !	Joy_Emotion_Sadness
rivi001vero01_01.TEI.2.text.body.div.div.sp.950.s.2	terwijl het Gemeen die preken Door gaande slaan in de winden en na verlossing haken .	Emotion_Desire
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.953.s.1	Vander Mark , tegen Koppestok .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.956.s.1	gade weder na doen Stad : gei zijn zo wel bespraakt die gei daar meerder volk in wij belang kunde trek .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.959.s.1	Koppestok , mede levendigheid .	Joy_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.div.sp.962.s.1	Oranje , zijn het woerd ; die naam zullen helpen voor uw verwekken En maken die gei daar haasten meest worp zullen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.968.s.1	Vander Mark	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.971.s.1	doen geestelijkheid dragen meest vinden al hebben kwaad doen schuld ; Ik hebben deze meer zeggen , en het zijn genoeg bewijzen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.990.s.1	wie moet niet te diep in haar handelen lezen , mare doen Religietwist vermijden zijn ik kunnen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.990.s.2	wie mogen in het geheim wel lachen mede de bannen vinden Bisschop en vinden Paus ; mare om doen pausgezind , In Vryheidslust , aan wij en wij belang te hinde , dienen doen ergernis weren ; zo wie dus werkzaam zijn zullen ons arbeiden meer gedyen : deze venijn de tweespalt , om het geloven , verdeeldt doen nederland ; Daar doen afkeer vinden het gewicht de keten en band behoren een te zijn in het Nederlands gemoed , die ziel - nog lichaamsdwang nooit slaafs hullen doen , En spoedig eens zullen zijn in hij vinden hier te drijven , zo ik slechts ieder laten in zijn gevoelen blijven , En niet meer tergen zullen door schelden of geraas , het rechte kenmerk vinden een ' zot , en teken vinden een ' dwaas .	Emotion_EmotionalAction_Hatred_Disgust_Anger_Annoyance
rivi001vero01_01.TEI.2.text.body.div.div.sp.1003.s.1	En echter zieden wie heen , die doen Eendracht moeten voeden , doen scheuring koesteren en het allerhevigst woeden ; Daar het geestelijk gezag doen spanjaard voor zullen staan , Tot deze ook doen hand aan hun goed slaan ; wan nauwelijks zullen daar doen kerk iets door leiden , Of daadlyk zullen zij tong doen Spanjaard ook bestrijden , En zelf verketteren , gelijk aan wij geschieden : wij op zij Kerklyk , ja , terstond geren , amen , bieden , Iets zij goed eisen , of het minst durven tegenspreken , woord lasterlijk gispen en schandlyk doorgestreeken .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.1007.s.1	Vander Mark , Treslong , doen rijk , Koppettok , Rochus .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1013.s.1	Ik , die op u bevel iets uittevoeren denken , zijn deze Vriend ontmoeten en hebben hij hier brengen ; hij weten hoe het in doen Stad zien schikken na uw genoegen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1016.s.1	Vander Mark , tegen Rochus .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1018.s.1	Wat nieuw brengen gei vinden daar ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1020.s.1	Rochus .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1032.s.1	mijnheer , doen burger vroeg zien , voor u zaak , byeen , verlangen die gei heen ras verlossen zullen vinden Alvaas tirannie .	Emotion_Desire
rivi001vero01_01.TEI.2.text.body.div.div.sp.1032.s.2	doen Stadsregeerderen , voor uw op het hoogst verliggen , zijn raadloos en verbaasd .	Fear_Emotion_Awe_Wonder_Despair
rivi001vero01_01.TEI.2.text.body.div.div.sp.1032.s.3	Die Spanje zijn genegen Verzaamlen het kostlykst goed bij hunn ' gereedsten schatten , Op waag , Kar , of slede , waarmee zijde ons Stad Ontruimen ; zo die gei geren tegenweer zullen vinden : doen Vesting woord ontbloten vinden Paus - en Spaansgezinden , En doen allerbittersten zijn rijden doen Zuidpoort uiten .	Emotion_Benevolence
rivi001vero01_01.TEI.2.text.body.div.div.sp.1047.s.1	het woord tij , Treslong , die gei hebben verder vlucht stuiten ; wieden gei hebben waardig keuren kunde gei ik gul belooven ; Doch die niet blijven willen , moeten gei zijn goed roven , En ledig laten gaan zijn het hij behagen zullen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1047.s.2	laten vyfentwintig manna uw volgen lang de waal , En voorts doen Zuidpoort in ; liggen hout ik zij nog openen naar doen uur vinden beraden en uitstel zijn verlopen ; mare woord uw zulks beletten , door het sluiten deezer Poort , Verzoek doen ontsluiting dan ; doch zo ik uw niet horen , gebruiken dan vrijen wellen , doen haare deur breken , Of daar , door pik en rijs en stro , de branden in steker , Tot gei een opening vinden tot straffen de geestelijkheid .	None
rivi001vero01_01.TEI.2.text.body.div.div.head.1049.s.1	Zevende toneel .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.1051.s.1	Vander Mark , doen rijk , Koppestok , Rochus .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1054.s.1	Vander Mark , tegen Koppestok en Rochus , zijn rijden vervolgen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1063.s.1	ik vriend , ik bedanken uw beide voor het beleid , En voor u ' goed dienst aan het Vaderland bewijzen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1063.s.2	keren na de Briel , trachten daar doen burger te belezen Tot wij belang , en wie , wie zullen uw trouwen Vergelden ; ja , gei zullen , wanneer deze Staatsgebouw zullen op zijn grondvest staan , alsdan de roemen ook dragen , die gei daar doen eerst hand , mede wij , hebben aanslaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1067.s.1	Ik twijfel niet , mijnheer , of al zullen wel gaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1072.s.1	komen , Rochus , laten wie doen stedeling raan , In spijt vinden die het mishagen , oranje volk te stijf .	Emotion_Disgust
rivi001vero01_01.TEI.2.text.body.div.div.head.1074.s.1	achtste toneel .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.1076.s.1	Vander Mark , doen rijk .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1088.s.1	wie moet nu vooral niet lang ledig blijven , mare aan doen Noordpoort ook hebben Krygsvolk naadren doel , Om al weerstand , vinden binden , te verhoen : Twee uur zijn aldaar slechts tot beraden geven , Doch niet te wapening , om wij te weerstreven .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1088.s.2	die doen aanval deezer zijden aan Robol worden ' belasten , terwijl Treslong doen Stad aan d ' ander kanten verrassen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.stage.1087.s.1	Einde de tweede bedrijf .	None
rivi001vero01_01.TEI.2.text.body.div.head.1092.s.1	Derde bedrijf .	None
rivi001vero01_01.TEI.2.text.body.div.stage.1095.s.1	Elizabeth , Frederik , Maria .	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.1097.s.1	Frederik .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1104.s.1	zeggen , moer , hoe zullen het gaan hier blijven geren uitkomst openen !	None
rivi001vero01_01.TEI.2.text.body.div.sp.1104.s.2	doen Zuid poort zijn rijden dicht ; wie kunne het niet ontlopen ; doen Watergeuzen staan ' er voor , zijn ik zeggen !	None
rivi001vero01_01.TEI.2.text.body.div.sp.1104.s.3	doen heer deezer Stad doel waarlijk al te slechten die wild volk alhier aan landen te laten komen : Waarom zulks niet beletten ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.1106.s.1	Elizabeth .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1109.s.1	Hoe worden die ondernemen ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.1109.s.2	Och !	None
rivi001vero01_01.TEI.2.text.body.div.sp.1109.s.3	zij gebied hebben uiten en geld hier thans niet meer .	None
rivi001vero01_01.TEI.2.text.body.div.sp.speaker.1111.s.1	Maria .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1113.s.1	die moeten wel geld .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1119.s.1	Neen , doen Geuzen zijn te zeer verbitterd , te verwoed , belust op het beeldenbreeken , En heten op Kerkenroof .	Emotion_BodilyProcess_Anger_Spitefulness
rivi001vero01_01.TEI.2.text.body.div.sp.1124.s.1	alles zijde zien daar op wreken , geraken wie goed vrijen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1132.s.1	doen geestelijkheid , ik zode , worden meest door heen geplaagd , mede onverdraagbren honen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1132.s.2	geren heilige misgewaad zullen ons priester dekken ; geren Klooster kunnen voortaan tot een wijkplaats strekken ; geren Monnik , kloppen nog Non zijn voor zij plondring vrijen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1138.s.1	zijn blijven Oranje dan ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.1138.s.2	hebben gei niet zelf aan ik verzekeren en beloofd die hij wij zullen bevrijden ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.1142.s.1	hebben zijn doen Geuzen , kind , die voor Oranje strijd .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1146.s.1	zijn vrees wie dan voor ?	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.sp.1150.s.1	doen Prins zijn immers goed ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.1154.s.1	o Ja !	None
rivi001vero01_01.TEI.2.text.body.div.sp.1154.s.2	mare vander Mark en Entes zijn verwoed ' .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1158.s.1	zijn zijde vergramd ' op wij !	Emotion_Anger
rivi001vero01_01.TEI.2.text.body.div.sp.1158.s.2	wie aanzien niets misdrijven ,	None
rivi001vero01_01.TEI.2.text.body.div.sp.1162.s.1	zijde haaten Alva fel .	Emotion_Hatred
rivi001vero01_01.TEI.2.text.body.div.sp.1167.s.1	Die naam doen ik zelf beven !	Fear_BodilyProcess
rivi001vero01_01.TEI.2.text.body.div.sp.1167.s.2	Ik haten hij ook , en denken hij voor doen Geuzen zijn .	Emotion_Hatred
rivi001vero01_01.TEI.2.text.body.div.sp.1172.s.1	doen Koning , geestelijkheid en spanjaard mede elkaer zijn tegen Prins en Geus .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1178.s.1	mare al die voordeezen gelijk Treslong , vinden hoornen en Egmond zijn verwezen , Ei zeggen mede wieden die zijde hebben houden ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.1183.s.1	zijde , ik Kind , zijde houden het mede de Prins en Geuzen .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1189.s.1	Wel die vinden Ik onbegrijpelijk .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1189.s.2	mare , moer , ons Koning , mede wieden hout hij hebben tocht ?	None
rivi001vero01_01.TEI.2.text.body.div.sp.1193.s.1	mede Alva .	None
rivi001vero01_01.TEI.2.text.body.div.sp.1200.s.1	geren verschoning vinden bij die Hertog plaatsen , gelijk ik zeggen horen , En bij Prins Willem wel : vrezen dan niet lang voor doen Geuzen , mare laten wij hebben ook mede deze houen .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.stage.1204.s.1	Elizabeth , Kornelia , Frederik , Maria .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1206.s.1	Kornelia .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1218.s.2	Vrouw Philips , wie zieden doen boom en gebouw In het Nieuwland omhakken , slopen of afgebrandt !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1218.s.3	doen Zuidpoort lopen gevaar en woord haasten overmannen ; doen Stadsregeerderen , mede angst en schrik beladen , Verhindren deze niet een .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.1218.s.4	wie zullen doen ongenaden de Watergeuzen haasten beproeven !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1218.s.5	uw manna zijn het mede de mijn een , spannen mede doen Geuzen an ; vinden Duivenvoorde zijn met die woest volk genegen ; ik Rochus doen zelf meer , ja , willen het Gemeen bewegen Om heen doen hand te bieden ; die niemand vinden geraden Voor burgemeester deze aanzien toestaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1222.s.1	zij dan , in deze node , ik Vader wij verlaat !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1226.s.1	Neen , Zuster , vrezen die niet .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.1234.s.1	Ik hoordde zij soldaat , vinden buit , tegen wij , die over deze waal Heen zien , alles ontzind ' en razend ' schreeuwen :  zullen doen burgerij doen Poort goedwillig openen maken !	Emotion_EmotionalAction_BodilyProcess_Anger_Annoyance
rivi001vero01_01.TEI.2.text.body.div.div.sp.1234.s.2	Of moet wie vinden zelf daar binden zieden te raak !	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.1238.s.1	Koppestok , Elizabeth , Kornelia , Frederik , Maria .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1241.s.1	Elizabeth , Koppestok te moeten gaan .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1243.s.1	Och , Koppestok !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1243.s.2	zijn rijden doen vijand in doen Stad !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1251.s.1	Wat vijand !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1251.s.2	ra jouw lieden !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1251.s.3	wij droes verteldde uw die ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1251.s.4	wie zijn hij kwijt geraken ; doen Bloedhond zijn verdrijven ; Die rekel woord alhier geren schatting meer geven ; mare mede zijn boos broeden uiten Holland haasten verjagen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1255.s.1	Och , moer !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1255.s.2	horen gei het wel !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1260.s.1	Al langen genoeg geklaagd !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1260.s.2	Oranje staan wij bij , wie aanzien niets te vrees .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.1264.s.1	zij zulks mede zijn Prinssen willen aldus berokkenen wees ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1268.s.1	ik moer denken vinden ja .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1272.s.1	doen priester zeggen , neen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1279.s.1	zijde spreken zo uiten vrezen , of binden hun reden Aan Ferdinands bevel , die tegen het vrijen weten doen handelen zijn hij kunnen , en , op de roven bijten , Niets trachten dan wij , alles Slaaf , te liggen aan de band .	Fear_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.stage.1283.s.1	Koppestok , Pontus , Elizabeth , Kornelia , Frederik , Maria .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1285.s.1	Pontus .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1288.s.1	o Hemel !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1288.s.2	och !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1288.s.3	wat raden !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1288.s.4	doen Noord poort staan in branden ; Daar Hopman Robol straks doen vlammen indeedt ontsteken !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1293.s.1	Of hij doen Poort verbranden , of openen hebben doel breken , Wat raken die wij , alles hij daardoor mare doen opening vinden ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1302.s.1	Helaas !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1302.s.2	terwijl doen ruiken de volk gezicht verblind , En het vuur hebben houden werken vatten , komen hij zelf aanlopen mede een mast , en stoten doen deur daarmee openen , trekken verder in doen Stad , mede vander Mark , en al doen zijn volgen hij .	None
rivi001vero01_01.TEI.2.text.body.div.div.head.1304.s.1	vijfde toneel	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.1306.s.1	Koppestok , Philipszoon , Pontus , Elizabeth , Kornelia , Frederik , Maria .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1309.s.1	Philipszoon , zijn Vrouw en kind omhelzen .	EmotionalAction_Love
rivi001vero01_01.TEI.2.text.body.div.div.sp.1320.s.1	Nu zijn wij ongeval voorbij !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1320.s.2	ik waard Vrouw !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1320.s.3	en gei ik lief kind , zijn nu vinden het Spaansche juk , en wat wij meer kennen hinderen , mede deze burgerij , verlossen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1320.s.4	o blijde dagge !	Joy_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.1320.s.5	Treslong trekken mede zijn volk doen Zuidpoort in !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1320.s.6	ik zien hij mede doen Oranjevaan , verblijd , te Stad instreeven !	Joy_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.1320.s.7	Prins Willem hebben zijn volk , in het einde , bevel geven Om wij vinden zijn Dwinglands wrok en zijn Bloedraads eisen te onslaan !	Emotion_Spitefulness
rivi001vero01_01.TEI.2.text.body.div.div.sp.1320.s.8	Nu zijn Doorluchtigheid een hebben die stappen braden , zullen hij , in kort tij , meer stellen tot zien trek .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1328.s.1	die zeggen ik ook ; wan elk ik wars vinden zijn spanjaard vrek En ongebonden ' aard ; zij trots hovaardij , En wreed zielendwang , en dol raazerny , En bloeddorst en wellen , bezwaarlijk te beschrijven , zullen zijn Konings oog gezag uiten Holland doel verdrijven .	Emotion_Disgust
rivi001vero01_01.TEI.2.text.body.div.div.sp.1332.s.1	zijn dan doen Geuzen ook niet wreed ?	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1341.s.1	zijde zijn verwoed ' Op al wat Spanjaard zijn en geestelijk ; mare zeer goed En dienstig voor wij volk en Hollands onderzaaten , En voor d ' Oranje Vorst kloekmoedig soldaat , Die onvertsaagt doen dood trotseren in het gezicht .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1345.s.2	moer , zien dan uw zwarigheid verlicht .	Worry_Emotion
rivi001vero01_01.TEI.2.text.body.div.div.sp.1349.s.1	deze maken ik wat rusten .	Emotion_Relief
rivi001vero01_01.TEI.2.text.body.div.div.sp.1356.s.1	deze nieuw , die goed tijding , ik lief Vader , ach !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1356.s.2	geven wij al t ' saam ' verblyding !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1356.s.3	maken tocht die gei aan wij altijd wat goed vertellen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1356.s.4	wan alles ik moer treuren zijn ook ik harden ontstellen .	Worry_Emotion_BodyPart_BodilyProcess_Sadness
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1359.s.1	Philipszoon , zijn Dochter opneemende en kusschende .	EmotionalAction_Love
rivi001vero01_01.TEI.2.text.body.div.div.sp.1361.s.1	ik Dochter , ik zullen nu zeer dik wil vreugde vermelden !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1367.s.1	gei horen wel , Moederlief , na Vader wij vertelden , die wie nu zijn verlossen , doen Dwingland zijn verjagen , En die Prins Willem zorgen voor ons burger dragen !	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1370.s.1	Philipszoon , hij kusschende .	EmotionalAction_Love
rivi001vero01_01.TEI.2.text.body.div.div.sp.1379.s.1	Ja , Frederik , die zijn zijn !...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1379.s.2	wie moet nu opheden oranje Admiraal en volk gaan tegentreeden : Daarna moeten gei , ik zode aanteeknen  hoe de Briel , Op d ' eerst vinden April , in zijn Prinssen hand vallen  , Om in het vervolgen aldaar nog bij te kunne zet :  Daardoor hebben hij , in het einde , doen Graaffelyke weten vernietigen  ; wan zijn ' moede , zijn ' arm , en wijze raden , maken Holland , door de tij , weer tot een ' vrijen staan .	None
rivi001vero01_01.TEI.2.text.body.div.div.stage.1383.s.1	Koppestok , Kornelia .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.speaker.1386.s.1	Kornelia , hij weder houden .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1395.s.1	Een woordje ; Koppestok .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1395.s.2	gei moeten ik onderrichten Of die behoorlijk zijn ;  ik zeggen , doen Geuzen vechten mede helpen de Duivels ...	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1395.s.3	Hoe , gei lagcht !...	BodilyProcess_Other
rivi001vero01_01.TEI.2.text.body.div.div.sp.1395.s.4	Ik hebben horen , torn ik heen buit zien , in het naadren deezer Poort , Die toesluiten beven , die zijde de Duivel roepen te opening , waarom al doen ons spoedig lopen , gelijk ik met doen , eer zijn Geuzen Duivel komen .	None
rivi001vero01_01.TEI.2.text.body.div.div.sp.1406.s.1	doen Spaansche aanzien hij tot helper , en doen stam vinden Alva zijn uiten hal en affront voortkomen !	None
