vond001pala01_01.TEI.2.text.body.div.head.375.s.1	J.V. Vondelens Palamedes of Vermoorde Onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.882.s.2	gedoemde ziel gade schuilen ; duik in de donckren poel , en nooit beschijnen kuil .	None
vond001pala01_01.TEI.2.text.body.div.sp.882.s.3	doen nacht zijn op zijn droef , en Phoebe wijken doen spoken .	None
vond001pala01_01.TEI.2.text.body.div.sp.882.s.4	Ulysses gapen en geeut : gij hebben zijn ' rusten breken ; daar treden hij uit zijn ' tent .	None
vond001pala01_01.TEI.2.text.body.div.sp.882.s.5	gapen aardrijk , en al helen Verswelgtse , die gij thans braken hebben uit u ' keel .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.884.s.1	ULYSSES .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.884.s.2	LYFKNECHT .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.884.s.3	DIOMEDES .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.1	EEn dun slaap beschieten nog nauwelycx mijn oog , Of ik onrustig geest door het goochelen waard bedriegen een drooms , of door een schim , dieme ' inde droo verschee , En dragen ik ' aenslagh gul , en holpme het feit bekleden , En het stuk mede zulk een ' list besteecken , en vermommen : die Nestors wijze tong daar tegen moeten verstommen .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.2	hebben zijde dan schim , of dromen , of wat hebben wees willen , het En zijn geren marrens tij .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.3	ik Lyf-knecht , gade al stillen naar Diomedes tent .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.4	zeggen , die ik hij verbeiden zo dadelijk hier te stede , doel thans hij vinden ik schede , waard d'aenslagh opschorten tot wijd overleg , alles nu zo wasser het een , dan het ander inden weg : Nu duncktme goed hij glad , en het mogen een raad verstrekken , Doch vaak schijnen ruim in't eest , het geren scherp vallen enten voltrecke .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.5	mare d'aeslagh niettemin moeten eemael zijn wagen .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.6	ik vijand staat versuffen , en dutten , en zijn versagen : hij vinden zien raedeloos , om vinden doen lastermonden , En logen zien ontslaan : waar met hij worden schenden .	Emotion_Despair
vond001pala01_01.TEI.2.text.body.div.sp.937.s.7	Te meer hij zien verweren , en naar zijn onschuld trachten , Te meer hebben laster groeien .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.8	hij zijn , en blijven verdenken .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.9	hebben Krygsvolck zijn delen : d'een loven hij alles een ' Vader , En d'ander hij verspuwt , en schelden voor Landverrader .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.10	bij deze zwarigheid komen , die de god tolk doen lasterlogen kweken , en koesteren onder het volk .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.11	ik ' wraaklust zullen eer langen hij zijn tros verleren , En d'oude leemte gans tot etter uit doel zweer .	Emotion_Pride_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.937.s.12	hij , zien die zijn pleiten , en rol lopen naar het einde , de Veldheer gisteren nog komen smeken in zijn tent , En bidden , hij wild hij doch zijn ' gunstig oor leen : Ophaelende wat dienst die Argos , en Mycenen , ontvangen hebben eer , door zijn getrouw plegen ; doen Koning bijten hij toen , vergramd in het aangezicht ; ik hebben gedienstigheid , ik kennen het door uw genieten ; mare een ontfange spijt ik schendig hebben verdrieten .	Emotion_EmotionalAction_BodyPart_BodilyProcess_Sadness_Anger
vond001pala01_01.TEI.2.text.body.div.sp.937.s.13	D'Atryden zullen uw vermorzelen tot gruis , Of gij zullen heen tot stof verdelgen mede zij huis .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.14	deze dreigement hij treffen , hij antwoord al verklaren ; Mycenen hebben zien ooit beleefdelijck dragen , En mede genadig altijd zijn ' vijand ontmoeten ; Dies bidden ik , die u toren niet al te hevig woeden .	Emotion_BodilyProcess_Anger
vond001pala01_01.TEI.2.text.body.div.sp.937.s.15	Dus schede hij , mare beducht , zode het bleek aen zijn ' manier Voor Agamemnons grim , en het spits de Helbaerdieren .	Emotion_Anger
vond001pala01_01.TEI.2.text.body.div.sp.937.s.16	Nu het gader met hoe het willen , het kunnen ander niet alles wel , ik zijn hebben niet allee , doen groot zijn in het speld .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.17	wie aanzien op wij ' zijde ' doen weereldlijcke macht , En geestelijcken arm sterken mede dom kracht ; En waar toen zullen hij zijn beducht voor velen gevaar , Die tot zijn voorspraak hebben doen tong de wichelaar .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.938.s.1	DIO .	None
vond001pala01_01.TEI.2.text.body.div.sp.942.s.1	ik komen op u ontbod , geheymste vriend , en mak , Wat onrust drijven u ' geest ?	None
vond001pala01_01.TEI.2.text.body.div.sp.942.s.2	wat hout u ' zin wakker , Dus in doen middernacht ?	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.944.s.1	VL .	None
vond001pala01_01.TEI.2.text.body.div.sp.948.s.1	nog Venus , nog haar vier ; mare zaak vinden gewicht , doen recht tij zijn hier , Om ons aenslagh zo terstond in het werk te stillen .	None
vond001pala01_01.TEI.2.text.body.div.sp.951.s.1	ik raad zijn hier te klein .	None
vond001pala01_01.TEI.2.text.body.div.sp.955.s.1	daar wild uw niet ik kwellen .	None
vond001pala01_01.TEI.2.text.body.div.sp.959.s.1	ik kunnen geren ' doorgang zien .	None
vond001pala01_01.TEI.2.text.body.div.sp.959.s.2	ik blijf'er nog voor staan : zo langen ik niet begrijpen hoe die hebben toen kunnen gaan .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.960.s.1	ULYS .	None
vond001pala01_01.TEI.2.text.body.div.sp.969.s.1	hij brak uit zijn veldheer lassen zijn ' tent op gisteren morgen , En slaan zien elders neder : zo datmen kunnen verbergen , In d'eerste legerplaats , een zeker wight vinden gouden ; rechte of zijn ' zorg die aen het aerdrijck hebben vertrouwd .	None
vond001pala01_01.TEI.2.text.body.div.sp.969.s.2	alles hij nu worden betichten vinden zijn ontfange gaaf , zo zullen doen Kryghsraed fluks die rijkdom op doel graaf ; waar door hij schuldig worden aen het opleggen kwaad .	None
vond001pala01_01.TEI.2.text.body.div.sp.973.s.1	het En hebben niet schijn genoeg .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.974.s.1	UL .	None
vond001pala01_01.TEI.2.text.body.div.sp.978.s.1	deze komen wij nog te baten .	None
vond001pala01_01.TEI.2.text.body.div.sp.978.s.2	ik zullen in Priams nader een ' brief aen hij doel schryve , Die meldende vinden het gouden , hij zoeken te daad te stijf .	None
vond001pala01_01.TEI.2.text.body.div.sp.982.s.1	wij zullen doen bieden zijn ?	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.984.s.1	ULY .	None
vond001pala01_01.TEI.2.text.body.div.sp.990.s.1	mare een Trojaens slaevoen , Die ik gevangene zijn .	None
vond001pala01_01.TEI.2.text.body.div.sp.990.s.2	gij zullen doen ronden doel , En pas op de spie , en helpen hij om het leven , En vinden de brief , die Agamemnon geven .	None
vond001pala01_01.TEI.2.text.body.div.sp.990.s.3	Hoe kunnen d'Eubeer doch ontworstelen deze strik ?	None
vond001pala01_01.TEI.2.text.body.div.sp.995.s.1	het zijn rechte Ulysses vinden : mare alles ik het ernstig wik , hebben stuk zijn vol gevaar .	None
vond001pala01_01.TEI.2.text.body.div.sp.995.s.2	laat deze raad besterven .	None
vond001pala01_01.TEI.2.text.body.div.sp.1001.s.1	ik vrees u ' bloodigheyd die zullen doen zaak verderven .	None
vond001pala01_01.TEI.2.text.body.div.sp.1001.s.2	Hoe stout aengevat , hoe licht uitvoeren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1001.s.3	doen kans moeten zijn wagen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1002.s.1	DI .	None
vond001pala01_01.TEI.2.text.body.div.sp.1005.s.1	waar het schaeckspel , waar hebben boerde goed datmen het wat vertrekken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1005.s.2	doen tij zijn niet baren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1009.s.1	daar zijn mede zamelen tot nog toen meer verliezen Meer schade alles winst gedaan .	None
vond001pala01_01.TEI.2.text.body.div.sp.1013.s.1	doen manna hebben groot gul bij het volk , en bij de raad .	None
vond001pala01_01.TEI.2.text.body.div.sp.1017.s.1	bedekken logenkunst , Die heeftse vrijen gedunt door het langen , en stadig knagen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1022.s.1	Al die hij zijn verwinnen vinden vriend , en vinden maag , zijn ' zijden gunstig zijn en dreigen wij mede wraak .	EmotionalAction_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1024.s.1	UlyS .	None
vond001pala01_01.TEI.2.text.body.div.sp.1027.s.1	geren ' maege , of bloedverwant mogen tuigen in zijn ' zaak .	None
vond001pala01_01.TEI.2.text.body.div.sp.1027.s.2	vinden dreigen niemand sterven .	None
vond001pala01_01.TEI.2.text.body.div.sp.1033.s.1	Achillis vrome in feit , En Ajax zullen zijn rechte te uiterst bepleiten , Door zijn grijs Nestors tong .	None
vond001pala01_01.TEI.2.text.body.div.sp.1039.s.1	deze achten ik helen gering , doen veldheer zijn doen ziel , en stuurman vinden het geding .	None
vond001pala01_01.TEI.2.text.body.div.sp.1039.s.2	zijn recht uitspraak staat bij hij .	None
vond001pala01_01.TEI.2.text.body.div.sp.1039.s.3	hij kiezen bekwaam mennen En kippen doen rechter uit , die d'heylige vierschaar span .	None
vond001pala01_01.TEI.2.text.body.div.sp.1043.s.1	zo d'aengeklaeghde zien beroepen op het Griexsche rechte ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1052.s.1	het Geschil worden naar doen plaats vonnissen , en beslechten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1052.s.2	wie staan op zijn vijand bodem , wie kennen hier geren ' weten , alles die de veldheer mond en lip zulle zetten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1052.s.3	zijn willen zijn wedde genoeg , die spreecke , een ieder swijg , de oppervorsten zwaard zijn recht inden krijgen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1056.s.1	Of d'oppervorst bezwijken , alles d'aenslagh wassen beginnen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1073.s.1	doen wereld geenszins lijden twee schitteren zon : zo duld geren heerschappij twee hoofd in een rijk , geren vorst zijn ' weerga : geren koning sijns gelijk .	None
vond001pala01_01.TEI.2.text.body.div.sp.1073.s.2	d'Eubeer zijn te oog in mogendheid stijgen , En aanzien bij het gemeen : diets Agamemnon tegen : Die hebben wel duysendmael kloppen op zijn rapier .	None
vond001pala01_01.TEI.2.text.body.div.sp.1073.s.3	vloeken bij all ' doen god ' , gezworen oog en die bij synes gordel draak , bij het krunckelen de slang , Waerme doen Gorgon zijn sijns beukelaar behangen , En bij de staf sijns rijcx vinden Mulciber smeden : die hij zien wreken zullen vinden het aengedaene leed : die d'eylander niet langen zijn majesteit zullen benglen : Al zullen hij d'oppergoon mede d'onderaerdsche mengelen .	EmotionalAction_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.1077.s.1	mede Agamemnons wrok zijn het leger niet paaien .	Emotion_Vindictiveness_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.1090.s.1	het zijn waar , mare die zijn vol oneenigheyd zaaien .	None
vond001pala01_01.TEI.2.text.body.div.sp.1090.s.2	doen meest hopen zijn blind , om d'oorsaeck vinden deze wrok Te zien mede onderscheyd : ook heeftmer in betrekken het verschillen vinden kerckenplight , doen macht vinden het geestlijck hof , En het geren de dienst betreffen de Coden : deze stof zodanig zijn vinden aard , die allerlei ' krakeel , die zucht tot eigen baten , en staat hier onder spel : En al schelmerij , die slechts eenschijn stallen vinden hayligheydt ontlenen , liggen door die trechter vallen .	Emotion_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.1090.s.3	ik hitst zijn volk hart op tot dolligheyd door krijten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1090.s.4	En d'aldersterckste passen de swacksten uit te bijten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1094.s.1	mare wachten uw , alles doen tij doen waarheid een ontdekken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1103.s.1	Al hebtge het hayligdom mede vadermoord bevlekken : u ' zuster schaamte ontbloten , in het aanzicht vinden u ' zwager : ja zelf de bliksem drigh kronen tot hoorndrager : verkrachten zijn eegemael , en schenker Ganimeed : te worden niet een merken , alles mare een outerkleed Die gruwel bedekken , te strekken dan geren ' zonde .	None
vond001pala01_01.TEI.2.text.body.div.sp.1107.s.1	En of doen priester het pleiten mede Palamedes staan ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.1	die zijn onmooghelijck : wan hoemen het wenden , of keren , het schorten even Calches daar , daar het Agamemnon deren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.2	zijn hoogheid zijn geraken , en hayligheyd : die steeds , mits d'onderkruypingen , en list vinden Palamedes , Allencx gemuylband worden , en vinden zijn ' glans beroven : En het wassen zo ver brengen , die geren gemyterd hoofd zullen spreken in de raad , of mede doen vorstin stem : Een tomen om naar zijn ' wensen doen wichelaar te temmen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.3	deze liggen hij in de kroppen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.4	behalve die hij stijven doen vorstin tegen hij , die zo Godyvrigh drijven , die ieder Griexsche stad zullen liggen nieuw drempel , Om het noodlot op het outaer , in Godgewijde tempel , Te vier , mede de reuk vinden het gunnen wierookvat : Dienst daar doen priesterschap een koninglijcken schatten , En rijk oogst af maaien .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.5	hoe geestig saghmen schaken de tabbaerd mede doen kappen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.6	mede onbeschaamd kaak drijven Calches naar zijn wensen , mede lutt'le stem door het besluit de tempelier , en geven geren ' reden gehoor .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.7	d'Eubeer hebben ' et ook in Aulis helen verpeutert .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.8	daar zeggen hij schonen doen vlieden door stormen , en onweer leuteren , ik mogen zo roekeloos niet plengen konings bloeden : ik stellen de neerslag uit : misschien zullen ook doen vloed Hier met niet zijn paaien : wild uw de jonffer jammer : hakken lief af de hals vinden witten gewolde lamren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.9	daar schenden hij het priesterdom doen krijgslien op hebben lijf .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.10	elk vloeken , en schelden om het zeer .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.11	zijde krijten even stijf .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.12	hebben zaad vinden Nauplius vinden Godsdienst zijn verbasteren : het vuren tempel nog altaar : Diana worden lasteren : Verworght de vrijen geest : of storten hij vinden een ' rots : deze smalen op wichlery , en droom .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.13	d'inspraeck god hij gans in twijfelen trekken , hij zullen hebben heyr verwarren : hij achten nog ' vogelsangh , nog ' ingewand , nog ' ster .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.14	ik reppen vinden geren geheym .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.15	gij Diomedes saegt Wat hij te leiden hebben , om het redden vinden doen maagd .	None
vond001pala01_01.TEI.2.text.body.div.sp.1155.s.1	Syne aengewende vlijt tot Iphigeens verschoning , Te licht hij in gul kunnen brengen bij de koning .	None
vond001pala01_01.TEI.2.text.body.div.sp.1176.s.1	het blijven tussen ik en uw : het zijn Agamemnons aard , die zijn ' gedachtenis geren weldaedlang bewaren : mare het aengedaene leed , en d'eens lijden smarten , schikken diep wortel in zijn wraakgierig hart , Al t'onversoenelijck . het wassen Atreus die voor heen bij opdracht onderkruipen het oud rechte de Griecxsche stad .	Emotion_BodyPart_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.1176.s.2	doen zoon vlammen op doen vlucht vinden deze parckementen , En hopen zijn ' lauwer telg op deze bodem te ent : mare Palamedes oog zijn ' gang onderscheppen , En zijn voor hij gereet , en waken eer hij zien reppen : Dies razen zijn Krijgsvorsten wraak : die om hij te betraepen , misbruiken de oude haten de Griecxsche legerpaepen , bedienaar vinden doen node , en nooit verbeden dwang : Die doel hij het koud zweet aflopen , door het gedrang de lasteraeren , en stag liegende overboden , geren ' misdaad reecknen het kwaad , ' tgeen strekken te dienst de god .	Emotion_Hatred_BodyPart_BodilyProcess_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.1176.s.3	Doch het geld wij even velen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1176.s.4	wie doel na wij witten , hebben zijde dan slinks of recht .	None
vond001pala01_01.TEI.2.text.body.div.sp.1176.s.5	waarom ik ernstig bidden , die uw dapperheid deze heldenstuck verselle .	None
vond001pala01_01.TEI.2.text.body.div.sp.1187.s.1	ik vindden aenslagh goed , het zijn waar , mare die ik stellen ik zelf in gevaar , zijn overwegen waarde .	None
vond001pala01_01.TEI.2.text.body.div.sp.1187.s.2	ik zijn een manna in het veld , om op een moedig paard , die schuimbekken , briesen , en krabben , en stof werpen mede fijn voete , ik ' vijand voor doen vuist , mede zwaard en speer , t'ontmoeten : mare ik hebben u ' veynsery , Ulysses , langen verleren : ik stemmen hebben niettemin , dewijl gij het zo begeren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1192.s.1	laat Diomedes slechts die zorg aen ik bevelen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1192.s.2	hebben moet'er donker zijn daar d ' Ithakois zullen dool .	None
vond001pala01_01.TEI.2.text.body.div.sp.1199.s.1	Wel aen , ik zijn het troosten : doch eer wie het stuk bestaan , zo zullen het hooghnoodigh zijn wij wijders te beraden : Op datmen het schandelijk te half niet laat steken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1199.s.2	vernieuwen ik anderwerf de voorslag uw treek .	None
vond001pala01_01.TEI.2.text.body.div.sp.1203.s.1	treden mede ik in ik ' tent , het zullen wel zo veilig zijn , ik handelen vinden die zaak goed achter doen Gordijn .	None
vond001pala01_01.TEI.2.text.body.div.stage.1205.s.1	rijden vinden PELOPONNESERS en ITHAKOISEN .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1207.s.1	EURIPILUS .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.1	komen laat wij bij doen donker manen Eendraghtelijck te rei gaan , En storten yvrigh deze bede Voor wij drye aanzicht Hecate : dat Atreus zoon doch bewaren : Die voor wij haerdstede , en het outaer , zo rustig wagen lijf en goed , En troost het volk in tegenspoed .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.2	die geren verrader zien verstouten , Om het flikkeren vinden het trojaans gouden , heen t'overlevren aen de Prygh , En wij in het heimelijk bekrygh .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.3	En smoren half doon op doon hopen In het bloeden die uit wij ' wond lopen : En steken tot schrikken vinden Grieckenland , Door Hectors toorts doen vlieden aen branden : En geven uitheems gans stof Te zeggen : hier zijn het Kerreck-hof , daar Troje door Godloosen boef Mycenen mede haar ' macht begraven : daar staan Achilles tent wel eer : Hier Agamemnons : ginder ver waard dag op dag zo fel gestreen , Om Menelaus bruid Heleen : Hier lach doen vlieden op deze hoek .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.4	kaar , nul Godesse , zulk een ' vloek .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.5	bewaren Godin u ' kerk ook , Op datme ' uw tempel pleghtigh smoken : Op die uw reukwerk opwaarts rijzen ' , naar d'eenmael aengenome wijze , naar d'eenmael voorschrijven plegen : het zijde die gij droef of hel liggen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.6	Begunstigh doch Apollos zoon , de taelman vinden de oppertroon : Die zien op god geheym verstaan , En al teken gade slaan .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.7	Die vaak kunnen spel het ongesienst : En wieden doen zuiver Godesdienst zo diep en zwaar te harten goed , En achtse een pyler vinden de staat : Een pyler daar doen staat op leunen : En om deze oorzaak zich bekreunen vaak mede de wereldlijcken staf : Al neemtmen het hij zo kwalijk af .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.8	weder vinden wij al nieuwigheen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.9	bevrijden voor vlek uw outerkleen , En nemen doen priester in u ' scherm , Die uw altaeren houwen warm .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1264.s.1	EVR .	None
vond001pala01_01.TEI.2.text.body.div.sp.1267.s.1	zijde hebben uw toegeknickt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1267.s.2	nu wenden uw tot doen node : hechten aen een nieuw dans , en maken haar ' godheid groots .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1270.s.1	rijden .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.1	nul kracht die niet en zijn t'ontvlien : wellen die tussen uw knie beklemmen doen diamant spel : daar het al op draaien naar uw willen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.2	Die hebben vinden eeuwicheyd zaaien het zaad , daar doen tij zijn ' vlucht af maaien .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.3	nul dwangbestuurster vinden al het werk , Die god en mens stellen een perk .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.4	houden vasten en anker vinden het stichten de wereld , die in tegenwicht d'Hoofdstoffen hout .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.5	nul zuil , die zelf ' dragen onbezwaard die zwaar gewelf .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.6	nul die mede ijzeren scepter heersen , En blyfter laatst , en woerd ' er eest : Die Hemel , aard , en hal bestieren , En maken die elk u ' godheid vuren , Die op haar ' beuren doen ster roepen , En meerdre en minder god scheppen , En blijven versteenight en verstokt , En hebben al het noodlijck kwaad berockt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.7	Saturnus zijn vader lubben , En het pekelschuym mede bloeden bedruppen : een oorzaak dat Venus komen , mede haar onkuis minnevlam .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.8	Jupijn ontvonckt door Cypris straal , Voorts walghde vinden zijn eegemael Die beven verschoppen , en al zijn ' feest wassen hoer , of janhen , of een beest .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.9	Mercuur waard d'alderslimste dief , En Bacchus krijgen doen kruik lief , En struyckelende naar de drinken , zingen haylge vaars die hebben klinken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.10	Mars groeien in bloeden en mens moord , die reus komen fel aen boord de Donderaer , mede smaad en schimp : Doense Ossa parsten mede Olymp , En weder mede Ossa Pelion : Eer heen een starcker overwinnen : die Minos bruid , hebben geil die , zien laten bespringen vinden een ' stuur : die d'Africaen zo wreed alles sterk , vinden mens hoofd bouwen een ' kerk : En die zijn Tempelpriester hebben , Een Doodshooft tot een wierook vatten : En , eer hij nog bidden spreken , Een ' mens ongeltoorts ontsteken : En plengen , mede een ' heylgen schijn , paars mens bloeden , in plaats vinden wijn .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.11	En offeren , de god tot branden Halflevend ' mens ingewand : Terwijl een mens darm sluiten , Om het lijf zijn ' taai mens huid , zijn offerkleed , en feestcieraet : En zingen , en schreeude zonder maat , uit perkament vol bloedrood schrift : verrukt door innerlijk drift : En dee weergalm op elk vaars Een ' rijden vinden woest moordenaar : weer wapen , zwaard nog , kortelas , mare kakebeen of schinckel wassen : die Tantalus nog veulen bemorscht vinden vers moord , opschaffen dor hebben vlees sijns zoon op Jovis dis : Niet bij geval gebeuren en zijn : mare onontworstelbaer bescheer !	BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.12	gij zelf woerd d'oorsaeck , uw komen d'eer : Die dobbeltrony Janus slachten , Die achter grijnzen , vinden voorn lachen .	BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.13	zo nog het verraad smeulen in zijn as , ontdekken zulks doch u ' priestren ras : scherp Argos sabel lang hoe meer : En Priams standaard werf te neder .	None
vond001pala01_01.TEI.2.text.body.div.sp.1364.s.1	hout op gij hebben voldaan .	None
vond001pala01_01.TEI.2.text.body.div.sp.1364.s.2	hebben noodlot hebben volkomen u ' dansen , en gezang goetgunstigh aannemen .	None
vond001pala01_01.TEI.2.text.body.div.head.1366.s.1	doen derde handelen .	None
vond001pala01_01.TEI.2.text.body.div.stage.1370.s.2	SCHILDWACHT .	None
vond001pala01_01.TEI.2.text.body.div.stage.1370.s.3	AGAMEMNON .	None
vond001pala01_01.TEI.2.text.body.div.sp.1374.s.1	houden schildwacht houden !	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1375.s.1	SCHI .	None
vond001pala01_01.TEI.2.text.body.div.sp.1377.s.1	wij daar ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1381.s.1	ik moeten de Veldheer spreken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1385.s.1	wij zytge ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1385.s.2	melden u ' nader , of geven het gewoonlijk teken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1389.s.1	het zijn Diomedes zelf .	None
vond001pala01_01.TEI.2.text.body.div.sp.1392.s.1	komen wekken hij daar hij liggen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1397.s.1	groots meest vinden wij heyr , die uw leger spreyd vinden droog en dor blad : op op , het zijn tij te waken .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1398.s.1	AGA .	None
vond001pala01_01.TEI.2.text.body.div.sp.1401.s.1	Wel Diomedes vriend , zeggen op , wat zijn het voor zaak ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1401.s.2	Wat brengen gij wij bij nacht : zijn Hector op doen been ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1407.s.1	ik hebben een Trojaenschen spie de hals vers afsnijden , alles ik doen ronden doen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1407.s.2	hij zijn belasten mede brief .	None
vond001pala01_01.TEI.2.text.body.div.sp.1407.s.3	ik slepen de booswicht hier .	None
vond001pala01_01.TEI.2.text.body.div.sp.1407.s.4	hebben zullen de Vorst believen Te vers na het geheym .	None
vond001pala01_01.TEI.2.text.body.div.sp.1417.s.1	komen houden doen toorts wat dichten , Op die ik deze gast beschouwen in het aangezicht .	None
vond001pala01_01.TEI.2.text.body.div.sp.1417.s.2	het zijn waarlijk een Trojaen vinden kleding en vinden wees .	None
vond001pala01_01.TEI.2.text.body.div.sp.1417.s.3	deze zijn Priams zegelring .	None
vond001pala01_01.TEI.2.text.body.div.sp.1417.s.4	ik moeten hebben inhoud lezen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1417.s.5	Op mennen , het zijn verraad .	None
vond001pala01_01.TEI.2.text.body.div.sp.1417.s.6	ik ' dienaers fluks goed heen , behalve Palameed , roepen al de raad bij een .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1423.s.4	NESTOR .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1423.s.5	AIAX .	None
