stee033adag01_01.TEI.2.text.body.div.head.207.s.1	Ada , gravin vinden Holland en Zeeland ; treurspel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.633.s.2	u moede vertonen zien meest op deze groot dagge .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.639.s.1	Indien ik trouwen raden nog iets op uw vermogen , Vorstin , ...	Emotion_Loyalty
stee033adag01_01.TEI.2.text.body.div.div.sp.648.s.1	Weerspreek ik niet ; laten wij niet schandlyk vrees .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.648.s.2	gei , die ik gul verdiend , gei zullen gelukkig wees .	Emotion_Happiness
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.643.s.1	tegen Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.646.s.1	Tegen Lodewyk .	None
stee033adag01_01.TEI.2.text.body.div.div.head.650.s.1	Achtste toneel .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.652.s.1	Lodewyk , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.1	gei vleien uw zonder grond , indien gei wanen , mijnheer , die Adaas nutlooze echt , nadelig voor haar eer , gevaarlijk voor zij volk , ja voor u ' beide leven , uw het vreedzaam eigendom vinden het graaflyk erve zullen geven .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.2	u groot ziel verdiend een edel geluk , Verwin uzelv '; verrichten een zeldzaam heldenstuk .	Emotion_Happiness
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.4	weten gei hoe doen Zeeuw , Oostvrieslands graven genegen , Terstond al het hollands volk tot oproer kunnen bewegen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.5	die roeklooze Adelheide , in ijdel hopen misleiden , het Onwettig landbestier uiten staatzucht uw bereiden , Ja doen edel dwingen zij rechte mede Willems helpen te wreken ?	Emotion_EmotionalAction_Hope_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.6	Ik , op u deugd rusten , durven onbewimpeld spreken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.7	verwerven , o Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.8	doen lofspraak vinden het heelal , Door het afstaan vinden u bruid ; of duchten u ' beide vallen .	None
stee033adag01_01.TEI.2.text.body.div.div.head.671.s.1	Negende toneel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.673.s.1	Lodewyk ,	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.1	Hoe werk hopen en vrezen in ik bestrijden zin !	Fear_Emotion_Hope_BodyPart
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.2	o minnen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.3	zullen het Adelheide ... o eer !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.4	zullen het Amstel winden ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.5	o wreed liefde !	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.6	vlieden ; verscheur ik lang niet .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.8	pogen zien Diedriks weeuw te vasten in het gebied ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.9	Te heersen op ik ' naam ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.10	durven zij Ada roekeloos waag ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.11	En zij hebben vorstelijk erve ik tot die prijs bedragen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.12	graven Willem , nemen bezitten vinden uw landvoogdy : Natuur weerhoude u ziel vinden woest tirannie !..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.13	Neen ; die staatzuchtige zij het erfrecht ondermijnen ; ik harden , ik minnend harden in wanhopen stervend ' kwijnen ; En ik vorstin , beroven vinden al zij eigendom , zij plaag wijdte aan zij ' laf bruidegom .	Emotion_BodyPart_BodilyProcess_Love_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.14	verliggen Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.15	wat loten staan uw te kies ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.16	zijde zullen , indien zijde huwen , hebben graaflyk erve verlies ; En zode ik het oog bewind zij ' voogd in hand stellen , zullen hij zijn wettig rechte verkeren in wellen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.17	o dodelijk keuren !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.18	o angstig ogenblik !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.19	Hoe spoedig weten ik ik vinden het huwen af te schrik !..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.20	mare Diedriks weeuw doelen niet arglistig op het gezag : zijde willen verhindren , door een moederlijk gedrag , die zien een wrokken voogd bedekken op Ada bloedig ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.21	afgrijselijk denkbeeld !...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.23	ik liefde , hoe rampspoedig , Hoe zorgelijk , triomferen : een gruwelstuitende echt , Die het oog gezag ik geven , strijd tegen eer nog rechte ...	Honor_Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.24	Wat zeggen ik ?..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.25	droef bruid !	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.26	wat staan uw meest te vrees ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.27	zullen echt of landvoogdy voor uw gevaarlykst wees ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.28	doen zelf een wijze keuren in deze hogen node : Ik wachten vinden u besluiten ik leven , of ik dood .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.707.s.1	Einde vinden hebben eerst bedrijf .	None
stee033adag01_01.TEI.2.text.body.div.head.716.s.1	Tweede bedrijf .	None
stee033adag01_01.TEI.2.text.body.div.stage.719.s.1	Willem , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.sp.730.s.1	het zijn velen wagen , mijnheer , doen listigste al vrouw , doen wrokken Adelheide in deze paleis te aanschouwen , In schijn vinden afgezant zij ' toeleggen gae te slaan , En onder Hugoos naam het gevaar te doelen te staan .	None
stee033adag01_01.TEI.2.text.body.div.sp.730.s.2	wij heugen hoe fel doen twisten in het vorstelijk maagschap woeden .	None
stee033adag01_01.TEI.2.text.body.div.sp.730.s.3	Wat ramp , zode het hofgezin de minst argwaan voeden , En in de afgezant graven Willem worden gewaar !	Suspicion_Emotion
stee033adag01_01.TEI.2.text.body.div.sp.730.s.4	Hoe liggen worden gei bekennen !	None
stee033adag01_01.TEI.2.text.body.div.sp.730.s.5	u leven lopen gevaar .	None
stee033adag01_01.TEI.2.text.body.div.sp.speaker.732.s.1	Willem .	None
stee033adag01_01.TEI.2.text.body.div.sp.751.s.1	geren vrezen beklemmen ik harden , nu ik getrouw vriend Voor het algemeen belang zien al onderwinden , En ik bewegen tot een eedle veinzerij .	Fear_Emotion_BodyPart_BodilyProcess
stee033adag01_01.TEI.2.text.body.div.sp.751.s.2	kennen ik deze hofgezin ?	None
stee033adag01_01.TEI.2.text.body.div.sp.751.s.3	kennen Adelheide ik ?	None
stee033adag01_01.TEI.2.text.body.div.sp.751.s.4	naar het proefstuk mijn jeugd in het landen de Sarazynen , doen eertijds ik doen twisten in Holland weer verschijnen , mare mede een heir , en bij verdacht onbekend .	None
stee033adag01_01.TEI.2.text.body.div.sp.751.s.5	Verraad ik echter ik , zien , tot een heilryk einde ' , doen machtig edel in ik voordeel zien verklaren .	None
stee033adag01_01.TEI.2.text.body.div.sp.751.s.6	uiten zuchten voor het heilige rechte hebben gei de wassenaar , Egmonden , Banjaarden en Teilingen ontdekken Hoe Diedriks trots weeuw zij ' oude roemen bevlekken : Die bloem de adel , die , zoveel alles ik beledigen , ik doen ontrouw openbaren , en Diedriks willen verdedigen , spannen heimlyk aan mede ik : terwijl gyzelf , mijnheer , geren slaaf vinden u belang , mare waakzaam voor uw eer ; gei , zijn bisschop leenman , schuwen voor snood staatsbevelen , Grootmoedig ik beloven in het nut bestaan te deel .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.sp.759.s.1	doen rusten vinden Holland zijn het belang vinden Amstelland : zode tonen ik veilig ik de graven in zijn ' gezant .	None
stee033adag01_01.TEI.2.text.body.div.sp.759.s.2	Ik roemen doen heldendeugd vinden Diedriks groot broeder !	None
stee033adag01_01.TEI.2.text.body.div.sp.759.s.3	gei , Adaas voogd , ontzien geren staatzucht vinden zij moer	None
stee033adag01_01.TEI.2.text.body.div.sp.777.s.1	doen node , doen hoog node vereisen een heldendaad .	None
stee033adag01_01.TEI.2.text.body.div.sp.777.s.2	zien , zien doen jong bruid wikkelen in het verraad , haar onervaren jeugd in zorgelijk ogenblik mede huwlyksvreugd gestreeld , verwarren in minnestrikken , En zij verheffen deugd , die voor ik rechte nog pleiten , En luisteren na u ' raden , haasten jammerlijk verleiden .	Joy_Emotion
stee033adag01_01.TEI.2.text.body.div.sp.777.s.3	Ik hebben uiten deernis zij een duurzaam heil beschoren .	None
stee033adag01_01.TEI.2.text.body.div.sp.777.s.4	Die talen zijn uw verdenken ; hebben klinken uw vreemd in doen oor , die Willem , die weleer om het graaflyk staatsbewint Onwettig strijden , zode teeer die erfgravin beminnen : mare oordelen of ik torn , vinden oorlogsdrift bewegen , bij het bloedig krygsgeweer in Syrie opgetogen , kennen denken , in ik jeugd , die ooit mede wapenkracht Een held onwettig dingen na doen eer de oppermacht .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.sp.777.s.5	In later tijd zijn ik doling ik blijken .	None
stee033adag01_01.TEI.2.text.body.div.sp.794.s.1	uw openhartigheid doen ik vrijmoedig spreken .	None
stee033adag01_01.TEI.2.text.body.div.sp.794.s.2	zode gei het voltrekken vinden het gevaarlijk trouwen verbinden Niet edelmoedig tot u nadeel wederstond , mare Adaas erve landen poogde uiten staatzucht om te karn ; u heldenkling zij niet op doen edel triomferen .	None
stee033adag01_01.TEI.2.text.body.div.sp.794.s.3	beletten , op Hugoos naam , de voornemen echt ; Bevestig Diedriks wezen in zij geboorterecht ; En geven aan doen edel zij delen de landvoogdye .	None
stee033adag01_01.TEI.2.text.body.div.sp.794.s.4	zode hoop u deugd op het heil de nut veinzerye !	None
stee033adag01_01.TEI.2.text.body.div.sp.794.s.5	het gaan wel : rijden , op u komst , verdwynt doen zwart rouw , verklaren ik het groots geheim de opgestemde trouwen , doen Diedriks fier weeuw doen ontstellen burger gruwen , dwingen zij Ada , mare vergeefs , in al ijl te huwen , En tergen zij al het morrend volk , ja sterken zode u wijze list .	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.1	In het korten zijde het oud krakeel in het graaflyk huis slissen , doen spoorloos echt beletten , ik ' broeder kroos huldigen , En doen erfgravin zij heil aan ik voogdij verschuldigd !	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.2	o Ja , misleide bruid !	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.3	doen neiging vinden hebben bloeden , u moer onbekend , weerstreven in ik gemoed doen staatzucht , die ik nopen uw het wettig erve te ontrukken .	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.4	zij ik , die uw beklagen , uw trouweloos onderdrukken ?	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.6	hoeveel doen drift tot hogen staan vermogen , Ik minnen u ' welstand meer dan het onbepaald gezag .	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.7	o Diedrik , die , verraen door listig Adelheide , In het sterfuur vruchteloos om Willems bijzijn schreide , En door u ' laatst wensen , aan ik te spade ontdekken , In ik geheugenis een ' lief broeder strekken !	BodilyProcess_Sadness
stee033adag01_01.TEI.2.text.body.div.sp.820.s.8	versterken doen kracht vinden het bloeden in ik bewegen zin .	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.9	Ik hebben uw fel gehaat ; ik willen u spruiten beminnen ; Ik zijn , na u begeerte , en zuchten om u dood , Een vader voor u wezen , een toevlucht in zij ' node .	Emotion_Hatred_Love
stee033adag01_01.TEI.2.text.body.div.sp.820.s.10	uw , Amstel , helen ik niet , die teder medelijden En woest staatzucht in ik ziel elkaer bestrijden .	Emotion_Compassion
stee033adag01_01.TEI.2.text.body.div.sp.820.s.11	Indien ik laf bezwijken voor het vleien zelfbelang , En tot mijn oneer doelen op Adaas ondergang , Ik zij deze hartsgeheim uw niet te kennen geven .	None
stee033adag01_01.TEI.2.text.body.div.sp.826.s.1	hebben passen de groot held na doen opperst eer te streven .	None
stee033adag01_01.TEI.2.text.body.div.sp.826.s.2	mare in ik afzijn worden uw Ada liggen verleiden .	None
stee033adag01_01.TEI.2.text.body.div.sp.826.s.3	Vaarwel .	None
stee033adag01_01.TEI.2.text.body.div.sp.826.s.4	verdienen ik helpen door edelmoedigheid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.829.s.1	Willem ,	None
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.2	wreed drift !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.3	u werken zielvermogen verdoofd in ik misschien natuur en mededogen , zode gei mede goed kans , tot nadeel vinden mijn eer , na het oog bewind mogen staan .	Honor_Emotion_Compassion
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.4	o Glorie !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.5	triomffer ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.6	wij naderen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.7	het vorstelijk kleden , zij jeugd , mede smarten beladen , tonen Ada .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.8	zij ik drift doen onnozelheid verraden ?	None
stee033adag01_01.TEI.2.text.body.div.div.stage.843.s.1	Ada , Willem , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.1	In het bitter ongeluk zoeken Diedriks angstig kroos bij Willems afgezant een ' ongemeen troosten .	Fear_Emotion_Unhappiness
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.2	u graven , wie macht ik vrezen , wie haten ik willen vermijden , o Hugo !	Fear_Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.3	kunnen allee ik vinden wellen bevrijden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.4	zien hier , uiten vreemd dwang , in billijk harteleed , hebben rouwgewaad verkeren in het prachtig bruiloftskleed , het Paleis weer opsieren , ik tot een ' echt verwijzen , Die Ada schandlyk zijn , die Willem staan te vrees .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.5	verhoeden ik ' ondergang : ik stemmen die huwelijk niet , mare wachten in rijp jeugd op het wettig landgebied .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.6	Ik melden mijn onschuld uw mede ongeveinsd traan .	BodyPart_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.7	zullen gei , om tot ik ' rank u ' graven een ' wegge te baan , In koel moed zieden die Ada schandlyk hu ' ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.8	die ik , dwingen tot een misdaad , ..?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.10	ik gruwen zode hij geren snood belang ik ' vallen hebben doel besluit ' zullen gei die echt , die bron vinden bloedig oproer , stuiten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.11	Verdenk geren treurend harden vinden leus veinzerij ; hebben deernis mede ik jeugd ; besef wat smarten ik lijden .	Emotion_BodyPart_Compassion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.870.s.1	Natuur !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.870.s.2	verraad ik niet .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.868.s.1	te zijden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.875.s.1	gei peinzen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.875.s.2	Wat doen uw zwijgen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.875.s.3	zullen doen onschuld , zwaard verdrukken , bij niemand troosten verkrijgen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.880.s.1	gei zeggen ik velen , mevrouw .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.880.s.2	vlieden doen uw dreigen schande '; En wachten een wonderstuk vinden Willems afgezant .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.885.s.1	Ada , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.1	Wat antwoord , Hildegaard ! het vergroten ik wreed kwelling ; het verzwakken ik krank hopen .	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.3	moeten ik , tot herstelling vinden ik ' schenden roemen , onwetend ' ik verraen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.4	Ik smeken de afgezant , en hits doen tweedracht aan : Ik poog , verbeelden hij zien , hij listig uiten te horen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.5	worden ik , door Hugoos komst , een goed loten beschoren ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.6	Of wekken hij , tot ik ' ramp , de land aelouden twisten ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.7	Ik tergen hij , hoe het ook zijde , door ik gewaand list .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.8	ik moer !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.9	moeten ik uw mede wreed dwang betichten , En bij die afgezant niets tot ik heil verrichten ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.10	vergeven ik het stout bestaan ; hebben zijn uiten node geschieden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.11	ik willen uw gehoorzaam zijn , mare tot ik schande niet .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.12	Al kunnen ik droefheid niets op uw wreedheid winden , nog pleiten natuur voor uw in mijn ontstellen zin .	Worry_Emotion_BodyPart_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.913.s.1	ik ogen op u gebied ; nu blijken hebben klaar , mevrouw : En gei , nog willens blind , verfoeien een nut trouwen !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.913.s.2	gei kunde u weigring nu mede rijden niet verschonen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.913.s.3	Hoe durven u fier jeugd een teder moer honen , Die schijn vinden oneer lijden om u dreigen belang ?	Emotion_Other
stee033adag01_01.TEI.2.text.body.div.div.sp.913.s.4	verkiezen gei roekeloos een ' wis ondergang , terwijl u minnend harden , vleien door zij bevel , mede janhen Lodewyk u erfrecht wensen te deel ?	Emotion_BodyPart_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.1	verzwaren ik kwelling niet ; verdrijven uiten ik gemoed , Door u ' getrouw raden , een ' dwazen minnegloed , Een zielverteerend vuur , doen groot mijn plaag .	BodilyProcess_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.2	Hier durven een moer ik door fel dwang versagen , Daar dreigen ik het staatsgevaar ; nu vrezen ik Willems macht , Dan doen onuitwischbre schande ' vinden ik beroemd slachten ; En onophoudlyk zweven voor ik bekreten oog hebben beeld een vader , wieden doen dood ik hebben onttogen : nog moeten ik teder harden , bij doen yslykste ongeneugt ' , doen liefde weerstaan in het bloeien mijn jeugd , Ja , tegen het moederlijk bevel , een minnen verzaken , Die , mede ik ' plicht verenen , ik zij gelukkig manen .	Emotion_Happiness_BodyPart_BodilyProcess_Love_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.3	Ik kennen ik ' vader willen , zijn ' broeder rechte , mijn eer .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.4	Natuurpligt !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.5	sterk ik deugd : die Ada triomfeer ' !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.6	zij Diedriks wenen kroos uiten laf drift gehengen ..?	BodilyProcess_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.7	mare Lodewyk verschijnen ; ik zullen ik ' plicht volbrengen .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.937.s.1	Ada , Lodewyk , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.950.s.1	Vorstin , verbeelden uw niet , bij het nadrend ogenblik vinden het zeldzaam echtverbond , terwijl ik hopen en schrik , Daar uw doen kracht vinden het bloeden een ' vader doen beschreijen , die uw ik teder minnen mede bruiloftsvreugd zullen vleien : o Neen !	Fear_Emotion_Hope_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.950.s.2	deze aklig feest eisen traan ; ik wee mede uw : Nooit lijden u bruidegom zode groots een smarten alles nu : En echter , zode ik harden niet mogen na het uw ding , Ik zij doen droef zijn vinden al sterveling .	Emotion_BodilyProcess_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.950.s.3	vergunnen gei die ik vragen ' , in u ' gepasten rouw , Of gei ik liefde duld , en stemmen in ons trouwen ?	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.963.s.1	u groot ziel , mijnheer , voldoen aan ik verwachting : uw edelmoedigheid verdiend een eindlooze achten , Een eedler harden dan het mijn , en het opperst gebied .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.963.s.2	Nu gei ik smarten voelen , betamen ik het haten niet .	Emotion_EmotionalAction_Hatred_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.963.s.4	zij zien Ada mede ondankbaarheid bevlekken ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.963.s.5	mare kunnen ik ooit mede uw ik huwelijk voltrekken ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.963.s.6	die schandlyk trouwverbond , u zuiver minnen onwaard ' , besluiten in een drift die het heilige rechte niet sparen , zijn heilloos voor ik landen , en dodelijk voor wij beide .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.963.s.7	hopen nooit u droef bruid na het echtaltaar te lijden .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.969.s.1	o harden talen !..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.969.s.2	Vorstin , vrezen Willems landvoogdy ; duchten zijn ontzinde wraken .	Fear_Emotion_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.973.s.1	mijn onschuld pleiten voor ik .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.977.s.1	zijn staatzucht ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.988.s.1	Neen , mijnheer ; ik zullen geren ' Willem duchten , Wanneer ik uw niet vrezen ...	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.988.s.2	ik willen niet in schande zucht .	BodilyProcess_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.988.s.3	verbeelden uw echter niet , die ik , die uw beklagen , Die uw deugd roemen , uw wederliefde dragen , En door een teder vaarwel , uiten dwaas minnen spruiten , bij het weigeren vinden ik hand , u kwelling zullen vergroten : Neen , Lodewyk , denken eer :  die Ada vinden ik scheiden ,  Bewyst zij ' bruidegom haar ongevoeligheid .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1003.s.1	zullen gei , aan ik verloofd , nog haten nog liefde kweken ?	Emotion_Hatred_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1003.s.2	o wreed !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1003.s.3	u afkeer zijn ik duidelijk blijken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1003.s.5	gei bedekken u ' haten mede Willems heilloos rechte , rome ?	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1003.s.6	Opdat ik afstand doen vinden ik ' besluiten echt Mevrouw , moeten gei ik deugd uiten wantrouwen veinzen ' Neen ; duchten vinden ik geren ' dwang , die groot ziel doemen ; denken niet die Lodewyk , vinden uw gehaat , verachten , zien ooit bedienen zullen vinden Adelheides macht ; bekennen vrijen die u harden door afkeer worden bewegen , schonen ik , mede hopen vleien , en jammerlijk bedriegen , doen smartelykste dood voor u verachting kiezen , Die ik doen ziel verscheuren , nog meer dan u verliezen .	Suspicion_Emotion_Hatred_Hope_BodyPart_BodilyProcess_Sadness_Disgust_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.1	verachten ik uw , ik heer ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.3	hoe kunde gei het waan ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.4	Wat hartstocht ik bewegen , bewijzen uw ik traan .	BodyPart_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.5	zijn deze uw haten ?	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.6	zijn deze wreedheid ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.7	worden ik jeugd Niet fel genoeg bestreen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.8	belagen gei ook ik deugd ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.9	Ik , door ik ' vader dood ellendig , door zijn ' broeder mede dwingelandij dreigen , door mijn ontaarde moer In diep wede storten , en in doen zwaar smarten verplichten te strijd mede doen neiging vinden ik harden ; Ik , dus te doelen stellen aan het woeden mijn plaag , moeten nog , vinden troosten ontbloten , u bits verwijten verdragen o onverwacht ramp !	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.10	o dubbel zielverdriet !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.11	kennen , kennen ik , Lodewyk : uw Ada haten uw niet ; zijde minnen uw ...	Emotion_Hatred_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.12	moeten die talen ik in myn'rouw ontglippen ?.	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.14	zode geren streng plicht ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.15	doen schaamte sluiten ik lip .	Emotion_BodyPart_BodilyProcess_Shame
stee033adag01_01.TEI.2.text.body.div.div.sp.1028.s.1	Neen ; blozen niet ; neen , mevrouw : ik harden , in zegepralen , zullen niet ondankbaar zijn voor zulk een lief talen : Ik willen , vinden uw beminnen , veeleer vinden liefde sterven , Dan , levend in u ' haten , u waard hand verwerven .	Joy_Emotion_Hatred_BodyPart_BodilyProcess_Love_Shame
stee033adag01_01.TEI.2.text.body.div.div.sp.1043.s.1	Ik kennen de graven vinden lot aan die grootmoedigheid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1043.s.2	gei zien vorst Diedriks wezen , die zij verliezen beschreit , doen traan vinden natuur en liefde samenvoegen .	BodyPart_BodilyProcess_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1043.s.3	laten die bekentenis voor altoos uw vernoegen ; Ontvlie voor eeuwig ik ; bedwing zode ver u minnen .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1043.s.4	Nooit zullen uw Ada , nooit zullen Hollands erfgravin zij ' bruigom alles tiran in Diedriks erfdeel leiden : Ik willen , o Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1043.s.5	zode groots een schande mijden , geren ' adel , geren gemeente ooit , tot ik ' ondergang , doel tred , tegen ik , in Willems wreed belang .	None
