meij001verl01_01.TEI.2.text.body.div.head.2412.s.1	doen verloofd koninksbruidt , treurspel .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3391.s.2	weten dan , die ik ' zinnelijkheid tot gheen vinden beide held , nochte , om ik te vernoeghen , gij uw , tot zijn oudsten scha , hoeven naar ik ' lusten te voegen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3394.s.1	het schelen uw dan niet , wij het zijde ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3398.s.1	hebben raken ik even zeer : wan , wij het ook zijde , hij woord mjjn Bruighom nimmermeer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3401.s.1	Hoe ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3401.s.2	zullen gij dan doen wil uw vader weerstreven ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3405.s.1	die kaar doen Heemel !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3405.s.2	Wat hij ik hebben voorgheschreeven , zullen ik betrachten , zode alles het een dochter passen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3408.s.1	trouwen dan een mijn zoon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3411.s.1	die hebben hij niet belasten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3414.s.1	Verloofd ' hij uw niet , aan die hier doen kroon zullen erf ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3417.s.1	Ja , alles een wettig Vorst .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3421.s.1	zullen die niet , naar ik sterven , Een mijn zoon zijn ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3426.s.1	hij zijn het , vol roem , zode gij Die niet verweldighdt hebben , door woede dwingelandij , de recht erfghenaam , mede onrecht , doen sterven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3429.s.1	die zijde , zode het willen ; hij zullen doen kroon hier wettig erf .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3432.s.1	Onwettigh Koning nooit een wettig oor nalaten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3441.s.1	Zijn ' lassen bedisselen die zode spitsvinnigh niet .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3441.s.2	hij , alles gij huwbaar waard , hebben uw te echt beschooren de Britschen erfprins , en die zijn nu ik eerstghebooren , die zode gij wraken , wraken gij , het gheen Vader hebben ghewildt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3453.s.1	doortrapt dwingeland , verbeelden gij uw Mathild ' , zode snap vinden moed , zode slechten vinden brein , die , door schonen praten , zijde , tot die trouwverbondt , zien zullen inluyen laten , Bezwalken , mede die smetten , doen Kaledoonsche kroon , En plant haar voeden op u ' gheroofden tronen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3453.s.2	nul neen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3453.s.3	ik Vader , alles hij ik , mede zijn kroon , Brittanjes Prins bespreken , hebben op uw voorzaat zoone hebben oog ......	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3459.s.1	Die zijn vinden kanten , en stellen zijn witten te loor , Mevrouw .....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3466.s.1	Dus langen wezen : mare komen nu weder voor de dag , om uw , Tiran , naar zijn kroon te steker , ik ' trouwen t'anvaerden , en zijn vader dood te wreken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3466.s.2	Dus , zijn gij welberaan , stijgen vinden zijn ' zeetel neder , En ruimen u ' Koning in , zijn plaatsen ; eer hij het uw leren ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3472.s.1	hebben dan deze straatgheruchte uw harden mede innemen , En steuntghe op d'aankomst , vinden die nimmermeer zullen komen , Die in de oploop , al te zeker , raken om hals ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3472.s.2	zode zultghe .....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3480.s.1	Neen , ik weten die straatgheruchte zijn vals : mare weten ook gij ; ik zijn te fier , ik ' trouwen te gheeven de zode een Dwinglandts , die ik bruighom brengen om het leven , En in zijn erfghoedt zitten mede overdwaalsch verraden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3483.s.1	Wat maaktghe dan te hof ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3488.s.1	Om uw , en uw staan , hebben onderst ' boven , tot ik bruighoms wraken , te wonen , En het ghansche koningdom uw op hebben lijf te schenden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3491.s.1	laatdunkend Mathild ' , denken gij wel , zijn gij zijn ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3494.s.1	Daar zode velen schuld'loos bloed om wraken gheduurigh krijten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3497.s.1	wild een te deeg , wij ik zijn , en wij gij zijn , bezinnen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3500.s.1	gij zijn een Dwinglandt , ik een wettig Vorstinne .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3503.s.1	Hoe trotst gij dus het ontzag vinden mijn scepterstaf .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3508.s.1	zeg vinden u ' Dwinglandye , aan elk zode harden , en straffen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3515.s.1	Welaan : ik ' dwingelandij , dewijl uw ik ' zachtzinnigheidt schijnen voeden te gheeven , tot deez ' schamperheidt , en vinnigheid , Daar zijde moeten worp , mede ghoedtaartigheidt , lonen , zullen uw verleren , die gij ik dus smaadigh honen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3515.s.2	Daar zijn ik zoon .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.3519.s.1	Ghrimoald , Mathilde , Atelstan , Trasimond , Alarik .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3523.s.1	horen ik ' kind , komen nader , En wreken doen smaad , en honen vinden uw , en uw Vader .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3526.s.1	wij zijn hebben , die uw honen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3529.s.1	wij zijn hebben , die wij smaad ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3532.s.1	hij hebben te wacht het lot voor zulk een euv'len daad .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3535.s.1	Deez ' handen wij wreken zullen , te koste vinden ik leven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.3536.s.1	Atelstan te zijde .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3538.s.1	En deez ' , te kosten ' vinden het mijn , uw beide weerstreven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3550.s.1	nul eed'le vonk , vinden ik ' hooghgheboorenheidt , gij aard naar het zaad , zijn vinden u ' stam worden opgheleidt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3550.s.2	u moed tuigen vinden ik bloed .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3550.s.3	ik ' smaad te wil wreken zijn vinden u ' dapperheid een onbedrieghlijk teken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3550.s.4	Een ad'lijk harden , zijn in doen manhaft spannen doen kroon , Ghedooght niet , in zijn eer , doen klein kreuken vinden honen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3550.s.5	Welaan dan , volght die spoor , en wild doen wraken beginnen ; Daar staatze , die hebben gheldt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3553.s.1	wij zijn het , doen koningin ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3556.s.1	wij , wij verloofd bruid ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.1	Gheen bruid , gheen Koningin ; mare woede vijandin .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.2	Wat wanen gij , datze in het zijn Ooit hebben hebben , mede uw in d'echt zien te begheeven ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.4	zijde zijn vinden stam , en moed , te hooghverheeven , Om te bezalighen een wreed Dwinglandts zode , mede d'overmilde ghonst vinden haare trouwen , en tronen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.5	Dus hoontze , en lasteren wij ; en roemen , allee te hof Te zijn verschijnen , om ik ' staan hebben onderst boven Te wentelen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.6	Doch zieden wie zij , eerze wij benart , die kans af ......	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.7	mare , gij staan versuffen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.8	zijn zinken u harden , Welk straks u ' tong deedt vuur , en vlam , spuwen teeghen ik ' vijandin .	BodyPart_BodilyProcess_Despair_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.9	zijn smelten doen fierheidt uw degen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.10	Zijn deze uitwerksel vinden ik bloed , en vinden u ' moed ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.11	mare ik merken , zijn hebben uw schorten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.12	Een vuighe minneghloedt Ontzeenuwt uw arm : zij juk blutsen uw schouder .	Emotion_BodyPart_BodilyProcess_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.13	verwijfd , quijtghe uw dus tot bijstand uw ouder ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.14	ik ' zoon , zijn steektghe ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.15	wan gij zijn ik ' zoon niet , Die t'mijner helpen voorheen niets achterwege laten .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.16	zijn ik dan zwerm ramp , en onspoedts doorghespartelt , Om , vinden een teren maaghdt , te worp afghemarteldt , In het aanzien mijner zoon ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.17	nul neen , het zullen ander ghaan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.18	doen spijt wringen ik het gemoed .	Emotion_BodyPart_BodilyProcess_Remorse
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.19	doen wraken dienen vol te staan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.20	ik weten raad , om , mede een slag , die op doen koningin Te nemen , vinden zij ' trots , en vinden hunn ' dwaaze min .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.21	Lafhartighe , wij eest vinden uw wreken deze honen , zullen eerstghebooren zijn , en erfghenaam de kroon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3592.s.1	Heer Vader ...	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3595.s.1	denken ...	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3601.s.1	denken gij , wat uw staan te beginnen , of volghen ik ghebodt , en zode ik ' scepter winden , of volghen uw minnen , en daar vinden zijn beroofdt .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3601.s.2	ik ' kroon zijn niet te koop , dan voor Mathildes hoofd .	None
meij001verl01_01.TEI.2.text.body.div.div.head.3603.s.1	V. toneel .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.3604.s.1	Mathilde , Atelstan , Trasimond , Alarik .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.3605.s.1	Atelstan teeghen Mathilde .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3608.s.1	Mevrouw , die zijn vonnissen vinden u ' dood , zode gij u leven behoudens wild , laten wij deze heilloos hof begheeven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.3609.s.1	Mathilde teeghen Atelstan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3614.s.1	Hoe , mede ghevaar daar in ghetooghen , uiten ik land ; En al de adeldom ghekreeghen op ik ' handen , Om , onverricht zaak , zode los vinden hier te scheiden ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3614.s.3	ik houden stand , en willen hebben uiterst verbeiden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3618.s.1	u ' willen strekken ik een weten ; en waaght gij , om ik land , u leven ; het ik ' , Mevrouw , staan daar voor weer te pand .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3624.s.1	zijn staan standtvastigheidt , vestigen op zulk wortel , Die deze donderslag niet neederslaat an mortelen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3628.s.1	nul schrikkelijk ghebodt !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3628.s.2	wat dol donderslag ploffen ooit , op het mensdom , neder , die hier bij halen mogen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3631.s.1	Ach Broeder !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3634.s.1	Broeder , ik bezwijk in zulk een lijden !	Emotion_BodilyProcess_Sadness_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.3637.s.1	staan pal , en laten de moed , zode moedeloos , niet ghlyen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3640.s.1	Wat moed mogen teeghen zulk een onghemeeten ' ramp ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3644.s.1	doen ramp wegen over : mare ghoe raad hebben vaak een kampen winnen , die allee voor moed staan te verlies .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3647.s.1	Wat raad , voor wij , in deze verwoed gheval , te kies ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3651.s.1	Een , die wij redden , uiten deez ' erbarmelyken stand ; zode wij doen Koningin mare bieden willen doen handen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3656.s.1	ik ondersta , hoe het bij zij Hoogheidt liggen scheren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3667.s.1	gij hebben , Mevrouw , het ghebodt vinden Vader mooghen horen ; Doch wachten vinden wij , die , voor u ' leven , staan ghereedt wij bloed te storten , niet hebben allerminst leed .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3667.s.2	wie komen slechts , om , mede u ' voorzicht , raad te leven , Hoedat ik deze ghevaar , op het veilighst , door zullen streven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3692.s.1	doorluchtig broeder , welwaerdigh mijner trouwen , geloven niet , die ik harden gheknaaghdt woord vinden berouw , Omdat ik ik , voor die ik zijn , hebben laten horen , En , door ik ' rondigheidt , tergen u zijn vader toorn ; of die hebben liggen zode liggen , die daar zijn dreighement , En wreevele eisen , een vonk vinden laf vrees in prenten .	Fear_Emotion_BodyPart_BodilyProcess_Anger_Remorse
meij001verl01_01.TEI.2.text.body.div.div.sp.3692.s.3	doen Koninksstam , uiten week ik zijn ghesprooten , blazen vrijen een eed'ler geest , en fierheidt , in zij ' loot , Die ook ik ' boezem vullen , en door mijn ader vloeien .	BodyPart_BodilyProcess_Pride
meij001verl01_01.TEI.2.text.body.div.div.sp.3692.s.4	mijn inborst op doen lezen vinden zij vooroud'ren schoeien ; En zode hij zien , mede eer - en ghodtvergheeten ' hand , tot koeling zijn wraken , verstouten ik aan te rand , ontzien , nocht ik ' kunn ' , nocht ik ghezallifdt hoofd , hij zijn meer weerstandts , alles hij wel verwachten , beloofdt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3692.s.5	mijn eersleep zullen , voor ik , zij bloed te goed gheeven , En , zode die schikken te korten , zullen ik , nevens zij , ik leven besluit , onvertzaaghdt , mede een heldinnedoodt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3692.s.6	mare eevenwel , om , in hebben nijpen deezer nood , u ' raad niet reuk'loos in de wind te slaan , laten horen , Wat weg , om deze ghevaar t'ontghaan , gij hebben verkiezen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3714.s.1	Indien zij ' Majesteit zien wouw verneed'ren , om uiten wij , zij ' dienaars , een tot haar bruideghom Te kies , heffend ' hij alzo tot eerstghebooren , het Ghevaar waar afghewendt , en kracht'loos vader toorn .	Emotion_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.3714.s.2	wij harden belijden rondtuit , die onz ' zijn , te kleed , In gheenen delen ' verdiend , op het bruiloftsbedt te treden , mede uw alwaerdighe , en doorluchtighste ghrootmooghendheidt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3714.s.3	mare het hopen ook weer , die u ' ghenadighe meedooghendheidt zien zullen erbarremen de heet minneghloedt , zijn in hebben branden , en blaken .	Emotion_BodilyProcess_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3714.s.4	wie weten ook , u ' moed , Voor gheenigh dreighement , te zwichten , nocht te bukken ; En die u volk , velen eer zien kap laten in stuk , Dan toestaan , die ik uw in het minst veronghelijkt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3714.s.5	Nochtans zijn het , die hunn ' macht zode ver ' voor vader wijken , die hebben zien , t'uwer scherm , vergeefs in het stalen zullen steker , zode hij mare toeleght , zijn gheleeden leed te wreken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3714.s.6	Dies , willen zij ' Majesteit ontvluchten het anstaand kwaad , dunken deze wij ver doen licht , en zorghelooste raad .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3719.s.1	u zijn vader ghramschap willen , in woeder vlam , blaken , wennen hij uw , niet allee zijn streng ghebodt zien wraken ; mare , mede zijn ' vijandin , anspannen , tegen hij .	Emotion_BodilyProcess_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.3725.s.1	Zijn ' toren ghroey , zoze willen : zijn ' macht krijgen minderen klemmen ; Mits elk , die gij verkiezen , zullen eren , en beminnen , alles Errifvorst , en uw , alles zijn Vorsten ghemaalinne , wieden het ghoudt de majesteit omstralen hebben heilig hoofd .	Emotion_Love_Dedication_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.3729.s.1	hij ondertussen staan zode niet vinden macht beroofdt , of zoudze , t'onzer scha , te koste liggen mooghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3733.s.1	Elk onderdaan velen meer beghroet , en zien naar d'ooghen het Opghaande morghenlicht , dan d'onderghaande zinnen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3738.s.1	ik ' keuren gheen erfprins maken ; vermits zijde dolen kennen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3738.s.2	u Vader horen die rechte : hij kennen de eerstghebooren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3741.s.1	die gij verkiezen , zijde Prins , wieden het rijf staan toebeschooren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3745.s.1	ik keuren zijn , Vorsten , blind , en , het hand an het los gheval , Indien zijde doen natuur niet weerspreken zullen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3753.s.1	doen kroon horen wij , Prinsses ; en , zonder het rechte te krenken , kunnen elk de ander vinden wij zijn aandeel schenk .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3753.s.2	wie ruim , die gij kiezen , uw , en de rijkstroon in , En , die gij wraken , ontstaa doen kroon , en uw minnen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3758.s.1	mare Prinssen , overwegen gij wel , die door ik kies , de schatten , die d'een verkryght , weer d'ander zullen verlies ; En zijn een voorspoed baard de ander tegenspoed .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3762.s.1	ik hebben die slag voorzien , en teeghen zij het gemoed Ghewapendt , mede een schild vinden moed .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3766.s.1	zode wild gij , heer , die ik zullen kies ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3769.s.1	het zijn wij eenighste begeren .	Emotion_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.3772.s.1	Ik duchten , hebben waard ' zode haasten ghevolght vinden naberouw .	Emotion_Remorse
meij001verl01_01.TEI.2.text.body.div.div.sp.3775.s.1	Eer krijgen wij minnevuur een afkeer vinden u ' trouwen .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3778.s.1	Eer wensen hebben , eeuwig , vinden u ' ghonst te zijn versteken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3783.s.1	gij wild hebben eindelijk ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3786.s.1	het zijn het eenighst , daarwe om smeken .	EmotionalAction_Desire_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.1	Welaan dan , ik volgh u ' wil ; en zode ik ' keuren uw smarten , wijd die uw zelf , niet ik , wienze afghedrongen worden .	Emotion_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.2	Manhafte Prinssen , het liggen de deugd , welk hebben gheblonken uiten al u doel , bekwaam hebben kilste harden t'ontvonken , zijn ik bekendt ,; en uw doen ghlans de trotse stam , En het koninklijk gheslacht , zijn uiten ik oorsprong nemen , het Welk , door u aanwas , zij afschynen mede meer lustre , Indien u ' ghlorie niet bezwalkt staan , vinden velen duisters , Welk draaiboomt uw de weg naar mijn tronen , en trouwen .	BodyPart_BodilyProcess_Love_Moved
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.3	wan , die ik d'eer ik huis , noch onbesproken , zij Bezoed'len , en , door schandt , zijn achtbaarheidt vernederen , ik harden te preuts zijn , en te keurig op haare eer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.4	Ik minnen u ' deugd , mare haten hebben bloed de Dwingelandts , hebben een verlichten u ' lof , hebben ander doven zij ' ghlants .	Emotion_Hatred_Love_Awe
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.5	bedenken uw , welk vinden bei gij kies wild , oft wraken ; u ' keuren , oft wraking zullen ik ' keuren oft wraking maken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.6	Ik volgh , treden gij mare voor ; en , die ik ' handen begeren , maken , die hebben dwinglandtsbloedt zijn ' deugd niet meer onteren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.7	hij scheur doen schakel , die hij hechten aan een verrader , En , wassen zijn ' schande in het bloed vinden zulk een vader , tonen , door een heldendaadt vinden hooghverheeven aard ; die zijn handen ik harden , zijn ' kruin ik ' kroon zijn waard .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.8	of kleven gij noch te vasten an het maagschap uw vader , zode veest met moordenaar , en dwinglandts , en verrader .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.9	gij moeten hij volghen , zode gij uw zijn ' zoon roemen , of moeten hij straf , zode gij zijn misdrijf verdoemen , En toon , het slechts naar het bloed , niet naar het gemoed te wees .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.10	Wat zijn deze ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.11	uw ijver flaauwt , terstond zode oog ghereezen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.12	Ik hebben deze wel voorzien .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3829.s.1	Vorstin ....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3837.s.1	gij komen te spade .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3837.s.2	hebben oog woord zijn ' er uiten ; en het ghaat ik ' kroon te naar zode ik het herriepe .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3837.s.3	Dies , wij eest zijn bloed verzaken , En zien , door zijn Dwinglandts dood , zullen mijner waardig maken , die zullen ik , op ik ' tronen , en bruiloftsbedt , ontfaan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3837.s.4	varen wel .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3837.s.5	gij mogen uw mede ghemak daar op beraan .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.3840.s.1	Trasimond , Alarik .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3843.s.1	nul vonnissen , vol ghevlijmde woord !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3846.s.1	nul uitspraak , al te straffen , en wreed !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3849.s.1	die ik doen barsten doorsnijdt ,	BodyPart_BodilyProcess_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.3852.s.1	Die ik doen ziel komen moord ,	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3855.s.1	mede onverdraaghlijk hartenleedt ,	Emotion_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.3858.s.1	mede weedom , die gheen weergha weten ,	Emotion_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.3861.s.1	Daar bijstand steedts voor zwichte ,	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3864.s.1	En weerstandt onder smoren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3867.s.1	wan kiezen ik niet , ik steken in pijnen ;	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3872.s.1	En kiezen ik al , wij dreigen noch quaader .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3875.s.2	Mathildes hoofd eisen Vader ,	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3878.s.1	En zijde daarteeghen weder het zijn !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3883.s.1	Indienwe , om het Krooneghoudt te winden , Ghehoorzaam volghen vader zijn ; wie worp moorders vinden ons eighen ' koningin .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3888.s.1	Indienwe , uiten liefde , stem in Mathildes eisen , om weedermin , wie worp vaderbeuls , onwaardig haarer min .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3892.s.2	kiezen ik niet , ik steken in pijnen ,	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3906.s.2	zullen ik vader eisen weerstreeven ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3906.s.3	mare zullen ik ook , om d'errifkroon , zij nemen het leven , daar ik zonder niet kunnen leven ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3911.s.2	zullen ik wraken zij ' gheboon ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3911.s.3	mare zullen ik ook , om weermins lot , hij nemen het leven , die wij het leven hebben ghegheeven ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3935.s.1	het zijn goed dan , welbedacht , te mijden , In deze storm , aan laegher waal , Twee kleppen , daar wij schip op schipbreuk staan te leiden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3935.s.2	Dies wachten ik , in deze ongeval , Wat uitkomst wij verlenen zullen doen Heemel , wie genade wij kunnen allee bevrijden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3935.s.3	Ik kiezen niet , schonen ik steken in pijnen : wan kiezen ik , ik dreigen noch velen quaader .	Emotion_BodilyProcess_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.3935.s.4	ik Onzegh Mathildes hoofd an Vader , En zij daarteeghen weder het zijn .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3947.s.1	het zijn goed dan , ghoeden raad te leven , hebben heet vuur voorbij , en in hebben zwak te stap , en , vol moedts , daar door te streven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3947.s.2	Ik voegen ik dan naar vader zijn , Uitdoovende doen branden de minnen , En kiezen zijn ' kroon voor het heil , welk liefd ' beloven te gheeven ; En troosten ik deze klein pijnen , dewijl ik ander storten in quaader .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3947.s.3	ik brengen dan Mathildes hoofd an Vader , En weigher zij daarteeghen het zijn .	None
meij001verl01_01.TEI.2.text.body.div.div.p.3949.s.1	Einde de tweede Bedrijfs .	None
meij001verl01_01.TEI.2.text.body.div.head.3953.s.1	Derde bedrijf .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.3955.s.1	Velleede , Fastarad .	None
