focq001mini02_01.TEI.2.text.body.div.head.227.s.1	doen minnen in het Lazarus-huys .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1400.s.1	goed nacht : ik gade : wild tocht die vrouwmens wel bewaren , En schonen die zijde wat vreemd en yss'lyk komen te baar , En achten die niet , mare houden zij dichjes in doen vallen , Door die ik uw hier af helen wel belonen zullen .	None
focq001mini02_01.TEI.2.text.body.div.div.head.1402.s.1	Zevende toneel .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.1405.s.1	Valerius , allee .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.1	Tot morgen toen helen vragen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.2	o groot mijn vriend !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.3	gei zullen hier zekerlijk een heerlijk uitkomst vinden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.4	Ik zijn gelukkig , ja gelukkig zijn ik gewis , die d'uitkomst vinden ik raden zode wel bevallen zijn !	Emotion_Happiness
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.5	Vermits ik tot ' er dood wassen mede ik vriend verliggen ; Doch nauwelijks hebben ik hij in het Laz'rus - huis krijgen , Daar hij gezond , en wijze , ontvluchten zijn dreigend loten , Of zelf kaar ik daar weder uit , zode ziek alles zot .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.6	Nauw hebben ik die zottin terstond daar in zieden ham , Of straks ontvangen ik ziel zode fel Blixem-stralen uit zij lazuur gezicht , die in die zelfde tijd Ik ik verstaan verliezen , en worden ik zin kwijt ; passen of ik zotheid uiten doen haar wassen verrijzen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.8	wat bevalligheit bevinden ik in zij wees !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.9	zij zoet treurigheit , en minnelijk spraak , ontsteken in ik ziel een zotheid vol vermaken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.10	zode die ik vinden doen minnen , door varsch-ontsteeken hetten , ik mede doen zotheid reeds veel vinden deze vrouw besmetten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.11	o spoorloos minnen !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.12	wat zijn hebben die gei maken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.13	die gei op het onvoorzien ik mede deze zotheid raken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1430.s.14	Die ik dwingen morgen vragen weder naar deze huis te karn , Op die ik door een list volvoeren ik zot begeren ; Of , op die ik mede een , doen dwaasheit vinden ik Geest mede hebben ontstellen Brein vinden al doen resten genezen .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.1432.s.1	Einde vinden hebben eerst bedrijf .	None
focq001mini02_01.TEI.2.text.body.div.head.1436.s.1	Tweede bedrijf .	None
focq001mini02_01.TEI.2.text.body.div.stage.1439.s.1	Anna , Catryn .	None
focq001mini02_01.TEI.2.text.body.div.sp.speaker.1441.s.1	Anna .	None
focq001mini02_01.TEI.2.text.body.div.sp.1446.s.1	zode weten gei dan Catryn ik zode ver te bepraten die ik om uwent willen ik Kamer hebben verlaat , En hier tot op doen plaatsen mede uw komen ben. zeggen op , wat willen gei nu ?	None
focq001mini02_01.TEI.2.text.body.div.sp.speaker.1448.s.1	Catryn .	None
focq001mini02_01.TEI.2.text.body.div.sp.1458.s.1	Me-Juffer !	None
focq001mini02_01.TEI.2.text.body.div.sp.1458.s.2	ik bekennen die ik eer waardig zijn lasteren dan prijzen , En die ik zotheid gewis vinden uw bespotten moeten wees ; alles ik uw zeggen gaa doen doling vinden ik zijn ; En die ik hier in huis een nieuw zot beminnen : mare echter , wild u Oom straks het huis zijn uittreden , zode horen in vryigheit , die ik uw een in het breedte ik minnen vertalen gaa : terwijl wie hier misschien ik aangenaam zot terstond wel zullen zieden .	None
focq001mini02_01.TEI.2.text.body.div.sp.1465.s.1	Hoe nu , Catryn !	None
focq001mini02_01.TEI.2.text.body.div.sp.1465.s.2	wat zijn deze ?	None
focq001mini02_01.TEI.2.text.body.div.sp.1465.s.3	Wat koorts ontstellen u zin , die gei vervoeren worden om een Laz'ruszot te min ?	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.sp.1465.s.4	mare neen , ik zijn verdolen : ik denken die gei mede ik spotten , Vermits ik nooit een mens verliefd zien op een zot .	None
focq001mini02_01.TEI.2.text.body.div.sp.1470.s.1	doen minnen zijn zelf zot , die moeten Me-Juffer weten , En die niet zot en zijn , die mogen geren minnaar heet .	None
focq001mini02_01.TEI.2.text.body.div.sp.1474.s.1	Een teken , die hij uw niet helen velen wijsheid laten .	None
focq001mini02_01.TEI.2.text.body.div.sp.1478.s.1	wij zien ' er die doen minnen mede wijsheid zamen gaan ?	None
focq001mini02_01.TEI.2.text.body.div.sp.1484.s.2	een vreemd zot , hier koorts eest inkomen , Die hebben uw dan alree al u verstaan ontnemen ?	None
focq001mini02_01.TEI.2.text.body.div.sp.1484.s.3	het zijn goed te zieden , die gei niet velen te mis hebben .	None
focq001mini02_01.TEI.2.text.body.div.sp.1493.s.1	zijn wees , en gedaant bedriegen ik , zode die Ik hij daar door in het eest langen hebben voor wijze rekenen .	None
focq001mini02_01.TEI.2.text.body.div.sp.1493.s.2	wan het wassen zijn zotheid niet , Me-juffer , die al spreken , ik dus betoveren hebben ; mare het wassen terwijl hij zweeeg , die ik hebben minne-vuur eest in ik boezem krijgen .	Emotion_BodyPart_BodilyProcess_Love
focq001mini02_01.TEI.2.text.body.div.sp.1497.s.1	Hoe kunnen een wijze mens toch verlieven door hebben zwijgen ?	None
focq001mini02_01.TEI.2.text.body.div.sp.1504.s.1	gelijk ik liefde tot een schilderij kunnen krijgen , zijn in een Beeltenis , die wij doen zin strelen , wij , al stilz wygende , vaak harden en ziel ontstelen , zode zijn ik door een beeld met gans ontroven vinden zin .	None
focq001mini02_01.TEI.2.text.body.div.sp.1508.s.1	Wat groot dolligheid , een stom stenen te min .	None
focq001mini02_01.TEI.2.text.body.div.sp.1512.s.1	o Ja , ik hebben aan een stenen geven ziel en harden .	None
focq001mini02_01.TEI.2.text.body.div.sp.1516.s.1	mare wat genot of heil verwachten gei uiten deze smarten ?	None
focq001mini02_01.TEI.2.text.body.div.sp.1520.s.1	ik heil bestaan allee in op geren heil te pas .	None
focq001mini02_01.TEI.2.text.body.div.sp.1524.s.1	gei zijn , geloven ik , dol ; doen manen die zijn aan het zijn .	None
focq001mini02_01.TEI.2.text.body.div.sp.1529.s.1	ik dolheid hand misschien vinden het groeien vinden doen manen ; mare , mede doen zinnen vinden het lukken groeien ook ik liefde aan .	None
focq001mini02_01.TEI.2.text.body.div.sp.1537.s.1	gei zijn door zinnen en manen allee niet zot te heet ; mare gei zijn Gek en Dol , door al doen achten planeet .	None
focq001mini02_01.TEI.2.text.body.div.sp.1537.s.2	het zullen goed zijn , die ik Oom uw mede een hok vergunnen , zijn die gei u verstand weder wat vergaren kunde ; wild ik allee wederom zullen naar ik ouder karn .	None
focq001mini02_01.TEI.2.text.body.div.sp.1547.s.1	Eer ik hebben woerd gezicht vinden kerel zij ontberen , zode hebben ik lief hier puur zot , ja dol te zijn .	None
focq001mini02_01.TEI.2.text.body.div.sp.1547.s.2	keren gei daarom vrijen weder naar Haarlem zonder ik : wan , wild ik , alles gei zeggen , vinden liefde zot moeten wees , zode blyf ik lief hier , om ik te doel genezen .	None
focq001mini02_01.TEI.2.text.body.div.sp.1547.s.3	mare zien daar komen hij aan .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.1552.s.1	Ferdinand in Sots-kleeren , Anna , Catryn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1556.s.1	zijn deze u Minnaar dan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.1	Hoe , ik boeien !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.2	wij doen ik deze keten an ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.3	Of hebben gei deze braden ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.4	hebben gei ik binden laat ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.5	o groot kastelein vinden het Slot vinden Damiaten !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.6	zode zweren ik , die ik ik hier over wreken zullen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.7	wan , schonen die gei die Reus , passen alles een Maly-bal , Lest mede een Vuist-slag hebben sturen naar d'Antipoden , zode zullen ik , Agters-kind vinden d'Opperbaas de god , uw dadelyk hebben hart doel zinken in u broek , En uw doorboren mede een amsterdams Koek .	Fear_BodyPart_BodilyProcess
focq001mini02_01.TEI.2.text.body.div.div.sp.1572.s.2	laten wij vlieden , Catryn !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1577.s.1	Neen Juffer , laten wij blijven ; Ik weten , hij zullen op wij geren overlasten bedrijf .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1597.s.1	zien hier u dienstbre slaaf , die om u minnen verbranden .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.1597.s.2	o schoon !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1597.s.3	ontvluchten ik niet : hebben zwart Egypten-land , nog hebben Barbaars gewest de Platgeneusde moor , hebben ik niet voortbrengen , om hier u rusten te storen ; mare , zode gei het weet willen '; doen minnen die stellen ik hier , alles tot een voorbeeld vinden zijn Edel-aardig vieren .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1597.s.4	Ik zijn , en ik zijn het niet : wan zijn zijn niet vinden nood , die het goed zijn niet te zijn , de komen ik hier gevlooden , Om het zijn te mijden , en om niemendal te zijn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1597.s.5	Wel eer wassen ik Student , mare zeker Maagdelyn Dee voor doen boek ik doen les vinden Venus kies , zijn door ik eindelijk moeten al ik zijn verlies : wan , schonen die zijde aan elk de vrijen toegang geven zode steken ik Edelheid aan elk doen loef nog af .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1597.s.6	En , of ik zij gevallen , die geven ik uw te gissen , wild zijde op zeker tij ik juist een hebben zieden pissen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1601.s.1	o onbeschaamd zot !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1601.s.2	en Buffel die ' er leven !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1609.s.1	ik bidden die u Majesteit ik tocht zij voeren geven , die ik die kus mogen ; wild gei , gelijk doen god , ( Nadien gei goddelijk zijn ) geren voeren hebben vinden nood .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1609.s.2	Gewis , ik zien in uw het schets vinden die serafyn , Die ik in Amsterdam nu zot , en dol doen zijn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1614.s.1	Wat jammer zijn het , Catryn !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1614.s.2	die zulk braaf lid Niet naar zij waardigheid bestieren zijn vinden doen rijden ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1623.s.2	gei hebben ik harden geraken mede zode velen vuur , die ik om uw al meer alles slaaf zijn in Algiers .	BodyPart_BodilyProcess_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.1623.s.3	In het einde hebben vuur die kruipen vinden het hoofd tot in ik zool , En blaken velen fel alles in Etna's zulfer hol ; de zode gei ik in het korten geren gunstig woerd vereren , zode zijn ik in een uur tot as calcineren .	BodyPart_BodilyProcess_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.1627.s.2	ik vrezen die hij uw met al zullen bedragen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1632.s.1	Wat manen , zeggen , o Catryn !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1632.s.2	regeren ' er in deze dag .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1632.s.3	Die zode besmettelijk in minnen en zotheid zijn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1636.s.1	Gewis gei zijn vatten , indien ik niet en mist .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1640.s.2	die ik mede ik bloeden zijn wijsheid weder kennen kopen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1644.s.1	Wat baten hebben uw , helaas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1644.s.2	tot zulk een wensen te loop ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1649.s.1	ik bekennen het en baten ik niet , mare , het wensen staan ik vrijen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1653.s.1	Ach Juffer !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1653.s.2	deze wensen verwekken ik jalouzy .	Emotion_Envy
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.1	In het punten vinden jalouzy , een koppelen kneppel-slagen , planten op het Achterstuk , kunnen al die drift verjagen ; Doch wild doen jalouzy in hoorn meest bestaan , zode bidden ik , zeggen ik een , wij die daar vrijen vinden gaan ?	Emotion_Envy_BodyPart
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.2	langen leven doen groen minnen , langen moet d'horens leven !	Emotion_Envy_BodyPart
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.3	Op die ik die malkaar nog langen om sunst mogen geven .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.4	Doch twijfelen gei misschien aan zulk fraayen zaak , zode horen hoe ik hier op ik Sylogismus maken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.5	Elk Minnaar zijn jaloers , doen jalouzy maken hoorn , Ergo , doen hoorn zijn in stellen meer alles toorn : Indien gei schoon !	Emotion_Envy_BodyPart
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.6	hier doen Minor op negeert , zode horen , hoe die in het korten worden vinden ik proberen : doen hoorn , zode die door doen jalouzy niet komen , Hoe krijgen ik die dan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.7	door allee daar vinden te droom ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.8	Wat dunken uw ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.9	antwoord een .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1676.s.2	verdwaald Geest !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1676.s.3	ik geloven die hij voor deze wel wijze moeten zijn wezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1681.s.1	willen gei m ' een vriendschap doel , om te requiesceeren In paas ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1685.s.1	En zijn mede ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1693.s.1	willen ik die strik vereren , zijn ik doen roos vinden de Ezel Apule Op afschilderen zien ; misschien die zijde ik met , gelijk alles hij wel eer , weder geven het oud wees .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1693.s.2	deze zullen ik Antidoot , gei ik Apollo wees .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1698.s.2	hebben hebben zulk een kracht !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1702.s.1	hebben zullen ik noordster zijn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1706.s.1	deze zullen uw goed staan , vinden geil , en Carmozyn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1711.s.1	hebben zullen uw goed staan , die gei uw mede ik zaak , gei kleuter , niet en moeite , door het sluiten vinden u kaak .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1715.s.1	Neen , deze zullen goed zijn , wan gei zijn beide groeien .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1721.s.1	Ja , op die deze ik hopen weder mogen herleven doel ; Doch in doen plaatsen vinden uw hier weder wat voor te schenk , zode zullen ik dagelijks drie minuut aan uw denken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1725.s.1	Voorwaar , deze zijn te langen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1730.s.1	ik bekennen hebben zijn wat velen , mare schatten hebben , zode gei willen , slechts op hebben derde delen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1734.s.1	Ik denken , ik Juffer , die gei voor deze zot woud vlucht .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1742.s.1	zwijgen stillen Catryn !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1742.s.2	zijn praten verdrijven ik ongenugten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1742.s.3	wan schonen hij menigmaal velen zot gril spreken , zode vinden ik echter die daar velen vermaken in steken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1742.s.4	mare zacht , daar horen ik volk .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1742.s.5	Catryn , laten wij vertrek , Om door die zamen-spraak geren opspraak te verwekken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1750.s.1	gei gaan ik schoon zinnen !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1750.s.2	helaas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1750.s.3	wat droever nacht , Of wat voor Nevel , uiten de affront voortbrengen , ontroven ik tocht de dagge , ik door u liggen geven ; mare zacht , zijde zijn al wegge .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1750.s.4	wij komen hier herwaarts streven ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1750.s.6	zijn zijn ik hier brengen door het ongeval !	None
focq001mini02_01.TEI.2.text.body.div.div.stage.1755.s.1	Isabella , Ferdinand .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1767.s.1	zijn ik hier komen , ik vinden slechts zot overal .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1767.s.2	zode die hebben vruchteloos zijn hier rijden te gebruik , wan daar geren rijden wonen , daar moeten doen rijden duiken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1767.s.3	het zullen goed zijn , die ik ik met puur uitzinnig maken , wild ik aars geren middel zien hoe ik hier vinden daan geraak ; wan daar doen zotheid heersen , daar worden het verstaan verwijzen : Dies zijn hebben nodigen bij deze zot zot te wees , Hoewel vinden d'and're kanten , door zode velen ongeval , ik dolheid liggen vinden zelf zijn Rol wel spel zullen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.2	wat zijn deze ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.3	wat zien ik voor ik oog !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.4	Wat aangenaam liggen !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.5	wat bliksem uiten de hogen , treeft ik door deze zottin mede zulk een gloejend vuur ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.6	o Noyt-geziene schoon !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.7	o wonder de natuur !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.8	Hoe komen gei in deze staan ik zode volmaken te voorn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.10	zijn ik nog ik zelf , of hebben ik ik verliezen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.11	Gewis ik veel ik brein ontroeren door deze zottin , En ik verstaan verhuizen op het komen vinden doen minnen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1783.s.2	wat deren die zot , die hij dus opgetogen , En dus aandachtig staan , en zien ik onder d'oogen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1794.s.1	Voorwaar een gans reeks vinden jaar achter een , wassen nog te korten een tij , om zode velen wonderheen rechte te bezichtigen , vermits doen Hemelingen , Om het zieden vinden zode een beeld , zelf vol verwonderingen , En opgetogen , ja betooverd zullen staan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1794.s.2	Wel aan , ik voegen m'er bij , en spreken zij eenmaal aan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1794.s.4	ik staan bedeesd , wild die ik gaa beginnen Te spreken mede een stenen , ontbloten vinden ziel , en zin .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1802.s.1	zijn staan ik op en denken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1802.s.2	en waarom vluchten ik niet ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1802.s.3	hebben schijnen die zijn gezicht hebben vlucht ik verbieden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1802.s.4	Wat wel gemaakter manna !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1802.s.5	wat aangenaam wees ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1802.s.7	ik minnen hij eer , dan die ik hij zij vrees .	Fear_Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.1807.s.1	o hemels schepsel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1807.s.2	die ik ziel vol vuur ontsteekt !	BodyPart_BodilyProcess_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.1807.s.3	ik tong blijven verstommen , terwijl ik liefde spreken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1812.s.1	Wat heerelyker stelen vinden lichaam !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1812.s.2	door wat rijden , o Hemel , zijn het verstaan geren meest vinden deze lid ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1817.s.1	doen gans wereld zij schier sterven vinden verdrieten , alles hij zode schoon Beeld beroven vinden zin zien .	Emotion_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.1826.s.1	rampzalig !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1826.s.2	gei zijn gelijk vergulden vatten , Die in de daat maken , om Amber in te laat , rechte tegen al reden , vervullen zijn mede venijn ; Hoewel die ik gevoelen , die gei , helaas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1826.s.3	in ik , schonen gei u zin mest , ik ziel beroven vinden zin , vermits die gei ik dwingen , u zotheid zelf te min .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.1833.s.2	uiten wat koker , zeggen , o spoorloos liefd !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1833.s.3	hebben gei de peil zoeken , zijn met gei ik doorgrieft ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1833.s.4	En in wat zot natten hebben gei u punten gaan dopen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1833.s.5	zijn vinden ik hebben vergif veel door ik ader lopen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1837.s.2	die ik hij tocht mogen spreken vinden ik minnen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1845.s.2	bijaldien ik weten , o hemels zottin !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1845.s.3	die uw een zot , wie loten allee hij zot doen wees , uw aangenaam zij zijn , wanneer hij wassen genezen , zode worden ik daadlyk wijze , in spijt zelf vinden ik node , Nadien die ik bij uw geren vrezen hebben voor doen dood .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1856.s.2	zijn ik niet die geren , die door ik knechten bedriegen , En arm plunderen zijn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1856.s.3	naar die ik eest uiten d'oogen vinden bei ik ouder zode stoutmoedig wassen vluchten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1856.s.4	En staan ik nu bedeesd , verwinnen , en beducht , Door het aanzien vinden een zot , beroven vinden ziel en rijden , Niet waardig vinden op hij ik oog te besteden ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1856.s.6	wat twijfel ik ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1856.s.7	zijn ik met zot , in het einde .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.1859.s.1	Ferdinand , spreken zij aan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1863.s.2	daar verdwynt ik zinnen , wild zijde zij oog wenden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1863.s.3	o Nachtverwekster !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1863.s.4	ei , doen tocht doen mest verdwijnen , En laten tocht u gezicht op nieuw ik Ziel beschynen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1867.s.1	Dus spraakzaam , en beleefd !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1874.s.1	ik schoon !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1874.s.2	nog ik Geest , nog ik verstaan zijn nooit voor deze zot wezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1874.s.3	mare wild uiten uw te zieden ik zotheid zijn rijzen , zode zweren ik eeuwiglyk mede uw met zot te wees .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1878.s.1	Sa page !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1878.s.2	haasten uw wat , brengen al hebben volk bij een .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1883.s.2	daar hollen zij geest weder buit al reden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1883.s.3	Ik willen ik met , alles zijde , in vol zotheid stillen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1888.s.1	brengen ik zode daadlyk hier een vinden ik besteden tal , Die ik vereren zijn vinden ik Ridder Mandrikart .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1900.s.1	het schijnen alles of door roman zij brein dus zijn verward , Die zeker heden-daags velen nieuw zotheid telen : Wel aan , het lusten ik mede zij die zelfde Rol te spel .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1900.s.2	Sa , brengen ik hier een paren , ik sabel , schild en speer , wan daar met trekken ik die doorluchtig Reus te kaar , Die lestmaal Sacripant tweemaal de zadel doen ruim ; Sa , brengen ik ik helmet , beschaut mede groen pluim , Vermits ik oud minnen voortaan alles ruiken verdwynt , terwijl een nieuw hopen wederom ik ziel beschynt .	Emotion_Hope_BodyPart
focq001mini02_01.TEI.2.text.body.div.div.sp.1904.s.1	gei Ridder , wij gei zijn , willen ik de beugelen houden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1910.s.1	die ik u dienaar zijn , die moogt gei vasten vertrouwen , wan gei , gei zijn doen ziel , zijn door ik lichaam leven .	Emotion_Trust
focq001mini02_01.TEI.2.text.body.div.div.sp.1914.s.1	Hoe fielt !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1914.s.2	bijten gei ik in doen voeren ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1920.s.1	Waarom geven gei dus doen naam vinden fielt , prinses , aan u gevangene , Die uiten ootmoedigheid blijven aan u voeren hangen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1924.s.1	weten gei wel Ridder , die ik Doralize zijn ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1929.s.1	u groot schoonheid maken die ik uw daar voor kennen ; mare liggen , die ik mede een u Mandricart mogen wees .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1935.s.1	Wel aan , ik staan het uw toen ; schonen Mandricart voor deze In wijsheid plegen te zijn een feniks vinden zijn tijd ; Daar gei doen groot zot vinden helen Europa zijn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1940.s.1	ik beuken , ik zijn een zot ; mare zagen gei ik vinden binden , ik weten die ik Mandricart in wijsheid zij verwinnen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1944.s.1	gade vragen ik schildknaap of Rogier zijn hier wezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1950.s.1	hij zeggen , die mede zijn schip door zeker zwaard tempeest , Hier op doen kussen jagen , hij komen flus aanvliegen , mare die hij nu bij het vuur zijn schoen zitten te droog .	None
