hare003agon01_01.TEI.2.text.body.div.div.head.995.s.1	Persoonen	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1925.s.3	Weet gy dat om 't Altaar , 't geen ons ' trouw gaat ontvangen Zweeven Fathema's haat en bloedige belangen , Maccassars Kroon in 't stof , voor Nederlands hoogmoed , En 't rystveld van het Oost verdronken in het bloed ; Samboepo's wal verwoest , en haar verbrande straaten Vertonende allom myn Moeders leedemaaten Verstrooyd , wanneer 't geweld van 't ysselyk geschut De voorzorg van de kunst voor 't leven maakt ' onnut ; Myn Vader vluchtende , beroofd van syne Landen , En dragend ' om zyn hals Fathema's teed're handen !	Emotion_Hatred
hare003agon01_01.TEI.2.text.body.div.div.sp.1925.s.4	Zie daar , in welke staat Agon my hier ontving Gelyk syn eigen kind , niet als een vlugteling ; En zal Fathema nu zig durven onderwinden Om syn Soon aan haar lot en aan haar wraak te binden , Zal 't Oost , getuige van syn ' edelmoedigheid , Niet laken uwe keur , en myn ' ondankbaarheid !	Emotion_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.1939.s.1	Indien 't geheele Oost voor u was te bestryden , Zou Hassan's hart 't geluk van ieder Vorst benyden Die door Fathema's hand gekoren tot haar wraak , Op 't Maccassaarsche strand zou sterven voor haar zaak !	Emotion_Happiness_BodyPart_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.1939.s.2	Maar het verslaafde Oost , wel ver van u te wreeken Durft zelfs niet denken om zyn ketenen te breeken : En met welk ' schrik zal 't Oost , Batavia niet zien Wel haast in Bantam's wal , en Abduls Ryk gebiên ?	Fear_Emotion_EmotionalAction_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.1944.s.1	Batavia gebiên alhier ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1944.s.2	in Bantams wallen ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1944.s.3	En Abdul , Agons Zoon , voor Holland neêr zien vallen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1979.s.1	'k Vrees dat myn gissingen maar al te gegrond zyn , Hoe zeer die zaak aan uw nog ongelooflyk schyn ' , Het is ter deezer tyd byna een Jaar geleden Dat Agon heeft bereid 't geen hy volvoert op heden , Dat hy in 't openbaar verklaard heeft , dat hy dacht Tusschen syn beide Soons te deelen syne macht : Abdul heeft wel te vreê met dat besluit gescheenen Maar zedert is Steenwyk tot tweemaal toe verdweenen , Die Europeër die in Abduls gunst geraakt , Hier heeft , gelyk gy weet , syn Land en God verzaakt , Of om ( haar aller wensch ) rykdommen te bekomen , Ten minsten hier in schyn een God heeft aangenomen : 'k Weet dat Batavia hem tweemaal heeft gezien Verzoeken hare gunst en Abduls dienst aanbiên ; 'k Weet dat Neêrlands krygsvolk ontboôn uit alle Landen Een leger van gewicht uitmaakt op Java's stranden ; En dat Batavia wapend by dag en nacht , Zonder in kryg te zyn met eenig Oosters Macht .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.1985.s.1	Maar waarom Agon niet , eer het gevaar koomt nader ...	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2034.s.1	Ik weet genoeg voor my , niet genoeg voor myn Vader ; Gy weet dat Agons hart zo zwak is voor die Soon Dat het onnodig is dat ik hem gissing toon .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2034.s.2	En 't zy het nieuw Verbond , nog niet geheel gesloten Abdul verplicht om syn geheim nog niet t ' ontbloten , 't Zy de voorwaarden zyn van dit heylloos Verdrag Dat men ons hier maar zal waarschouwen met de slag ; Abdul scheen met geduld syn Vader aan te hooren En 't deelen van het Ryk syn weezen niet te stooren .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2034.s.3	Maar wyl 't goud openbaard alle geheimenis , En alles by dat Volk voor geld te krygen is , Heb ik de nodige maatregulen genomen , Om van Batavia zeekerheid te bekomen Wat Steenwyk daar verricht , en waarom zonder nood De Rheê ziet dagelyks toe takelen haar Vloot ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2034.s.4	En 'k hoop nog vroeg genoeg het antwoord te ontvangen Voor Agon , 't Bantams Ryk , en uw en myn ' belangen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.2042.s.1	camoeni , aan Hassan	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2051.s.1	EEn van uw Slaven die gereist heeft al de nacht Heeft reeds een korten stond in uw Paleis gewacht , Hy zegd uw is bekend de reeden van verschonen Waarom hy zig alhier op 't Hof niet koomt vertonen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2066.s.1	Dit is waarschynelyk de lang verwachte man , Die my de nodige bewysen geven kan : Ten zy , voor d ' eerste maal , het goud mogt ondervinden Dat het Batavia's geheim niet kan ontbinden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2066.s.2	Ik ga , en hoop in 't kort myn Vader te doen zien , Wie van syn Soons , syn wil het meest zoekt te eerbiên .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2096.s.1	IK zie dat men wel haast die Rovers zou befnuyken , Zoo men in Indiën wist het goud wel te gebruyken , En latende ter zy onnutte dapperheid Dat Volk altyd bevocht door hare gierigheid : De ondervinding leerd , dat goud is 't eenigst ' wapen Waar voor Natuur by haar geen middel heeft geschapen ; En als een tegengift in onse handen geeft Tegen 't geduchte Staal voor 't welk het Oosten beeft ; En zoo men in 't begin dien weg had ingeslagen Misschien , geen Vorst in 't Oost , die keetenen zou dragen ; En door 't goud wel besteed , zou elk geweest zyn vry , Goedkoper , als hen nu kost hare slaverny ' .	None
hare003agon01_01.TEI.2.text.body.div.div.stage.2101.s.2	Abdul .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.2103.s.1	abdul	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2117.s.1	MEvrouw , 'k heb lang gewenscht na zulk een dag als heden , Na een dag dat ik zou aan uw bevalligheeden Kunnen ter zelver tyd aanbieden Abduls hand En daar by Bantams Kroon , en d ' Oppermacht van 't Land , Het ongelyk van 't Lot op deeze wys ' vergoeden , En u voor onheil in 't toekomende behoeden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2117.s.2	Gy weet hoe dat myn hart heeft , van myn ' eerste jeugd , Altyd by Fathema gevonden al syn vreugd .	BodyPart_Desire
hare003agon01_01.TEI.2.text.body.div.div.sp.2127.s.1	Mijn heer , myn Vader hier gevlucht uit syne Landen Heeft Fathema gesteld in uwe Vaders handen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2127.s.2	En 't is van hem alleen dat afhangd myne hand .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2127.s.3	Maar met myn hand gaat ook myn haat en wraak verpand .	Emotion_Hatred_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.2138.s.1	Ik kan niet denken dat Fathema's zachte zeeden Niet altyd luisteren na de gezonde reeden ; Dat in haar ongeval de staat van 't gansche Oost , Aan haar niet strekken zou tot voorbeeld , of tot troost .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2150.s.1	Het Maccassaarsche Bloed , voorheen in 't Oost zo magtig ; Is altyd d ' Adeldom van syn Geslacht indagtig ; En welke Kroonen nu het Lot aan my ontvreemd , Leer , dat Fathema nooyt voorbeeld van and'ren neemd .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2150.s.2	De Vorst , die myn Gemaal of die myn Vriend wil weesen Moet voor Batavia en Holland nimmer vreesen : Die Voorwaard ' is de eerst ' waar op myn hart zig geeft .	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.2166.s.1	'k Geloof dat niemand , min als ik , voor Holland beeft .	Fear_BodilyProcess
hare003agon01_01.TEI.2.text.body.div.div.sp.2166.s.2	En tot het winnen van een hart van zo veel waarde , Slaat gy aan Abdul voor de ligtste zaak op aarde .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2166.s.3	Toon liever aan myn hart , 't geen voor uw schoonheid brand , Iets dat met meerder roem verdienen kan uw hand , Daar ik uitblinken kan tot nut van uwe zaaken En my Fathema's hart met glory waardig maaken .	BodyPart_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.2210.s.1	Koom aan , en zo myn hart uw is van eenig ' prys , Geef my dan van uw Liefd ' het zeekerste bewys : Zweer hier , en roep met God syn Propheet tot getuigen , Dat Bantam , onder u , voor Nêerland nooyt zal buigen ; Dat gy , ten allen tyd getrouw aan myne haat , Zult eeuwig Vyand zyn van Hollands macht en staat ; Dat 't allereerste werk van uw zwaard , en uw handen , Zal zyn Maccassars Ryk te rukken uit haar banden ; Dat gy 't geheele Oost , uit syne laffe rust Gewekt , zult voor myn wraak doen vechten op dees ' Kust Tot gy Batavia verbrand in haare wallen , Met haar Casteel verwoest voor my zult nêer doen vallen ; Dat 'k op de rookend ' as van 't pragtigste Gebouw Kan trappen op het hart van de voornaamste Vrouw , Dat ik de honden 't bloed van Indiëns Raên zie drinken , En dus Fathema's wraak in 't Oosten mag uitblinken !	Emotion_Hatred_Love_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.2210.s.2	En geef my dan de keur t ' ontvangen uwe hand Of op dat bloedig puyn , of op Samboepo's strand , Of midden in 't gekerm der Westersche Barbaaren , Of onder 't bly gejuich der vrye Maccassaaren !	Fear_Joy_Emotion_EmotionalAction_BodilyProcess_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.2232.s.1	Indien Fathema haar ' en mijn ' belangen zogt Misschien dat sy haar rust door zagter middlen kogt .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2232.s.2	Ik denk dat men vergeefs , het geen zy vergt zou poogen , Al kwam 't geheele Oost gewapend voor haar ' oogen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2232.s.3	Dog wagt niets van die kant : het Oost is niet meer vry , En is alleen bedagt om zagte slaverny ; Batavia's Casteel heeft Indien doen bezwyken , En 't is geen schande meer voor Hollands magt te wyken .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2232.s.4	Maar 'k vrees dat Hassan's hand uw beter aan moet staan , Wyl gy 't onmoogelyk aan Abdul kund voorslaan .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2245.s.1	Wie Abdul in myn hart ook hebben mag te vreesen Het zal nog nu , nog nooyt , een slaaf van Holland , weesen .	Fear_Emotion_BodyPart
hare003agon01_01.TEI.2.text.body.div.div.sp.2245.s.2	En 'k had my wel gewagt aan uw myn hand t ' aanbiên , Zo ik in 't zeeker niet uw antwoord had voorzien .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.1	HOvaardige Princes , uw hart zal zig beklaagen Dat gy uw haat , uw wraak , uw moed zo hoog wilt draagen !	Emotion_Hatred_Vindictiveness
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.2	Misschien dat uw haast rouwd het weigren van myn hand , Indien myn nieuw Verbond gekomen is tot stand , En zo maar vroeg genoeg de hulp daar ik op reeken De onrechtvaardigheid van Agons hart koomt wreeken .	Emotion_Sadness_Vindictiveness_Remorse
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.3	Het was dan niet genoeg dat ik Hassan zou zien Een groot deel van het Ryk , en van myn erf , gebiên , En dat myn Vader durft , tegen all ' onse wetten , Tartassa's Kroon op 't hoofd , van ander als my , zetten , Fathema en haar recht vermeerdren Hassans deel Als of , Bantam alleen , voor my nog was te veel !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.4	En Hassan zoud ' aldus , misschien in korte jaaren Voegen by Java's Kust het Ryk der Maccassaaren !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.5	Syn Ryk , syn goud , syn macht , zou boven myne gaan , En Abduls lot aan hem en aan Fathema staan !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.6	Dan liever duizendmaal in Hollands wetten leven , Als hier voor Fathema's en Hassan's hoogmoed beven !	Fear_BodilyProcess
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.7	Maar , helaas ! 'k weet nog niet in deeze droeve dag Of ik op Hollands hulp in 't zeek're reek'nen mag .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.8	Steenwyk komt niet weêrom !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.9	welk ' moet de reden weesen ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.10	Heb ik ook van syn kant verradery , te vreesen ?	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.11	Heb ik ook by geval een dwaalinge begaan , En my te veel vertrouwd aan dien Europeaan ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.12	Zou hy ook met het goud gereist zyn in syn handen , Niet na Batavia , maar na Europa's stranden !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2302.s.13	Maar neen , hy koomt daar aan ,	None
hare003agon01_01.TEI.2.text.body.div.div.head.2305.s.1	Sesde toneel	None
hare003agon01_01.TEI.2.text.body.div.div.stage.2307.s.2	Steenwyk .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2315.s.1	ACh , al te wreede Vriend , Met welk ' loomheid hebt gy myn ongeduld gediend !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.2317.s.1	Steenwyk	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2331.s.1	Ik hoop , wanneer myn Vorst 't verhandelde zal weeten , Dat hy syn ongeduld en gramschap zal vergeeten .	Emotion_Annoyance
hare003agon01_01.TEI.2.text.body.div.div.sp.2331.s.2	Hoe zeer ik van myn kant heb alle spoed gemaakt Is 't egter gister maar dat ik ben klaar geraakt .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2331.s.3	En zonder 't meerder goud door u aan my gezonden Was êr geen hoop geweest voor hulp en tot Verbonden .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2331.s.4	Want elk Bediend ' aldaar , hoe dat hy zig ook houd Mind wel de Compagny , maar mind nog meer het goud .	Emotion_Greed
hare003agon01_01.TEI.2.text.body.div.div.sp.2337.s.1	Maar hoe legd het Verbond ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.2339.s.1	steenwyk	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2350.s.1	Gy zult geholpen weesen En hebt hier voor altoos van Hassan niets te vreesen .	Emotion_Love
hare003agon01_01.TEI.2.text.body.div.div.sp.2350.s.2	Hassan's vermetel hart is daar reeds niet bemind , En gansch Batavia is voor uw meer gezind .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2350.s.3	Men haat die dapperheid betoond aan muitelingen , Nog boven maat vergroot door laffe vluchtelingen .	Emotion_Hatred
hare003agon01_01.TEI.2.text.body.div.div.sp.2364.s.1	Maar weet gy dat dees ' dag verergerd heeft de zaak , En nog vermeerderd heeft de reedenen van wraak ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2364.s.2	Weet gy dat Agon my Fathema durft ontrooven , En , met Tartassa's Kroon , haar aan Hassan belooven ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2364.s.3	Niet dat myn hart zig stoord aan 't verlies van een vrouw , Maar gy weet welke macht ik op haar ' rechten bouw ; En dat Batavia , door u , my heeft doen hoopen Dat ik met Fathêma ten minst ' een Ryk zou koopen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2400.s.1	Ik weet alleen 't geen my by myn komst is verhaald Dat Agon desen dag tot d ' afstand heeft bepaald ; Maar gister heeft een Vloot Batavia verlaaten , Die nu reeds weesen moet in zicht van Agon's staaten , En zo de wind en stroom niet merklyk tegen zyn Is die voor Bantam eer de Son in 't Westen schyn .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2400.s.2	Die vloot brengd herwaarts aan de nodige beveelen Om Agon te verbiên syn Ryken te verdeelen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2400.s.3	En bied aan Fathema , mits sy uw ' geev ' haar ' hand Een van haar ' Kroonen weêr , op 't ryk Celebes Strand : En om die Wetten hier te hoeden voor 't verachten , Zyn op die Vloot gescheepd de nodige Krygsmachten , En St. Martin , beroemd door hart en door verstand , Koomt en als Veldheer hier , en ook als Afgezant .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2400.s.4	Dit is 't geen ik voor uw heb weeten te bezorgen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2400.s.5	Maar wyl de Vloot misschien niet komen zal voor morgen , Is 't nodig dat myn Vorst op heeden maar tyd wint , En , zo het moog'lyk is reeden tot uitstel vindt .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2422.s.1	Ik zal ter zyner tyd myn dankbaarheid uw toonen ; Ik zal Steenwyk syn trouw en iever dus beloonen Dat nimmer op dees ' kust enig ' Europeaan In rykdom en in macht hem zal te boven gaan .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2422.s.2	Maar 'k heb syn wyse raad nu meer dan ooyt van nooden De Grooten van het Ryk zyn reeds op 't Hof ontbooden , En elk van haar werd hier all ' ogenblik verwagt ; Daar kan geen middel meer tot uitstel zyn bedagt , Wat nu gedaan ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2437.s.1	Van daag zo 't nodig is te veinzen , Te dekken voor het oog al wat uw hart kan peinsen ; Wat ook Agon uw vergd maar willig toe te staan , Morgen zal alles hier uw wetten ondergaan ,	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2442.s.1	Maar als die Vloot vertrekt , die hier nu staat te komen , Heb ik , en Hassans woed ' en Agons wraak te schroomen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2457.s.1	Vreest niet , Sulthân , dit is ook alles reeds voorzien : Agon zal na 't vertrek der Vloot wel hier gebiên , Maar op dat Abdul hier zig zeeker mag vertrouwen , Zal men voor zyn verblyf alhier een Casteel bouwen ; En door bezetting , die aan uw gebied zal zyn , Zyt gy Heer in der daad , en Agon maar in schyn .	Fear_Emotion
hare003agon01_01.TEI.2.text.body.div.div.sp.2461.s.1	Een Casteel bouwen hier ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2461.s.2	Agon zal 't nooyt toestemmen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2467.s.1	Europa's moed en kunst zal Agon lichtlyk temmen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2471.s.1	Maar zo Agon weêrstaat , zo syn onbuigzaam hart ...	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.1	Dan moet hy aan zig zelv ' toeschryven syne smart .	Emotion_Sadness
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.2	En , zo 'k het zeggen mag , als dit uw geest kan stooren , Dan is en myne moeyt ' en myne reys verlooren .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.3	Zo gy met Agon's haat , en Hassan's hoovaardy , Fathema's honend ' oog , en uwe slaverny Te vreeden waart , waarom dan uwe Bondgenooten Genodigd om alhier het hoofd te komen stooten ?	Emotion_Hatred_Pride
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.4	Die heerschen wil moet ook gereed zyn alle uur Te trappen onder voet 't vooroordeel van Natuur .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.5	Die Vloot voor haar vertrek zal hier een Casteel zetten , 't Geen staan zal onder uw ' , of onder Hassans Wetten , Gy kend Hassan genoeg en weet of syne moed Zig steurd aan 't geen 't gemeen noemd banden van het bloed !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.6	Zo ras Hassan maar weet Batavia's beveelen , En dat Agon nog nu , syn Ryk , nog nooit mag deelen , Dat hy Abdul 't aanbod van Holland ziet afslaan , Neemt hy 't op staandevoet en zonder omzien aan : Batavia en hy vereênd zullen niet vraagen Of dit aan Agons hart genoegd , of kan mishaagen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.7	Ik spreek niet van my selv ' , maar 'k weet welk ongeval , Aan Abdul , en daar na my ook gebeuren zal .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.8	Want Hassan meester hier , zal in 't kort doen berouwen Al wie op Abduls gunst gesteld heefd syn betrouwen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2525.s.9	En Abdul's lot , om dat hy d ' eerstgeboren is , Zal zyn , op 't allerminst ; eeuwig ' gevangenis !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.speaker.2528.s.1	Abdul	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2541.s.1	Hassan hier meester zijn !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2541.s.2	ik van Hassan afhangen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2541.s.3	En na syn willekeur , of vry zyn , of gevangen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2541.s.4	Zo iemand hier myn recht van eerstgeboort ' verkort , Wie weet welk bloed myn hand , en Cris , nog heeden stort !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2541.s.5	Hassan hier meester zyn !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2541.s.6	gy doet myn ogen open , Ik heb twee prikkelen om myn behoud te kopen , De Heersch-zucht , die toelaat dat men de Wetten schend , En de Noodzaaklykheid , die geene Wetten kend !	Emotion_Greed
hare003agon01_01.TEI.2.text.body.div.head.2547.s.1	Derde bedryf	None
hare003agon01_01.TEI.2.text.body.div.div.stage.2551.s.4	Ibrahim .	None
hare003agon01_01.TEI.2.text.body.div.div.stage.2553.s.1	Javaanse Grooten aan Weêrzyden	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.1	MYn hand heeft vyftig jaar bestierd dees ' Koningryken En vyftig jaar 't geweld van uwe grens , doen wyken , 't Is tyd dat myne Kroon verciere een ander hoofd , 't Welk uw een nieuw geluk , of duurend ' rust beloofd .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.2	De kragten van myn geest mogen nog ietwes schynen , Gy ziet hoe blykelyk die van 't lighaam verdwynen , Ik voel hoe langs hoe meer wat d ' Ouderdom vermag , En d ' Engel van de Dood naderd van dag tot dag : Hy waarschouwd my de tyd van d ' eeuwigheid te scheiden , En my in stille rust tot syne komst bereiden , Hy wysd my dat een vraag die my t ' antwoorden staat , Is , hoe ik vond myn Ryk , en hoe ik het verlaat .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.3	Uw Vaders hebben uw verhaald langs welke wegen Uw Vorst uit Ballingschap is op den Throon gestegen , En op welk wys ' door syn ' en hunne dapperheid Ons welvaard en ons macht rondsom is uitgebreid .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.4	Dit Ryk 't geen voor myn tyd in duister scheen te zinken , Ziet nu syn naam in 't Oost met zo veel luister blinken Dat Bantam is vermaard , van daar de Propheet rust , Tot daar de Khorân licht de Ternataansche kust !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.5	Tartassa's Ryk , wel eer voor Bantam zo te schroomen , Is door myn waapenen in Bantam's macht gekomen : De fiere Keizer , die zig Heer van Java noemd , Is bly , dat hy met rêen op Agon's vriendschap roemd : De Hollander , die 't Oost geheel zoekt t ' onderbrengen , En vry in Holland , hier geen vryheid wil gehengen , Wiens Vloot in d ' Indiën begeerd het hoogst gezag , Heeft myne Wimpel nooyt zien stryken voor syn Vlag ; En al die Christenen die door zo veel gevaaren , Op hoop van vuyl gewin na onse Landen varen , Hebben in myn gebied hun twisten niet gebracht , En haar ' onrustig ' aart eerbiedigd myne macht .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.6	'k Heb meer , 'k heb durven hier ontvangen in myn Staaten De Dochter , van een Vriend door de Fortuin verlaaten , Als 't Maccassaarsche Ryk , door Speelman's wakk're hand , Heeft moeten zwigten voor 't geluk van Nederland : En hoe zeer dit ook mogt Batavia mishaagen , Batavia heeft dit , en zonder klagt , verdraagen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.7	Die praal , en dat geluk , koomd , van dat nooyt tweedragt Heeft zedert vyftig jaar alhier verzwakt de kragt , En zo de Eendracht maar op deese kust kan blyven Zal magt en welvaard hier nog daag'lyks meer beklyven , En 'k mag my vleyen dat myn stervend ' oog zal zien Myn kinderen alhier met eer en roem gebiên .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.8	De Hemel , die aan my twee Soonen heeft gelaaten , Heeft my gelukkiglyk bedeeld ook met twee Staaten : Bantam is Vaders erf , Abdul dat is uw deel ; Hassan , Tartassa's Ryk is 't uw , maar niet geheel : Uw Vader houd voor zig die plaats , en die gehugten , Daar hy 't gewoel van 't Hof zo dik werf zogt t ' ontvlugten ; En daar hy nu verhoopt dat niets syn stille vreugd Zal stooren , als 't geroep van syner Soonen deugd !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.9	Iman , leg daar het Boek , 't geen uit des Hemels zaalen Door Gods Propheet voor ons is komen néderdaalen !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.10	Waar voor elk Musulman de diepste eerbied heeft , En de meineedige ten allen tyden beeft !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.11	Treed nader myne Soons : belooft hier by de Grooten , Dat nooyt d ' elendige by u zal zyn verstooten !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.12	Dat God , en deeze Wet nooyt uit uw hart zal gaan !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.13	En in uw hart , naast God , altyd de Eendragt staan !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.14	Dat gy , elk in syn Ryk , d ' Inwoonder zult regeeren Na Wetten en na Recht , en niet na uw begeeren !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2682.s.15	Zyt gy te vreeden ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2686.s.1	Ik volkomen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2713.s.1	En ik niet : 'k Verzoek eerst en vooral dat gy behoud 't Gebiedt ; En zo gy weig'ren mogt om hier toe te besluiten , Dat elk van ons zig mag in deeze woorden uiten , 'k Ontvang myn Vaders gift met dank , maar ik beken Dat ik myn Vaders gunst en Kroon onwaardig ben , Zo ooyt eenig Verbond , door , of voor , my geslooten Myn Broeder uit syn Ryk of erf heeft uitgestooten !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2713.s.2	Zo ooyt met myn toezeg een Nederlandsche wal , Myn Vader , Broeder , 't Ryk , of Bantam dwingen zal !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2713.s.3	Abdul zyt gy gereed om dien eed af te leggen ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2717.s.1	Ik ben .. gereed .. te doen .. het geen Agon zal zeggen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2730.s.1	Abdul , gy schynd verbaast !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2730.s.2	Hassan wat is die eed ?	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2730.s.3	Welk Nederlands Verbond , of Wal is hier gereed !	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2730.s.4	Spreek Abdul , denk dat gy , met langer hier te zwygen , De zwaarste agterdogt zult tegen u verkrygen .	None
hare003agon01_01.TEI.2.text.body.div.div.sp.2743.s.1	'k Beken opregtelyk dat dees ' beschuldiging Met d ' allervreemste schrik myn hart en ziel beving !	Fear_Emotion_BodyPart_BodilyProcess
hare003agon01_01.TEI.2.text.body.div.div.sp.2743.s.2	'k Heb tot myn ongeluk , meermaalen reeds te vooren , De snoodste lastering van Hassan moeten hooren , Maar ik heb nooyt gevreesd , en nog veel min gedagt , Dat syn ' haat of syn ' woed ' hem zo verr ' had gebragt !	Emotion_Hatred_Anger
hare003agon01_01.TEI.2.text.body.div.div.sp.2743.s.3	Helaas !	None
