vond001gysb04_01.TEI.2.text.body.div.head.296.s.1	Gysbrecht van Aemstel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.739.s.1	Ontbint den knecht , zoo magh hy onverhindert spreecken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.1	De hopliên wenschten dick het leger op te breecken , Naerdien met storm op storm , en endeloos gevecht , Het heele ronde jaer , niet meer was uitgerecht Dan moeite en volck gespilt , en tijt onnut versleten : Het welck zoo menighmael den veltheer wert verweten ; Een smaet die lastigh viel : en hiel hem niet verplicht Zijn eer en eedt , hy hadt zijn ancker langh gelicht : En och , of 't waer gebeurt een goede wijl te voren , My waer dit ongeluck noch onheil niet beschoren : Want 't is een maent geleên , dat ick hem heimlijck riedt Te maecken op mijn woort , een ende van 't verdriet : En zoo hy was gezint een luttel volx te waegen , Ick wou hem in de stadt op bey mijn handen draegen , En stappen zelf voor aen , en maecken hun het spoor , Ick opende mijn wit , en sloegh het middel voor .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.2	'k Had zomwijl door de graft , by duisternacht , gezwommen , En al de wacht bespiet , en 't groot rondeel beklommen , Dat aen den hoeck van 't Y uw stercke stadt bewaert .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.3	Hier lagen Blijden in , en ander krijghsgevaert .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.4	'k Nam aen , en 't kost geschien , door muur en al te booren Recht waterpas , zoo stil , dat niemant my zou hooren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.5	Wanneer nu door de breuck een krijgsman heenen moght , Zou 't braefste puick , hier toe gelot en uitgezocht , De graft , daerze ondiepst is , met rijs op Kersnacht dammen , En kruipen in 't rondeel , om d'eerste poort te rammen , Als d'afgewaeckte wacht gevelt lagh en vermoort .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.6	Het heir dan over dam , en door geramde poort , Aen 't nederhouwen , wat op straet zich openbaerde , Terwijl de burgery kappel en kerck bewaerde : En 't was te nacht de tijt , en vraeghtge naer bewijs ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.7	Gy ziet , hoe daer een schip , het zeepaert leght vol rijs , Het welck men door de vlucht verzuimt heeft en vergeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.8	Wat werdt'er niet al tijts met kibbelen versleten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.9	De hoofden laegen vast elendigh overhoop .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.10	Men schoof de schult op my . 'k had menslevleesch goet koop : Noch wist niet wat ick dreef : zy zouden 't niet gehengen , Dat ick het volck zoo licht zou op de vleeschbanck brengen , En jagen in hun doot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.11	dus ging 't aen d'eene zy : Aen d'andre stemdemen eendrachtelijck met my : Tewijl verliep de kans , en d'aenslagh bleef vast steecken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.12	Toen zochten'er een deel hun leet aen my te wreecken .	Emotion_Vindictiveness
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.13	Daer quamen , zonder slot , veel klachten t ' mijnen last .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.14	Ick was een toveraer , en daer op raeckte ick vast , En most , door pijn geperst , al 't opgedichte melden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.15	Men doemde my ter doodt , en heden zou 't my gelden : Maer gistren avont brack een vrient mijn boeien los .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.16	Ick vlughte langs den dijck , gelijck een hollend ros .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.17	Doch hielt'er niet , uit angst van 't leven te verliezen .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.18	Ick sloegh ter zijden af , en schoot'er in de biezen , En stack in diep moerasch al den verleden nacht .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.19	Zy trocken my verby .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.20	Ick hielme stil , en zagh 't ; Tot dat uw burger quam de Kermers nagevlogen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.21	Ick riep om hulp , en wert uit diep moerasch getogen : Want anders was ick daer gebleven en gesmoort .	None
vond001gysb04_01.TEI.2.text.body.div.sp.801.s.22	Doch zoo ick sterven moet ; 'k wil liever voor uw poort , Aen wie ick 't heb verdient , dit lastigh leven laeten , Dan by mijn eigen volck , die my met onrecht haeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.814.s.1	Ga heene , ick schenck u 't lijf : het is geen straffens tijt , Wy zijn van onzen hals den grooten vyant quijt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.814.s.2	'k Ontfang u in mijn ' dienst , en zal u wel betaelen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.814.s.3	Ga help terstont het rijs en 't zeepaert binnen haelen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.814.s.4	De kou begint , en is noch verr ' van haer vertreck .	None
vond001gysb04_01.TEI.2.text.body.div.sp.814.s.5	In 't wachthuis en op 't slot is hout en brant gebreck : Men maghze strax verzien , en barnen 't rijs tot asschen , Zoo kunnen zy hier meê de vesten niet verasschen , Ick hoor de Goyer doet de waerheit niet te kort , Want zijn vertelling stemt met vader Willebord .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.816.s.1	Rey van Amsterdamsche maeghden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.1	NU stelt het puick van zoete keelen , Om daer gezangen op te speelen , Tot lof van Godt , die op zijn ' troon Gezeten is , zoo hoogh en heerlijck , Van waer hy zien kon , hoe begeerlijck Het Sparen stack naer Aemstels kroon ; Hoe wraeck met zwaerden en met speeren De torenkroon van 't hooft wou scheeren Der schoone en wijd vermaerde stadt , En rucken door gewelt van benden Der vesten gordel van haar lenden , Een plondren haer kleinoot en schat ; En schenden d'edele en getrouwe , Gelijck de schender Velzens vrouwe , Wel ruim zoo waerdigh als Heleen , Den brant van een herboren Troje , En krijgh , die 't overschot verstroie , Na dat men jaeren heeft gestreên .	None
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.2	Waer is de reus met al zijn stoffen , Die Gysbreghts stadt ter neêr wou ploffen , En om haer ' muur zijn armen slaen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.3	Wat ydle schrick heeft hem geslagen ?	Fear_Emotion_BodilyProcess
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.4	Wat ydle vreeze magh hen jaegen , Die nu met schande strijcken gaen ?	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.5	't Is tijt de kercken te stoffeeren , Te danssen , en te bancketteren , En met een ' uitgelaten geest Dees blyschap aen de vreught te huwen , Die vrolijcke englen ons vernuwen Met gezang , op Godts geboortefeest .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.6	Treck in , ô Aemstel , treck nu binnen , Die zonder slagh kunt overwinnen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.854.s.7	Treck in , ô brave burgery , Die u zoo moedigh hebt gequeten , Geen eeuw en zal uw eer vergeten , De hemel sta u eeuwigh by .	None
vond001gysb04_01.TEI.2.text.body.div.head.856.s.1	Het tweede bedryf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.858.s.1	Willem van Egmont .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.858.s.2	Die drick van Haerlem .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.858.s.3	Hoplieden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.864.s.1	WY zijn by 't klooster weêr , daer Willebord in vreê Met al de broeders woont , en stort zijn avontbeê .	None
vond001gysb04_01.TEI.2.text.body.div.sp.864.s.2	't Zal noodigh zijn dat wy den hopliên openbaeren Het geen op handen is .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.866.s.1	Die .	None
vond001gysb04_01.TEI.2.text.body.div.sp.869.s.1	't Is tijdt , zy wisten garen Wat heimlijck by ons broeit : verlos hen van de pijn .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.871.s.1	Eg .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.1	Manhafte hopliên , hoort : wy hebben , onder schijn Van onderling krackeel , een ' aenslagh voorgenomen , Om beter tot ons wit op eenen sprong te komen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.2	Men heeft daer op het heir van daegh te rugh gevoert : Maer dat en is het niet , waer op de veltheer loert , Noch 't geen men onder 't volk veel dagen hoorde mompelen , Ons wit is dezen nacht den vyant t'overrompelen , Nu hy zich veiligh acht , en buiten krijghsgevaer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.3	Voor 't opgaen van de maen [ het duncke niemant zwaer ] Zal 't leger meester zijn van poorten en van veste .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.4	Wat is'er dan voor u een rijcke buit ten beste !	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.5	Hoe zultge weiden gaen op 't slot , en in de stadt !	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.6	Zoo yemant streeft naer eer ; ick toon hem 't rechte padt , De heirbaen van de deught , om moedigh op te steigeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.7	Zy offert u den prijs , 't en zy 't uw handen weigeren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.8	Wie rustigh is die spreecke , en hou de wapens reê .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.9	Wie zich flaeuwhartigh vint , dat die te rugge treê .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.10	Ick heb my op dit stuck met weinigen beraeden , En 't zeepaert , dat eerst lagh aen 't Y , met rijs doen laden , Op dat'er de soldaet gerust in schuilen moght .	None
vond001gysb04_01.TEI.2.text.body.div.sp.905.s.11	De Sparewouwer reus , met yver aengezocht , Ging met de bloem des volx en 't puick van al de grooten Te nacht grootmoedigh scheep , op 't noemen van de loten : Mijn broeder Wouter zelf , Vianen , met de zorgh En hope van zijn huis : Abkou , en Ryzenborgh , Put , Grobber , Kuilenburgh , met Arckel , Borsslen , Vooren , En 't graeven zoonen beide : en 't schip , na dat wy hooren Uit ons ' doortrapten spie , is al in stadt gehaelt , Door Vossemeers beleit : zoo dat'er niets en faelt Dan nu te nacht , zoo ras zy poort en sloten breecken , En Zwaenenburregh viert , te letten op dat reken , En voort met alle maght te volgen op het licht Des schrickelijcken brants , van Vosmeers torts gesticht .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.908.s.1	Hop .	None
vond001gysb04_01.TEI.2.text.body.div.sp.910.s.1	De Veltheer geef slechts last , aen ons zal niet gebreken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.914.s.1	Waer zal men best een deel van 't oorloghsvolk versteecken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.918.s.1	't Katuizers klooster is ons 't reedst , het leght hier by .	None
vond001gysb04_01.TEI.2.text.body.div.sp.922.s.1	Dat volck is liefst verschoont , en van inlegring vry .	None
vond001gysb04_01.TEI.2.text.body.div.sp.926.s.1	't Is voor een korte wijl .	None
vond001gysb04_01.TEI.2.text.body.div.sp.931.s.1	Een Godtshuis zoo t'ontwyen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.931.s.2	Ick heb het lang verschoont .	None
vond001gysb04_01.TEI.2.text.body.div.sp.938.s.1	Laet my daer meê betyen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.938.s.2	Gy hopliên , voert terwijl den voortoght herwaert aen : Wanneer gy komt dan zal het klooster open staen , Of 't moest my aen de macht , dat zweer ick hen , ontbreecken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.945.s.1	Ick gae terwijl naer stadt , om Vosmeer noch te spreecken , Die ter gezette tijt komt zwemmen door den boom .	None
vond001gysb04_01.TEI.2.text.body.div.sp.945.s.2	Versteur de broeders niet , maer hou u wat in toom , En roep niet luit , men mocht uw stem te verre hooren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.949.s.1	Een krijghsman laet zich van geen paepen ringelooren .	None
vond001gysb04_01.TEI.2.text.body.div.stage.951.s.1	Poortier .	None
vond001gysb04_01.TEI.2.text.body.div.stage.951.s.2	Diederick van Haerlem .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.953.s.1	Poor .	None
vond001gysb04_01.TEI.2.text.body.div.sp.955.s.1	WIe klopt'er ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.959.s.1	Doe vry op , en vrees niet : 't is u vrient .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.964.s.1	't Is avont , en een tijt dat ons geen vrientschap dient : Koom morgen vroeg by daegh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.969.s.1	Wat zal ons hier gebeuren ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.969.s.2	'k Zegh anderwerf , doe op .	None
vond001gysb04_01.TEI.2.text.body.div.sp.974.s.1	Men opent hier geen deuren Zoo spaede : ga uw ' gang : koom morgen tijdigh weêr .	None
vond001gysb04_01.TEI.2.text.body.div.sp.978.s.1	Ick zegh voor 't lest , doe op , en doet gy 't niet , ick zweer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.1	Wie zijtge , die dus raest , als wilt en uitgelaeten ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.2	Wy dochten langer niet om ruiters noch soldaten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.3	Heer maerschalck , wel hoe dus ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.4	wat jaeght u hier zoo spa ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.5	Men sloegh u 't heiligh kruis , toen 't leger optrock , na .	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.6	'k Geloof niet dat gy ons al weder zoeckt te quellen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.7	En koomtge dus alleen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.987.s.8	waer zijn uw rotgezellen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.991.s.1	Ick koom alleen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.991.s.2	waer is uw meester Willebord ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.995.s.1	Ter kercke , daer hy vast , en zijn gebeden stort .	None
vond001gysb04_01.TEI.2.text.body.div.sp.999.s.1	Ga roep hem , want ick moet dien goeden vader spreecken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1004.s.1	O Jesus , sta ons by , dit is een mislijck teken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1004.s.2	Ick heb gebelt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1004.s.3	hy komt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1008.s.1	Ga roep den vader , flux .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1013.s.1	Soldaten brengen ons heel zelden veel gelux .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1013.s.2	Wy zienze noo van voor , en allerliefst van achter .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1019.s.1	Wie eenen hopman huist , die heeft een trouwen wachter , En ridderlijck beschut , en hoeft geen poort noch slot .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1027.s.1	De beste wachter is de stercke en groote Godt , Die nimmermeer en slaept , en luistert naer ons zuchten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1027.s.2	Wy bidden staegh om pais , en haeten krijgsgeruchten , En hooren met verdriet het kraeien van dien haen .	Emotion_Sadness
vond001gysb04_01.TEI.2.text.body.div.sp.1027.s.3	In oorlogh houden eerst abdy en klooster aen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1031.s.1	Gy zat hier in 't belegh voor alle moetwil veiligh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1036.s.1	Wy weten 't Egmont danck , en houden hem voor heiligh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1036.s.2	Daer is de vader zelf , zoo bleeck en afgevast .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1040.s.1	Heer maerschalck , wel , wat nu ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1044.s.1	Ick koom by u te gast .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1050.s.1	Gy zijt my wellekom , al komt gy ongebeden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1050.s.2	'k Verwachte u t'avont niet , en luister naer de reden Dat gy dus schichtigh keert : daer is wat meer aen vast .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1056.s.1	'k Verzoeck alleen op u , en dat door Egmonts last , Of ick wat krijgsvolck magh te nacht in 't klooster leggen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1056.s.2	Het is een krijgsmans beê , gy mooghtze niet ontzeggen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1060.s.1	'k Geloof gy deunt met my .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1065.s.1	't Is errenst , en geen spel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1065.s.2	En Egmonts eigen last : hy gafme dit bevel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.1	Hoe zal men dit verstaen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.2	heeft Egmont dat bevolen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.3	Hy stack noit Godtshuis aen , noch zocht zich by de kolen Te warmen van dat vier . 't is enckel misverstant .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.4	Gy zijt my wellekom , mijn heer , daer is mijn hant .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.5	'k Zal u en uwen stoet gewilligh innelaten Maer 't Godtshuis op te doen baldaedigen soldaeten Of ruitren , 'k ly niet : 'k vermagh 't met geen gemoedt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.6	Het klooster is Godts erf , en Jesus eigen goet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.7	Wie kloosters raeckt , die raeckt den appel van Godts oogen .	BodyPart_Love
vond001gysb04_01.TEI.2.text.body.div.sp.1078.s.8	Heer oversté , geloof , 't is buiten ons vermogen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1084.s.1	't Is om een uur of twee te doen , ten hooghste dry .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1084.s.2	Ick blijf u borghr en hou uw kerck en klooster vry Van overlast en scha , en zal de boosheit straffen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1086.s.1	Wil :	None
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.1	Met krijghsmans borreghtoght en heb ick niet te schaffen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.2	Al waer 't de veltheer zelf , ick zey 't hem in 't gezicht : Dit is een overout en vorstelijck gesticht , Verzorght in vrede en krijgh met zegelen en brieven , Dat wie het quetst , gedencke een vorst des rijx te grieven , Die zeght : hy raeckt mijn kroon wie 't Godshuis yet misdoet .	Offended_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.3	Sint Andries is 't gewijt : het past geen ' krijgsmans voet .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.4	't Zy verr ' dat Diedrick nu 's Katuizers vyant werde .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.5	Twee Alexanders zelfs , de vierde en oock de derde , Gelijck de tweede Urbaen , bevestighden dit slagh Van Godtsdienst , daar men Bruin wel d'eer van geven magh .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.6	Ja op dat geen gerucht zou steuren ons gemoeden , Magh niemant deze plaets , beneden hondert roeden , Betimmeren , veel min bezwaeren met den last , Dien d'oorlogh naer zich sleipt , of eenigh oorloghsgast .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1104.s.7	Wy staen op keizerlijcke en pauzelijcke wetten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1109.s.1	De wetten zwijgen stil voor wapens en trompetten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1109.s.2	De noot breeckt wet : gy mooght op geene wetten staen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1113.s.1	Ontwijtge dan 't gewijde ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1120.s.1	Als David heeft gedaen , Toen hy voor 't zwaert van Saul te Nobe quam gevloden , En zijnen honger boete aen priesterlijcke brooden , Dat niemant oit vermoght , 't en waer 't gezalfde hooft .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1130.s.1	De stoute Usia wert rechtvaerdelijck berooft Van zijn gezontheit , toen hy 't heilighdom ontwijde .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1130.s.2	De priesters hebben Godt en d'englen op hun zijde .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1130.s.3	Dit is het errefdeel , dat ons te beurte viel .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1130.s.4	Hy laedt des graeven vloeck rampzalig op zijn ziel , Die 't Godtshuis in zijn recht en vrydom wil verdrucken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1130.s.5	Hebt gy een ' aenslagh voor , het kan u niet gelucken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1134.s.1	Hoe luit des graeven vloeck , dat ick u wel versta ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1143.s.1	Dat aller Heilgen toorne en eeuwige ongena Alleen niet treffen zal de kinders , en den vader , O gruwel !	None
vond001gysb04_01.TEI.2.text.body.div.sp.1143.s.2	maer hy moet met Judas , Godts verrader , Met Lucifer en al zijne engelen vergaen , En schaemroot en verdoemt voor Jesus vierschaer staen .	BodilyProcess_Shame
vond001gysb04_01.TEI.2.text.body.div.sp.1143.s.3	't Is schrickelijck , begint uw hart noch niet te beven ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1147.s.1	Ja 't klooster heeft dien vloek den lantsheer voorgeschreven .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1153.s.1	Het zy daer meê zoo 't wil , men opent nu geen poort .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1153.s.2	't Is Kersmis ; 't klooster viert Godts vrolijcke geboort ; De hooghste feest van 't jaer ; dus laet dit werreck steecken .	Joy_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1161.s.1	Katuizerbroêr , hier gelt geen prevelen , noch preecken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1161.s.2	Bewilligh mijn verzoeck , en sta mijn bede toe , Of anders ly dat ick het ongebeden doe .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1161.s.3	De tijt verloopt , 't is spa : daer komen mijn soldaeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1166.s.1	'k Getroost my eer de doot , dan ick dit toe zal laeten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1166.s.2	Wat wilt ghy 't helsche vier op uwe halzen laên ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1171.s.1	Voort mannen , vaert vry voort , en steeckt het klooster aen : 't Is kout , zoo mogen wy ons by de kolen warmen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1178.s.1	Och maerschalck , hou gemack : och wilt u toch ontfarmen Het is geen Kristen mensch die brant in kloosters sticht .	Emotion_EmotionalAction_Compassion
vond001gysb04_01.TEI.2.text.body.div.sp.1178.s.2	Al wat het Godtshuis heeft , huisvesting , vier en licht , En spijs , en dranck , het is voor 't krijghsvolck al ten beste .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1182.s.1	Nu mannen , treckt vry in : treckt voor , ick blijf de leste .	None
vond001gysb04_01.TEI.2.text.body.div.sp.speaker.1184.s.1	Vosmeer : Willem van Egmont ,	None
vond001gysb04_01.TEI.2.text.body.div.sp.1188.s.1	ICk koom al heimelijck gezwommen door de grachten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1188.s.2	Waer sammelt Egmont nu ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1188.s.3	hy zou my hier verwachten .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1188.s.4	't Is doncker .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1188.s.5	ick ben nat , en klippertant van kou .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1193.s.1	Wel waer of Vosmeer blijft , ons afscheit was , hy zou Verzeker op dees uur alhier zich laten vinden .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1198.s.1	Hier is de man al zelf .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1198.s.2	wie zich derf onderwinden Een ' aenslagh , vol gevaers , moet passen op zijn tijt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1204.s.1	Weest welkoom , brave borst , nu blijckt het , datge zijt Een krijgsman , op wiens woort men wel een kerk magh bouwé .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1204.s.2	Hoe hebt gy 't met den heer van Aemstel al gebrouwen ?	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.1	Zoo geestigh , dat'er niets aen dezen aenslagh faelt .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.2	De burgery heeft zelf het zeepaert ingehaelt , Met zangen en triomf , als die van Troje deden .	Joy_Emotion_EmotionalAction_Pride
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.3	Ick stuurde en hiel het roer : maer 't oorloghsvolck , beneden In 't schip , liep groot gevaer .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.4	de bodem slorpte 't nat , Door 't stooten op een ' pael , waer door een yeder zat In 't water tot de knie , en vreesde te versticken .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.5	Het ongemack was groot , noch durfde niemant kicken : Doch 't leck geraeckte dicht , en stopte wonderbaer Van zelf , toen broght de hoest ons weder in gevaer ; Vermits men 't schor geluit bescheidelijck kon hooren .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.6	Had Godt niet zelf verdooft des Aemsterdammers ooren , Wy waren van ons stem en eigen keel verraên .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.7	Ick gaf my zelven moedt , en hief eens rustigh aen Te zingen , dat het klonck , schoon hert en nieren krompen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.8	Dan trantelde ick van kou : dan viel ick eens aen 't pompen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.9	Zoo raeckten wy in stadt , daer , als een waterval , Al 't volleck schoot naer 't schip , van straet en burreghwal .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.10	De geest van out en jong door een scheen uitgespannen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.11	Men brocht het Vosmeer toe met kroezen en met kannen .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.12	Maer 't zagh'er deerlijck uit , toen Gysbrecht liet gebiên , Men zou de naeste poort en 't slot van rijs verzien : Want door het lang belegh , en door de koude dagen Was al de torf verbrant .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.13	ick holpze rustigh draegen , En scheen de gaeust van al , in 't bangste van dien noot : Want had het lang geduurt , de zolder waer ontbloot , Waer onder 't krijghsvolck lagh gedoken in zijn laegen ; Doch d'avont viel heel kort , en ick begon te klaegen , En hielme gansch vermoeit , en riep : van daeg genoegh Geslaeft ; men valle aen't werk , na'et hoogtijt , 's morgens vroeg .	Fear_Emotion
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.14	Het wachthuis is verzien .	None
vond001gysb04_01.TEI.2.text.body.div.sp.1262.s.15	het is nu tijt van vieren , Naer dien gy van den schrick der Hollantsche banieren Genadigh zijt verlost , en ick'er 't lijf af broght .	None
