hoof001achi01_01.TEI.2.text.body.div.head.500.s.1	P.C. Hoofts spel van ‘ Achilles en Polyxena ’	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1603.s.3	Laet u een weynich tijts veel liever niet verdrieten Dan t ' geen ghij muecht met eer , met schande te genieten .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.head.1606.s.1	[ 2e. Handelinge ]	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1607.s.1	2e. Handelinge 1 .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1609.s.1	Priamus , Paris , Deiphobus , Aeneas , Antenor , op de muer Hecuba , Helena , Polyxena , Andromache , Astianax .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1614.s.1	T griexsche heijr passeert voorbij , de troijanen rusten binnen toe om te slaen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1617.s.1	Antenor	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1628.s.1	Siet Jovis dochter daer , haer schoonheijts glants hoovaerdich !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1628.s.2	Is oock dat aenschijn geen tien iarich oorloch waerdich ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1628.s.3	Aeneas , wat dunct u , gelijctse u moeder niet ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1630.s.1	Aeneas	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1634.s.1	Ick vind ' seer wel besteet de commer en t ' verdriet Van dit ellendich rijck , so dickwils ick aenschouw Het godlijck claer aenschijn van Paris edel vrouw .	HeavyHeartedness_Worry_Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1636.s.1	Deiphobus	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1648.s.1	Mijn vrou en suster , die de griexse Princen kent , Ick bid ' u , seyt ons wie dat sij , die daer ontrent Achilles met sijn pluijm so moedich compt getreden , Dat het vast aertrijck druent onder sijn trotse schreden .	EmotionalAction_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1650.s.1	Helena	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1665.s.1	Dat dees voor Troyen quam , grootmoedich prins , beclaecht !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1665.s.2	De wacker Aiax ist , daer nae mijn broeder vraecht , De jonckste van de twee ; die daer met hem schijnt twistich , Dats Diomedes , cloeck in slach en aenslach listich .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1665.s.3	Dats d ' ander Aiax , met den helm , van schoon gestalt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1667.s.1	Priamus	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1681.s.1	Mijn vrou en dochter , soot u niet te lastich valt , Noempt d ' ander Princen me , ist Menelaus desen , Die man voor man vermaent , gelijckt schijnt aen sijn wesen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1714.s.1	Mijn Heer , mijn Vader , laes !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1714.s.2	gekent hebt ghij hem wel t ' Sint hij hier als gesant was met sijn meegesel .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1714.s.3	Tis Menelaus , iaet , en die hem bij den cleede Trect , dats Ulysses selffs , die so veel moeijtens dede , Veijnsden sich selven sot , ploechde de dorre strant , Op dat men hem met vree soud ' laten in sijn lant , Om sijn Penelope t ' aenbidden en te vieren , Hoe wel de vrou en is maer van gemeen manieren .	EmotionalAction_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.1714.s.4	Dats Patroclus , die daer van vers Achilles groet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1714.s.5	Dan siet , heer vader , wat daer Agamemnon doet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.1	Strijtbare mannen , die wt griecken sijt gevaren Om met u daden cloeck de werrelt te verclaren , Dat niemant trotste u met schaed ' oijt off met schand ' En ongewroocken bleeff van u verwinners hant .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.2	Altsamen weet ghij , hoe dat Paris is gecomen Tot Lacedemon , die mijn broeder heeft genomen Beleefd'lijck in sijn huijs , tot welxs vergelding dat De valschen gast hem stal sijn huijsvrou en sijn schat .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.3	Daar t ' recht is sijn de goôn , het recht is op ons sijde .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.4	Met dit betrouwen vast gaet ghij altsaem ten strijde .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.5	Al hadden wij te slaen een yder tegens tien En t ' recht was op ons sij , men mostse niet ontsien .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.6	Nu comen wij te velt , niet tegens verse crachten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.7	Tien mannen tegens een hebdij niet te verwachten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.8	Gheen nieuwe vijandt ist , off daer ghij noijt me sloecht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.9	Het is het selve volck , die binnen haer wallen suchten .	HeavyHeartedness_BodilyProcess_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.10	t Sijn de troyanen , die binnen haer wallen suchten .	HeavyHeartedness_BodilyProcess_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.11	Achilles , tis het heijr , dat ghij alleen deet vluchten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.12	Tis , Aiax , t ' selve volck van wien ghij met u swaert Alleene voor den brant de schepen hebt bewaert .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.13	Ghij griexse crijsluij vroom , die ver van wijff en kind'ren Troct om u vaderlant sijn schade te verhindren , Siet daar de vrouwen op de muer tot ons profijt , Die haer de moedt benemen sullen doort gecrijt .	EmotionalAction_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.14	Siet Helena daer selff ; wij hebben ons vernoegen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.15	Met meerder schrick sal haer gemoedt in 't vechten wroegen !	Fear_Emotion_Remorse
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.16	Siet hier een eijndt des crijchs , die tien iaer heeft geduert , Een eijnt van alt verdriet tot noch van u besuert .	Emotion_Sadness_Remorse
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.17	Toont ghij hier uwen moedt en vliedt het schandlijck vreesen .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.18	Geen langer wederstant cunnen sij doen naer desen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.19	Draecht ghij u hier niet vroom , soo doettet ons geen nut , Dat Aiax met sijn hant de schepen heeft beschut , Want die sijn lang verrot , en onbequaem om vlieden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.20	En andre bouwen , dat derff niemant van ons lieden Eer Troijen leijt ter neer , gelijck een ijder zwoer Van dese Princen al , wanneer men herwaerts voer .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1832.s.21	Dus ander wtcompst gaet al stellen wt u sinnen Behalven sterven vroom , oft eerlijck overwinnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1836.s.1	2e Handelinge .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1836.s.2	2e Wtcoompst	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1837.s.1	Hector met het heijr .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.1	Troyanen , hadt ghij oyt oorsaeck te sijn verblijt , Soo hebt ghij boven al oorsaeck op dese tijt .	Joy_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.2	Siet hier den dach en wr , ghij crijsluij en ghij heeren , Die elck plach met so groot verlangen te begeeren .	Emotion_Desire
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.3	Hoe dickwils hebt ghij int besonder elck geseijt : ‘ Och , die mocht in een slach wreecken sijn schant ' en leijt , En toonen t ' geen dat sij gebreck van vroomheijt achten , Was wangunst van geluck , en geen gebreck van crachten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.4	’ Dat sij laest wonnen schruemt daerom niet met al , Hoe hoger int geluck , hoe naerder an den val .	Fear_Emotion
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.5	‘ Die wan sal winnen ’ .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.6	Waer is sotter reen te vinnen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.7	Maer dits des werrelts loop : ‘ Die laast verloor sal winnen ’ .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.8	Alree keert het geluck door dient tot deser stont Gelegentheijt tot wraeck van onse schade iont .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.9	Tis tijt Aiax met meerder angste te doen sweeten En om te stillen al Achilles groot vermeten .	Fear_Emotion_BodilyProcess_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.10	Siet de Joffrouwen daer , siet daer d ' wtheemse vrow , Daermen tien ander iaer noch crijch om voeren souw .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.11	Die hart heeft in sijn borst en laet hem nu niet iagen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.12	En winnen wij den slach , t ' is t ' eijnde van ons plagen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.13	Penthasilea vroom met veel volxs int getal Verwacht ick alle daech , die sonder twijfel sal Soo gruwelijck ontsich in onse vijant maken , Dat hij daer door geheel in moed'loosheijt sal raecken , Verslagen door sijn schrick van sijn verlies en schant .	Fear_Emotion_Despair
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.14	So , ghij Troijanen , hout in dees slach d ' overhant .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.15	Elck enen toon de cracht van sijnen rechter arm En dapperheijt van moedt .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.16	Siet daer den grieck .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.1928.s.17	Alarm !	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1935.s.1	Patroclus blijfft .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1935.s.2	Hector draecht het lichaem ter sijen en schent het .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1935.s.3	De griecken winnent weder en werden geiaecht .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.1935.s.4	Troijanen victorieus en gaen binnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1937.s.1	2e Handeling .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.1937.s.2	3e. Wtcoompst	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.1939.s.1	Choor	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.2	Het hoochste , dat den mens op aerden is gegeven Door den eersaemen raet van s ' hemels goden hooch Is eer , het waerste goet int tijttlijcke leven , Op welck het grootste hert alleenlijck neempt sijn ooch .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.4	De goden alle ding den mens om sweet vercoopen , Dus crijcht men t ' hoochste goet niet dan door d ' hoochste daet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.5	En dat is crijchs beleijt , een const om brave hopen t ' Houden in heerschappij alleen tot s ' vijants quaet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.7	Dat doet ghij , brave prins , gaet Mars daer in te boven , Die d ' een nae d ' ander reijs u vijant stout verwint , Dat die selff uwe deucht gedwongen is te loven , Al haet hij t ' gene , dat u ondersaet bemint .	Emotion_Hatred_Love
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.9	U daegh'lijcxs werck het is in slavernij als eijgen Te leijen Princen trots , en treense mette voet , Pilair des vaderlants , die t ' wreet vermeetel drijgen Der vreemder volcken stilt , en cneust haer hoge moet .	Emotion_Pride
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.11	Sijt dankckbaer aen u Prins , gaet den verwinner teegen , Schoon edel vrouwen hem met lauren cransen croont .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.12	Al is de dancbaerheijt hier selff om danck verleegen , De danck die toonlijck is aen u verlosser toont .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.13	6 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.14	De palmen vant gans oost en boschen van laurieren Sijn weynich int getal bij sijn verdiende loff .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.15	Alleenlijck het gedacht can hem te wille vieren , Gebrecklich wert de tong door overvloet van stoff .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.16	7 .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.17	Gheen sterfflijck goet is goet om hem genoech te lonen , Onsterfflijck eer alleen sijn eere wesen sal .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2029.s.18	Dees sal hem na sijn doot aen elck onsterfflijck tonen En ewich als een godt verbreijden over al .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.2031.s.1	2e. Handelinge .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.2031.s.2	4e Wtcoompst	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2033.s.1	Aiax met het lichaem van Patroclus .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2033.s.2	Achilles , Agamemnon , Ulysses .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2035.s.1	Aiax	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2055.s.1	Grootmoedich Prins , dewijl met u geselschap ghij Den herden vijandt iaecht en druct aen dander sij , Siet hier u troutste vrient door Hectors hant verslagen !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2055.s.2	Toont nu u groot gemoet in tegenspoet te dragen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2055.s.3	Peijnst op de wraeck alleen , onnutte droefheijt spaert .	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.1	Och !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.2	is dan bij de goôn de dienst so weynich waert ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.3	Ach goôn !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.4	ach wreede goôn !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.5	vervloecte loop der starren !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.6	Ghodlosen hemel , die het goet int quaet verwarren !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.7	Ach wreede ghoden schick !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.8	de wangen sijn als loot , Die roosen schenen corts !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.9	melijdelose doot , Noijt deet ghij meerder quaet !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.10	Ha helsche rasernijen !	Emotion_BodilyProcess_Anger
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.11	Ha Pluto !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.12	rooft ghij dees , wie suldij voortaen mijen ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.13	Jupijn !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.14	Ha wree Jupijn !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.15	die niet dan droefheijt dorst !	Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.16	Compt , blixem , doet te niet , daer is Achilles borst !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.17	Mengt t ' element vant vier en t ' water met malcandren , Doet d ' aerde in de lucht en lucht in d'aert verandren , Mengt hel en hemel t ' saem , laet geen ding op sijn stee !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2094.s.18	En in natuers bederff , verderff u selven mee !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2102.s.1	Achilles , waer toe dient onnutte reên te spreecken ?	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2102.s.2	Betoont de doot sijn eer , en peijnst om u te wreecken , Hector belacht u rou .	Emotion_Hatred_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2115.s.1	Hoe ghij meer weent en sucht , Hoe ghij hem blijder maect , laet dan het droeff gerucht .	Joy_Emotion_BodilyProcess_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2115.s.2	U droefheijt sij voor hem geen oorsaeck om verblijen .	Joy_Emotion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2132.s.1	Draecht binnen t ' lichaem dan , ick sweer tot genen tijen Te slapen anders dan op d ' aerde cout en hert , Tot dat volcomen wraeck van mijn genomen wert Over dit wreede stuck , en die mij heeft doen clagen , Betael een wreede wraeck , van dese hant verslagen .	Emotion_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2134.s.1	Ulysses	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2145.s.1	Den wtvaert sal men doen op costen vant gemeen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2145.s.2	Opt heerlixst dat men mach branden de doode leên .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2145.s.3	Dus geeft , ô veltheer , last om t ' hoge vier te bouwen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2151.s.1	Datmen in Ida ga terstont om hout te houwen .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.2153.s.2	5e. Wtcoompst	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.2	Den hemel met sijn gouden laeckens salen , Herberch der Goôn , vol goddelijcken glans , Heerlijck geciert met Phoebus clare stralen , Wiens suster haer staetdochters leijt ten dans , Die op haer plaetse blijven en die dwalen ; Hoe hooch , hoe groot sij is , bestaet nochtans Door vrientschap soet , welck woort hier wert genomen Voor eendracht vast en over eene comen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.4	t ' Aertrijck , duerwracht met bergen en revieren , Met steden rijck van torens , schat en pracht , t ' Welck heuvels schoon en soete daelen cieren , Met duister bosch , met bloem en cruyden sacht , t ' Gevogelt wilt , de sorgelose dieren En der verwaender menschen swack geslacht Bestaet alt'saem door eendracht , ende sonder De vrintschap sout vergaen , en raecken t ' onder .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.6	Vier , water , lucht en d'aerde sijn tweedrachtich Een ijder tegens ander in sijn aert .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.7	Nochtans natuer off s ' werrelts schepper machtich Heeft haer in ijder schepsel soo vergaert , Datter geen twist maer stadich vrientschap crachtich Wert tusschen haer , elck in sijn ampt bewaert .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.8	En als het een het ander wil verwinnen , Bederfft het geen daer in sij twist beginnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.10	Vrientschap is de geboorte van de steeden , Haer voetsel en haer leven , twist haer doot .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.11	Int oorloch swaer en moijlijck om beleeden , Is eygen twist de vreeselijckste stoot .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.12	Eendracht maeckt macht , en can de macht verbreeden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.13	Dus worden licht de cleijne rijcken groot .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.14	Om in den slach door geene twist te doolen Is Agamemnon t ' pack alleen bevoolen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.16	Dan , is eendracht en vrientschap waert om eeren Voor een gans rijck , t ' welck door haer wert beschut , Elck mens alleen sij tot geen scha kan keeren , Maer d ' eene vrindt is d ' anders onderstut .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.17	Van al het geen ons herte can begeeren Is een getrouwen vriendt het hoochste nut .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.18	Maer d ' hemel saijt twee vrienden trou van waerden Om d ' hondert iaer , helaes , maar eens op aerden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.20	Dees Princen beij wel sulcken naem verdienden , Gelijck den rou van d ' een wel blijcken dee .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.21	Nu sijnse doot en t'sijn niet meer dan twee vrienden : Als d ' eene vriendt sterft d ' ander vrint sterft mee .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2273.s.22	Want als de goôn de vrient , die sij ons lienden , Wechnemen , sterfft de vrientschap daer ter stee , Sonder de welcke wert niemant vrint geheeten , Hoewel men best nae doot vrints trou kan weeten .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.2276.s.2	6e. Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2277.s.1	Automedon .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2277.s.3	Hector .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2277.s.4	Soldaten .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2291.s.1	Mijn heer , de spieen brengen tijding op ter daet , Dat Hector te gemoet de Amasonen gaet Met weynich volxs , om haer Princes eer te betonen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2291.s.2	Siet hier gelegenhtheijt omt schelmstuck te belonen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2300.s.1	Fluxs , roept mijn vrinden , dat elck ander dingen staeck .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2300.s.2	Nu op , Achilles , hier is tijt van wrede wraeck .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2300.s.3	Voort ras , versuijmt geen tijt , maer laet s ' ons wel besteden .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2300.s.4	Ghij weet , Automedon , den wech , voorwt wilt treden .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2302.s.1	Griecken binnen .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2302.s.2	Hector aan d ' ander sijde wt .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2302.s.3	Achilles op sijn hielen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2316.s.1	Want grootlijckxs sijn w ' altsaem in dees Princes gehouwen , Die ons te hulpe compt met haer strijtbare vrouwen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2316.s.2	Hier me Troijanen ....	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2316.s.4	den vijant weer wilt bien !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2316.s.5	Ach , dats Achilles selff !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2316.s.6	hier is geen plaets om vlien .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2320.s.1	Hector van Achilles verslagen .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2320.s.2	Troyanen veriaecht .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2345.s.1	So moordenaer , die niet als vroom , maer als de blooden Nae d ' overwinning noch voert oorloch mette dooden , Schent weer haer lichaem , meer sal ment van u niet sien , Dan t ' selve sal ( ick sweert ) u lichaem oock geschien .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2345.s.2	Bespotten ghij mijn vrient , ghij sultet oock besueren .	Emotion_Remorse
hoof001achi01_01.TEI.2.text.body.div.div.sp.2345.s.3	Trect driemael t ' lichaem rontsom troijens hoge mueren , Gebonden achter t ' paert , en sleeptet door den slijck Tot lasterlijcke schant van het vermetel rijck .	Emotion_Anger_Vindictiveness
hoof001achi01_01.TEI.2.text.body.div.div.head.2348.s.1	[ 3e. Handelinge . ]	None
hoof001achi01_01.TEI.2.text.body.div.div.head.2349.s.1	3e. Handelinge .	None
hoof001achi01_01.TEI.2.text.body.div.div.head.2349.s.2	1e. Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2350.s.1	Pryamus .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2350.s.2	Polyxena .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2350.s.3	Andromache .	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2350.s.4	Astianax .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2352.s.1	Pryamus	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2393.s.1	Die door sijn Adel groot , en schepter sich verstout , Die op een hoge staet , en machtich rijck vertrout , En daerom niet en vreest , dat s ' hemels goden waerdich Gelijck de menschen sijn , verkeerlijck en lichtvaerdich , Maer stelt sijn geest gerust in voorspoet en geluck , Die spiegel sich aen mij in dees bedroefde druck .	Fear_Aquiescence_Emotion_EmotionalAction_Happiness_BodyPart_Other_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2393.s.2	t ' Geluck van d ' ouwe stat , van al mijn volck en landen , Dat had ick altesaem gestelt in Hectors handen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2393.s.3	Als dees vermoort wart van de griexsce prins verwoet , Doen viel al troijens hoop en troost onder de voet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2393.s.4	Ach armen Coninck out !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2393.s.5	wel waerdich te betrueren , Het lichaem van u soon en mocht u niet gebueren .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2393.s.6	Gaet , cooptet , en ontsmeect het den verwinner straff , Op dat het mee geniet sijn out voorvaders graff .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2395.s.1	Andromache	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2414.s.1	Ach , cleen Astianax !	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2414.s.2	compt , gaet den vijant groeten , Den overwinner trots valt vrijelijck te voeten , Bidt hem ootmoedich aen , en acht geen schande niet Te doen het gene , dat u t ' wree geluck gebiet .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2414.s.3	Laet dalen u gemoet , off hout sijn crachten binnen , Vergeet u out geslacht , stelt Hector wt u sinnen , Off , so ghij mee gevoelt de wonden van u leijt , So doet gelijck als ick , en met u moeder schraijt .	Emotion_BodyPart_BodilyProcess_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.head.2416.s.2	2e. Wtcoomen	None
hoof001achi01_01.TEI.2.text.body.div.div.stage.2418.s.1	Nestor , Pryamus , Ulysses , Achilles , Agamemnon , Aiax , Andromache , Polyxena , Astianax , Automedon .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.speaker.2420.s.1	Nestor	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2431.s.1	Eij , armen coninck out , wel waerdich te beclagen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2431.s.2	Int hoochste van u noot bleef uwen soon verslagen .	None
hoof001achi01_01.TEI.2.text.body.div.div.sp.2431.s.3	Int hoochste van u noot sijt ghij van hoop berooft .	Emotion_Hope
hoof001achi01_01.TEI.2.text.body.div.div.sp.2431.s.4	Melijdlijck ick beclaech u out grijsharich hooft .	Emotion_EmotionalAction_Compassion_Sadness
hoof001achi01_01.TEI.2.text.body.div.div.sp.2431.s.5	Veel oorsaeck hebdij wel om droefheyt te betonen .	Emotion_Sadness
