stee033tham01_01.TEI.2.text.body.div.head.198.s.1	Thamas Koelikan , of De verovering van het Mogolsche ryk ; Treurspel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.633.s.3	Dit geeft my hoop : ô ja ! 't zal my misschien gelukken ' Aan 't gruwzaam ongeval den droeven staat te ontrukken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.633.s.4	Kom , laat ons Nadir zien ; opdat my spoedig blyk ' Wat deze vorst verricht voor 't Indostansche ryk .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.635.s.1	Einde des Eersten Bedryfs .	None
stee033tham01_01.TEI.2.text.body.div.head.639.s.1	Tweede bedryf .	None
stee033tham01_01.TEI.2.text.body.div.stage.643.s.1	Nizamëlmoluk , Alikan , Malek .	None
stee033tham01_01.TEI.2.text.body.div.sp.speaker.646.s.1	Malek , tegen Nizamëlmoluk .	None
stee033tham01_01.TEI.2.text.body.div.sp.651.s.1	Myn koning wil u hier zyn oogmerk openbaren .	None
stee033tham01_01.TEI.2.text.body.div.sp.651.s.2	Ik weet zyn opzet niet : vrees echter geen gevaren : Uw eedle vyand zal zyn glorie niet verraên .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.sp.651.s.3	'k Zal hem uw beider komst in 't leger doen verstaan .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.655.s.1	Nizamëlmoluk , Alikan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.657.s.1	Alikan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.666.s.1	Gy , Nizamëlmoluk , ontboden door den koning , Geniet , door 's vyands keur , een groote gunstbetooning , Een ' dierbren voorrang , die genoeg te kennen geeft Wat achting deze vorst voor uw verdiensten heeft ; En dat hem niemant , uit ons leger , naar zyn oordeel , Zyn groot bestaan kan doen gedyën tot zyn voordeel , Dan gy , die onbeschroomd zyn heldendeugden roemt , En met geen duistre taal zyn ' krygstogt wettig noemt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.669.s.1	Nizamëlmoluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.674.s.1	Het voegt aan Alikan zo stout van my te spreken ; Aan u , wiens onschuld niet genoegzaam is gebleken , Aan u , die van verraad in schyn uzelv ' verschoont , Wanneer ge uw ' yver dus voor 't vaderland betoont .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.681.s.1	Myne ongeveinsde trouw zal onweêrspreekbaar blyken , En dit verdacht ontbod daaröver 't vonnis stryken .	Emotion_Loyalty
stee033tham01_01.TEI.2.text.body.div.div.sp.681.s.2	Zo iemant iets tot schaê van Indostan besloot , Dan is hy schuldig dien de vyand hier ontbood .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.1	Een overtuigend blyk !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.2	zo acht ge my dan schuldig ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.3	Zo moest dan Alikan , voor 't vaderland zorgvuldig , Bekommerd dat ik vorst en volk verraden zou , My hier verzellen ? 't ryk behoeden door zyn trouw ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.4	Doorslepen hoveling !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.5	gy zult my niet misleiden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.6	Laat ons de logen uit de waarheid onderscheiden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.7	De vyand , had ik my bezoedelt met verraad , En spande ik met hem aan tot nadeel van den staat , Zou , door ervarenis in staatkunde onderwezen , Niet roekloos my ontbiên , maar allen argwaan vreezen .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.8	Had Nadir u ontboôn , 'k sprak u van ontrouw vry .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.9	Ik geef geen redenen tot achterdocht , maar gy .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.10	Uw yver , die voor 't ryk u noodeloos doet waken , Bedekt in 's keizers geest my poogt verdacht te maken , U aanspoorde om met my naar 's vyands heir te gaan , Misschien uit enkle vrees dat ik u hier mogt schaên , Deze yver geeft my recht , ô Alikan !	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.704.s.11	te denken , Dat gy , voorheen verdacht , uw ' pligt , uw trouw durft krenken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.714.s.1	Ik ducht , op wisser grond , dat uwe arglistigheid , Die my doet zwichten , en u vry van ontrouw pleit , U zal door Nadirs gunst den rykstroon doen bekleeden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.714.s.2	De staatzucht is gespitst in gruweldaên te smeden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.714.s.3	'k Zeg andermaal , dat gy , die Nadirs deugden pryst , Gy , wien de vyand thans de grootste gunst bewyst , By zich in 't heir ontbied , om u alleen te spreken , ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.725.s.1	Gy kunt myn ' aanslag , zo ik schuldig ben , verbreken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.725.s.2	Gy , die by Nadir door uw byzyn my bespied , Verhoe dien toeleg ...	None
stee033tham01_01.TEI.2.text.body.div.div.sp.725.s.3	Neen , gy vreest myne ontrouw niet ; Gy vreest alleen , dat ik , van argwaan ingenomen , Uw schandelyk verraad trouwhartig voor zal komen .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.725.s.4	Denk , hoe gy meer my tergt , in schyn my schuldig acht , U zuivert , hoe ik meer uw ' yver hou verdacht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.1	Vaar voort ; verberg voor my den grond van uw gepeinzen ; Bedrieg my , zo gy kunt , door uw behendig veinzen ; Verdenk , beschuldig my ; voeg al uw kunst byéén : 'k Zie echter , u ten spyt , door al uw loosheid heen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.2	Indien ge uw doel bereikt , staat alles my te duchten : Gy zoud den troon bekleên ; ik in uw boeijen zuchten , Of door een wreede dood uw grimmigheid voldoen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.3	Aanstaande keizer !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.4	spreek : wat lot , uw wraak ten zoen , Zal my beschoren zyn ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.5	of staat my niets te vreezen ?	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.6	Ik weet dat Alikan uw gunstling niet zal wezen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.743.s.7	Dan zal 't Mogolsche ryk , door uwe zorg bewaakt , Ontheven van een ' vorst , wiens ryksbestier gy wraakt , Volmaakt gelukkig zyn , 't heeläl ten wonder strekken , En koning Nadir u voor alle rampen dekken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.1	Indien gy 't ryk niet wint door uwe arglistigheid , Het is ten minste een goed waarmeê ge uw staatzucht vleit .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.2	Ik kan , uit achterdocht , u 't zelfde feit verwyten , Dat uw geveinsde drift te bits my toe durft byten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.3	Gy voert die stoute taal , dewyl gy schandlyk waant Dat u de vyand reeds een ' weg ten rykstroon baant : Gy kunt uw dwaze hoop , uw blydschap , niet verbergen .	Joy_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.4	Of durft uw overmoed zo onbeschaamd my tergen , Opdat ik roekeloos uit gramschap iets besta , Waardoor ikzelf my storte in 's keizers ongenaê ?	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.5	Neen , listige Alikan !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.6	gy zyt niet meer ervaren , In uw vermeetle jeugd , dan ik in ryper jaren .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.7	Ik , die het veinzen doem , die all ' uw treken ken , Die van uw ' wrevlen nyd het smaadlyk doelwit ben ; Ik , door geen gramschap , door geene eigenbaat bewogen , Zie al uw pooging aan met medelydende oogen .	Emotion_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.8	Keer weder tot uw ' pligt ; betoon een waar berouw ; Bescherm het ryk , uzelv ' , door ongeveinsde trouw .	Emotion_Loyalty_Remorse
stee033tham01_01.TEI.2.text.body.div.div.sp.770.s.9	Ik zal , zodra ik u voor 't vaderland zie leven , Uw list , uw veinzery , uw ' toeleg u vergeven ; Ja , uit erkentenis , u eeren als een ' vriend , Die myn verächting nooit door ontrouw heeft verdient .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.776.s.1	Nadir , Nizamëlmoluk , Alikan , Malek .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.776.s.2	Lyfwachten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.790.s.1	Toon , zo gy Nadir zyt , gewoon aan eedle daden , Of Alikan by u zyn ' keizer heeft verraden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.790.s.2	Mynheer , ik ben verdacht van zulk een gruwelstuk , By dezen meêgezant , by Nizamëlmoluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.790.s.3	Hy zal , zodra gy hem de waarheid zult ontdekken , Myne onbevlekte trouw niet meer in twyfel trekken ; Maar , t'eenemaal gerust op uw getuigenis , Doen blyken hoe volmaakt voor u zyne achting is .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.790.s.4	Uw deugd , uw glorie eischt dat gy myn trouw verdedigt , Nadien zyn argwaan u , niet min dan my , beleedigt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.790.s.5	Spreek tot myne onschuld niet , dan voor uzelv ' alleen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.1	Zou myn getuigenis geloof verdienen ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.2	Neen !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.3	't Zou my tot schande , en u tot erger leed gedyën : Een vyand is altoos verdacht van veinzeryën .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.4	'k Zal echter klaar doen zien aan uw ' gedreigden staat , Dat Nadir niets begeert door bystand van verraad .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.5	Hoor , Nizamëlmoluk , wat ik heb voorgenomen , En waarom myn ontbod u in myn heir deed komen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.6	Uw leger , uitgeteerd , van hongersnood geplaagd , Op 't enkele gezigt eens Persiaans vertsaagd , Door binnenkryg verdeeld , van hoop ontbloot , aan 't muiten , Aan 't moorden , magteloos myn zegepraal te stuiten , Uw talryk leger word vernield , zodra 't my lust : Dit ryk is in myn magt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.7	Stel echter u gerust : 'k Zal in uw weerloos heir , 't geen door onlydbre elenden Myn ziel tot deernis noopt , met frissche legerbenden Geen ' schandelyken moord , geen gruwzaam feit bestaan : Ik eisch geen ' stroom van bloed ; ik ding naar lauwerblaên .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.8	ô Ja !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.9	ik wil myn gunst aan Indostan bewyzen , Myn voordeel afstaan , en uw kermend leger spyzen , Indien uw vorst , geleerd hoe weinig hy vermag , Zich wil behoeden door een billyk vreêverdrag .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.817.s.10	Die weldaad zal meer vreugds verwekken in myn zinnen , Dan de eer van door myn ' moed gantsch Indostan te winnen .	Joy_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.1	Mynheer , ik kan genoeg beseffen welk een vreugd , Die alles overtreft , uit ware heldendeugd In groote zielen spruit , die 't edel mededoogen Verkiezen voor 't geweld van 't vyandlyk vermogen : Ook weet ik dat uw hart naar zulk een blydschap tracht : Uw weldaad , ons beloofd , is niet by my verdacht .	Joy_Emotion_BodyPart_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.2	Geen laffe vleijery doet tot uw ' lof my spreken : Uwe edelmoedigheid is Azië gebleken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.3	Vergun my , dat ik vraag ' hoe u die zware elend ' , Die hongerswoede , die verdeeldheid is bekend .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.4	Of is u niets gemeld ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.5	Gy zoud , door louter gissen , Of door een valsch bericht , de waarheid kunnen missen , En dus eene eedle gunst beloven , die , versmaad , En vruchtloos voor ons heir , uw magt te boven gaat .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.6	Gelooft ge dat myn vorst , door all ' uw Persianen , Zich , zo de nood hem drong , geen ' weg zou durven banen , Maar , tot vermyding van een glorieryke dood , Lafhartig zou vergaan van zwaren hongersnood ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.7	Erken , indien gy 't waant , ô Nadir !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.8	uw verblinding .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.843.s.9	Men vreest , in doodsgevaar , geen hagchlyke onderwinding : De wanhoop , onbevreesd , van razerny verzeld , Maakt van een ' bloodaart zelfs een ' zegepralend ' held .	Fear_Emotion_Despair_Anger
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.846.s.1	Alikan , tegen Nadir .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.856.s.1	Hoe heilryk is ons lot , nu onze legerscharen , Door honger niet geplaagd , beveiligd voor gevaren , Van heldenmoed bezield , tot tegenweer bereid , Geen ' dank verschuldigd zyn aan uw meêdoogendheid !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.856.s.3	uw deernis , vreemd , verbazend , overbodig , Verdacht van veinzery , zou , waar ' ze ons leger noodig , Misschien , zodra ge ons had behendig uitgehoort , Verkeeren in geweld , in oorlogswoede , in moord .	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.859.s.1	Nadir , tegen Alikan .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.874.s.1	Gy acht my dan bekwaam tot snoode veinzeryën ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.874.s.2	Gy vreest niet dat die taal u kan tot leed gedyën ?	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.874.s.3	Indien ik trouweloos door list myn voordeel zocht , Dan moest ge zwygen van uw zorglyke achterdocht ; Nadien ik , fel getergd door uw vermetel spreken , In spyt van 't vrygelei ' dien hoon zou kunnen wreken .	Suspicion_Worry_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.874.s.4	Gy tergt my roekloos , of beleedigt my in schyn ; Maar toont uw trouw te veel , dan dat ze oprecht zou zyn .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.874.s.5	Wie schaamtloos , met gevaar , een ' vyand durft trotseren , Om listig van zichzelv ' alle achterdocht te weeren , Is veeltyds min bedacht op 't welzyn van den staat , Dan op zyn zelfbelang , op lafheid , op verraad .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.874.s.6	Gy spreekt , alsöf gy loos , verr ' van myn wraak te vreezen , My dienstig zyt geweest , of dienstig poogt te wezen .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.881.s.1	Gy waant dat deze taal my spyt verwekt : maar neen ; Ik ben u dier verpligt voor deze vrindlykheên , Die , schoon een valsch gerucht myn glorie heeft geschonden , Doen zien hoe Alikan aan Nadir is verbonden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.884.s.1	Nadir , tegen Nizamëlmoluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.1	Gy , die my niet verdenkt , en echter uwe elend ' , Uw ' zwaren hongersnood , uw ' binnenkryg ontkent , Gy zoud ontwyfelbaar de waarheid my ontdekken , Indien 't geen ' argwaan , in uw nadeel , zou verwekken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.2	Een edel hart , als 't uw ' , betrouwt zich onvervaard Op 't onherroeplyk woord eens vyands van myn ' aart .	Emotion_BodyPart_Trust
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.3	Maar 'k wil deze oorzaak van ontkenning doen verdwynen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.4	Gy , Malek , doe terstond de vrouwen hier verschynen , Ik zal bewyzen , hoe , door wat onfeilbaar blyk , 't Gevaar my is bekend van 't Indostansche ryk , Ik doem uw loosheid niet ; ik prys uw veinzeryën , Zolang de oprechtheid u tot onheil zou gedyën .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.5	Maar als gy haar zult zien , die , door heldinnetaal , Van uwe elende my een ongeveinsd verhaal Tot uw verlossing deed , en my tot mededoogen Voor 't kermend talloos heir eens vyands heeft bewogen , Dan zult ge , op dat gezigt volkomen overreed , Behoed voor lastertaal , bekennen 't gene ik weet : Of zo gy listig noch eene uitvlucht durft verzinnen , Weêrspreek dan 't waar verbaal van ééne uit uw vorstinnen .	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.6	Zy komt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.910.s.7	Ontken my nu den schrik , dien gy betoont , Die u van veinzery beschuldigt , haar verschoont .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.894.s.1	Tegen Nizamëlmoluk , terwyl Malek vertrekt .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.916.s.1	Nadir , Nasser , Milko , Nizamëlmoluk , Alikan , Semire , Malek , Lyfwachten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.923.s.1	Mevrouw , gy zult terstond naar uw begeerte aanschouwen Dat zich een groote ziel op Nadir mag betrouwen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.923.s.2	Zie hoe de koning reeds , uit mededoogendheid , Voor uw elendig volk een heilryk lot bereid .	Emotion_Compassion
stee033tham01_01.TEI.2.text.body.div.div.sp.930.s.1	Mevrouw , ik zal uw heir voor ondergang behoeden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.930.s.2	Maar Nizamëlmoluk , uit vrees van kwaad vermoeden , Ontkent den hongersnood , die vorst en volk vernielt : Uw bystand is my nut .	Fear_Emotion
stee033tham01_01.TEI.2.text.body.div.div.sp.945.s.1	De deugd , die u bezielt , ô Edelmoedig held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.945.s.2	voldoet aan myn verwachting .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.945.s.3	Nadien ze gaadloos is , verdient ze een gaadlooze achting .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.945.s.4	Verwacht niet , nu ikzelve u ons gevaar bely , Dat Nizamëlmoluk die waarheid u ontstry ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.945.s.5	't Gevaar , dat u weêrhoud den nood der legerscharen Van onzen keizer aan den koning te openbaren , Is 't uwe niet , maar 't myne ; ik heb die daad verricht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.945.s.6	Myn yver blaakt voor 't ryk : beken ; gy weet uw ' pligt .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.stage.939.s.1	Tegen Nizamëlmoluk .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.952.s.1	Prinses ! 't verbaast my u in 's vyands heir te vinden .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.952.s.2	Wie zou , daar iemant zich een daad durft onderwinden , Die 't ryk verdelgt of red door onbedachte trouw , Vermoên dat Milko zelf die daad verrichten zou ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.956.s.2	Milko ? 's keizers nicht ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.956.s.3	Is 't mooglyk 't geen wy hooren ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.962.s.1	Prinses , uw eedle rang , hoe hoog gy zyt geboren , Strekt minder tot uwe eer , dan uw heldinnemoed , Die uw geslacht verheft , die vorst en volk behoed .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.978.s.1	ô Held !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.978.s.2	ik kan voor u ons krygswee niet verbergen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.978.s.3	't Is noodloos u voor ons een groote daad te vergen : Gy weet dat wy vergaan van hongersnood en moord : Ons jamren deert u : wy betrouwen op uw woord : Ik vrees niet dat ge uw deugd baatzuchtig zult verzaken , Door 't minste kwaad gebruik van onze elend ' te maken , Door ons te dwingen tot een schandlyk vreêverdrag .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.978.s.4	Een held , als Nadir , doet veel min 't geen hy vermag , Dan 't geen zyn glorie eischt ; kan zyn belang versmaden , Wanneer 't geen hoop verschaft tot nieuwe lauwerbladen ; En stelt geen vreugd , geen ' roem , in 's vyands schande en schaê , Maar in meêdoogendheid , in weldaên , in genaê .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.1	Zo is 't .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.2	Ik zal myn ' eisch op recht en reden vesten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.3	Ik eisch van Mahomet de landen , die , bewesten Den Indus , door geweld , meineedig , tegen recht , Aan 't Indostansche ryk voordezen zyn gehecht .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.4	Aan Persië behoort de koningklyke zetel , Door Tamerlan gebouwd , de onschatbre troon , vermetel Van all ' uw keizers als hun wettig eigendom Bezeten , ons ontroofd : ik eisch dien troon weêrom .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.5	Vorst Abas bragt welëer een legermagt te velde , Opdat zyn bondgenoot zich op den troon herstelde : Maar keizer Homajoen , bevestigd in 't gebied Van 't muitend Indostan , hield zyn belofte niet ; Hy schond het ryksverding , met Persië gesloten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.6	Uw keizer stave aan my 't verdrag dier bondgenooten .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.7	Zelfs Mahomet , verpligt in kryg my by te staan , Maar ongetrouw , heeft niet aan ons verbond voldaan , Toen 't wuft Agwaansche volk , oproerig aangespannen , My dreigde , en toen ik streed in 't ryk der Ottomannen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.8	Ik eisch vergoeding voor zyne ontrouw , my betoond .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.9	Hy , die my roekeloos in myn gezanten hoont , En telkens op den eisch , hem billyk voorgeschreven , Een wrevlig antwoord , vol verächting , heeft gegeven , Is echter , nu zyn ramp erbarmlyk voor hem pleit , Het voorwerp van myn hulp en mededoogendheid .	Emotion_Compassion_Disgust_Annoyance
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.10	Hy kome , opdat ikzelf aan hem myn gunst bewyze , Aan hem de vrede schenke , en 't kwynend leger spyze ; Hy spreek ' my in dit heir ; hy zie , zelfs dezen dag , Hoeveel zyn krygsëlende op myn gemoed vermag .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.11	Gy , Nasser , zult terstond , om hem myn ' wil te ontdekken , Met Nizamëlmoluk naar 's vyands heir vertrekken .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.12	Ik wacht u , binnen 't uur , met Mahomet hier weêr .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.13	Hem blyke , door uw komst , hoe ik een ' keizer eer .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.14	Prinses , 'k zal dezen dag , verr ' boven uw verwachting , Voor uw kloekmoedigheid een teeken myner achting Aan u bewyzen , tot bevordring van de vreê .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.15	Gy zult hier veilig zyn , als in uw legersteê .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1019.s.16	Gy , Alikan , vertoef .	None
stee033tham01_01.TEI.2.text.body.div.div.stage.1023.s.1	Milko , Alikan , Semire .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1035.s.1	Prinses , mint u de koning ?	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1035.s.2	Of zou prins Nasser u beminnen ?	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1035.s.3	'k Eisch verschooning , Indien myn stoute vraag u eenigzins misdoet : Denk dat een minnend hart gedurig argwaan voed .	Emotion_BodyPart_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1035.s.4	Zou Nadir beter u zyne achting kunnen toonen , Ter vordring van de vreê , dan als hy beider kronen Vermaagschapt door een ' echt , die u aan my ontrooft ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1035.s.5	Schept gy behagen in deze achting , u beloofd ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.2	zou deze achting my niet tot genoegen strekken , Indien ze 't vaderland aan 't krygswee kan onttrekken ?	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.3	Gy twyfelt dat de prins , of Nadir , my bemint !	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.4	Ga , vraag dit aan hunzelf , zo gy 't geraden vind .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.5	Gy moest blyhartig , om myn liefde waard ' te wezen , In plaats van 't minnevuur des vyands laf te vreezen , My afstaan voor 't geluk van 't schreijend vaderland .	Fear_Joy_Emotion_BodilyProcess_Love_Sadness
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.6	Wie onvermogend is tot zulk eene offerhand ' , Wie meer zyn voordeel zoekt dan 't voordeel onzer staten , Is myner liefde onwaard ' , dien moet ik doodlyk haten .	Emotion_Hatred_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.7	Myn hart , door u ontlast van alle erkentenis , Zal echter meer bestaan dan 't u verschuldigd is ; 't Zal u , dien 't niet bemint , nochtans trouwhartig raden .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.8	Men heeft u , waar of valsch , betigt met gruweldaden ; Men houd u nóch verdacht , dat gy , om 's keizers troon , Den vyand , tegen 't ryk , uw hulp hebt aangeboôn : Hy schynt , zo gy hem reeds uw ' dienst niet hebt gehuldigt , Verwittigd dat men u met ontrouw heeft beschuldigt ; Hy weert u uit ons heir , misschien opdat uw list Aan ons de vrede , aan hem zyn weldaad , niet betwist ' .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.9	Tracht , nu 't gevaar van 't ryk geen magt heeft op uw zinnen , Ten minste om uw gevaar uw liefde te overwinnen , Eer Nadirs deugd u storte in 's keizers ongenaê .	Emotion_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1063.s.10	Dat niets , dan uw behoud , u thans ter harte ga .	None
stee033tham01_01.TEI.2.text.body.div.div.head.1066.s.1	Zesde tooneel .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.speaker.1069.s.1	Alikan , alleen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.1	Ondankbre !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.2	ik zal uw ' schimplust haast bepalen .	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.3	Doe my , ô staatzucht !	None
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.4	op de liefde zegepralen : Gy blaakt me , in eedler gloed , voor kroon en scepterstaf : De liefde is , in een hart als 't myne , veel te laf .	Emotion_BodyPart_Love
stee033tham01_01.TEI.2.text.body.div.div.sp.1086.s.5	Ik zal , door 's vyands gunst , het keizerryk regeeren .	None
