weye002holl01_01.TEI.2.text.body.div.head.158.s.1	De Hollandsche zinnelykheid , Bly-spel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.681.s.4	't Reizen Antonet , dat maakt een schrandre knegt ; Gy zult in 't kort of lang , nog worden onderregt Van myn bequamigheen ... maar à propo , myn Leeven , Indien ' er in passant iets over is gebleeven Van hamelpootjes , fricadel of hoenderbout , Zoo bid ik neem 't Request , van de arme maag , die kout En half gerabraakt is deur 't vasten , in genade !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.687.s.1	Kiest Jantje watje lust , gezoden of gebraaden , Kom smulbroer , cellebroer , welkom avonturier , De keukendeur hangt nog op de eige plaats , het bier En wyn	None
weye002holl01_01.TEI.2.text.body.div.div.sp.693.s.1	Wat dat belangt , die zal ik nooit vergeeten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.693.s.2	ò !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.693.s.3	Meisje dat muzyk , dat ramm'len van de speeten Is 't zoetste klokkespel dat ooit de maag bedagt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.693.s.4	Ik volgje , met verlof , waar toe dus lang gewagt .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.695.s.1	Hy loopt binnen .	None
weye002holl01_01.TEI.2.text.body.div.head.698.s.1	Tweede bedryf .	None
weye002holl01_01.TEI.2.text.body.div.sp.703.s.1	Ag !	None
weye002holl01_01.TEI.2.text.body.div.sp.703.s.2	Antonet ik beef , Matant zal ons verrassen .	Fear_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.sp.708.s.1	Daar is geen zwarigheid , ik zal te wel oppassen : Ook is zy beezig met een porceleine kom Te kussen .	EmotionalAction_Love
weye002holl01_01.TEI.2.text.body.div.sp.711.s.1	Watje spot !	None
weye002holl01_01.TEI.2.text.body.div.sp.720.s.1	'k Mag lyden dat ik stom Blyf zoo 't niet waar en is .	None
weye002holl01_01.TEI.2.text.body.div.sp.720.s.3	riepze , dat zyn bloemen , Dat is een zuiver blaauw !	None
weye002holl01_01.TEI.2.text.body.div.sp.720.s.4	dat wit derf ik beroemen .	None
weye002holl01_01.TEI.2.text.body.div.sp.720.s.5	Braveert de lelijen , ja sneeuw in blanke verf !	None
weye002holl01_01.TEI.2.text.body.div.sp.720.s.6	Mits vielze op bey haar knien , al schreeuwend ' ik besterf Het waarlyk ; kan men hier geen weerga toe bekommen !	None
weye002holl01_01.TEI.2.text.body.div.sp.723.s.1	Haar Geest is byster met die zotheid ingenomen .	None
weye002holl01_01.TEI.2.text.body.div.sp.729.s.1	Ik heb haar uuren lang , steroogende gezien Op bieze matjes , die geen stuiver agt à tien Ophaalden in waardy ; dogt 't zyn altoos geen vrouwen Die op de geks-kap van een leur 't vernoegen bouwen .	None
weye002holl01_01.TEI.2.text.body.div.sp.755.s.1	Ja d ' agtb're mannen scheelt het mee vaak in de kruin , Die weekelyks een dag zes zeven in haar tuin Verslyten om een tulp , oranje of plantgewassen t'Aanschouwen .	None
weye002holl01_01.TEI.2.text.body.div.sp.755.s.2	Eer de zon zyn zweet heeft afgewassen , Verlaat het Heerschap zyn Madame , die van spyt Gelyk gegomt fluweel uitraaffelt , de uur en tyd Vervloekt , darze om een tulp , een roos verwaareloozen ; Opbrallen 't zwarte blad , misagten 't altoos bloozen .	Emotion_EmotionalAction_Sadness_Anger
weye002holl01_01.TEI.2.text.body.div.sp.755.s.3	Ik sprak nu laatst een Heer die niet genoemt wil zyn , Die schatten Floraas gift verr ' boven graan en wyn : Klarinde , riep hy , admireerd dees malsche tulpen !	None
weye002holl01_01.TEI.2.text.body.div.sp.755.s.4	Wat ongevoelge ziel en moet niet overstulpen Uit loutre blydschap , op 't gezigte van die schat , Die al het schoon in de omkring van een bloem bevat !	Joy_Emotion
weye002holl01_01.TEI.2.text.body.div.sp.755.s.5	Beschouw eens de Espinoy , die waard is duizend gulden , Dat 's een Conquest van my , het geen nooit makker dulden , Ontrent zyn zuiver wit of kantwerk .	None
weye002holl01_01.TEI.2.text.body.div.sp.755.s.6	Dees Bisaart Heeft zes coleuren , welk om 't zoetste saam gepaart , Het dert'le kunst-pinceel en 't Schilders brein braveeren .	None
weye002holl01_01.TEI.2.text.body.div.sp.755.s.8	Myn Typhone die geen sterveling waardeeren Oyt kon na waarde , uw verf trotst 't goud in hooge kleur .	None
weye002holl01_01.TEI.2.text.body.div.sp.755.s.9	Dit Kabinet Royaal , is ook geen lor of leur , Maar 't puikje der Bisaards .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.1	Die wil ik juist niet doemen , Een schoone tulp verstrekt een Koning voor de bloemen .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.2	Een trotsje Auriculaas , 't zy Engelsche ofte Luiks , Is Floraas favoryt , iet aangenaams en puiks .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.3	Maar 'k weet Kabalen van Moderne , gekke snaken , Die al haar beezigheen van vlinder-uiltjes maken ; Van torren , ruspen , spinnekoppe en 't vliegend hert , In 't rond te zaam gespelt , gelyk een Uilebert .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.4	Dees heeft weer hoorentjes , en houd die voor zyn Goden , Schoon vaak een voorspook van de kranssen à la Mode .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.5	Die gadert Nesjes vol met eijeren by 't dozyn .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.6	Een ander is voor 't munt van Caesar , Constantyn , D'eerwaarde Nero .. en zulk soort van Potentaaten , Zo duister als Moskeen van Mahomet , of gaten Van 't heilig Romen , die men Catacombes noemt .	None
weye002holl01_01.TEI.2.text.body.div.sp.778.s.7	Dan hebje een ander soort , die onkruid , wild gebloemt , Vereeren met de naam van raare plant-gewassen , Waar op zy dag en nagt met al hun yver passen , Niet denkende op hun vrouw , kind , maag of naaste bloed , Zoo min als u Galant , hoe hy zyn schuld voldoet .	None
weye002holl01_01.TEI.2.text.body.div.sp.781.s.1	Is dan Alfons zoo los gelyk de luiden zeggen ?	None
weye002holl01_01.TEI.2.text.body.div.sp.792.s.2	Neen , maar Jan zyn Knegt die weet het uit te leggen , Die zeit , Alfons leeft als een heilig ' Antonet , Zweerd deur gewoont , betaalt zyn schulden altemet ; Zes zevenmaal ter week gebruikt hy kaart en steenen : Maar tienmaal op een dag , zoo zal hy geld gaan leenen Op triple intrest , loopt maar eenmaal yder uur By d'een of d'and're pop ; ook is hem niets te duur Zo 't maar is op credyt .	None
weye002holl01_01.TEI.2.text.body.div.sp.792.s.3	En na 'k besef de zaken Stuurt myn beminde Jan zyn kours op 't zelve baken .	None
weye002holl01_01.TEI.2.text.body.div.sp.795.s.1	Dat is een teken dat 't fortuin hem tegen gaat .	None
weye002holl01_01.TEI.2.text.body.div.sp.801.s.1	Zo denk ik dat de Bank van Leening 't ook verstaat .	None
weye002holl01_01.TEI.2.text.body.div.sp.801.s.2	Want ik weet zeker dat die Respective Heeren Meer op die beurs , als d'Amsterdamsche negotieeren .	None
weye002holl01_01.TEI.2.text.body.div.sp.804.s.1	Hou stil , ik hoor gerugt .	None
weye002holl01_01.TEI.2.text.body.div.sp.804.s.2	Maar hebje ook wis bescheid .	None
weye002holl01_01.TEI.2.text.body.div.sp.811.s.1	Of Jan verbeurd een groot stuk van zyn zaligheid .	None
weye002holl01_01.TEI.2.text.body.div.sp.811.s.2	Indien Alfons niet komt : maar 'k derf ' er wel op vast gaan , Want dat hy my bedroog , hoe zou hy voor de mast staan !	None
weye002holl01_01.TEI.2.text.body.div.sp.811.s.3	Ik ken hem deur en deur , hy 's altoos vroom geweest .	None
weye002holl01_01.TEI.2.text.body.div.sp.811.s.4	Daar komt uw Minnaar wis , of voor het minst zyn Geest .	None
weye002holl01_01.TEI.2.text.body.div.stage.813.s.1	Antonet binnen .	None
weye002holl01_01.TEI.2.text.body.div.sp.816.s.1	Alfonso , ja hy komt !	None
weye002holl01_01.TEI.2.text.body.div.div.stage.818.s.1	KLARINDE , ALFONSO .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.823.s.2	tedere Klarinde ; Zo groet Diane , omringt met sterren , haar beminde Endymion ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.828.s.2	myn Alfonso , Claraas ligt !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.828.s.3	Is 't myne Alfonso , voor wiens oog de vreeze zwigt ?	Fear_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.828.s.4	Is 't mooglyk ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.828.s.6	myn ziel word uit haar as bewogen !	BodyPart_BodilyProcess_Moved
weye002holl01_01.TEI.2.text.body.div.div.sp.837.s.1	Het is uw Minnaar , die geboeid door twee schoone oogen Zyn min ... hoe !	Emotion_Love
weye002holl01_01.TEI.2.text.body.div.div.sp.837.s.2	Clara schreid : zoo weend de balzem-spruit Met heil'ge dropp'len : ag !	BodyPart_BodilyProcess_Moved_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.837.s.3	myn blanke lely , stuit De dierb're peerlen-vloed van uw bedoude ligten .	BodyPart_BodilyProcess_Moved_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.837.s.4	Onsterffelyde Goon !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.837.s.5	wat tooverende schigten Doordringen deze ziel !	BodilyProcess_Love
weye002holl01_01.TEI.2.text.body.div.div.sp.849.s.1	Alfonso , zoete smert !	Emotion_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.849.s.2	Herstelder van myn rust , dog pynbank van myn hert , Wat ziel-verrukkend gif , schuild in verliefde blikken : Helaas !	BodyPart_BodilyProcess_Love_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.849.s.3	dees tedre borst zal in haar zugjes stikken ; Myn adren borlen , en myn vingren zyn vol gloed , De pols slaat stervend , wyl 't gekookte minnebloed Blaakt als een Etna : speeld gy niet met myn verlangen ?	Emotion_BodyPart_BodilyProcess_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.849.s.4	Heeft niet een Roomsche pop , wiens spinnewebben hangen , Arglistig uitgespreid uw weifelende ziel Met geile min ontfonkt ?	Emotion_BodyPart_BodilyProcess_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.859.s.1	'k Zweer dat ik nimmer viel : 'k Zweer by het zwanewit van uw vergode leden : 'k Zweer by uw vierige en uw ziel-verlokkende eeden : 'k Zweer by uw boezem , by 't belommerd nagt-altaar Van 't schuimend zee-kind ; by de boeijen van u hair : 'k Zweer by uw zugjes , die langs koralyne lippen Myn adem stuiten , die myn looslyk tragt t ' ontglippen , By Roozekaken .....	None
weye002holl01_01.TEI.2.text.body.div.div.sp.872.s.2	hy stoort zig aan geen Een Wie toelegt op bedrog .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.872.s.3	Beloften snellen heen , En zyn onstraf baar , t'wyl ons blanke borsjes zwellen , De snoode Theseus vlugt als Aryadnes schelle En treurge klagten Goon beweegen : Enoë Schonk Paris 't maagde-zoet , die flux 't onnoosle vee En droeve Nimph verlaat , om 't geile schoon der Grieken .	BodyPart_BodilyProcess_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.872.s.4	Ondanbre laffe min ! 't is dan 't genot , 't geen wieken Kweekt aan een snode .	Emotion_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.872.s.5	Eylaas !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.872.s.6	de ontrouwe volgt het zoet , En blust de kuische vlam van Cypris minnegloet .	Emotion_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.878.s.1	Moet dan uw minnaar ( om dat Theseus gladde kielen Ontzeilden 't druif-gewas van Bagchus , of de hielen Van Paris Enoë ontvlugten ) voor die smaad Onschuldig boeten ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.886.s.1	Neen : maar 't voorbeeld leerd hoe haat De min als schaduw volgd , na dier-verlangt genieten Van 't rype minnezoet , de traan-revieren vlieten .	Emotion_Hatred_BodyPart_BodilyProcess_Love_Sadness_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.886.s.2	Als 't nypend na berouw de vliezen van ons oog Heel onmedoogend rukt , dan zietme naar om hoog Met duistre wolken .	Emotion_BodyPart_BodilyProcess_Remorse
weye002holl01_01.TEI.2.text.body.div.div.sp.897.s.1	Neen myn kind , uw eer is veilig : Myn trouw is ongekreukt , 'k bewaar deeze eeden heilig , En 't onbewust geheim : heb ik u 't maagdezoet Ontydig afgeperst , dees hand die feil vergoet .	Emotion_Loyalty
weye002holl01_01.TEI.2.text.body.div.div.sp.897.s.2	Eer Titans blaauw gespan komt uit de golven hupp'len , Zal ik de nektar van uw mond , met roozedrupp'len Bedauwt , als egte man op Hymens Bruilofts-bed Lief kozend zuigen .	EmotionalAction_Love
weye002holl01_01.TEI.2.text.body.div.div.sp.901.s.2	d ' onmooglykheid ontzet Dees bange boezem , met ziel-prangende ongenugten .	Fear_Worry_Emotion_BodyPart_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.906.s.1	Vreeze is de voorsmaak van gewyde minnevrugten .	Fear_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.906.s.2	Omhels stantvastigheid , op dat die onverwrikt Als zuil uw onderschraag ...	None
weye002holl01_01.TEI.2.text.body.div.div.stage.909.s.1	CLARINDE , ALFONSO , ANTONETTE .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.914.s.2	My , is dat geschrikt !	Fear_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.914.s.3	Ik heb Matant gehoort : ey wilt uw post dog ruimen Myn Heer Alfonso , 't oude spook legt op haar luimen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.922.s.1	Dat is onmooglyk !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.922.s.2	ik vertrekken Netje ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.922.s.4	neen , Ik ben in min Jupyn , Klarinde myn Alcmeen .	Emotion_Love_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.922.s.5	Nooit boog een pelgrim , naar een lange weg nu veilig , Met meer devotie zig voor zynen dierb'ren heilig Als ik : ja zelf 't gestarnt is medepligtig ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.2	Dat is Rodrigoos rol : hoor kinders luistert toe .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.3	Ik heb een middel om u beide vast en zeker Aan een te lymen , spyt 't contract met d ' Apotheker .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.4	Daar is een koopvrouw , die 't curieuste porcelein , Gestoelte en kabinet , en pronkgoed groot en klein Hier in den Doel tans veilt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.5	Mevrouw heeft haar ontboden , En watertant , om 't nieuwste snofje van die mode t'Ontginnen : Jan uw knegt , myn alderbeste maat , Is van myn onderrigt , om in een vrouws gewaar De graagte van Matant zoo vierig aan te hissen , Dat Spadulaan het spoor van Klaraas bed zal missen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.6	En verders zal men ...	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.8	ik hoor een wedergalm Van hoesten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.9	Pakje voort , en eindig uw getalm : Jan zal u verder van 't byzonderste onderrigten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.940.s.10	Adieu tot wederziens , behartig beide uw pligten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.945.s.1	Vaar wel Alfons .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.950.s.1	Vaar wel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.950.s.2	Helaas !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.950.s.3	dat wreede woord Bestolt myn boezem in een ysberg , en deurboort Dees mingewyde ziel met doodelyke steeken .	Fear_BodyPart_BodilyProcess_Sadness
weye002holl01_01.TEI.2.text.body.div.div.stage.952.s.1	binnen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.955.s.1	Zoo treurt de zonnebloem , als Phoebus is geweeken .	Emotion_Sadness
weye002holl01_01.TEI.2.text.body.div.div.sp.963.s.2	Juffrouw nog zo laat in een betrokke lugt ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.963.s.3	Of benje voor geen krak in u persoon bedugt ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.966.s.1	Deeze aangenaame koelt heeft my gelokt na buiten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.975.s.1	Ey spaar die koelte nu , men zal de deur gaan sluiten , Die avond-lugjes kind , bederven vaak een roos ; Als 't weer op bloemen valt , verslenst haar frisschen bloos .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.975.s.2	Ook heb ik wel gezien , dat op het minst ontstellen Veel Juffren borsjes , door die avondlugjes zwellen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.975.s.3	Een horssel vliegt zo wel by duister als by daag ; Altoos in myne jeugd was 't een gemeene plaag .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.977.s.1	Klarinde binnen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.981.s.1	Al 't geen men ondervind , daar kan men best van spreeken ; Ligt is Mevrouw toen van een horssel ook gesteeken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.986.s.1	Ik heb uw dienst van doen , verstandige Antonet : Hoort dees commissie aan , loopt zonder 't minst belet Na d ' oude Doel .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.995.s.1	Mevrouw , geen mensch is meer begeerig Als uwe dienares ; commissien zyn smeerig : Dat 's apparent om Juffrouw Vinkepoot ( die 's jaars Hier over komt , met pronk-juweelen , 't fynste raars Van Oostersche Aardigheen , en nieuw-hervormde stukken ) Te spreeken .	Emotion_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1004.s.1	Antonet , ag !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1004.s.2	kon het dog gelukken Om 't eerste en 't beste van haar stacy-praal te zien ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1004.s.3	Ik zou ... maar zegt dat ik precys ontrent ten tien Of hallif elf op 't langst , alhier haar af zal wagten ; Dan zal 't muzyk van Spadulaan , die al zyn kragten Inspant om 't hert te treffen van Klarinde , wel Ten eind ' zyn .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1004.s.4	Nu tot flus .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1018.s.1	Zo ik dat narrespel Niet binnen korten tyd gants vreeslyk kom t ' ontroeren , Moet d ' heil'ge Sintreklaas my in 't oud manhuis voeren : Ontfangt de Juffer geen meer munt ( na myn vermoen ) Als 't uw , zo zal z ' haar maal op rozewater doen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1018.s.2	En Spadulaan ( de dood , wie zou dat immer droomen ) Die zal gewapent hier met Musikanten komen , Gevolgt van Herbamuf , die als Sint Rochus hond Zyn meester naloopt , om den zoeten avondstond T'ontrusten door 't gehuil van oude herbergs-klanken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1018.s.3	Dat 's 't voorspel .. dog van 't laatst zal hy zig niet bedanken .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.1021.s.1	SPADULAAN , HERBAMUF , gevolgt van Musikanten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1022.s.1	SPADUL .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1029.s.1	Muf , houd een oog in 't zeil , past wel op uw geweer : Gewis een mensch die sterft , komt nooit of zelden weer : Nooit dient 't gevaar veragt ; wie weet hoe 't af zal loopen ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1029.s.2	Zo ons Alfonso rook , ons huit die zou 't bekoopen , En dan was 't werk verbrod .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1029.s.3	Ook is een erge steek Vry twyffelagtig .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1030.s.1	HERBAMUF .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1040.s.1	Wis , het geen nog onlangs bleek Aan Juffrouw Marssepein , en Jonker Kasuaris ; Men koos toen in de plaats van Dokter een Notaris , Die steuitten 't accident eer 't quaad zig had gezet .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1040.s.2	Maar 'k lag met zwarigheid ; uw spit , myn bajonet Die zouden hem en Jan , wel deeglyk werk beschaffen : Wy hebben 't doodslaan wis , en agten niet het blaffen Van jonge lekkers , die d'Outaaren met den bek Stout tergen , maar met vuist of degen , pad , nog slek .	HeavyHeartedness_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1054.s.1	Ik altereer vry ligt voor gruwelyke vloeken .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1054.s.2	En die methode , Muf , is niet heel verr ' te zoeken By hemen Jan , die steeds in wyn - en koffy-huis Zo buldren , dat men stil en vreedzaam als een muis Moet loeren : ô !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1054.s.3	die maats die zweeren by 't krakeelen , Rinkinken , kreplen waart , nagtraven , dobble en spelen : Daags in de schermschool , dansplaats , kaats - en maly-baan , En 's avonds vol en dol , dat men kan gaan nog staan .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1054.s.4	Zy vraagen nergens na : men mag haar min betrouwen Als speelders eeden , of 't geween van jonge vrouwen , 't Ja van een quaker , of 't woord van een Polityk .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1060.s.1	Daar is het venster , ag ! 't verlangen maakt me een lyk : 'k Wou nu wel amber zyn , dan kon my Netje ruiken , Maar zo de zoete slaap haar oogjes heeft gaan luiken , Wat raad dan ?	Emotion_Desire
weye002holl01_01.TEI.2.text.body.div.div.sp.1068.s.1	Ons muzyk , dat is de beste raad .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1068.s.2	t'Sa , datme eenparig als een brandklok toonen slaat .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1068.s.3	Ik zal een mannestem met fleuit en veelen paaren , En toonen wat een brand schuilt onder gryze hairen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1068.s.4	Apol ( ter eeren van uw zoon , onze Esculaap ) Vermeer dees harmony , en stoor haar zagten slaap .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.1070.s.1	De Muzyk speelt een Ouvertuure .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.speaker.1073.s.2	zingt .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1081.s.1	Al beevende stampten ik zaaden en kruiden ( Met zoeter muzyk als klokken die luiden ) In een Mortiertje Korinthis Metaal : Als 't naakte Galantje , het zoet Cupidootje Der liefde Galenus , 't voortteelende Goodje Kwam huppelend springen in onze zaal .	BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1089.s.1	Gewapend met pyltjes van salse parilla , En vlerkjes veel zoeter dan spaansche banilla , Of stroop van Althea , en Mel Rosaad .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1089.s.2	Stout lagchende riep hy : weg weg met uw poeders ; Aposemaas en Haustus , gevult in voeders , Zoo vol virtuiten als oude salaad !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1097.s.1	Myn schigt is gewisser dan alle uw dranken , Linimenten , ptisanen , die de arme kranken Doen rammelen als een hout tiktakbert !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1097.s.2	Zoo spreekende , spande het fieltje zyn boogje , En mikkende scherp met 't lonkende oogje , Schoot snorrend een schigje dwars in myn hert .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1105.s.1	Met boeve grimmasjes zoo teeg hy aan 't vlugten , En ruischende wiekjes , t'wyl bittere zugten Ontschooten den boezem van Spadula .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1105.s.2	Zo bitter zyn Coloquintische Greinen , Catholische extracten , Absinthii wynen , En 't oude Grieks Hiera Pikera .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1114.s.1	Verzoet dan dees Dosis van bittre Opiaten , Met heele Manipels van Honingraaten .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.lg.1114.s.2	Schenkt mee uit lipjes van Karmozyn Palliative zoentjes , schoon datze niet helpen De source der quaalen , 't is zeker zy stelpen Voor 't minste een groot gedeelte der pyn .	None
weye002holl01_01.TEI.2.text.body.div.div.stage.1117.s.1	Antonet opent het venster .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1123.s.1	Krik krak , ja sellement !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1123.s.2	ha , ha !	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1123.s.3	myne Antonet , Wel zuivre nagt-princes , 'k dogt datje nog te bed Laagt met een Incubus van fraaije competentie , En dat dit de oorzaak was ( schoon kind ) van uw silentie .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1131.s.1	Indien het niet en was uit maagdelyke schaamt , Verroeste zanger , die een koekoeks stem beschaamt , Weet zeeker dat ik zou die zotte bek en koonen Met 't volle pis-lampet , op 't aller-cierlykst kroonen .	Emotion_Shame
weye002holl01_01.TEI.2.text.body.div.div.sp.1131.s.2	Gy wekt nu kat en hond , die zoetjes zyn in rust .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1131.s.3	Loop na het dolhuis nar , en stoort geen meisjes rust .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1134.s.1	Slaapt uwe Juffer , Lam ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1140.s.1	Ja deftige Apotheker , Chineesche Nagt-god , met die lange mensche steeker , Wat isser van uw dienst , doorlugte musikant ?	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1140.s.2	Ey ! 't is mirakeleus , Messieurs , het ys dat brand .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1145.s.2	spot niet zoete meit : zy zal gewis ontwaken En opstaan .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1148.s.1	Morgen ja .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1154.s.1	Loop gaat haar wakker maaken Ik heb twee schoteltjes , dog eventjes geschaart , En drie paar kopjes , dog by voorval ongepaart , Die zal u Herbamuf tot een vereering brengen .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1162.s.1	Klarinde schroomt voor 't vuur , het poesje mogt haar zengen .	Fear_Emotion
weye002holl01_01.TEI.2.text.body.div.div.sp.1162.s.2	Gy bent al t'amoreus , geleerde kruidervent .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1162.s.3	Nu pakje flux van hier , straatlooper alsje bent .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1162.s.4	Zy kan het stampen van uw vyzels en mortieren Niet hooren , nog 't gehuil van dokters , die als gieren , De boodschap krassen van een dood of stervend aas .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1166.s.1	Zwyg kruitje roertme niet , met al uw bits geraas : Ik heb het woord , geen once of dragma zal ik missen .	EmotionalAction_Anger
weye002holl01_01.TEI.2.text.body.div.div.sp.1175.s.1	Heer , dat is assurant , men zou zig schier bepissen .	Fear_BodilyProcess
weye002holl01_01.TEI.2.text.body.div.div.sp.1175.s.2	Geen once of dragma : stil , myn doodlyk Quid pro quo , Klarindes bed en heeft tans geen klisteer van noo .	None
weye002holl01_01.TEI.2.text.body.div.div.sp.1175.s.3	Gy zoud ook nimmermeer te samen akkordeeren : Gy bent voor d'oudheid ; zy voor linten , moesjes , veeren : Uw spaansche marsch mishaagt Mejuffers lugte tret : Uw smaak is drooge visch , de haare 't Huiwlyksbed .	None
