huyd001achi01_01.TEI.2.text.body.div.head.900.s.1	Achilles , treurspel .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.14	Drie schoone maagden , drie Princessen , uit het bloed Van Atreus stam geteeld , en prachtig opgevoed In Agamemnons hof , staan u ten dienste vaardig .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1476.s.15	Hy geeft u zelf de keur , wie gy van driën waardig Zult achten tot dien staat ; maar doelt voor al op de eer , Dat hy een Held , als u , tot schoonzoon kryg ' , myn Heer .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1489.s.1	Gy hebt uw last voldaan , ik u gehoord , myn ' Heeren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1489.s.2	Gy kunt , zo 't u belieft , weêr naar den Dwingland keeren : En zegt hem uit myn naam , dat zyn ' geschenken my Noch haatelyker zyn , als zyne dwinglandy .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1489.s.3	'k Begeer zyn ' Dochters niet , hoe hoog van elk gepreezen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1489.s.4	Zyn gansch geslacht kan my niet als verfoeilyk weezen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1489.s.5	En eindlyk zegt hem , dat 'k my aanstonds zal beraên , Wanneer ik met myn ' vloot weer denke in zee te gaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1489.s.6	Myn ' ziel , zo fel gehoond , schynt reeds van spyt te breeken , Dat ik zo lang van dien Tieran moet hooren spreeken .	Offended_Emotion_BodyPart_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.1	Gy weêr in zee gaan !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.2	gy uw Vaderland , uwe eer Aldus met voeten te vertreeden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.3	gy myn Heer !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.4	Achilles , die zo vaak zyn vyand heeft verdreeven , Zal in den grootsten nood zich 't eerst ter vlucht begeeven , Het gansche leger van de Grieken doen verslaan , Om Agamemnon , die alleen hem heeft misdaan !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.5	O smart !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.6	hoe zal ik voor uw Vader wederkeeren , Dien 't my met zulk een ' gunst geliefde te vereeren , Toen ik , rampzaalge , tot het uiterste gebrogt , Een ' schuilplaats by hem vond , die 'k zolang vruchtloos zocht .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.7	Versteend en hard gemoed !	BodyPart_BodilyProcess_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.8	de klippen zou men breeken Door zulk een ' nedrigheid , door zulk een vierig smeeken , Terwyl uw hart , verstaald door wraakzucht en door spyt , Uw Vaderland verlaat in d'allerlaatsten stryd .	Emotion_EmotionalAction_BodyPart_BodilyProcess_Despair_Vindictiveness_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.9	Wilt gy in deezen nood niet meerder voor ons vechten , Myn arm , hoe oud hoe stram , zal wonderen uitrechten , En vliegen vol van moed den vyand in 't gezigt ; En sterven , nu gy dus ontaard zyt van uw ' pligt .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.10	Moet ik dit hooren !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.11	ik dit aanzien !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1517.s.12	groote Goden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.1	Ik luisterde wel eer , noch jong , naar uw ' geboden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.2	De moeite kunt gy nu wel spaaren , naar ik meen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.3	'k Weet nu wat ik moet doen , en volg myn ' zinlykheên .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.4	Wilt gy my op de reis naar Phthie niet verzellen , Gy kunt hier blyven , om my namaals te vertellen , Hoe Hectors woênde vuist het Grieksche heir versloeg , En Agamemnon 't staal in 't beevend harte joeg .	Fear_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.5	En gy , myn ' Heeren , gaat : uw ' moeite is hier verlooren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.6	Gy kwaamt myn ' meening straks uit mynen mond te hooren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.7	Ik heb u anders niets te zeggen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1537.s.8	't Is my leed , Dat gy hier uwen tyd zo vruchtloos hebt besteed .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1548.s.1	Was 't Agamemnon , die uw ' bystand hadt van nooden , Alleen , 'k was 't met u ééns : dat zweer ik by de Goden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1548.s.2	Maar nu gy 't Vaderland verlaat in deezen nood , Toont gy ...	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1548.s.3	Maar laat ons gaan , eer zyne toorn vergroot .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1548.s.4	De Hemel midlerwyl geeve u eens beter zinnen , En leere u , hoe gy land en vrienden moet beminnen !	Emotion_BodyPart_Love
huyd001achi01_01.TEI.2.text.body.div.div.p.1550.s.1	Einde van het eerste Bedryf .	None
huyd001achi01_01.TEI.2.text.body.div.head.1554.s.1	Tweede bedryf .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.speaker.1558.s.1	patroclus	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.1	BEnaauwd , bekommerd en verlegen Zucht myne ziel in deezen nood , O Grieken , om uw ' droeve dood , O Trojen , om uw blyden zegen .	Fear_Worry_Emotion_BodyPart_BodilyProcess_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.2	Spant Hemel , Aarde en Zee en al In 't eind dan t ' zaam tot onzen val !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.3	De gunst der Goden is verdweenen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.4	Wy zenden vruchteloos ons zuchten naar om hoog .	BodilyProcess_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.5	Hun harten zyn verkeerd in steenen .	BodyPart_BodilyProcess_Spitefulness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.6	Een wolk van gramschap dekt hun oog .	Emotion_BodyPart_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.7	Achilles , wreeder in zyn woeden Als hongerige wolf , of leeuw , Verheugt zich in ons bang geschreeuw , En kan , maar wil zulks niet vergoeden .	Fear_BodilyProcess_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.8	O wraakzucht , gramschap , bittre haat , Wat brouwt gy 't Vaderland al kwaad !	Emotion_Hatred_Anger_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.9	Als vrienden zich van vrienden scheiden , Wie zal den vyand in zyn ' woede dan weerstaan ?	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.10	Hy gaat in bloedrivieren weiden , En durft zyn ' hand aan 't heil'ge slaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.11	Ik , die van myne kindsche jaaren , Door vriendschap en door broedermin , Eéns van gedachten , ééns van zin , Myn ' ziel wist met uw ' ziel te paaren ; Moet ik ook schuldig zyn , nu gy U wreekt van 's dwinglands tieranny ?	Emotion_EmotionalAction_Love_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.12	Hier voel ik my op 't felst bespringen , Om 't Vaderland in nood myn ' bystand aan te biên : Hier schynt uw ' vriendschap my te dwingen , Met vreugde uws hooners smart te zien .	Joy_Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.13	O vriendschap , edelste in dit leeven !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.14	Zal ik , tot myne en myner schand , Om u , myn dierbaar Vaderland In deezen jongsten nood begeeven ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.15	En aanzien met een stil gemoed , Hoe Troje trapt in 't Grieksche bloed ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.16	O eer , ô Vaderland , ô vrinden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.17	Zal ik stilzwygend zien , hoe 't Troische vier u blaakt , Om my aan éénen vriend te binden , Die zich in aller ramp vermaakt , Myn ' ziel , geslingerd heene en weder , Ziet dan alleen de vriendschap aan ; Wordt weêr genoopt ten stryd te gaan , Om d ' uitgelaaten Hector neder Te ploffen in 't bebloede zand , Ten dienste van myn Vaderland .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.18	Maar ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.19	Achilles te verstooren , Zou 't allerlaatste zyn , daar 'k my in nood toe keer : En gaat het Grieksche heir verlooren , Zo sterf ik zonder roem of eer .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.20	O vriendschap , wil 't my dan vergeeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.21	De eer , de eer is my veel meerder waard .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.22	'k Zal zonder eer hier niet op aard , Al moest ik zonder vrienden leeven .	Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.23	De vriendschap wankelt in den nood : De eer blyft ons by zelfs na de dood .	Honor_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.24	Deeze is onsterflyk , die kan enden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.25	Ik gaa .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1655.s.26	maar weigert hy den Griek zyn ' hulp ; ik zweer , Of hy zal my ten stryde zenden , Of ik , ik ben zyn vriend niet meer .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.1660.s.1	patroclus , alcimus .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1667.s.1	AChilles zelf , myn Heer , zal u hier komen vinden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1667.s.2	Vertoef noch wat .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1675.s.2	getrouwste myner vrinden , Weet hy den staat van 't heir , en blyft zyn steenig hart Noch onbeweeglyk ?	BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.1675.s.3	lacht hy noch met onze smart ?	Joy_Emotion_BodilyProcess_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1711.s.1	De schrand're Ulysses heeft zyn ' ziel wel iets bewoogen , Met Ajax : maar helaas !	BodilyProcess_Moved
huyd001achi01_01.TEI.2.text.body.div.div.sp.1711.s.2	ofschoon het mededogen Dien wreede al eenigszins geraakt hebbe en ontroerd , Hy wordt geduurig door zyn ' gramschap weer vervoerd .	Emotion_Compassion_Moved_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1711.s.3	Dan grypt hy 't bloedig zwaard eens beevende in zijn ' handen ; Dan zien wy hem van spyt weer knarssen op zyn ' tanden , Dat hy , die zich zo zeer verheugt in 't stroomend bloed , Den stryd van verre zien , en zelve rusten moet .	Joy_Emotion_BodyPart_BodilyProcess_Anger_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1711.s.4	Dan schynt het , dat hy wat geraakt is aan 't bedaaren ; Dan zweert hy weder , noch Trojaan noch Griek te spaaren , Maar alles te offeren aan zyn ' gehoonde deugd ; En toont zig om den nood der Grieken gansch verheugd .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1711.s.5	Hy roept de Goden aan , om zyne rouw te wreeken ; En bidt , dat Hectors hand den veldheer mag doorsteeken : Want zo lang , als die leeft , en 't Grieksche heir gebiedt , Wil hy voor 't Vaderland niet stryden ; ja ontziet Zich zelfs niet , naar de dood te wenschen van hun allen , Zo hy den Dwingland slechts mogt aan hun zy zien vallen .	Emotion_EmotionalAction_Sadness_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1711.s.6	Dan wil hy met zyn volk , en uitgeruste hand , De schaê herstellen van 't gemarteld Vaderland ; Den zegepraalenden Trojaan ter stad in dryven , En met zyn moedig volk alleen verwinnaar blyven : Op dat geen ander deele in zynen oorlogsroem , En Griekenland alleen hem zyn verlosscher noem .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1727.s.1	Zo heeft hy reden , zich in 't korte te verblyden .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1727.s.2	Want zo hy deezen dag alleen noch wacht met stryden , Is 't al verlooren , en met onze vloot gedaan .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1727.s.3	Zo dan de vlam eens in de schepen door wil slaan , Waar zal 't rampzalig volk dan eenige uitkomst vinden ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1727.s.4	Die wreeden zullen ons op hun gemak verslinden , Als tedre lammeren , die weereloos en stil De dood verdraagen , als 't hun overwinnaar wil .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1753.s.1	Maar neen ; 'k hoop noch op u , dat gy zyn ' gramschap neder Zult zetten door uw raad : hy acht , hy mint u teder ; Hy heeft den ganschen nacht gesleeten in geklag , En droef gezucht , om dat hy u niet weder zag , Die hem beloofd hadt voor den avond weer te komen .	Emotion_EmotionalAction_BodilyProcess_Love_Dissapointment_Sadness_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1753.s.2	Om uwent wil alleen heb ik dien held zien schroomen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1753.s.3	Beschryf hem dan den staat van 't bange Vaderland Op 't allerschrikkelykst : bezweer hem by den band Van vriendschap , die zyn hart aan 't uwe heeft verbonden : Zeg hem , hoe gy de bloem van 't Grieksche heir gewond , en Ter dood toe afgemat , zaagt vluchten naar de vloot .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1753.s.4	Beschryf hem 't naar geluid der geene , die half dood Noch kermen op het veld , en trachten noch te spreeken , Om hunnen ramp op hem met woorden slechts te wreeken , Wyl zy hem aanzien , als de bron van hunne elend ; Hoe gy de traanen , en het bloed , waar gy u wendt , Ziet stroomen langs den grond .	EmotionalAction_BodyPart_Sadness_Despair_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1753.s.5	Beschryf hem al de naarheid , Die gy bedenken kunt ....	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1765.s.1	Ach ! 'k hoef alleen de waarheid Te zeggen .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1765.s.2	Maar hy , die Ulysses heeft gehoord , En alles wederstaan , zal die zich op myn woord Bedwingen , en het zwaard weer vatten in de handen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1765.s.3	Neen , Alcimus , ô neen , hy kan zich zonder schanden Voor my en mynen raad niet buigen , die zo fier Vorst Agamemnons boode , en zyn ' geschenken , wier Gelyken hy zelf naauw gezien heeft van zyn leeven , Te rug gezonden heeft , en smaadelyk verdreeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1769.s.1	Wat middel dan voor ons , tot troost in deeze elend ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1796.s.1	Indien hy voortgaat hier gerust in zyne tent Te blyven zitten , zich niet moeiende met stryden , Zo hoop ik door myn arm de Grieken te bevryden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1796.s.2	Niet door myn ' dapperheid en vreesselyk geweld , Maar door de wapens van dien onverwinbren Held .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1796.s.3	My dunkt , wanneer ik die mogt gespen om myn ' leden , Gewapend met zyn zwaard mogt in het strydperk treeden , Ik zou Sarpedon , 'k zou AEneas , en de bloem Van Trojes oorlogsmagt , held Hector , die zyn roem Thans door Achilles toorn ziet aan de starren ryzen , Voor my doen vluchten , of den weg ten afgrond wyzen .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1796.s.4	'k Voel , hoe die eerzucht reeds myn jeugdig hart begint Te streelen .	Honor_Emotion_BodyPart_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.1796.s.5	Goden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1796.s.6	die volvoert , wat ge onderwindt , Gy , die me aanleiding hebt tot deeze zaak gegeeven , Kroont , kroont myn grootsch besluit , al koste 't ook myn leeven .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1800.s.1	Daar komt Achilles zelf .	None
huyd001achi01_01.TEI.2.text.body.div.div.stage.1804.s.1	achilles , patroclus , alcimus .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.1	ZYt welkom , waarde vrind !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.2	Zyt driemaal wellekom !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.3	dank zy den Hemel ! 'k vind U eindelyk dan weer , en , na zo lang te zuchten , Doet uwe wederkomst al myne zorgen vluchten .	Worry_BodilyProcess
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.4	Gy leeft dan noch !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.5	Goôn !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.6	wat heb ik voor u gevreesd !	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.7	Maar 'k zie met vreugd , myn ' vrees is zonder , grond geweest .	Fear_Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.8	Maar hoe ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.9	gy staat en zucht , en houdt uw ' droevige oogen Geslaagen op den grond , wat heeft u zo bewoogen ?	Emotion_BodyPart_BodilyProcess_Moved_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.10	Treurt ge om den slechten staat van 't Grieksche Leger ?	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.11	of Is u uit Griekenland , van Phthie , of elders , stof Tot droefheid aangediend ?	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.12	spreek op , laat ik u hooren .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.13	De droefheid , die men in zyn boezem wil versmooren , Groeit daaglyks aan , en slaat in 't eind tot wanhoop uit .	Emotion_BodyPart_BodilyProcess_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.14	Gy zucht , en zwygt !	BodilyProcess_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1823.s.15	zeg my , waar uwe smart uit spruit .	Emotion_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1836.s.2	kan Achilles my naar myne droefheid vraagen !	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1836.s.3	Gy zyt ' er de oorzaak van .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1836.s.5	dat uwe oogen zagen , Het geen ik heb gezien , uw fier en steenig hart Zou zich haast zien vermurwd door de algemeene smart Van onze Helden , en manmoedige soldaaten ; Zo ge eenge menschlykheid slechts over hebt gelaaten In uw verstokt gemoed .	Emotion_BodyPart_BodilyProcess_Moved_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1843.s.1	Hoe staat het met de vloot ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1843.s.2	Hoe met de Vorsten ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1843.s.3	spreek .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1843.s.4	Hoe na is ons de nood ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.1	Zo na , dat uwe hand alleen ons kan bevryden Van onzen ondergang , zo zy voor ons wil stryden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.2	De Grieksche vloot is tot het uiterste gebragt .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.3	De grootste Helden zyn gekwetst ; het volk , van kracht , En moed byna geheel beroofd , weerstaat flaauwmoedig De Troische krygsmagt noch .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.4	Het slagveld legt gansch bloedig Met Grieksche lyken opgevuld , en , waar men ziet , Men speurt geen ' tekens , als van wanhoop en verdriet .	Emotion_Sadness_Despair
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.5	De Veldheer heeft den stryd verlaaten , om zyn ' wonden In zyne rechte hand . 'k heb Tydeus zoon gevonden , Dien steun van 't Grieksche heir , door 't missen van zyn bloed , Schier leevenloos .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.6	ik ben Eurypylus ontmoet , Met eenen scherpen schicht geschooten in zyn ' dye .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.7	De mindere soldaat valt 's vyands raazernye Ten prooi , door 't woeden en de onwederstaanbre kracht Van Hectors ysre vuist , en Trojes oorlogsmagt .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.8	En gy , Achilles , blyft noch even onbewoogen ; Ziet ons ten val gaan , en blyft zonder mededogen !	Emotion_Compassion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.10	dat geen ' gramschap , zo nadeelig , zo verwoed , My oit vermeestre , noch stal grype in myn gemoed !	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.11	Wilt gy alleen tot schade en onheil uwer vrinden Beroemd zyn ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.12	wie zal troost in uwen bystand vrinden , Voor wien bewaart gy toch de kracht van uwe hand , Na gy die hebt ontzeid zelfs aan uw vaderland ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.13	En gy , gy zyt die man , die Troje moest vernielen , Die menig duizenden van vyandlyke zielen Ten afgrond zenden moest ; gy zyt die dappre Held , Die ons bewaaren zoudt , gelyk ons is gespeld Door Priester Calchas mond !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.14	ô Hemel !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.15	kan het weezen ?	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.16	Een ongeluk , waar voor men eerst niet scheen te vreezen , Treft ons veel nader , wen 't ons overkomt , als iet , Dat een voorzigtig oog lang van te vooren ziet .	Fear_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.17	Nu raast , nu knarst het volk van spyt op zyne tanden , Terwyl de Trojers hen van allen zyde aanranden .	Emotion_BodilyProcess_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.18	Zy sneuvlen , een voor een , en verwen met hun bloed Den vyandlyken grond , terwyl de moordlust woedt : En gy , daar al hun hoop wel eertyds op berustte , Dien elk in zyne ziel , als zyn verlosscher , kuste , En streelde vol van liefde en vriendschap , ziet dit aan , En laat uw ' vrienden door uw ' vyanden verslaan .	Emotion_EmotionalAction_Hope_Love
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.19	My dunkt , ik hoor , hoe zy in 't uiterste noch kermen : Achil ...	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.20	Achilles kom , ai wil ons noch beschermen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.21	Zo sterft ' er menig niet uw naam noch in den mond .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1923.s.22	Een ander , raazende , en verbitterd door zyn ' wond , Waar van hy de oorzaak u alleenig toe durft schryven , Zweert , zo hy weer bekomt , u 't staal in 't hart te dryven .	Emotion_BodyPart_BodilyProcess_Anger_Spitefulness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1928.s.1	En zoude ik zulk een volk myn ' hulp noch bieden !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.2	Ontmenschte !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.3	zo uw oog in hunnen boezem zag , Hoe tedre een ' vriendschap zoudt gy daar voor u niet vinden !	BodyPart_Love_Benevolence
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.4	Een onrechtvaarde toorn kon uw gemoed verblinden ; En gy keurt kwaad in hun , het geen gy zelve doet .	Emotion_BodyPart_BodilyProcess_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.5	De wanhoop en de spyt verheert ook hun gemoed .	Emotion_BodyPart_Despair_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.6	Uw toorn is straffens waard ; hun gramschap is rechtvaardig .	Emotion_Anger
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.7	Zy , u altyd getrouw , zien zich van u onwaardig Gehandeld in den nood .	Emotion_Loyalty
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.8	gy ziet de Grieksche jeugd Rampzalig sneeven , en toont u daarom verheugd .	Joy_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.9	Wel aan !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1956.s.10	keer noch ten stryde , en toon uw ' medgezellen , Dat hun weêrwaardigheên uwe eed'le ziel noch kwellen ; Zo zult gy zien , hoe diep gy in hun boezem staat , En hoe uw ' vriendschap hun ook noch ter harte gaat .	BodyPart_BodilyProcess_Love_Compassion_Remorse
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.1	Patroclus , ach !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.2	ik wil 't alleen voor u belyden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.3	Myn ' hand , zo lang gerust , verlangt om weer te stryden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.4	Maar 'k wil het uiterste eerst afwachten , eer 'k my weer Ten stryd vervaardige , en in 't bloedig slagveld keer .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.5	'k Wil Agamemnon , en gansch Griekenland dus toonen , Dat Held Achilles zich niet straffeloos laat hoonen .	Offended_Emotion
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.6	Ik wenschte uit al myn hart , dat zulks noit waar geschied , 't Is my eene oorzaak van onlydelyk verdriet .	Emotion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.7	Maar wyl het is gedaan , wil my niet tegenspreeken , Moet ik me op 't allerfelst op dien aarddwingland wreeken .	EmotionalAction_Vindictiveness
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.8	Dien trotsen !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.9	Neen , dat vry de Trojers woeden , en Den tyd waarneemen , dat ik niet in 't strydperk ben !	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.1982.s.10	Zo zal de werreld zien , dat Griekenland moet vlieden , Wanneer Achilles het zyn bystand niet wil bieden .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.1	Noit was een sterveling zo wreed , noch zo verhard .	None
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.2	Eene eed'le en braave ziel heeft meêly met de smart Zelfs van zyn vyand , en gy kunt vernoeging vinden In d'onverdienden ramp van uw ' getrouwste vrinden .	Emotion_BodyPart_Compassion_Sadness
huyd001achi01_01.TEI.2.text.body.div.div.sp.2012.s.3	't Is onbegrypelyk .	None
