vond001pala01_01.TEI.2.text.body.div.head.375.s.1	J.V. Vondelens Palamedes Oft Vermoorde Onnooselheyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.873.s.6	Als hy mijn ' geest vernam , doen was zijn geest verschrickt ; Sijn sweet brack uyt van angst , zijne hayren schielijck resen ; Ick heb hem na zijn wensch den kortsten wegh gewesen .	Fear_Emotion_BodyPart_BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.882.s.1	Soo is het reyzens tyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.882.s.2	gedoemde ziel ga schuyl ; Duyck in den donckren poel , en noyt beschenen kuyl .	None
vond001pala01_01.TEI.2.text.body.div.sp.882.s.3	De nacht is op zijn droefste , en Phoebe wijckt de spoocken .	None
vond001pala01_01.TEI.2.text.body.div.sp.882.s.4	Ulysses gaept en geeut : ghy hebt zijn ' rust gebroken ; Daer treed hy uyt zijn ' tent .	None
vond001pala01_01.TEI.2.text.body.div.sp.882.s.5	gaep aertrijck , en al heel Verswelgtse , die ghy thans gebraeckt hebt uyt uw ' keel .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.884.s.1	ULYSSES .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.884.s.2	LYFKNECHT .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.884.s.3	DIOMEDES .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.1	EEn dunne slaep beschoot noch nauwelycx mijne oogen , Of mijn onruste geest door 't guychelen werd bedrogen Eens drooms , of door een schim , dieme ' indẽ droõ verscheẽ , En droegh mijn ' aenslagh gunst , en holpme 't feyt bekleen , En 't stuck met sulck een ' list besteecken , en vermommen : Dat Nestors wyse tong daer tegens moet verstommen .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.2	Het sy dan schim , of droom , of wat het wesen wil , 't En is geen marrens tyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.3	mijn Lyf-knecht , ga al stil Na Diomedes tent .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.4	segh , dat ick hem verbeyde Soo datelijck hier ter stee , doen thans hy van my scheyde , Werd d'aenslagh opgeschort tot wyder overlegh , Als nu zoo wasser 't een , dan 't ander inden wegh : Nu duncktme gaet hy glad , en 't magh een raed verstrecken , Doch vaeck schijnt ruym in't eerst , 't geen scharp valt int voltreckẽ .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.5	Maer d'aẽslagh nietemin moet eẽmael sijn gewaegt .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.6	Mijn vyand staet versuft , en dut , en is vertsaegt : Hy vind sich raedeloos , om van de lastermonden , En logens sich t'ontslaen : waer mede hy word geschonden .	Emotion_Despair
vond001pala01_01.TEI.2.text.body.div.sp.937.s.7	Te meer hy sich verweert , en na zijne onschuld tracht , Te meer het lastren groeyt .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.8	hy is , en blyft verdacht .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.9	Het Krygsvolck is gedeelt : d'een looft hem als een ' Vader , En d'ander hem verspuwt , en scheld voor Landverrader .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.10	By dese swarigheyt koomt , dat der Goden tolck De lasterlogen queeckt , en koestert onder 't volck .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.11	Mijn ' wraecklust sal eer lang hem zynen trots verleeren , En d'oude lemten gants tot etter uyt doen sweeren .	Emotion_Pride_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.937.s.12	Hy , siende dat zyn pleyt , en rolle liep na 't end , Den Veldheer gistren noch quam smeecken in zijn tent , En bad , hy wilde hem doch zijn ' gunstige ooren leenen : Ophaelende wat dienst dat Argos , en Mycenen , Ontfangen hadden eer , door zyn getrouwen plicht ; De Koning beet hem toe , vergramt in 't aengesicht ; Ick heb gedienstigheen , ick ken 't door u genooten ; Maer eene ontfange spijt my schendigh heeft verdrooten .	Emotion_EmotionalAction_BodyPart_BodilyProcess_Sadness_Anger
vond001pala01_01.TEI.2.text.body.div.sp.937.s.13	D'Atryden zullen u vermorselen tot gruys , Of ghy zult hen tot stof verdelgen met hun huys .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.14	Dit dreygement hem trof , hy antwoorde al verslagen ; Mycenen heeft sich oyt beleefdelijck gedragen , En met genade altijd zyn ' vyanden ontmoet ; Dies bidde ick , dat uw toorn niet al te hevigh woed .	Emotion_BodilyProcess_Anger
vond001pala01_01.TEI.2.text.body.div.sp.937.s.15	Dus scheyde hy , maer beducht , zo 't bleeck aen zyn ' manieren Voor Agamemnons grim , en 't spits der Helbaerdieren .	Emotion_Anger
vond001pala01_01.TEI.2.text.body.div.sp.937.s.16	Nu 't gader mede hoe 't wil , 't kan anders niet als wel , Ick ben het niet alleen , de grootste zyn in 't spel .	None
vond001pala01_01.TEI.2.text.body.div.sp.937.s.17	Wy hebben op ons ' sy ' de weereldlijcke machten , En geestelijcken arm gesterckt met domme krachten ; En waer toe zal hy zyn beducht voor veel gevaers , Die tot zyn voorspraeck heeft de tong des wichelaers .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.938.s.1	DIO .	None
vond001pala01_01.TEI.2.text.body.div.sp.942.s.1	Ick koom op uw ontbod , geheymste vriend , en macker , Wat onrust dryft uw ' geest ?	None
vond001pala01_01.TEI.2.text.body.div.sp.942.s.2	wat houd uw ' sinnen wacker , Dus in de middernagt ?	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.944.s.1	VL .	None
vond001pala01_01.TEI.2.text.body.div.sp.948.s.1	Noch Venus , noch haer vyer ; Maer saecken van gewicht , de rechte tyd is hier , Om onzen aenslagh zoo terstond in 't werck te stellen .	None
vond001pala01_01.TEI.2.text.body.div.sp.951.s.1	Mijn raed is hier te kleyn .	None
vond001pala01_01.TEI.2.text.body.div.sp.955.s.1	Daer wilt u niet me quellen .	None
vond001pala01_01.TEI.2.text.body.div.sp.959.s.1	Ick kan geen ' doorgang sien .	None
vond001pala01_01.TEI.2.text.body.div.sp.959.s.2	ick blijf'er noch voor staen : Soo lang ick niet begrijp hoe dat het toe kan gaen .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.960.s.1	ULYS .	None
vond001pala01_01.TEI.2.text.body.div.sp.969.s.1	Hy brack uyt 's veldheers last zyn ' tent op gistren morgen , En sloegh sich elders neêr : zoo datmen kan verborgen , In d'eerste leger-plaets , een seker wight van goud ; Recht of zyn ' sorge dat aen 't aerdrijck had vertrout .	None
vond001pala01_01.TEI.2.text.body.div.sp.969.s.2	Als hy nu word betight van zijne ontfange gaven , Soo zal de Kryghsraed flucx dien rijckdom op doen graven ; Waer door hy schuldigh word aen 't opgeleyde quaed .	None
vond001pala01_01.TEI.2.text.body.div.sp.973.s.1	't En heeft niet schijns genoeg .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.974.s.1	UL .	None
vond001pala01_01.TEI.2.text.body.div.sp.978.s.1	Dit komt ons noch te baet .	None
vond001pala01_01.TEI.2.text.body.div.sp.978.s.2	Ick sal in Priams naem een ' brief aen hem doen schryvẽ , Die meldende van 't goud , hem soeckt ter daed te styven .	None
vond001pala01_01.TEI.2.text.body.div.sp.982.s.1	Wie sal de bode zijn ?	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.984.s.1	ULY .	None
vond001pala01_01.TEI.2.text.body.div.sp.990.s.1	Maer een Trojaens slaevoen , Die mijn gevangen is .	None
vond001pala01_01.TEI.2.text.body.div.sp.990.s.2	ghy sult de ronde doen , En passen op den spie , en helpen hem om 't leven , En vindende den brief , die Agamemnon geven .	None
vond001pala01_01.TEI.2.text.body.div.sp.990.s.3	Hoe kan d'Eubeër doch ontworstelen desen strick ?	None
vond001pala01_01.TEI.2.text.body.div.sp.995.s.1	't Is recht Ulysses vond : maer als ick 't ernstigh wick , Het stuck is vol gevaers .	None
vond001pala01_01.TEI.2.text.body.div.sp.995.s.2	laet desen raed besterven .	None
vond001pala01_01.TEI.2.text.body.div.sp.1001.s.1	Ick vreese uw ' bloodigheyd die sal de saeck verderven .	None
vond001pala01_01.TEI.2.text.body.div.sp.1001.s.2	Hoe stouter aengevat , hoe lichter uytgevoert .	None
vond001pala01_01.TEI.2.text.body.div.sp.1001.s.3	De kans moet sijn gewaegt .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1002.s.1	DI .	None
vond001pala01_01.TEI.2.text.body.div.sp.1005.s.1	Waer 't schaeckspel , waer het boert Best datmen 't wat vertreck .	None
vond001pala01_01.TEI.2.text.body.div.sp.1005.s.2	de tyd is niet geboren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1009.s.1	Daer is met sammelen tot noch toe meer verloren Meer schade als winst gedaen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1013.s.1	De man heeft groote gunst By 't volck , en by den raed .	None
vond001pala01_01.TEI.2.text.body.div.sp.1017.s.1	Bedeckte logenkunst , Die heeftse vry gedunt door 't lang , en stadigh knaegen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1022.s.1	Al die hem sijn verwant van vrienden , en van magen , Sijn ' sijde gunstigh sijn en dreygen ons met wraeck .	EmotionalAction_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1024.s.1	UlyS .	None
vond001pala01_01.TEI.2.text.body.div.sp.1027.s.1	Geen ' maege , of bloedverwant magh tuygen in sijn ' saeck .	None
vond001pala01_01.TEI.2.text.body.div.sp.1027.s.2	Van dreygen niemand sterft .	None
vond001pala01_01.TEI.2.text.body.div.sp.1033.s.1	Achillis vroom in feyten , En Ajax sal sijn recht ten uytersten bepleyten , Door 's grysen Nestors tong .	None
vond001pala01_01.TEI.2.text.body.div.sp.1039.s.1	Dit acht ick heel gering , De veldheer is de siel , en stuerman van 't geding .	None
vond001pala01_01.TEI.2.text.body.div.sp.1039.s.2	's Rechts uytspraeck staet by hem .	None
vond001pala01_01.TEI.2.text.body.div.sp.1039.s.3	hy kiest bequame mannen En kipt de rechters uyt , die d'heylige vierschaer spannen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1043.s.1	Soo d'aengeklaeghde sich beroept op 't Griexsche recht ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1052.s.1	't Geschil word na de plaets gevonnist , en beslecht .	None
vond001pala01_01.TEI.2.text.body.div.sp.1052.s.2	Wy staen op 's vyands boôm , wy kennen hier geen ' wetten , Als die des veldheers mond en lippen sullen setten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1052.s.3	Sijn wil is wets genoegh , die spreecke , een yder swijg , Des oppervorsten swaerd is rechter inden krijgh .	None
vond001pala01_01.TEI.2.text.body.div.sp.1056.s.1	Of d'oppervorst besweeck , als d'aenslagh was begonnen ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1073.s.1	De wereld geensins lyd twee schitterende sonnen : Soo duld geen heerschappye twee hoofden in een rijck , Geen vorst sijn ' wederga : geen koning sijns gelijck .	None
vond001pala01_01.TEI.2.text.body.div.sp.1073.s.2	d'Eubeër is te hoogh in mogentheyd gestegen , En aensien by 't gemeen : dits Agamemnon tegen : Die heeft wel duysendmael geklopt op sijn rappier .	None
vond001pala01_01.TEI.2.text.body.div.sp.1073.s.3	Gevloeckt by all ' de Goon ' , geswooren hoogh en dier By synes gordels draeck , by 't krunckelen der slangen , Waermé de Gorgon is sijns beuckelaers behangen , En by den staf sijns rijcx van Mulciber gesmeed : Dat hy sich wreecken sal van 't aengedaene leet : Dat d'eylander niet lang sijn Majesteyt sal benglen : Al sou hy d'oppergoon met d'onderaerdsche menglen .	EmotionalAction_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.1077.s.1	Met Agamemnons wrock is 't leger niet gepaeyt .	Emotion_Vindictiveness_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.1090.s.1	't Is waer , maer dat is vol oneenigheyd gesaeyt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1090.s.2	De meesten hoop is blind , om d'oorsaeck van dit wrocken Te sien met onderscheyd : oock heeftmer in betrocken 't Verschil van kerckenplight , de maght van 't geestlijck hof , En 't geen den dienst betreft der Coden : dese stof Soodanigh is van aerd , dat allerley ' krackeelen , Dat sucht tot eyge baet , en staet hier onder speelen : En aller schelmery , die slechts eenschijn gestalt Van hayligheydt ontleent , licht door dien trechter val .	Emotion_Spitefulness
vond001pala01_01.TEI.2.text.body.div.sp.1090.s.3	Men hitst 's volcx harten op tot dolligheyd door kryten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1090.s.4	En d'aldersterckste past den swacksten uyt te byten .	None
vond001pala01_01.TEI.2.text.body.div.sp.1094.s.1	Maer wacht u , als de tyd de waerheyt eens ontdeckt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1103.s.1	Al hebtge 't hayligdom met vadermoord bevleckt : Uw ' susters schaemte ontbloot , in 't aensicht van uw ' swager : Ia self den blixem drigh gekroont tot hoorendrager : Verkraght sijne eegemael , en schencker Ganimeed : Ten word niet eens gemerckt , als maer een outerkleed Die grouwelen bedeckt , ten strecken dan geen ' sonden .	None
vond001pala01_01.TEI.2.text.body.div.sp.1107.s.1	En of de priesters 't pleyt met Palamedes stonden ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.1	Dat is onmooghelijck : want hoemen 't wend , of keert , 't Schort even Calches daer , daer 't Agamemnon deert .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.2	Sijne hoogheyd is geraeckt , en hayligheyd : die stedes , Midts d'onderkruypingen , en list van Palamedes , Allencx gemuylband word , en van sijn ' glants berooft : En 't was soo veer gebragt , dat geen gemyterd hoofd Sou spreecken in den raed , of met de vorsten stemmen : Een toom om na sijn ' wensch de wichelaers te temmen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.3	Dit leyt hem in den krop .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.4	behalven dat hy steef De vorsten tegens hem , die soo Godyvrigh dreef , Dat yeder Griexsche stad sou leggen nieuwe drempels , Om 't noodlot op 't outaer , in Godgewijde tempels , Te vieren , met den reuck van 't gulden wieroockvat : Dienst daer de priesterschap een koninglijcken schat , En rijcken oegst af maeyt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.5	hoe geestigh saghmen schaecken Den tabbaerd met de kap ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.6	met onbeschaemde kaecken Dreef Calches na sijn wensch , met lutt'le stemmen door 't Besluyt der tempeliers , en gaf geen ' reên gehoor .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.7	d'Eubeër heeft ' et oock in Aulis heel verpeutert .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.8	Daer seyde hy schoon de vloot door storm , en onweer leutert , Men magh soo reuckeloos niet plengen konings bloed : Men stel den neerslagh uyt : misschien sal oock de vloed Hier meê niet sijn gepaeyt : wilt u der jonffer jamren : Hackt liever af den hals van wit gewolde lamren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.9	Daer schond hem 't priesterdom de krijgslien op het lijf .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.10	Elck vloeckte , en schold om 't seerst .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.11	sy kreten even stijf .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.12	Het saed van Nauplius van Godsdienst is verbastert : 't Viert tempel noch autaer : Diana word gelastert : Verworght den vryen geest : of stort hem van een ' rots : Dees smaelt op wichlery , en droomen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.13	d'inspraeck Gods Hy gants in twijffel treckt , hy sal het heyr verwarren : Hy acht noch ' vogelsangh , noch ' ingewand , noch ' starren .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.14	Ick rep van geen geheym .	None
vond001pala01_01.TEI.2.text.body.div.sp.1149.s.15	ghy Diomedes saegt Wat hy te lyden had , om 't redden van de maeghd .	None
vond001pala01_01.TEI.2.text.body.div.sp.1155.s.1	Syne aengewende vlyt tot Iphigeens verschooningh , Te lichter hem in gunst kan brengen by den Koningh .	None
vond001pala01_01.TEI.2.text.body.div.sp.1176.s.1	't Blijft tusschen my en u : 't is Agamemnons aerd , Dat sijn ' gedachtenis geen weldaedlang bewaert : Maer 't aengedaene leet , en d'eens gelede smarte , Schiet diepe wortelen in sijn wraeckgierigh harte , Al t'onversoenelijck . 't was Atreus die voor heen By opdracht onderkroop 't oud recht der Griecxsche steên .	Emotion_BodyPart_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.1176.s.2	De soon vlamt op de vrucht van dese parckementen , En hoopt sijn ' lauren telg op desen boom te enten : Maer Palamedes oogh sijn ' gangen onderschept , En is voor hem gereêt , en waeckt eer hy sich rept : Dies raest 's Krijgsvorsten wraeck : die om hem te betraepen , Misbruyckt den ouden haet der Griecxsche legerpaepen , Bedienaers van de nood , en noyt verbeden dwang : Die doen hem 't koude sweet afloopen , door 't gedrang Der lasteraeren , en staegh liegende overboden , Geen ' misdaed reecknen 't quaed , ' tgeen streckt ten dienst der Goden .	Emotion_Hatred_BodyPart_BodilyProcess_Vindictiveness
vond001pala01_01.TEI.2.text.body.div.sp.1176.s.3	Doch 't gelt ons even veel .	None
vond001pala01_01.TEI.2.text.body.div.sp.1176.s.4	wy doelen naer ons wit , Het sy dan slincx of rechts .	None
vond001pala01_01.TEI.2.text.body.div.sp.1176.s.5	waerom ick ernstigh bid , Dat uwe dapperheyd dit heldenstuck verselle .	None
vond001pala01_01.TEI.2.text.body.div.sp.1187.s.1	Ick vindden aenslagh goed , 't is waer , maer dat ick stelle My selven in gevaer , is overwegens waerd .	None
vond001pala01_01.TEI.2.text.body.div.sp.1187.s.2	Ick ben een man in 't veld , om op een moedigh paerd , Dat schuymbeckt , briescht , en krapt , en stof werpt met fijn voetẽ , Mijn ' vyand voor de vuyst , met sweerd en speer , t'ontmoeten : Maer 'k heb uw ' veynsery , Ulysses , lang verleert : Ick stem het niettemin , dewijl ghy 't soo begeert .	None
vond001pala01_01.TEI.2.text.body.div.sp.1192.s.1	Laet Diomedes slechts die sorgh aen my bevolen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1192.s.2	Het moet'er doncker sijn daer d ' Ithakois sal dolen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1199.s.1	Wel aen , ick ben 't getroost : doch eer wy 't stuck bestaen , Soo sal 't hooghnoodigh sijn ons wyders te beraen : Op datmen 't schandelijck ten halven niet laet steecken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1199.s.2	Vernieu my anderwerf den voorslagh uwer treken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1203.s.1	Tre met my in mijn ' tent , 't sal wel soo veyligh sijn , Men handelt van die saek best achter de Gordijn .	None
vond001pala01_01.TEI.2.text.body.div.stage.1205.s.1	REY van PELOPONNESERS en ITHAKOISEN .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1207.s.1	EURIPILUS .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.1	KOomt laet ons by de donckre maen Eendraghtelijck ten reye gaen , En storten yvrigh dese beê Voor ons drye aensicht Hecaté : Datse Atreus soonen doch bewaer : Die voor ons haerdstede , en 't outaer , Soo rustigh waeghden lijf en goed , En troosten 't volck in tegenspoed .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.2	Dat geen verrader sich verstout , Om 't flickeren van 't Trojaensche goud , Hen t'overlevren aen den Prygh , En ons in 't heymelijck bekrygh .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.3	En smoor half doon op doon gehoopt In 't bloed dat uyt ons ' wonden loopt : En steeckt tot schrick van Grieckenland , Door Hectors toorts de Vloot aen brand : En geef uytheemschen gasten stof Te seggen : hier is 't Kerreck-hof , Daer Troje door Godloosen boef Mycenen met haer ' maght begroef : Daer stond Achilles tent wel eer : Hier Agamemnons : ginder veer Werd dagh op dagh soo fel gestreen , Om Menelaüs bruyt Heleen : Hier lagh de vloot op desen hoeck .	Fear_Emotion
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.4	Keer , O Godesse , sulck een ' vloeck .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.5	Bewaer Godin uw ' kercken oock , Op datme ' u tempel pleghtigh smoock : Op dat u reuckwerck opwaerts rijs ' , Na d'eenmael aengenome wijs , Na d'eenmael voorgeschreven plicht : 't Sy dat ghy droef of heller licht .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.6	Begunstigh doch Apollos soon , Den taelman van den oppertroon : Die sich op Gods geheym verstaet , En alle teeckens gade slaet .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.7	Die vaeck kan spellen 't ongesienst : En wien de suyvre Godesdienst Soo diep en swaer ter herten gaet , En achtse een pyler van den staet : Een pyler daer de staet op leunt : En om dese oorsaeck sigh bekreunt Vaeck met den wereldlijcken staf : Al neemtmen 't hem soo qualijck af .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.8	Weer van ons alle nieuwigheen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1262.s.9	Bevry voor vleck uwe outerkleen , En neem de priesters in uw ' scharm , Die uwe altaeren houden warm .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1264.s.1	EVR .	None
vond001pala01_01.TEI.2.text.body.div.sp.1267.s.1	Sy heeft u toegeknickt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1267.s.2	nu wend u tot de nood : Heft aen een nieuwen dans , en maeckt haer ' Godheyd groot .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1270.s.1	REY .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.1	O kracht die niet en syt t'ontvlien : Geweld dat tusschen uwe knien Beklemt de diamanten spil : Daer 't al op draeyt na uwen wil .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.2	Die hebt van eeuwicheyd gesaeyt 't Saed , daer de tyd sijn ' vrucht af maeyt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.3	O dwangbestuurster van al 't werck , Die Goon en menschen steld een perck .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.4	Hou vast en ancker van 't gesticht Der weereld , die in tegenwicht d'Hoofdstoffen houd .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.5	o suyl , die self ' Draeght onbeswaert dat swaer gewelf .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.6	O die met yseren scepter heerscht , En blyfter laest , en waert ' er eerst : Die Hemel , Aerd , en Hel bestiert , En maeckt dat elck uw ' Godheyd viert , Die op haer ' beurt de starren riept , En meerdre en mindre Goden schiept , En blijft versteenight en verstockt , En hebt al 't noodlijck quaed berockt .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.7	Saturnus sijnen vader lubt , En 't pekelschuym met bloed bedrupt : Eene oorsaeck datter Venus quam , Met haere onkuysche minnevlam .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.8	Jupijn ontvonckt door Cypris strael , Voorts walghde van sijne eegemael Die bleef verschopt , en al sijn ' feest Was hoer , of jongen , of een beest .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.9	Mercuur werd d'alderslimste dief , En Bacchus kreegh de kruycken lief , En struyckelende na den dronck , Song haylge veersen dat het klonck .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.10	Mars groeyde in bloed en menschen moord , Dat Reusen quamen fel aen boord Den Donderaer , met smaet en schimp : Doense Ossa parsten met Olymp , En weer met Ossa Pelion : Eer hen een starcker overwon : Dat Minos Bruyt , het geyle dier , Sich liet bespringen van een ' Stier : Dat d'Africaen so wreed als sterck , Van menschen hoofden boude een ' kerck : En dat sijn Tempelpriester had , Een Doodshooft tot een wieroock vat : En , eer hy noch gebeden sprack , Een ' menschen ongeltoorts ontstack : En plengde , met een ' heylgen schijn , Paers menschen bloed , in plaets van wijn .	None
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.11	En offerde , den Goon tot brand Halflevend ' menschen ingewand : Terwijl een menschen darrem sluyt , Om 't lijf sijn ' taeye menschen huyt , Sijn offerkleed , en feestcieraet : En song , en schreeude sonder maet , Wt parckement vol bloedrood schrift : Verruckt door innerlijcke drift : En deé weergalmen op elck vaers Een ' rey van woeste moordenaers : Wier wapen , swaerd noch , kortelas , Maer kaeckebeen of schinckel was : Dat Tantalus noch vuyl bemorscht Van versche moord , opschaffen dorst Het vleesch sijns Soons op Jovis disch : Niet by geval gebeurt en is : Maer onontworstelbaer bescheer !	BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.12	Ghy self waert d'oorsaeck , u koomt d'eer : Die dobbeltrony Janus slacht , Die achter grijnst , van vooren lacht .	BodilyProcess
vond001pala01_01.TEI.2.text.body.div.sp.1360.s.13	Soo noch 't verraed smeult in zyne asch , Ontdeckt sulcx doch uw ' priestren ras : Scharp Argos sabel langs hoe meer : En Priams standers werp ter neer .	None
vond001pala01_01.TEI.2.text.body.div.sp.1364.s.1	Houd op ghy hebt voldaen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1364.s.2	het nootlot heeft volkomen Uw ' danssen , en gesang goetgunstigh aengenomen .	None
vond001pala01_01.TEI.2.text.body.div.head.1366.s.1	De derde handel .	None
vond001pala01_01.TEI.2.text.body.div.stage.1370.s.2	SCHILDWACHT .	None
vond001pala01_01.TEI.2.text.body.div.stage.1370.s.3	AGAMEMNON .	None
vond001pala01_01.TEI.2.text.body.div.sp.1374.s.1	HOu schildwacht hou !	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1375.s.1	SCHI .	None
vond001pala01_01.TEI.2.text.body.div.sp.1377.s.1	Wie daer ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1381.s.1	Ick moet den Veldheer spreken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1385.s.1	Wie zytge ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1385.s.2	meld uw ' naem , of geef 't gewoonlijck teecken .	None
vond001pala01_01.TEI.2.text.body.div.sp.1389.s.1	't Is Diomedes self .	None
vond001pala01_01.TEI.2.text.body.div.sp.1392.s.1	Koom weck hem daer hy leyd .	None
vond001pala01_01.TEI.2.text.body.div.sp.1397.s.1	Groot meester van ons heyr , die uwen leger spreyd Van drooge en dorre blaen : op op , 't is tyd te waecken .	None
vond001pala01_01.TEI.2.text.body.div.sp.speaker.1398.s.1	AGA .	None
vond001pala01_01.TEI.2.text.body.div.sp.1401.s.1	Wel Diomedes vriend , segh op , wat zyn 't voor saecken ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1401.s.2	Wat brengt ghy ons by nacht : is Hector op de been ?	None
vond001pala01_01.TEI.2.text.body.div.sp.1407.s.1	'k Heb een Trojaenschen spie den hals versch afgesneen , Als ick de ronde dede .	None
vond001pala01_01.TEI.2.text.body.div.sp.1407.s.2	hy is belast met brieven .	None
vond001pala01_01.TEI.2.text.body.div.sp.1407.s.3	Ick sleep den booswicht hier .	None
vond001pala01_01.TEI.2.text.body.div.sp.1407.s.4	het sal den Vorst believen Te vorschen nae 't geheym .	None
vond001pala01_01.TEI.2.text.body.div.sp.1417.s.1	Koom hou de toorts wat dicht , Op dat ick desen gast beschou in 't aengesicht .	None
vond001pala01_01.TEI.2.text.body.div.sp.1417.s.2	't Is waerlijck een Trojaen van kleeding en van wezen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1417.s.3	Dit 's Priams zegelring .	None
vond001pala01_01.TEI.2.text.body.div.sp.1417.s.4	ick moet het inhoud lesen .	None
vond001pala01_01.TEI.2.text.body.div.sp.1417.s.5	Op mannen , 't is verraed .	None
