vond001jose05_01.TEI.2.text.body.div.head.163.s.1	Joseph in Dothan .	None
vond001jose05_01.TEI.2.text.body.div.sp.656.s.1	Laet kleven , eer men my met Joseph helpe om 't leven .	None
vond001jose05_01.TEI.2.text.body.div.sp.660.s.1	Zult ghy dien broedermoort met drooge wangen zien ?	Aquiescence_BodyPart_BodilyProcess_Other
vond001jose05_01.TEI.2.text.body.div.sp.664.s.1	'k Moet zien , al 't geen ick niet kan hindren noch verbiên .	None
vond001jose05_01.TEI.2.text.body.div.sp.668.s.1	Ghy hebt u zelven niet , gelijck 't betaemt , gequeten .	None
vond001jose05_01.TEI.2.text.body.div.sp.672.s.1	Ghy weet wel , hoeze zijn van outs op hem gebeten .	None
vond001jose05_01.TEI.2.text.body.div.sp.676.s.1	Maer niet tot moordens toe .	None
vond001jose05_01.TEI.2.text.body.div.sp.676.s.2	wat grover onbescheit !	None
vond001jose05_01.TEI.2.text.body.div.sp.680.s.1	'k Heb al zijn feilen in de beste ploy geleit .	None
vond001jose05_01.TEI.2.text.body.div.sp.684.s.1	Kunt ghy die harten niet tot mededogen neigen ?	Emotion_BodyPart_Compassion
vond001jose05_01.TEI.2.text.body.div.sp.688.s.1	Zy borsten echter uit met u en my te dreigen .	None
vond001jose05_01.TEI.2.text.body.div.sp.692.s.1	Het koste oock wat het koste , ick zal ' er tegens woên .	None
vond001jose05_01.TEI.2.text.body.div.sp.698.s.1	Ghy zult u zelven leet , den knaep geen voordeel doen .	None
vond001jose05_01.TEI.2.text.body.div.sp.698.s.2	Daer komenze : zie toe ; bedenck uw onvermogen .	None
vond001jose05_01.TEI.2.text.body.div.sp.698.s.3	Zy dreigen u den doot , en moorden met hun oogen .	EmotionalAction_Hatred_BodyPart
vond001jose05_01.TEI.2.text.body.div.sp.702.s.1	WAt hoor ick , broeders , hoe ? 'k geloof 't is schimp en spot .	None
vond001jose05_01.TEI.2.text.body.div.sp.706.s.1	Geen schimp , maer louter ernst .	None
vond001jose05_01.TEI.2.text.body.div.sp.710.s.1	dat keer die goede Godt .	None
vond001jose05_01.TEI.2.text.body.div.sp.714.s.1	Het vonnis leit gevelt : hier helpt geen tegenstreven .	None
vond001jose05_01.TEI.2.text.body.div.sp.718.s.1	Ick heb tot dat besluit mijn stem noch niet gegeven .	None
vond001jose05_01.TEI.2.text.body.div.sp.723.s.1	Het hangt niet aen uw stem .	None
vond001jose05_01.TEI.2.text.body.div.sp.728.s.1	zoudt ghy u zulck een daet Vermeten , buiten mijn ' , uw oudsten broeders , raet ?	Emotion_Other
vond001jose05_01.TEI.2.text.body.div.sp.732.s.1	Is 't u om d'eer te doen , zoo sluit het geen wy sluiten .	Honor_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.736.s.1	De stem is dwangeloos .	None
vond001jose05_01.TEI.2.text.body.div.sp.741.s.1	een stem kan dit niet stuiten .	None
vond001jose05_01.TEI.2.text.body.div.sp.741.s.2	De meeste dragen 't wech .	None
vond001jose05_01.TEI.2.text.body.div.sp.741.s.3	wy stemmen 't , hooft voor hooft .	None
vond001jose05_01.TEI.2.text.body.div.sp.749.s.1	Indien ick , in dit recht , zoo veel magh zijn gelooft , Laet redens schael zijn schult , met zinnen overwegen .	None
vond001jose05_01.TEI.2.text.body.div.sp.749.s.2	Noit rechter rouwde 't raet en overlegh te plegen In halsrecht .	None
vond001jose05_01.TEI.2.text.body.div.sp.749.s.3	vintghy dit dan evenwel geraên , Zoo neemt zijn bloet op u : ick wil'er niet voor staen .	None
vond001jose05_01.TEI.2.text.body.div.sp.753.s.1	Vertrouw het vonnis ons : 't is buiten u gestreecken .	None
vond001jose05_01.TEI.2.text.body.div.sp.757.s.1	Laet ick in vaders naem dan eerst mijn hart uitspreecken .	None
vond001jose05_01.TEI.2.text.body.div.sp.761.s.1	Wel spreeck uw hart vry uit , en zwijgh dan lang genoegh .	None
vond001jose05_01.TEI.2.text.body.div.sp.785.s.1	Wat liefde vader staegh dien loozen jongen droegh , Tot smaet van ons , die eer en ouder zijn geboren , Verdroot my meer , dan u .	Emotion_Love_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.785.s.2	oock spelde ick lang te voren , Eer 't noch dus verr equam , dat liefde zonder maet , En ongelijcke gunst tot zulck een bitt'ren haet In 't endt gedyen moest , en enkel jammer baeren .	Emotion_Hatred_Love
vond001jose05_01.TEI.2.text.body.div.sp.785.s.3	Ick badt hem menighmael , by zijne gryze hairen , Hy zou zich maetigen . 'k vermaende menighwerf Hem tot onzijdigheit en vreê ; het zekerste erf , En d'allerbeste schat in zoo een huis vol kinderen .	None
vond001jose05_01.TEI.2.text.body.div.sp.785.s.4	Ick riedt , hy zou 't een kint om 't ander niet verminderen : Dat dit genegentheit en liefde bluschte en brack , En allen broederen vast tegens 't harte stack : Maer 'k ging ten achteren , met vader aen te porren .	Emotion_BodyPart_Love_Dissapointment_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.785.s.5	Hy sloeg my t'elckens af met graeuwen en met knorren ; En , toonende openbaer , waer hart en zin naer trock , Bestont , ô blintheit , noch met dien schakeerden rock Te tergen ons gedult , in plaets van zich te toomen .	BodyPart_Love
vond001jose05_01.TEI.2.text.body.div.sp.785.s.6	Toen quam de kleinste noch braveeren met zijn droomen , Wel tweemael achter een , zijn dick verklickte broêrs , Ja zelfs zijn ouderen : al 't huis was vol rumoers .	None
vond001jose05_01.TEI.2.text.body.div.sp.790.s.1	Zoo Ruben , vaer zoo voort , gelijck ghy hebt begonnen .	None
vond001jose05_01.TEI.2.text.body.div.sp.794.s.1	Dat is hem recht op 't hooft : nu zie ick 't spel gewonnen .	None
vond001jose05_01.TEI.2.text.body.div.sp.798.s.1	Wel twijfelt Ruben noch te stemmen in zijn doot ?	None
vond001jose05_01.TEI.2.text.body.div.sp.802.s.1	Hy brengt zijn vonnis meê : de nucken leggen bloot .	None
vond001jose05_01.TEI.2.text.body.div.sp.823.s.1	'k Zagh vaders misgreep wel : het moght mijn harte moeien : Wat zou ick doen ?	Offended_BodyPart_Anger
vond001jose05_01.TEI.2.text.body.div.sp.823.s.2	ick kon zijn vryheit niet besnoeien , Waer door , vast d'een wat meer en d'ander min bezint , Hy meer verdiensten zagh in 't een dan 't ander kint .	None
vond001jose05_01.TEI.2.text.body.div.sp.823.s.3	Ick kon den kleinste , die de grootsten scheen te grieven , Niet afraên , dat hy docht zijn ' vader te believen ; Die ongelijck meer hoops uit hem te scheppen scheen , Aen wien natuur bestede al haer bevalligheên En gaven , nut voor een , die 't al gebruickt met oordeel , En vordert 's anders nut , gelijck zijn eigen voordeel ; Dies wert ick ziende blint , en hiel my stil en stom ; En weet dit Josephs jeught , en vaders ouderdom .	Emotion_EmotionalAction_Hope_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.823.s.4	d'Een schort wat tijds , om van zijn wulpsheit te bedaeren , En d'ander neemt vast af door aen was zijner jaeren .	None
vond001jose05_01.TEI.2.text.body.div.sp.823.s.5	Laet loopen , docht ick : maeck het huis geen ongemack .	None
vond001jose05_01.TEI.2.text.body.div.sp.823.s.6	De kreuple hoeft een stock : zijn beenen worden zwack .	None
vond001jose05_01.TEI.2.text.body.div.sp.823.s.7	Wat schaet ons , dat hy zich wat houde aen Josephs schouders , Men vont noit huis , of 't schorte aen kinders , of aen ouders .	None
vond001jose05_01.TEI.2.text.body.div.sp.827.s.1	My dunckt ghy slacht den kreeft , en kruipt al achterwaert .	None
vond001jose05_01.TEI.2.text.body.div.sp.831.s.1	Hy slacht het scorpioen : 't vergift leit in den staert .	None
vond001jose05_01.TEI.2.text.body.div.sp.855.s.1	Ay broeders , geeft gehoor , en elck twee lijdzaeme ooren : Mijn spraeck luit niet zo vreemt , of z'is noch waert te hooren .	Aquiescence_Emotion_BodyPart
vond001jose05_01.TEI.2.text.body.div.sp.855.s.2	Gelijk 'k sloegh dickwils d'oirzaeck ga , waerom der oudren zin Meer op den jongste valt , en op den outste min .	None
vond001jose05_01.TEI.2.text.body.div.sp.855.s.3	Zou 't wezen , dat de spade en leste vrucht van allen Gemeenelijck wat teer en zwacker wil bevallen ; Als spruitende uit een raeuw en ongekoockter bloet , En dat dees teerheit treckt der ouderen gemoedt Tot d'onvermogenste en onnozelste der erven ; In wien zylieden , nu op d'oevers van hun sterven , Verryzen uit den grave ?	None
vond001jose05_01.TEI.2.text.body.div.sp.855.s.4	of zou 't wel zijn uit vrees , Dat moeder Lea niet die moederlooze wees , Na vaders doot , wat ruw moght op zijn stiefmoers handelen ?	Fear_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.855.s.5	Of Bilha al te haets , of Zilpa hem deê wandelen , En Agar Saraes zoon eens wees zijn broeders baen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.855.s.6	Hoe 't zy , eenzydigheit broght altijdt onlust aen In huisgezinnen ; en het ging ' er noit zoo even , Of Esaus liefde stont in Isax hart geschreven , En Jakob had de gunst der moeder op zijn hant .	Emotion_Love
vond001jose05_01.TEI.2.text.body.div.sp.855.s.7	De weeghschael helt aen dien of aen den andren kant .	None
vond001jose05_01.TEI.2.text.body.div.sp.859.s.1	Indien u 't preecken lust , zoo preeck voor deze boomen .	None
vond001jose05_01.TEI.2.text.body.div.sp.863.s.1	Komt mannen , ziet eens uit : de droomer zal strax komen .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.1	Hoort broeders ick beken 't , zijn droomen zien wat veer : Maer droomen in der daet zijn droomen , en niet meer .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.2	De droomen grenzen dicht aen ydelheit en logen .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.3	Wie 's nachts van schatten droomt , vint 's morgens zich bedrogen .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.4	Al wat op zulck een gront gebout wort , zackt terstont .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.5	Bedenckt oock , hoe wy staen op een ' uitheemschen gront , Die naeuw om Sichems moort , verdraeght de vreemdelingen .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.6	Splist tweedragt 't huis , 't gaet vast , dit volk zal 't huis bespringen .	None
vond001jose05_01.TEI.2.text.body.div.sp.875.s.7	't Vergoten bloet roept wraeck , en roockt noch over 't landt .	Emotion_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.879.s.1	Verwijt ghy ons dat stuck ?	None
vond001jose05_01.TEI.2.text.body.div.sp.879.s.2	ô aller schanden schandt !	None
vond001jose05_01.TEI.2.text.body.div.sp.883.s.1	O bloetschant van 't geslacht , wat bed durft ghy beklimmen !	None
vond001jose05_01.TEI.2.text.body.div.sp.887.s.1	Die moederschender !	None
vond001jose05_01.TEI.2.text.body.div.sp.887.s.2	ziet zijn aen zicht nu eens glimmen .	None
vond001jose05_01.TEI.2.text.body.div.sp.891.s.1	Wijt ghy ons , dat wy zien van Hemors bloet bekladt .	None
vond001jose05_01.TEI.2.text.body.div.sp.895.s.1	Hy zelf heeft van dien buit het beste deel gehadt .	None
vond001jose05_01.TEI.2.text.body.div.sp.899.s.1	Wy hebben Dinaes smaet en schennis recht gewroken .	EmotionalAction_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.903.s.1	Och broeders , 'k heb u niet een woort te na gesproken .	None
vond001jose05_01.TEI.2.text.body.div.sp.907.s.1	Hy draeght vergif in 't hart , den honigh op zijn tong .	None
vond001jose05_01.TEI.2.text.body.div.sp.911.s.1	Het heught ons noch , hoe kleen hy lest by vader zong .	None
vond001jose05_01.TEI.2.text.body.div.sp.915.s.1	Wat wroet ghy op de wraeck van ons verkrachte zuster ?	Emotion_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.919.s.1	Wy leesden na die straf veel vryer en geruster .	None
vond001jose05_01.TEI.2.text.body.div.sp.927.s.1	Dit loopt recht averechts , toen strafte ghy gewelt , Tot voorstant van uw bloet : nu raest ghy al t'onstelt Op dezen armen hals , die uitziet zoo verlegen , Naer u en 't vee , en brengt zijn vaders groet en zegen .	None
vond001jose05_01.TEI.2.text.body.div.sp.931.s.1	Hy hou dien zegen zelf , en schut hier meê den vloeck .	None
vond001jose05_01.TEI.2.text.body.div.sp.935.s.1	Wy zullen hem terstont gaen helpen om een hoeck .	None
vond001jose05_01.TEI.2.text.body.div.sp.939.s.1	Zal dan dit heiligh huis vermoorden zijnen broeder ?	None
vond001jose05_01.TEI.2.text.body.div.sp.943.s.1	Zal dan dit heiligh huis onteeren zijne moeder ?	None
vond001jose05_01.TEI.2.text.body.div.sp.950.s.1	Ay broeders , waerom toch zoo bitter gekrackeelt , En wonden opgekrabt , die naulix zijn geheelt ?	Emotion_EmotionalAction_Hatred_BodilyProcess_Anger
vond001jose05_01.TEI.2.text.body.div.sp.950.s.2	Ick waerschuw u : ziet toe , 't plagh hier ontrent te schuilen .	None
vond001jose05_01.TEI.2.text.body.div.sp.950.s.3	Hebt ghy dat wreet gedroght , dat dier , niet hooren huilen ?	BodilyProcess_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.954.s.1	Loop heen met uw gedroght .	None
vond001jose05_01.TEI.2.text.body.div.sp.958.s.1	wy weten van geen dier .	None
vond001jose05_01.TEI.2.text.body.div.sp.978.s.1	Een schrickelijck gedroght : het broet , niet veer van hier , In 't grondelooze hol een heiloos slagh van jongen : Het knaeght zijn eigen hart , van spijt schier toegewrongen .	Emotion_BodyPart_BodilyProcess_Remorse
vond001jose05_01.TEI.2.text.body.div.sp.978.s.2	Het aengezicht ziet dootsch : het keert de blicken dwars Van ieder af , van 't licht van lach en blyschap wars : Het blaeuwe schuim begroeit de scherpe en holle kiezen : De tong hangt zwart van gift : de beck doet niet dan biezen : De kaecken vallen in , begruist met eene korst Van schimmel : groene gal verstopt de raeuwe borst : Het slorrept menschen bloet , en plast ' er in tot d'enkelen : Het lijf schijnt een geraemt , gestut van magre schenckelen , Gantsch dor en mergeloos : het schept alleen vermaeck In 's anders ongenoeght : het oogh krijgt nimmer vaeck : Een scherreprechter , in zijn ingewant gewickelt , Met staele prickelen zijn borst en nieren prickelt : Dan balckt het overluidt , tot razens toe verstoort .	Joy_Emotion_BodyPart_BodilyProcess_Remorse
vond001jose05_01.TEI.2.text.body.div.sp.978.s.3	Een gruwelijck gedrocht : heeft niemant dat gehoort ?	None
vond001jose05_01.TEI.2.text.body.div.sp.982.s.1	'k Geloof ghy schimpt , en waent de broeders in te luien .	None
vond001jose05_01.TEI.2.text.body.div.sp.986.s.1	Hoe heet dit dier ?	None
vond001jose05_01.TEI.2.text.body.div.sp.986.s.2	zegh op , wat wil dit dier beduien ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1000.s.1	Dat dier heet Haet en Nijt , het welck niet zonder smart Vervloeckte jongen worpt in 't hol van 's menschen hart .	Emotion_Hatred_Envy_BodyPart_Anger
vond001jose05_01.TEI.2.text.body.div.sp.1000.s.2	Ay mannen , geeft gehoor : ay laet dat dier niet binnen Ons huis ; want waer het komt , daer sloopt het huisgezinnen En huizen in den gront , en scheit met schande en stanck .	None
vond001jose05_01.TEI.2.text.body.div.sp.1000.s.3	Dat keer die goede Godt .	None
vond001jose05_01.TEI.2.text.body.div.sp.1000.s.4	ghy weet my luttel danck , Nu ick de waerheit spreeck , die dickwils wort verschoven : Maer 'k weet men zal mijn ' raet ten hooghste namaels loven , Het ga zoo 't wil .	None
vond001jose05_01.TEI.2.text.body.div.sp.1000.s.5	mijn broêrs , ziet toe : waer loopt dit heen ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1000.s.6	Verantwoort eens 't gewelt van negen broêrs op een ' .	None
vond001jose05_01.TEI.2.text.body.div.sp.1004.s.1	Verantwoort ghy 't , die dus den droomer komt beschutten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1008.s.1	Wy zien den val van 't huis , en zoecken 't huis te stutten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1015.s.1	Zoo wrickt niet aen de stut van vaders ouderdom .	None
vond001jose05_01.TEI.2.text.body.div.sp.1015.s.2	Verwrickt ghy die , zoo valt de vader met haer om , En stort op Josephs borst .	None
vond001jose05_01.TEI.2.text.body.div.sp.1015.s.3	zoo storten wy met vader , In 't algemeen bederf .	None
vond001jose05_01.TEI.2.text.body.div.sp.1015.s.4	ziet toe , het dient niet nader .	None
vond001jose05_01.TEI.2.text.body.div.sp.1019.s.1	Daer komt hy van de stadt , naer dezen heuvel toe .	None
vond001jose05_01.TEI.2.text.body.div.sp.1023.s.1	Nu Ruben , hou uw rust : wy zijn dit tergen moe .	EmotionalAction_Annoyance
vond001jose05_01.TEI.2.text.body.div.sp.1038.s.1	Verbeelt u , dat dit kint , het welck zijn broêrs komt groeten , Met tranen op de wang , voor uwer aller voeten Vergiffenis verzocht : zoudt ghy , gelijck ontzint , De handen durven slaen aen dat onmondigh kint ?	BodyPart_BodilyProcess_Remorse
vond001jose05_01.TEI.2.text.body.div.sp.1038.s.2	Wie hitste oit tigers aen , om weerelooze zielen , Een onderbrachte schaer , met klaeuwen te vernielen ?	EmotionalAction_Hatred
vond001jose05_01.TEI.2.text.body.div.sp.1038.s.3	Zoudt ghy bestaen een stuck , dat leeuwen zich ontzien ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1038.s.4	Geen leeuw verslint een ' man , die neerleit op de knien , Noch min de kinderen , die ouder zijn , of jonger Dan dit , 't en waer uit noodt , en schrickelijcken honger .	None
vond001jose05_01.TEI.2.text.body.div.sp.1038.s.5	Och , Joseph is geen straf maer eer erbarmens waert , Ick wil hem tegen gaen , eer iemant verder vaert .	Emotion_Compassion
vond001jose05_01.TEI.2.text.body.div.sp.1042.s.1	Hou stant , en ga niet voort .	None
vond001jose05_01.TEI.2.text.body.div.sp.1046.s.1	sta vast , of 't gelt u 't leven .	None
vond001jose05_01.TEI.2.text.body.div.sp.1052.s.1	Laet los , of 'k zal een kreet op dezen heuvel geven , Daer Syrie van waegh , en dat het Mambre hoor .	None
vond001jose05_01.TEI.2.text.body.div.sp.1052.s.2	Laet los .	None
vond001jose05_01.TEI.2.text.body.div.sp.1052.s.3	help Judas , help : wat hebt ghy met my voor ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1056.s.1	Zwijg kort , of 't geldt dien hals .	None
vond001jose05_01.TEI.2.text.body.div.sp.1060.s.1	wil ik hem 't hart afsteken ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1064.s.1	Hoort broeders : houdt gemack : vergunt my tijt te spreken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1068.s.1	Nu Judas , laet my los .	None
vond001jose05_01.TEI.2.text.body.div.sp.1068.s.2	ick zal hem niet misdoen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1075.s.1	Nadien 't onmooghlijck schijnt , dat ick den knaep verzoen Met u , zijn broedren , al t'onmenschelijck gebeten , Zoo gunt my dan een beê .	None
vond001jose05_01.TEI.2.text.body.div.sp.1079.s.1	dat is maer tijdt versleten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1083.s.1	Laet hooren , wat ghy bidt , nu spreeck , en rep u , dra .	None
vond001jose05_01.TEI.2.text.body.div.sp.1088.s.1	Ick bid u , dat de zon noch eerst eens onder ga , Eer yemant zich vergrijpe aen dien verwezen jongen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1092.s.1	Ja straf hem morgen , pas wanneer hy is ontsprongen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.1	'k Beloof u niet een woort te reppen van dien raet .	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.2	De harssens zijn te heet , om nu , op heeter daet , Te straffen , zoo 't betaemt : ghy moet met billijcke oogen Dit inzien .	Hatred_BodyPart_BodilyProcess
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.3	blinde wraeck heeft menigh man bedrogen , Die met haer ging te ra .	Emotion_Vindictiveness
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.4	wat schaet een luttel tijdt ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.5	Uw recht blijft even schoon .	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.6	men scheld hem 't sterven quijt , Niet meer dan eenen dagh , en gaet dan vry uw gangen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.7	Daer staet een drooge put : men zet den knecht gevangen ; Of hy verga daer in , van honger en van dorst , Eer ghy u met zijn bloet zoo lasterlijck bemorst .	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.8	't Luidt schandelijck een wees aen 't leven te verkorten ; Noch alderschandelijckst zijn broeders bloet te storten .	None
vond001jose05_01.TEI.2.text.body.div.sp.1109.s.9	Verschoont uw ' naem en faem , en zet hem in dien poel , Op dat hy stervende zijn straf te langer voel .	None
vond001jose05_01.TEI.2.text.body.div.sp.speaker.1111.s.1	Si	None
vond001jose05_01.TEI.2.text.body.div.sp.1113.s.1	Had ghy dit eerst geraên , wy waren lang verdraegen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1117.s.1	Hy heeft den besten raet van allen voorgeslaegen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1121.s.1	Wie 't stemt , die knick my toe .	None
vond001jose05_01.TEI.2.text.body.div.sp.1125.s.1	de broeders zijn te vreên .	None
vond001jose05_01.TEI.2.text.body.div.sp.1129.s.1	Daer komt de droomer aen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1135.s.1	wel broeders , ick ga heen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1135.s.2	't Zal noodigh zijn mijn vee al weder te verweien : 'k Betrou uw woort .	None
vond001jose05_01.TEI.2.text.body.div.sp.1139.s.1	ga voor .	None
vond001jose05_01.TEI.2.text.body.div.sp.1143.s.1	wy zullen zo niet scheien .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1163.s.1	HY komt , hy komt , die jonge borst , Als 't hygent hart , 't welck zijnen dorst Wil lesschen aen de versche sprongen Der zilverzuivre koele bron ; Terwijl de jaegers , schuw van zon , ( Op hoop , of zy het wildt eens vongen , In donkre en naere schaduw vast , Daer looze brack noch winthont bast ) Met zwijnspriet en gespanne bogen .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1163.s.2	Beloeren het onnozel bloet ; 't Welck niemant leet noch letsel doet ; En , al te jammerlijck bedrogen , Zich vint op 't onverzienst bezet Van jaeger jaghtspriet hont en net .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1180.s.1	Hy kom , getroost op 's hemels hulp .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1180.s.2	Gelijck de perlen in haer schulp , Der perlen moeder , zullen hangen De laeuwe traenen , zilt van smaeck , Van wederzijden op de kaeck , Op 't perlemoer der lieve wangen .	BodyPart_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.lg.1180.s.3	Och , stremdenze op dit perlemoer ; Dat wy die reegen aen een snoer Van gout , om onzen hals te cieren ; Wanneer wy , tot de keel vervult Van blyschap , 's jongelings gedult En onverblóemde deughden vieren !	Joy_Emotion_BodyPart_BodilyProcess
vond001jose05_01.TEI.2.text.body.div.sp.lg.1180.s.4	Zijn eer wil bloeien op zijn ' graf .	Honor_Emotion
vond001jose05_01.TEI.2.text.body.div.sp.lg.1180.s.5	Het lof der deught valt nimmer af .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1189.s.1	't Moet schoon zijn , 't geen een schets moet strecken Van iet volmaeckts , en zonder vlecken .	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1189.s.2	Wie of de zon uitdaegen dar , Dat hooftlicht , bron van alle klaerheit , Een zichtbre Godheit , 't oogh der waerheit ?	None
vond001jose05_01.TEI.2.text.body.div.sp.lg.1189.s.3	Wie anders , als de morgenstar ?	None
vond001jose05_01.TEI.2.text.body.div.head.1192.s.1	Het derde bedryf .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.1	MYn Broeders , zijt gegroet , van mijn heer vaders wegen , Die , hartelijck begaen , my , onder zijnen zegen , Naer Sichem henestuurde , op dat hy weten moght , Hoe 't u en 't vee al ging .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.2	wat hoeck bleef onbezocht ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.3	Wat herder ongevraeght , om Sichem , en zijn weide En landstreeck ? 'k hou gewis mijn vaders engel leide My herwaert aen : want toen ick , moede en afgezucht , Ging dwaelen , hopeloos en jammerlijck beducht , Wat raedzaemst was van beide : of langer daer te toeven , Op eenigh klaer bescheit ; of vader te bedroeven , Met even wijs naer huis , naer Hebron , en ons dal , Van waer ick quam , te spoên ; ontmoete by geval ( Of liever zoo 't Godt gaf ) my iemant , die juist vraeghde : Wien zoekt ghy dus met smart ?	Emotion_Sadness
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.4	toen ick mijn hart uitklaegde , En badt om naeckt bericht , wees hy my herwaert aen ; En had uit u gehoort : laet ons naer Dothan gaen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.5	Spil , sprack hy , hier geen tijdt : zy zijn al voortgetogen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.6	Zoo spreeckende , geleeck de vriendschap in zijn oogen , Aen 't flonckeren , een ' geest , zoodanigh als voorheen ( Na dat men hun beschrijft ) onze oudren wel verscheen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.7	Zijn oogen stemden met d'aenminnigheit der lippen , Geverft , als met een ' geur van roozen , op de tippen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.8	In 't scheiden danckte ick hem , en roock een frisser lucht , Een lange streeck langs 't padt , en schepte mijn genught Veel reizen stil te staen , en t'elckens om te kijcken ; Verbaest om zijnen gangk , en hoe hy heen gingk strijcken , Niet als een sterflijck mensch , maer een van 't hemelsch koor , Ons tot een licht gestiert , op 't onbekende spoor .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.9	Het zy wie 't wil , Godt lof , hy heeft my recht gewezen .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.10	Ick vinde u hier gezont : nu is mijn hart genezen Van die quetsuur .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.11	ô hoe verquickt uw aengezicht , Zoo welgedaen , my meer , dan 't al verquickend licht !	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.12	Mijn broeders , och , ick weet , de vader zal verlangen , Om tijding , uit mijn ' mont , van u , zijn zoons t'ontfangen , De grootvaêr desgelijx , en onze moeders meê .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.13	Hoe gaet het toch , mijn broêrs ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.14	hoe staet het met ons vee ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.15	Helaes , wat magh dit zijn ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.16	wat magh de helden deeren , Dat zy dus overdwers het aenzicht elders keeren ?	EmotionalAction_BodyPart_Disgust
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.17	My aenzien met den neck , en stom als beelden staen ?	BodyPart_BodilyProcess_Disgust
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.18	Och broeders , heb ick u met mijne komst misdaen , Of niet gegroet als 't hoort ?	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.19	ontschuldight mijn gebreecken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.20	Verschoont mijn dommigheit .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.21	hoe krijg ik hen aen 't spreken .	None
vond001jose05_01.TEI.2.text.body.div.sp.1240.s.22	Ick ben geen antwoort waert : helaes , het is mijn schult .	None
vond001jose05_01.TEI.2.text.body.div.sp.1245.s.1	Ay , ziet dien huichelaer : hoe terght hy uw gedult , En spreekt gy niet een woort ?	None
