stee033adag01_01.TEI.2.text.body.div.head.207.s.1	Ada , gravin van Holland en Zeeland ; treurspel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.633.s.2	Uw moed vertoont zich meest op dezen grooten dag .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.639.s.1	Indien myn trouwe raad noch iets op u vermag , Vorstin , ...	Emotion_Loyalty
stee033adag01_01.TEI.2.text.body.div.div.sp.648.s.1	Weêrspreek my niet ; laat ons niet schandlyk vreezen .	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.648.s.2	Gy , die myn gunst verdient , gy zult gelukkig wezen .	Emotion_Happiness
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.643.s.1	tegen Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.646.s.1	Tegen Lodewyk .	None
stee033adag01_01.TEI.2.text.body.div.div.head.650.s.1	Achtste tooneel .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.652.s.1	Lodewyk , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.1	Gy vleit u zonder grond , indien gy waant , mynheer , Dat Adaas nutlooze echt , nadeelig voor hare eer , Gevaarlyk voor haar volk , ja voor uw ' beider leven , U 't vreedzaam eigendom van 't graaflyk erf zal geven .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.2	Uw groote ziel verdient een edeler geluk , Verwin uzelv '; verricht een zeldzaam heldenstuk .	Emotion_Happiness
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.4	weet gy hoe de Zeeuw , Oostvrieslands graaf genegen , Terstond al 't Hollandsch volk tot oproer kan bewegen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.5	Dat roeklooze Adelheide , in ydle hoop misleid , 't Onwettig landbestier uit staatzucht u bereid , Ja de eedlen dwingt hun recht met Willems hulp te wreken ?	Emotion_EmotionalAction_Hope_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.6	Ik , op uw deugd gerust , durf onbewimpeld spreken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.7	Verwerf , ô Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.669.s.8	de lofspraak van 't heelal , Door 't afstaan van uw bruid ; of ducht uw ' beider val .	None
stee033adag01_01.TEI.2.text.body.div.div.head.671.s.1	Negende tooneel .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.673.s.1	Lodewyk ,	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.1	Hoe werken hoop en vrees in myn bestreden zinnen !	Fear_Emotion_Hope_BodyPart
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.2	ô Min !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.3	zal 't Adelheide ... ô eer !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.4	zal 't Amstel winnen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.5	ô Wreede liefde !	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.6	vlie ; verscheur my langer niet .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.8	poogt zich Diedriks weeûw te vesten in 't gebied ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.9	Te heerschen op myn ' naam ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.10	durft ze Ada roekloos wagen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.11	En zou het vorstlyk erf my tot dien prys behagen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.12	Graaf Willem , neem bezit van uwe landvoogdy : Natuur weêrhoude uw ziel van woeste tyranny !..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.13	Neen ; die staatzuchtige zou 't erfrecht ondermynen ; Myn hart , myn minnend hart in wanhoop stervend ' kwynen ; En myn vorstin , beroofd van al haar eigendom , Haar plagen wyten aan haar ' laffen bruidegom .	Emotion_BodyPart_BodilyProcess_Love_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.14	Verlegen Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.15	wat lot staat u te kiezen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.16	Zy zal , indien zy huwt , het graaflyk erf verliezen ; En zo men 't hoog bewint haar ' voogd in handen stelt , Zal hy zyn wettig recht verkeeren in geweld .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.17	ô Doodelyke keur !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.18	ô angstige oogenblikken !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.19	Hoe spoedig weet men my van 't huwen af te schrikken !..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.20	Maar Diedriks weeûw doelt niet arglistig op 't gezag : Zy wil verhindren , door een moederlyk gedrag , Dat zich een wrokkend voogd bedekt op Ada bloedig ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.21	Afgryslyk denkbeeld !...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.23	myn liefde , hoe rampspoedig , Hoe zorglyk , triomfeert : een gruwelstuitende echt , Die 't hoog gezag my geeft , stryd tegen eer noch recht ...	Honor_Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.24	Wat zeg ik ?..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.25	Droeve bruid !	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.26	wat staat u meest te vreezen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.27	Zal echt of landvoogdy voor u gevaarlykst wezen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.705.s.28	Doe zelve een wyze keur in dezen hoogen nood : Ik wacht van uw besluit myn leven , of myn dood .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.707.s.1	Einde van het eerste bedryf .	None
stee033adag01_01.TEI.2.text.body.div.head.716.s.1	Tweede bedryf .	None
stee033adag01_01.TEI.2.text.body.div.stage.719.s.1	Willem , Amstel .	None
stee033adag01_01.TEI.2.text.body.div.sp.730.s.1	't Is veel gewaagd , mynheer , de listigste aller vrouwen , De wrokkende Adelheide in dit paleis te aanschouwen , In schyn van afgezant haar ' toeleg gaê te slaan , En onder Hugoos naam 't gevaar ten doel te staan .	None
stee033adag01_01.TEI.2.text.body.div.sp.730.s.2	Ons heugt hoe fel de twist in 't vorstlyk maagschap woedde .	None
stee033adag01_01.TEI.2.text.body.div.sp.730.s.3	Wat ramp , zo 't hofgezin den minsten argwaan voedde , En in den afgezant graaf Willem wierd gewaar !	Suspicion_Emotion
stee033adag01_01.TEI.2.text.body.div.sp.730.s.4	Hoe licht word gy bekend !	None
stee033adag01_01.TEI.2.text.body.div.sp.730.s.5	uw leven loopt gevaar .	None
stee033adag01_01.TEI.2.text.body.div.sp.speaker.732.s.1	Willem .	None
stee033adag01_01.TEI.2.text.body.div.sp.751.s.1	Geen vrees beklemt myn hart , nu myn getrouwe vrinden Voor 't algemeen belang zich alles onderwinden , En my bewegen tot eene eedle veinzery .	Fear_Emotion_BodyPart_BodilyProcess
stee033adag01_01.TEI.2.text.body.div.sp.751.s.2	Kent my dit hofgezin ?	None
stee033adag01_01.TEI.2.text.body.div.sp.751.s.3	kent Adelheide my ?	None
stee033adag01_01.TEI.2.text.body.div.sp.751.s.4	Na 't proefstuk myner jeugd in 't land der Sarazynen , Deed eertyds my de twist in Holland weêr verschynen , Maar met een heir , en by verdachten onbekend .	None
stee033adag01_01.TEI.2.text.body.div.sp.751.s.5	Verraad men echter my , zie , tot een heilryk end ' , De magtigste eedlen in myn voordeel zich verklaren .	None
stee033adag01_01.TEI.2.text.body.div.sp.751.s.6	Uit zucht voor 't heilig recht hebt gy den Wassenaren , Egmonden , Banjaarden en Teilingen ontdekt Hoe Diedriks trotse weeûw haar ' ouden roem bevlekt : Die bloem des adels , die , zoveel als ik beleedigd , My de ontrouw openbaarde , en Diedriks wil verdedigt , Spant heimlyk aan met my : terwyl gyzelf , mynheer , Geen slaaf van uw belang , maar waakzaam voor uwe eer ; Gy , 's bisschops leenman , schuw voor snoode staatsbevelen , Grootmoedig my belooft in 't nut bestaan te deelen .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.sp.759.s.1	De rust van Holland is 't belang van Amstelland : Zo toont men veilig my den graaf in zyn ' gezant .	None
stee033adag01_01.TEI.2.text.body.div.sp.759.s.2	Ik roem de heldendeugd van Diedriks grooten broeder !	None
stee033adag01_01.TEI.2.text.body.div.sp.759.s.3	Gy , Adaas voogd , ontziet geen staatzucht van haar moeder	None
stee033adag01_01.TEI.2.text.body.div.sp.777.s.1	De nood , de hooge nood vereischt een heldendaad .	None
stee033adag01_01.TEI.2.text.body.div.sp.777.s.2	Zie , zie de jonge bruid gewikkeld in 't verraad , Hare onervaren jeugd in zorglyke oogenblikken Met huwlyksvreugd gestreeld , verward in minnestrikken , En haar verheven deugd , die voor myn recht noch pleit , En luistert naar uw ' raad , haast jammerlyk verleid .	Joy_Emotion
stee033adag01_01.TEI.2.text.body.div.sp.777.s.3	Ik heb uit deernis haar een duurzaam heil beschoren .	None
stee033adag01_01.TEI.2.text.body.div.sp.777.s.4	Die taal is u verdacht ; het klinkt u vreemd in de ooren , Dat Willem , die weleer om 't graaflyk staatsbewint Onwettig streed , zo teêer die erfgravin bemint : Maar oordeel of ik toen , van oorlogsdrift bewogen , By 't bloedig krygsgeweer in Syrië opgetogen , Kon denken , in myn jeugd , dat ooit met wapenkracht Een held onwettig dingt naar de eer der oppermagt .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.sp.777.s.5	In later tyden is myn doling my gebleken .	None
stee033adag01_01.TEI.2.text.body.div.sp.794.s.1	Uwe openhartigheid doet my vrymoedig spreken .	None
stee033adag01_01.TEI.2.text.body.div.sp.794.s.2	Zo gy 't voltrekken van 't gevaarlyk trouw verbond Niet edelmoedig tot uw nadeel wederstond , Maar Adaas erf land poogde uit staatzucht om te keeren ; Uw heldenkling zou niet op de eedlen triomferen .	None
stee033adag01_01.TEI.2.text.body.div.sp.794.s.3	Belet , op Hugoos naam , den voorgenomen echt ; Bevestig Diedriks wees in haar geboorterecht ; En geef aan de edelen hun deel der landvoogdye .	None
stee033adag01_01.TEI.2.text.body.div.sp.794.s.4	Zo hope uw deugd op 't heil der nutte veinzerye !	None
stee033adag01_01.TEI.2.text.body.div.sp.794.s.5	't Gaat wel : reeds , op uw komst , verdwynt de zwarte rouw , Verklaart men 't groot geheim der opgestemde trouw , Doet Diedriks fiere weeûw de ontstelde burgers gruwen , Dwingt ze Ada , maar vergeefs , in aller yl te huwen , En tergt ze al 't morrend volk , ja sterkt zo uw wyze list .	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.1	In 't kort zy 't oud krakkeel in 't graaflyk huis geslist , De spoorlooze echt belet , myn ' broeders kroost gehuldigd , En de erfgravin haar heil aan myn voogdy verschuldigd !	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.2	ô Ja , misleide bruid !	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.3	de neiging van het bloed , Uw moeder onbekend , weêrstreeft in myn gemoed De staatzucht , die my noopt u 't wettig erf te ontrukken .	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.4	Zou ik , die u beklaag , u trouwloos onderdrukken ?	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.6	hoeveel de drift tot hoogen staat vermag , Ik min uw ' welstand meer dan 't onbepaald gezag .	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.7	ô Diedrik , die , verraên door listige Adelheide , In 't sterfüur vruchteloos om Willems byzyn schreide , En door uw ' laatsten wensch , aan my te spade ontdekt , In myn geheugenis een ' lieven broeder strekt !	BodilyProcess_Sadness
stee033adag01_01.TEI.2.text.body.div.sp.820.s.8	Versterk de kracht van 't bloed in myn bewogen zinnen .	None
stee033adag01_01.TEI.2.text.body.div.sp.820.s.9	Ik heb u fel gehaat ; ik wil uw spruit beminnen ; Ik ben , naar uw begeerte , en zuchtende om uw dood , Een vader voor uw wees , een toevlucht in haar ' nood .	Emotion_Hatred_Love
stee033adag01_01.TEI.2.text.body.div.sp.820.s.10	U , Amstel , heel ik niet , dat teder medelyden En woeste staatzucht in myn ziel elkaêr bestryden .	Emotion_Compassion
stee033adag01_01.TEI.2.text.body.div.sp.820.s.11	Indien ik laf bezweek voor 't vleijend zelfbelang , En tot myne oneer doelde op Adaas ondergang , Ik zou dit hartsgeheim u niet te kennen geven .	None
stee033adag01_01.TEI.2.text.body.div.sp.826.s.1	Het past den grootsten held naar de opperste eer te streven .	None
stee033adag01_01.TEI.2.text.body.div.sp.826.s.2	Maar in myn afzyn word uwe Ada licht verleid .	None
stee033adag01_01.TEI.2.text.body.div.sp.826.s.3	Vaarwel .	None
stee033adag01_01.TEI.2.text.body.div.sp.826.s.4	Verdien myn hulp door edelmoedigheid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.speaker.829.s.1	Willem ,	None
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.2	wreede drift !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.3	uw werkend zielvermogen Verdoofde in my misschien natuur en mededoogen , Zo gy met beter kans , tot nadeel van myne eer , Naar 't hoog bewint mogt staan .	Honor_Emotion_Compassion
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.4	ô Glorie !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.5	triomffer ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.6	Wie nadert ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.7	't Vorstlyk kleed , haar jeugd , met smart beladen , Toont Ada .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.838.s.8	Zou myn drift de onnoozelheid verraden ?	None
stee033adag01_01.TEI.2.text.body.div.div.stage.843.s.1	Ada , Willem , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.1	In 't bitterste ongeluk zoekt Diedriks angstig kroost By Willems afgezant een ' ongemeenen troost .	Fear_Emotion_Unhappiness
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.2	Uw graaf , wiens magt ik vrees , wiens haat men wil vermyden , ô Hugo !	Fear_Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.3	kan alleen my van geweld bevryden .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.4	Zie hier , uit vreemden dwang , in billyk harteleed , Het rouwgewaad verkeerd in 't prachtig bruiloftskleed , 't Paleis weêr opgesierd , my tot een ' echt verwezen , Die Ada schandlyk is , die Willem staat te vreezen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.5	Verhoed myn ' ondergang : ik stem dat huwlyk niet , Maar wacht in ryper jeugd op 't wettig landgebied .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.6	Ik meld myne onschuld u met ongeveinsde tranen .	BodyPart_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.7	Zoud gy , om tot myn ' rang uw ' graaf een ' weg te banen , In koelen moede zien dat Ada schandlyk huw ' ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.8	Dat ik , gedwongen tot een misdaad , ..?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.10	ik gruw Zo hem geen snood belang myn ' val heeft doen besluiten ' Zult gy dien echt , die bron van bloedig oproer , stuiten .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.864.s.11	Verdenk geen treurend hart van looze veinzery ; Heb deernis met myn jeugd ; besef wat smart ik ly .	Emotion_BodyPart_Compassion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.870.s.1	Natuur !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.870.s.2	verraad my niet .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.stage.868.s.1	ter zyde .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.875.s.1	Gy peinst !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.875.s.2	Wat doet u zwygen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.875.s.3	Zal de onschuld , zwaar verdrukt , by niemant troost verkrygen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.880.s.1	Gy zegt my veel , mevrouw .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.880.s.2	Vlie de u gedreigde schand '; En wacht een wonderstuk van Willems afgezant .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.885.s.1	Ada , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.1	Wat antwoord , Hildegaard ! 't vergroot myn wreede kwelling ; 't Verzwakt myn kranke hoop .	Emotion_Hope
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.3	moest ik , tot herstelling Van myn ' geschonden roem , onwetend ' my verraên ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.4	Ik smeek den afgezant , en hits de tweedragt aan : Ik poog , verbeeld hy zich , hem listig uit te hooren .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.5	Word my , door Hugoos komst , een beter lot beschoren ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.6	Of wekt hy , tot myn ' ramp , des lands aêlouden twist ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.7	Ik terg hem , hoe 't ook zy , door myn gewaande list .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.8	Myn moeder !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.9	moest ik u met wreeden dwang betichten , En by dien afgezant niets tot myn heil verrichten ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.10	Vergeef my 't stout bestaan ; het is uit nood geschied .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.11	'k Wil u gehoorzaam zyn , maar tot myn schande niet .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.902.s.12	Al kan myn droefheid niets op uwe wreedheid winnen , Noch pleit natuur voor u in myne ontstelde zinnen .	Worry_Emotion_BodyPart_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.913.s.1	Men oogt op uw gebied ; nu blykt het klaar , mevrouw : En gy , noch willens blind , verfoeit een nutte trouw !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.913.s.2	Gy kunt uw weigring nu met reden niet verschoonen .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.913.s.3	Hoe durft uw fiere jeugd een tedre moeder hoonen , Die schyn van oneer lyd om uw gedreigd belang ?	Emotion_Other
stee033adag01_01.TEI.2.text.body.div.div.sp.913.s.4	Verkiest gy roekeloos een ' wissen ondergang , Terwyl uw minnend hart , gevleid door haar bevelen , Met jongen Lodewyk uw erfrecht wenscht te deelen ?	Emotion_BodyPart_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.1	Verzwaar myn kwelling niet ; verdryf uit myn gemoed , Door uw ' getrouwen raad , een ' dwazen minnegloed , Een zielverteerend vuur , de grootste myner plagen .	BodilyProcess_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.2	Hier durft een moeder my door fellen dwang vertsagen , Daar dreigt my 't staatsgevaar ; nu vrees ik Willems magt , Dan de onuitwischbre schand ' van myn beroemd geslacht ; En onophoudlyk zweeft voor myn bekreten oogen Het beeld eens vaders , wien de dood my heeft onttogen : Noch moet myn teder hart , by de yslykste ongeneugt ' , De liefde wederstaan in 't bloeijen myner jeugd , Ja , tegen 't moederlyk bevel , een min verzaken , Die , met myn ' pligt vereend , my zou gelukkig maken .	Emotion_Happiness_BodyPart_BodilyProcess_Love_Sadness_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.3	Ik ken myn ' vaders wil , zyn ' broeders recht , myne eer .	Honor_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.4	Natuurpligt !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.5	sterk myn deugd : dat Ada triomfeer ' !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.6	Zou Diedriks weenend kroost uit laffe drift gehengen ..?	BodilyProcess_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.933.s.7	Maar Lodewyk verschynt ; ik zal myn ' pligt volbrengen .	None
stee033adag01_01.TEI.2.text.body.div.div.stage.937.s.1	Ada , Lodewyk , Hildegaard .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.950.s.1	Vorstin , verbeeld u niet , by 't nadrend oogenblik Van 't zeldzaam echtverbond , terwyl ik hoop en schrik , Daar u de kracht van 't bloed een ' vader doet beschreijen , Dat u myn tedre min met bruiloftsvreugd zal vleijen : ô Neen !	Fear_Emotion_Hope_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.950.s.2	dit aklig feest eischt tranen ; 'k ween met u : Nooit leed uw bruidegom zo groot een smart als nu : En echter , zo myn hart niet mogt naar 't uwe dingen , Ik zou de droefste zyn van alle stervelingen .	Emotion_BodilyProcess_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.950.s.3	Vergunt gy dat ik vraag ' , in uw ' gepasten rouw , Of gy myn liefde duld , en stemt in onze trouw ?	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.963.s.1	Uw groote ziel , mynheer , voldoet aan myn verwachting : Uwe edelmoedigheid verdient eene eindlooze achting , Een eedler hart dan 't myne , en 't opperste gebied .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.963.s.2	Nu gy myn smart gevoelt , betaamt my 't haten niet .	Emotion_EmotionalAction_Hatred_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.963.s.4	zou zich Ada met ondankbaarheid bevlekken ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.963.s.5	Maar kan ik ooit met u myn huwelyk voltrekken ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.963.s.6	Dat schandlyk trouwverbond , uw zuivre min onwaard ' , Besloten in een drift die 't heilig recht niet spaart , Is heilloos voor myn land , en doodlyk voor ons beiden .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.963.s.7	Hoop nooit uw droeve bruid naar 't echtaltaar te leiden .	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.969.s.1	ô Harde taal !..	None
stee033adag01_01.TEI.2.text.body.div.div.sp.969.s.2	Vorstin , vrees Willems landvoogdy ; Ducht zyne ontzinde wraak .	Fear_Emotion_Vindictiveness
stee033adag01_01.TEI.2.text.body.div.div.sp.973.s.1	Myne onschuld pleit voor my .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.977.s.1	Zyn staatzucht ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.988.s.1	Neen , mynheer ; ik zal geen ' Willem duchten , Wanneer ik u niet vrees ...	Fear_Emotion
stee033adag01_01.TEI.2.text.body.div.div.sp.988.s.2	'k Wil niet in schande zuchten .	BodilyProcess_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.988.s.3	Verbeeld u echter niet , dat ik , die u beklaag , Die uwe deugden roem , u wederliefde draag , En door een teêr vaarwel , uit dwaze min gesproten , By 't weigren van myn hand , uw kwelling zal vergrooten : Neen , Lodewyk , denk eer : ‘ Dat Ada van my scheid , ‘ Bewyst haar ' bruidegom hare ongevoeligheid .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1003.s.1	Zoud gy , aan my verloofd , noch haat noch liefde kweeken ?	Emotion_Hatred_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1003.s.2	ô Wreede !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1003.s.3	uw afkeer is my duidelyk gebleken .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1003.s.5	gy bedekt uw ' haat met Willems heilloos recht , roemen ?	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1003.s.6	Opdat ik afstand doe van myn ' besloten echt Mevrouw , moet gy myn deugd uit wantrouw veinzend ' Neen ; ducht van my geen ' dwang , die groote zielen doemen ; Denk niet dat Lodewyk , van u gehaat , veracht , Zich ooit bedienen zal van Adelheides magt ; Beken vry dat uw hart door afkeer word bewogen , Schoon ik , met hoop gevleid , en jammerlyk bedrogen , De smartelykste dood voor uw verachting kies , Die my de ziel verscheurt , noch meer dan uw verlies .	Suspicion_Emotion_Hatred_Hope_BodyPart_BodilyProcess_Sadness_Disgust_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.1	Veracht ik u , myn heer ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.3	hoe kunt gy 't wanen ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.4	Wat hartstogt my beweegt , bewyzen u myn tranen .	BodyPart_Despair
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.5	Is dit u haten ?	Emotion_Hatred
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.6	is dit wreedheid ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.7	Word myn jeugd Niet fel genoeg bestreên ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.8	belaagt gy óók myn deugd ?	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.9	Ik , door myn ' vaders dood elendig , door zyn ' broeder Met dwinglandy gedreigd , door myne ontaarde moeder In dieper wee gestort , en in de zwaarste smart Verpligt te stryden met de neiging van myn hart ; Ik , dus ten doel gesteld aan 't woeden myner plagen , Moet noch , van troost ontbloot , uw bits verwyt verdragen ô Onverwachte ramp !	Emotion_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.10	ô dubbel zielverdriet !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.11	Ken , ken my , Lodewyk : uwe Ada haat u niet ; Zy mint u ...	Emotion_Hatred_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.12	Moest die taal my in myn'rouw ontglippen ?.	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.14	zo geen strenge pligt ...	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1021.s.15	De schaamte sluit myn lippen .	Emotion_BodyPart_BodilyProcess_Shame
stee033adag01_01.TEI.2.text.body.div.div.sp.1028.s.1	Neen ; bloos niet ; neen , mevrouw : myn hart , in zegepraal , Zal niet ondankbaar zyn voor zulk een lieve taal : Ik wil , van u bemind , veeleer van liefde sterven , Dan , levende in uw ' haat , uw waarde hand verwerven .	Joy_Emotion_Hatred_BodyPart_BodilyProcess_Love_Shame
stee033adag01_01.TEI.2.text.body.div.div.sp.1043.s.1	Ik ken den graaf van Loon aan die grootmoedigheid .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1043.s.2	Gy ziet vorst Diedriks wees , die haar verlies beschreit , De tranen van natuur en liefde samenvoegen .	BodyPart_BodilyProcess_Love_Sadness
stee033adag01_01.TEI.2.text.body.div.div.sp.1043.s.3	Laat die bekentenis voor altoos u vernoegen ; Ontvlie voor eeuwig my ; bedwing zo verre uw min .	Emotion_Love
stee033adag01_01.TEI.2.text.body.div.div.sp.1043.s.4	Nooit zal uwe Ada , nooit zal Hollands erfgravin Haar ' bruîgom als tyran in Diedriks erfdeel lyden : Ik wil , ô Lodewyk !	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1043.s.5	zo groot een schande myden , Geen ' adel , geen gemeente ooit , tot myn ' ondergang , Doen treden , tegen my , in Willems wreed belang .	None
stee033adag01_01.TEI.2.text.body.div.div.sp.1043.s.6	Stort my dan 't onheil neêr , durft hy zyn ' pligt vergeten , Ik zal met roem vergaan , en met een vry geweten .	None
