noms001mich01_01.TEI.2.text.body.div.head.282.s.1	Michiel Adriaansz de Ruiter , treurspel .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.9	't Is waar , op myn bevel moet alle weêrstand vlieden ; Doch willende in dees zaak verzóekend ' niet gebieden , Begrypt gy licht dat ik , hoe hard u dit ook vall ' , Noch minder myn gezag gebruiken kan , of zal .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.674.s.10	'k Vervoeg my daar de raad my plegtig zal begroeten .	None
noms001mich01_01.TEI.2.text.body.div.div.head.678.s.1	Vierde tooneel .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.680.s.1	valkenburg , mevrouw la borde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.1	Mynheer , myn toeverlaat !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.2	ik val aan úwe voeten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.3	Het wreed belang dat my te helpen hem verbied , Weêrhoud u , vry van rang , om my te helpen niet .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.4	Uw drift voor de eer des raads , zo menigmaal gebleken , Zal , als gy spreekt , in 't hart der strengste raden spreken .	Honor_BodyPart_BodilyProcess_Compassion_Dedication
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.5	De trouw van myn ' gemaal spreekt in uw edel hart , Myn droefheid slaat dit uur u meer dan ooit met smart ...	Emotion_BodyPart_Loyalty_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.6	Gy merkt myn beê .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.691.s.7	Wat baat een werkloos mededoogen !	Emotion_Compassion
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.1	Het grieft en streelt die niets ter hulp der deugd vermogen : Het medelyden strekt den waarlyk braven man Ter foltring , als 't de deugd in nood niet baten kan ; En 't streelt nochtans zyn ziel , dat zy zich voelt ontvonken Door de eêlste drift die ooit het schepsel is geschonken .	Emotion_Happiness_BodyPart_BodilyProcess_Compassion_Dedication_Desire
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.2	ô Hemel !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.3	moet die gift , dat onwaardeerlyk goed , Die dubble werking doen op Valkenburgs gemoed !	BodyPart_Moved
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.4	Verwys , daar hy zo veel voor de onschuld wil verrichten , Zyn mededoogen niet voor werkloosheid te zwichten .	Emotion_Compassion
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.5	Het is úw ramp , myn kind !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.6	die my het hart doorsnyd : Ik lyde op 't wreedst , met u , omdat gy schuldloos lyd , En omdat ik om beide een ' weg tot troost te banen , Helaas !	BodyPart_BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.707.s.7	geen middel weet dan 't storten dezer tranen .	BodyPart_BodilyProcess_Compassion_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.712.s.2	zal de raad , mynheer , als hy u nadren ziet , Uw voorstel ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.2	gy kent den aart der grooten niet , Meest dorstig naar gezag , zal , schoon zy 't loos verbergen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.3	Een voorstel dat hunn ' rang te ontluistren schynt hen tergen ; Zy weten een verzoek , hoe heusch hen ook gedaan , Als hen 't verzoek mishaagt , met heuschheid af te slaan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.4	Dit stond ontwyfelbaar my van den raad te wachten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.5	Myn zoon kon best den geest des strengen raads verzagten : Hy kon , aanvaardend ' zyn aanzienlyk ampt van staat , Het doen eens gunstbewys opdringen aan den raad .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.6	Dit was myn hoop ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.8	herinner , tot myn smarte , My niet in dezen staat myn ' zoons hoogmoedig harte .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.9	Beklaag my : de eerste dag waarop hem 't volk begroet Als landvoogd , in myn plaats , kost my een ' tranenvloed .	BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.11	doe met spoed den admiraal hiet landen !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.12	Myn hart trekt door den vloed zyn vloot naar deze stranden .	BodyPart_BodilyProcess_Desire
noms001mich01_01.TEI.2.text.body.div.div.sp.732.s.13	In zyn gewenschte komst bestaat myn hoop alleen .	Emotion_Hope
noms001mich01_01.TEI.2.text.body.div.div.sp.738.s.1	Wel !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.738.s.2	wanhoopt gy den raad te treffen door gebeên , Hoop dat gy 't hart uws zoons bewegen zult , door smeeken , My toe te staan slechts ééns met myn ' gemaal te spreken .	EmotionalAction_BodyPart_BodilyProcess_Compassion_Moved_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.747.s.2	wil dan het lot zo gruwzaam op ons woên , Dat gy niets smeeken kunt waaraan ik kan voldoen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.747.s.3	Bedenk , dat tot den man dien 't zwaard des rechts zal dooden , Byna in ieder land , de toegang is verboden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.747.s.4	Nochtans , myn kind !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.747.s.5	ik zal , hoe hopeloos 't ook zy , Het hart myns straffen zoons ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.747.s.6	Maar , hoe !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.747.s.7	wie nadert my ?	None
noms001mich01_01.TEI.2.text.body.div.div.head.750.s.1	Vyfde tooneel .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.752.s.1	valkenburg , mevrouw la borde , een hoofdman .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.763.s.1	Vergeef dat ik u stoor ' .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.763.s.2	Wy zien van deze vesten , Mynheer , een kloeke vloot , ons nadrende uit het Westen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.763.s.3	Ons oog , gewapend door een sterk aantrekkend glas , Bespeurde op ééne kiel , schoon die de verste was , Het merk eens schouts by nacht aan de achtermast gebonden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.763.s.4	Uw zoon heeft my tot u met dit bericht gezonden .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.763.s.5	Men wenscht dat deze vloot haast op de reê verschyn ' .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.1	Zo 't niet De Ruiter is , het zal zyn voortogt zyn .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.2	Ga heen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.3	Ik zal terstond my by myn ' zoon begeven , Myn kind !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.4	Ik voel myn vreugd in 't bang gemoed herleven !	Fear_Joy_Emotion_BodyPart
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.5	Die rasse komst der vloot verschaft , in dezen staat , Eene andre bezigheid dan straffen aan den raad .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.6	De Ruiter is naby !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.7	Wy zyn ons leed te boven !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.8	Ik kan van zyne deugd my niets dan goeds beloven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.774.s.9	Gy kent zyne inborst niet , maar ik ken die voor lang .	None
noms001mich01_01.TEI.2.text.body.div.head.784.s.1	Tweede bedryf .	None
noms001mich01_01.TEI.2.text.body.div.stage.786.s.1	Het Tooneel is in het voorportaal van den kerker .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.790.s.1	mevrouw la borde , een hoofdman .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.801.s.1	Stel u gerust , mevrouw !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.801.s.2	Gy zult La Borde spreken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.801.s.3	Dit zeldsaam gunstbewys is geen ongunstig teeken : Een heimelyk gesprek word nimmer toegestaan Met hem die zéker zal de doodstraf ondergaan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.801.s.4	Wy achten uw ' gemaal , zyn lot doet ieder zuchten ; Zyn lyfsgevaar kan u niet meer dan my doen duchten .	BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.801.s.5	De staat van ongeluk is die gesteltenis .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.801.s.6	Waarin de mensch bespeurt of hy beminlyk is .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.814.s.1	All ' wat ik kan , mynheer !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.814.s.2	in deze omstandigheden , Waarin myn hart door hoop en doodsangst word bestreden , It u te danken voor die edelheid van hart , Die u doet deelen in La Bordes bittre smart .	Fear_Emotion_Hope_BodyPart_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.814.s.3	Die edelmoedigheid doet my genoeg bespeuren , Dat ge in den kerker hem niet troostloos hebt doen treuren .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.814.s.4	De gunst , waarvan ge my voor hem veel goeds belooft , Ben ik verpligt aan uw gewezen opperhoofd , Die zyn ' gestrengen zoon daartoe heeft kunnen nopen , En my op 't edel hart des admiraals doet hopen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.820.s.1	Men pryst De Ruiter hoog : men zegt dat inderdaad Zyn hart meer tot genaê dan strafheid overslaat .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.820.s.2	Zelfs zegt men zyne deugd gaat verr ' 't gerucht te boven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.832.s.1	Ik heb geen reên , mynheer , dat ik 't niet zou geloven : De gryze Valkenburg , die niemant ooit bedroog , Pryst by aanhoudendheid De Ruiters deugden hoog .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.832.s.2	Doch , buiten dit , de hoop , die doorgaans 't hart der menschen Geloven doet all ' 't geen zy waar te wezen wenschen , Doet my geen ' twyfel slaan aan held De Ruiters deugd .	Emotion_Hope
noms001mich01_01.TEI.2.text.body.div.div.sp.832.s.3	Het is die hoop alleen die thans myn ziel verheugt .	Emotion_Hope_BodyPart
noms001mich01_01.TEI.2.text.body.div.div.sp.832.s.4	Ontsluit myn ' echtgenoot .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.832.s.5	‘ Ik voel myn leden beven !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.838.s.1	Ik ga op 't oogenblik daartoe bevelen geven .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.838.s.2	Ik weet myn ' last , mevrouw .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.838.s.3	Verwacht in dit vertrek Met hem om wien gy weent een ongestoord gesprek .	BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.844.s.1	mevrouw la borde , alleen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.1	Hoe stryden hoop en vrees gestaêg in myn gedachten !....	Fear_Emotion_Hope_BodyPart
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.2	Maar moet ik siddrend ' hier myn ' echtgenoot verwachten ?	Fear_BodilyProcess
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.3	ô Ja !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.4	La Bordes lot hangt van den vlootvoogd af ; Men zegt de grooten zyn meêdoogenloos en straf , En 't hoofd der vloot behoort voorzeker tot de grooten ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.5	Maar gryze Valkenburg , uit edel bloed gesproten , Doet my ten klaarste zien , door 't deelen in myn smart , Dat álle grooten niet onmenschlyk zyn van hart .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.6	Hy roemt den admiraal : waarom zyn woord te vreezen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.7	Hy is alöm geächt , hy zal myn voorspraak wezen !...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.8	Wyk , vrees !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.856.s.9	die weinig baat , en slechts ons wee vergroot .	None
noms001mich01_01.TEI.2.text.body.div.div.stage.861.s.1	mevrouw la borde , la borde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.865.s.1	la borde , driftig toeschietende , en haar ombelzende .	EmotionalAction_Love
noms001mich01_01.TEI.2.text.body.div.div.sp.867.s.1	Geliefde wederhelft !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.871.s.1	mevrouw la borde , weenende , in zyne armen .	BodilyProcess_Other_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.873.s.1	Trouwhartige echtgenoot !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.876.s.1	la borde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.881.s.1	Weêrhou die tranen toch , die my het hart doorboren .	BodyPart_BodilyProcess_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.881.s.2	Door wien is my 't geluk van u te zien beschoren ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.881.s.3	Wien danke ik deze gunst ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.881.s.4	die my hoogst dierbaar is , Schoon zy niets goeds voorspelt in dees gesteltenis .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.885.s.1	Dank gryzen Valkenburg dat gy my moogt aanschouwen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.893.s.1	Ik kan geen ' enklen stap van dezen held mistrouwen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.893.s.2	Spreek , gaf men my ter gunst tot dit bezoek bevel ?...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.893.s.3	Of zegt gy anderwerf voor eeuwig my vaarwel !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.893.s.4	Ontzie my niet , spreck vry ; voldoe aan myn begeeren : Wat zal myn noodlot zyn ?	Emotion_Desire
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.895.s.1	Mevrouw la borde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.899.s.1	Het kan , het zál verkeeren !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.899.s.2	Ten minste Valkenburg , die waarlyk vrome man , Dien ik geloven móet , verzekert my daarvan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.904.s.1	Zo hy 't verzekren durft , wat staat ons dan te vreezen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.904.s.2	Wat doet , by zo veel hoop , u dan zo treurig wezen ?	Emotion_Hope_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.909.s.1	Wie kan het geen hy mint , gelyk zyn eigen hart , Gevoelloos lyden zien ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.921.s.1	Verban , verban die smart .	Emotion_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.921.s.2	Indien een schelmstuk my myne eer had doen verkorten , Dan voegde 't u met recht dien tranenvloed te storten ; Maar 'k heb uwe eer , myne eer , vol moeds , door 't staal gered , En ben dus 't offer slechts der strengheid van de wet .	Honor_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.921.s.3	Maar wat kan Valkenburg u doen verzekring geven , Dat niet ten tweedemaal myn vonnis is geschreven ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.921.s.4	Onthef myn hart van schrik , dien my het sterven baart , Om u , geenszins om my : gy kent La Bordes aart !	Fear_Emotion_BodyPart
noms001mich01_01.TEI.2.text.body.div.div.sp.934.s.1	De Hollandsche admiraal , die hier in 't kort zal landen , De Ruiter , heeft uw lot volkomen in zyn handen ; En gryze Valkenburg bezweert my dat die held In goedertierendheid zyn hoogste glori stelt .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.934.s.2	De gryzaart , die u acht , wiens deugd ons is gebleken , Belooft my zelf voor u den admiraal te spreken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.934.s.3	Schep moed , myn echtgenoot !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.934.s.4	wie leeft ' er die een ' man Als eedlen Valkenburg een bede ontzeggen kan ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.934.s.5	Myn liefde doet my 't all ' van zynen yver hopen .	Emotion_Hope_Love
noms001mich01_01.TEI.2.text.body.div.div.sp.950.s.1	Een zwakke hoop , helaas !	Emotion_Hope
noms001mich01_01.TEI.2.text.body.div.div.sp.950.s.2	die haast tot niet zal loopen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.950.s.3	Uw liefde is 't all ' voor my ; maar , tot myn ' bittren druk , Verzwaart die liefde alleen La Bordes ongeluk : 't Besef van 't wee , dat ze u om myn gevaar doet lyden , Moet in dit oogenblik myn hart op 't felst doorsnyden ; Naardien uw ydle hoop , alleen uit liefde ontstaan , Als hoop vervliegt , uw hart te dieper wond ' zal slaan .	HeavyHeartedness_Emotion_Hope_BodyPart_BodilyProcess_Love_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.950.s.5	hoe kan Valkenburg , door zulk een hoop gedreven , Van myn bevryding u met grond verzekring geven ?	Emotion_Hope
noms001mich01_01.TEI.2.text.body.div.div.sp.950.s.6	Vergeet hy dat zyn zoon , uit achting voor den raad , My aan myn yslyk lot volstrekt bevolen laat ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.950.s.7	En kan hy ooit met grond van 't hoofd der vloot verwachten , Dat hy de raden belg ' , ter gunst van ydle klagten ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.962.s.1	De last des ongeluks spoort u tot wanhoop aan .	Emotion_Despair
noms001mich01_01.TEI.2.text.body.div.div.sp.962.s.2	'k Weet dat de ramp in ons de wantrouw doet ontstaan ; Maar laat haar nevel thans uw ' geest niet meer bevangen .	Suspicion_Emotion_BodyPart_BodilyProcess
noms001mich01_01.TEI.2.text.body.div.div.sp.962.s.3	De jonge Valkenburg , gedrongen door belangen Den raad te ontzien , volgt slechts wat hem 't belang gebied ; Maar Neêrlands admiraal kent die belangen niet : Die held heeft aan de wrok des raads zich niet te stooren ; De raad , hoe fel gebelgd , kan hem niet ringelooren .	Emotion_Spitefulness
noms001mich01_01.TEI.2.text.body.div.div.sp.962.s.4	't Kostalles hem één woord : ‘ ik eisch 't ! ’ en alles zwicht .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.1	Dat zy zo ; maar dat woord is waarlyk van gewigt ; 't Is voor een ' staatsman veel daarvan gebruik te maken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.2	Laat ons 't gewis gevaar niet voor ons zelv ' verzaken !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.3	't Is mooglyk dat myn geest , bedwelmd door 't ongeluk , Te veel gevaren ziet , tot meerdring van myn ' druk ; Maar hoop , ruim zo bekwaam als smart om 't oog te blinden , Kan ook aan schyn van heil u doen een toevlugt vinden : Beproeven we , onbedwelmd , aan 's tyds gesteltenis , Of hoop of vrees voor ons het meest bedrieglyk is .	HeavyHeartedness_Emotion_Hope_Sadness
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.4	Waant gy 't in 's lands gevaar De Ruiters zaak te wezen , Hoe weinig hy 't gemor der raden heeft te vreezen , Dat hy , op Valkenburgs , of uw ' , of iemants drang , Zich menge in een geval voor hem van geen belang ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.5	Wat raakt hem of men my op nieuw verwyz ' tot sterven ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.6	Waarom toch zou hy my genade doen verwerven ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.7	Om Valkenburgs verzoek !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.8	Maar wat is in deez ' staat Hem nutter , Valkenburg ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.9	of 't ligchaam van den raad ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.10	Is 't heden zyn belang , al wil hy my verschoonen , Den raad door 't scheuren van zyn vonnis fel te hoonen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.11	Moet ooit dees ryke kust van tweedragt zyn bevryd , Het is vooral in deez ' hoogst hagchelyken tyd .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.12	Heeft de admiraal de spyt der raden niet te vreezen , Hun vrindschap moet nochtans hem aangenamer wezen Dan hunne vyandschap , die hy niet zoeken zal Door een ' verwezen man te onttrekken aan zyn ' val .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.992.s.13	Wie dit vertrouwen durft kent weinig 't hart der grooten ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.995.s.1	mevrouw la borde , met drift .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.1	Gy dwaalt : het hoofd der vloot , uit lagen stam gesproten , Heeft in een ' armen staat , die nooit 's mans luister krenkt , Geleerd hoe in den nood zyn medeschepsel denkt .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.2	Hy weet wat waarde elk mensch , hoe arm , of hoog verheven , By 't aanzien van de dood natuurlyk hecht aan 't leven ; De man , die in een stulp op 't land is voortgebragt , Is hem , als mensch , zo waard als 't vorstelykst geslacht .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.3	Dit is niet vreemd : de nood doet ons aan deugd gewennen ; Men dient om mensch te zyn zichzelv ' eerst zwak te kennen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.4	Gelnof my , de admiraal is van die grooten niet , Wier oog meêdoogenloos hun mindren lyden ziet .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.5	Uw trouw voor Valkenburg , den zeeheld aangeprezen , Uw moed , alom bekend , uw dienst aan 't land bewezen , De wondre zeldsaamheid van uw berucht geval , 't Gaat vast dat alles op den vlootvoogd werken zal !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.6	't Geen ieder van hem zegt maakt hem onze achting waardig .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.7	Verdenk de grooten toch niet allen , wees rechtvaardig , 's Helds roem is te algemeen , dan dat dit spoorloos zy .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1016.s.8	Nooit spreekt het gantsche volk de taal der vleijery .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.1	Het volk schat , inderdaad !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.2	vol onbezonnen yvers , Het schoon der daden naar den rang des daadbedryvers .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.3	Als een aanzienlyk man een goede daad verricht , Zy groeit in ieders mond , ze is groot in elks gezigt ; Daar wat een burger zich ook loflyks moog ' vermeten Meest flaauwlyk word geroemd , en spoedig word vergeten .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.4	De goedheid van den held , geroemd schier buiten maat , Zou zo beroemd niet zyn waar ' hy geen man van slaat .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.5	Dat gryzen Valkenburg het alles gunstig schyne !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.6	Hy oordeelt ieders hart ten allen tyd ' naar 't zyne .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.7	En schoon De Ruiter heeft in lagen staat geleerd , Wat smart de droefheid baart , zyn staat is lang verkeerd .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.8	De menschen zyn doorgaans in lagen stand meêdoogend '; Maar 't lot hen uit hun Niet ten top van staat verhoogend ' , Schryft hen , by 't wislen van hun standgesteltenis , Die strenge koelheid voor die grooten eigen is .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.9	Doch hoe De Ruiters zucht voor 't menschdom zy gebleken , Zyn strengheid doet niet min de waereld van hem spreken .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.10	Bedenk dit .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1039.s.11	Oordeel nu of ik van zulk een ' man , In weêrwil zyns belangs , vergifnis hopen kan .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1042.s.1	mevrouw la borde , na een weinig zwygens .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1050.s.1	Gemaal !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1050.s.2	moet uwe vrees my , éénsslags , 't all ' doen vreezen !	Fear_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.1050.s.3	‘ De gunst des admiraals moet niet onzeker wezen ; En evenwel , 't gaat vast , zy kan onzeker zyn ...	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1050.s.4	De vrees myns echtgenoots is niet ontbloot van schyn ! ’	Fear_Emotion
noms001mich01_01.TEI.2.text.body.div.div.sp.stage.1046.s.1	Na een poos hem sterk te hebben aangezien , peinzende en ter zyde .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1054.s.1	Spreek , wat besluit uw hart ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1054.s.2	't Schynt heimlyk zich te kwellen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1057.s.1	mevrouw la borde , uit haar gepeins tot de uiterste levendigheid overgaande .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1060.s.1	Uw noodlot aan uzelv ' , en dat terstond !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1060.s.2	te stellen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1060.s.3	De Hemel stort daartoe my 't middel in den zin !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1064.s.1	Wat wilt gy zeggen ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1064.s.2	Spreek !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1064.s.3	Wat middel valt u in ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1074.s.1	Een middel dat uw hart geenszins zal kunnen wraken , Dat van De Ruiter u zal onäshangklyk maken , Dat gryzen Valkenburg de moeite sparen zal Van u door zyn verzoek te onttrekken aan uw ' val , En dat zyn ' strengen zoon , en al de trotse raden , Terwyl ons ieder roemt , met schand ' zal overladen .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1074.s.2	Dat middel is ... de vlugt !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1074.s.3	maak u daartoe gereed .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1077.s.1	la borde , met verwondering .	Emotion_Wonder
noms001mich01_01.TEI.2.text.body.div.div.sp.1079.s.1	Wat dekt me in 't uitgaan voor 't gezigt der wacht ?	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1082.s.1	mevrouw la borde , met vervoering , hem om den hals vallende , by de hand nemends en , na een weinig zwygens , hem met tederheid aanziende .	Emotion_EmotionalAction_BodyPart_Love_Benevolence
noms001mich01_01.TEI.2.text.body.div.div.sp.1084.s.1	Dit kleed !	None
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1087.s.1	la borde , met verbaasdheid , zich van haar losrukkende .	Emotion_EmotionalAction_Other_Wonder
noms001mich01_01.TEI.2.text.body.div.div.sp.speaker.1092.s.1	mevrouw la borde , op hem toetredende , met drift .	None
noms001mich01_01.TEI.2.text.body.div.div.sp.1126.s.1	Schiet het aan , om zeker weg te vlugten .	None
