hoof001gran01_01.TEI.2.text.body.div.head.885.s.1	P.C. Hooft GranidaSpel	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.6	Al de dienstwillicheit geveinst der edellieden Is mij soo veel niet waert ; want dese die betoont Sijn heusheit , niet uit hoop van die te sien beloont : Ten hoof , op hoop van loon , is 't aenschijn vol genegenheit , Maer het onheus gemoet vol onwillige tegenheit .	Emotion_Hope_Love_Benevolence
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.7	Ghij , grootsche Princen , die door uw uitheemsche pracht Verwondring soeckt bij 't volck , om van het hooch geslacht Der Goden afgedaelt te schijnen , uw cieraeden , Uw scepters , croonen , en uw purpere gewaden En maken u niet soo grootachtbaer aengesien , Als de natuire maeckt een laech-geboren , dien - 'T haer lust , om lieffelijck de werelt te verbasen , Een eedel geest in't hart en in't gesicht te blasen : En cieren het aenschijn vol vrolijckheden soet Met defticheit gemengt , van hoofde tot de voet Besprengend ' overal de welgemaeckte leden Met goddelijcker glans als princelijcke cleden .	Honor_Emotion_BodyPart_Wonder
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.8	Gelijck d'eerwaerde Son is bij ons aertsche vuyr , Sulx is bij d'arme kunst , de kunst-rijcke natuyr .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.9	Wat handt heeft oyt haer soo vernuftich mercken laten Dat sij , bootseerende de conincklijcke vaten , Vormde 't gewrochte goudt in aerdiger manier , Als de natuir den sculp , daer ick uit dronck alhier ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.10	Dan 't hof en siet niet schoons in dingen licht-vercregen , Natuirs geboden dienst is het onwaert en tegen ; Maer ghij , eenvoudich volck , ontfangt haer gaven rijck Met open armen , en gebruicktse danckbaerlijck .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.11	vs. 365 -368 Ghij lodderlijcke Nymphen soet , Die nauwelijx een rosen-hoedt Om gouwen croon soudt geven , Hoe wel lust u uw leven !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.12	Uw lusten is u als een wet , Uw loncken is een tij-geset , Uw couten is vryage , Uw minnen is boelage .	EmotionalAction_BodilyProcess_Love_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.13	De schaduw die de cuilen heelt , Waerin ghij uw genoechjens steelt , En soudt ghij niet verwinssen , Om schaduw-throons van Prinssen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.14	Wanneer ghij aen de reye gaet , En dat het schalcke lietjen raedt Het diepst van uw gepeinsen , Hoe qualijck cundt ghij veynsen !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.15	Maer soo 't uw lief niet beter can , En toont u dat sijn harte , van - Uw hartjen is gedreven , Wat isser om te geven ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.16	Soo ruilden ghij dat deuntjen niet Om avondt-spel , of morge-liedt , Dat , voor princessen deuren , Haer dunne slaep comt steuren .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.17	Een appel , die met jonste groot Uw boeltje werrept in uw schoot , Daer om soudt ghij versmaden 'S hofs tafel-overdaden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2093.s.18	Als van uw lief gemeldet wert , Sijn t'uwaerts overgeven hart , Soo sijt ghij bet te vreden , Als prinssen aengebeden . 'T eenvoudich leven haylich , , leidt Ghyliên in vreed ' en vaylicheit , Uw vrijheit gaet te boven De schijn-wellust der hoven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.stage.2002.s.1	rey van jofferen	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.2095.s.1	rey , granida	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.speaker.2097.s.1	rey	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2109.s.1	Mijn vrouw , God sij gedanckt dat ghij ons hier ontmoet . 'T geselschap is een deel te paerd , een deel te voet , Verstroyt om soecken naer u op bysondre straeten , En haer by-eencomst is daer ghij ons hadt gelaeten , In 't naeste dal , en sijn int keeren al misschien .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2113.s.1	En 't wilt ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2117.s.1	Gevangen is't , mijn vrouw , en sult het sien .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2149.s.1	Daifilo , beydt wat , hoe ? 'T en gaet ten hoof niet toe Gelijck ghij u laet veurstaen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2149.s.2	En wilt soo licht niet deurgaen Met dat u wel gevalt ; Hoort hoe Palemon calt , Die seyt dat hij verdoorde , Doen hem de lust becoorde Van 't hof te volgen .	Emotion_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.2149.s.3	Hij Meende , gelijck als ghij , Dat heusheit soet van zede , Vrientschap , en weelde meede Daer was in overvloedt , Gelijck de rijckdoom doet .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2155.s.1	En als hij 't quam te proeven ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.1	Doe vandt hij met bedroeven , Dat daer die dingen sijn Niet anders als in schijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.2	Wat sneuvel ( seit hij ) och wast voor mijn groene jaeren , Als ick mijn soete buirt , en vrijheit liete vaeren !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.3	En dienen ghing ten hoof ; ick meende 't was al claer - Goudt datter blonck , maer 't is een momme-vollick daer ; Het aenschijn vol sachtmoedicheits , 'T gemoedt vol felle woedicheits , Een minnelijck gelaet , 'T hart vol van nijdt en haet ; Saechdij de visschers oyt , om lichst de visch te trecken , Den scharpen angel-hoeck met lockend aes bedecken ?	Emotion_Hatred_Envy_BodyPart_Other_Benevolence_Anger
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.4	Recht gaet het soo ten hoof .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.5	De dienstbaerheit , die sij Soo mildt u bieden aen , is lockbedriegerij : Haer dienst , en hullep streckt maer om u te verrassen Met onvermoede slach , en door uw val te wassen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.6	Oprechte vrientschap , Godts-vrucht , onbevleckte trouw , Veilige ' onnoselheit , recht-uitheit sonder vouw , Waerheit van woorden , goedicheit , Worden daer voor cleinmoedicheit , Voor slechtheit ijl veracht , Beguigelt , en belacht . 'T is al geveinst ten hoof watmen ' er siet vertogen , Geveinst is haer gelaet , geveinst haer mondt , haer oogen , Geveinst haer Godsvrucht , jonst , haer vrientschap en haer vree , En g'lijck haer deuchden sijn , soo is haer weelde mee .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.7	Wanneer de hovelingen Een vrolijck liedtjen singen , 'T en is van vreuchde niet , Maer 't is , om het verdriet Daer 't hart af wort verbeten , Een weinich te vergeten .	Joy_Emotion_BodyPart_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.8	Haer lachen is van spijt , Of 't duirt de corte tijdt Eens oogenblix , tot dat 's gemoedts staedige plagen , Die 't weeren uit het hart , 't oock uit het aensicht jaeghen .	Emotion_BodilyProcess_Remorse
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.9	Wats al des werelts lust Als 't hart niet is gerust ?	Emotion_BodyPart_BodilyProcess_Other_Desire_Trust
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.10	Hierom , Daifilo , staeckt uw opset voorgenomen , Ghij weet waer dat ghij sijt , maer niet waer ghij sult comen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2231.s.11	Die wel is , blijf .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2239.s.1	Jae , maer Of ick niet wel en waer , Of of ick beter winste ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2250.s.1	Soo soudij doch ten minste Het hof niet volgen , dan Slaet yet wat anders an Sonder het groene woudt en dees landouw te laten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2256.s.1	Jae Dorilea , ghij noch al Palemons praten En sult mij meer sijn raedt doen volgen dan sijn daedt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2273.s.1	Soo mocht het u wel gaen gelijck het hem nu gaet , Die nae 't verdrach van soo veel slaevernij en snóótheit , Als hij verwachte 't loon van ingebeelde gróótheit , Is wijs geworden dat sijn hoop niet was dan windt ; En claecht , nu 't ommecomt , dat hij sich selven vindt In plaets van een jonck hoveling Geworden een oudt schoveling .	None
hoof001gran01_01.TEI.2.text.body.div.div.head.2277.s.1	Tweede deel	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.1	Hoe aengenaem is in een schoon lichaem de deucht !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.2	Hoe lieflijck heusheit in de geen die mach gebieden !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.3	En ghij die 't goedt doen lust , daer ghij wel quaet doen meucht , Hoe heerlijck is den strael des goetheits in uliêden !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.4	Hoe veel schoonheden heeft de schoonheit t'saemgeveucht Eer s'haer vernoeghen liet aen 't schoon van een Granide !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.5	O schoone Son , als ghij verscheent in mijn gedacht , Doe leerde mij den dach dat ick in duistre nacht , Met vliesen overschaeuwt sijnde mijn oogen beyde , Bij 't rookrich licht eens lamps mijn dromich leven leyde .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.6	Want als begeerlijckheit in eigen lust verblindt , Die schoonheits lichaem meer als lichaems schoonheit mindt , Mij tot vereeniging van aertsch met aertsch dee póóghen Doen suiverde uwe glans de dickheit van mijn óógen , Optreckende ' haer gesicht tot uwaerts , waer door mijn Siel kennende ' haer waerdij , poocht met haer een te sijn ; Al sou sij , cleene mug , om in glans te verwanderen , Vliend ' in de Son met die vereenen door 't veranderen .	Emotion_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.7	Maer belcht uw schoone siel haer dat mijn siele cleen Altevermetel poocht met u te wesen een , Soo sal de wil mijns siels in als met d'uw gemeen , , sijn Behalven in ( dat sij niet can ) niet willen een , , sijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.8	Sij wil al willen dat ghy wilt , dat can sij niet , Sonder haer eigen doodt , soo lang ghij 't haer verbiedt : Maer gaefdij haer verlof , en wilde ghij dat mede , Soo maeckten liefd , en weerliefd ons vereende vrede ; Dat sou de vrientschap sijn waer nae mijn liefde tracht ; Dan ving ick dat ick jaegh ; doch alhoewel mijn jacht Is sonder hoop van vangst , nochtans mij lust te talen , , van - Naebij te volgen 't geen dat ick niet achterhalen , , can .	Emotion_Hope
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.9	Hoe qualijck vat ick selfs mijn eigen siels beroer !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2363.s.10	Ick heb de waerheit , maer ick heb haer aen een snoer , En sij vliecht ommendom met haer snorrende vlerken , Toonende ' een ander sijde ' , eer ick wel d'een can merken .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.2365.s.1	tisiphernes , daifilo	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2401.s.1	Houdt , Daifilo , te hooch !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2401.s.2	Maar siet , hier comt mijn heer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2401.s.3	Hoe onbekent voor mij was dese naem wel eer !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2401.s.4	Maer om aen 't geen dat mij behaecht weer te behagen , Moet ickse leeren , met dienstbaerheit te verdragen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2401.s.5	Een ander soeckt om winst te dienen , en ick lij Om gaerne dienst te doen ongaerne slavernij .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2401.s.6	Ick soeck geen ander loon van dienst , als dienst ; mijn leven Granide , tot uw dienst ick over heb gegeven : Dees Prins te dienen schijnt om daer te raken an Het naeste middel , want wort hij uw echte man , Ick word ' uw staege slaef , en crijgh mijn hoop door desen ; En mach ick U niet sijn , ick sal dan d'uwe wesen .	Emotion_Hope
hoof001gran01_01.TEI.2.text.body.div.div.sp.2406.s.1	Siet hier de dienaer daer ick mij best op vertrouw .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2406.s.2	Daifilo ' , hoort hier .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2410.s.1	Mijn heer .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2448.s.1	Gaet knielen voor mijn vrouw Uit mijnen naem , en meldt , dat ick door 't vyer gedreven 'T welck staech hoochaerdich climt , en wallecht vanden dael , In dese borst ontfonckt van haere schoonheits strael , Den croon van Persen eisch voor mij , om haer te geven .	EmotionalAction_Other_Dedication
hoof001gran01_01.TEI.2.text.body.div.div.sp.2448.s.2	Indien dat sij , dewijl ick eindelijck bescheyt Op mijn versoeck verbid , van 's conings mogentheit , Een windeken van jonst liet in haer harte waeyen Tot mijwaerts , 't waer een wenck voor 's hemels Goden blij , Waerop sij passende souden 't geluck tot mijn Van duisent aengesichten 't lachenste doen draeyen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2448.s.3	Bidt haer ootmoedelijck , dat sij daer 't al aen staet , Van mijn vernedert hart haer dit ontsmeken laet .	Emotion_BodyPart_Other_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.2448.s.4	Gaet heen , ick gae ten hoof terstondt den Coning spreecken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2507.s.1	Aen mijn dienstwillicheit , mijn heer , salt niet gebreecken .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2507.s.2	Mijn ijverighe moedt , door moeyelijcke quel Van lang vertoef , is sadt van uitstel op uitstel ; En mijn gedachten , die ten top van eeren strecken , Cunnen uit ydel hoop niet langer voetsel trecken ; Dat dese dach den draedt mijns hoops in stucken cort , Of mij vergelde 't bloedt met ruimten uitgestort In dienste van het rijck ; voor soo veel swaricheden , Voor arbeidt , lijfs-gevaer , voor hoogh en laegh geleden , Mij loonende ( naer eisch van saken uitgerecht ) Met 's Conings hoochste jonst , en de Prinsses ten echt ; Op dat de Persen sien , wie , als des Conings daghen Verloopen sullen sijn , de groote croon sal draghen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2507.s.3	De raedt is al vergaert , 't is tijdt om in te treên .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2507.s.4	Ayme , wat soeticheit vloeyt mij door al mijn leên !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2507.s.5	Mijn voorbarige siel haer wentelt in 't verheughen , Al eer de sinnen haer dat mededeelen meugen , En loopt haer boôn voorbij onlijdsaem van vertoef , Waer door ick vreuchd geniet al eer dat ickse proef .	Joy_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.2507.s.6	Hemelsche Venus , drijft mijn tong door uwe goedicheit , Dat ick uitdrucken mach het minst van mijn ootmoedicheit , Van d'overgevenheit mijns harts tot haer , en van D'eerbiedicheit , die niet als haer verwondren can .	None
hoof001gran01_01.TEI.2.text.body.div.div.stage.2509.s.1	coning , ostrobas , tisiphernes	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2569.s.1	Loflijcke Prinssen , tot noch toe heb ick gelaeten Yemandt te noemen , die mijns dochters huwelijck Waerdt sijnd ' , aenvaerden mocht de breydel van dit rijck , En heerschappie van soo veel verscheiden staeten ; Om d'ingeseten door voorsichtich cloeck beleyt Tegen uitheemsch gewelt sorchvuldich te bewaeren , En voor mij nae 't verloop van mijn slippende jaeren , Te stieren met ontsich , en met lieftallicheit .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2569.s.2	D'oorsaack , o Tisiphernes , dat ghij niet en trouden Te saemen overlang , naer uw verdienst en wins , Is niet dat ick ontken , mijn grootmoedige Prins , Hoeveel dit coninckrijck is in uw deucht gehouden ; Maer 't is dat Ostrobas , van hoochverheven stam , Wiens vroomheits lofgeclanck verdooft al 's werelts canten , Dit oock door brief op brief , gesanten op gesanten , Versocht heeft tot nu toe dat hij hier selve quam .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2569.s.3	Ons deucht-vruchtbaere tijt heeft , schijnt het , willen draegen Twee mannen even groot van achtbaerheit bij mij , Den eenen in verdienst , den andren in waerdij , Den welcken even seer ick wensche te behaegen ; Maer dat en can niet sijn ; nochtans ick boven al Niet meer op d'eene sijd ' , als d'ander sijd ' sal hellen , Maer ick begeer dat ghij , in 't vryen meegesellen , Comt overeen wie dat den andren wijcken sal .	Emotion_Desire
hoof001gran01_01.TEI.2.text.body.div.div.sp.2569.s.4	Een yder doe den andren blijcken sijne reden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2569.s.5	De bestgegrondste win , de swackste willich wijck , Of dat het lot u schey ' sijn uw reên gelijck ; Soo blijft binnen het rijck in rust , buiten in vreden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.1	Hoe nu ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.2	Een onderdaen , een slaef dien de voochdij Van hooger wetten dwingt , gelijcktmen die bij mij ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.3	Bij 't bloedt van Arsaces ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.4	Wiens grootheit hooch geresen De Parthen , 's werelts vrees , alleen ontsien en vresen ; De Prins voor wiens gewelt d'opgaende Sonne swicht , En nau sijn vrees ontslaet als hij sijn hielen licht .	Fear_Emotion
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.5	Den donder van mijn naem sal Persen die versmaden Tot-dat het siet en voelt , de blixem van mijn daden ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.6	Ick wijcken ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.7	Jae , soo wijckt de Nijl wanneer hij vliet Met onbetoomde loop , noch letsel aen en siet Wat hij vindt inde weech , versleept boschage ' en dijcken !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.8	Puinbergen opgehoopt van uitgeroyde rijcken Die sullen mij den wech banen tot hoocheits top Daer mijn gemoedt nae staet , en om te climmen op Den throon van mijn opset , sullen dat sijn de trappen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.9	En of den Hemel viel ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.10	Ick salder overstappen , Eer sijn getuimels drang mijn strenge moedt verdruck : Hij spuw sijn crachten uit , en 't buldrende Geluck Clatre vrij met sijn sweep , 't sal mij geen vrees in prenten ; Ick trotse sijn gewelt , en puf sijn dreygementen .	Fear_Emotion_Happiness
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.11	Maer ghij , o tedre Pers , wat stadij nae mijn eisch ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.12	Die niet een senu taey hebt aen uw weecke vleisch , Ghij , halve-vrouw , laet mans d'oefning van't heerschen houwen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.13	Maer 't is u om de vrouw : ghij vindt wel ander vrouwen Waer mee ghij oeffenen de troetel-cunste meucht Daer ghij u op verstaet , en die ghij van uw jeucht Met geyle zeden leert , bedampt van wijn en róósen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.14	Sardanapalus comt en wil Atlas verpóósen , O Goden , wacht uw hals !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.15	Gelijck 't oneedel bloedt , Sulck uw hantering is .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.16	Maer ick ben opgevoedt Onder 't gekners van't stael , 't geberst van helm en swaerden , 'T gekrijs van't oorloochs-volck , en 't briesschen van de paerden ; De dulle trommel , en d'opstokende trompet Sijn mijn dertelste spel ; d'hard ' aerd ' , als 't nauwt , mijn bedt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.17	Aensiet uw swackheit om u selven te verschoonen : Ghij 't rijck van Persen ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.18	Hoe ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.19	De last van soo veel croonen Kneusde ' u het beckeneel ; het pack van sulck gebiedt Druckte ' u de schouders in , geeft u daer onder niet : De voorstandt van soo veel t'samen - gegroeyde landen Vereischt een cloecker borst , en clem van grover handen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.20	Voorts die sich wil bij mij gelijcken in waerdij Moet daer geen proef van doen door lot of praterij , Maer door de deucht alleen : dat vroomheit in het vechten Sich tegens vroomheit stel om ons geschil te slechten , Het rijck en de Prinsses sij des verwinners prijs .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2688.s.21	Dan ghij sult , mijnen raet volgende , sijdij wijs , ( Hoewel een onderdaen geen dienst soo menichvuldich Can doen , of hij en blijft noch veel sijn Prinsse schuldich ) U laten loons genoech voor uw verdiensten sijn Dat u de Coning hier geleken heeft bij mijn .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2776.s.1	Wanneer 's moeds buyen dul des redens toom ontslippen , Gelijck den storm , dien ghij blaest uit verwaende lippen , Ist onbesuisde windt die vaeck het minste schaedt , Maer scheurt sijn eigen cracht op onbeweechde clippen ; Soo doet uw raserij op Coning , Mij , en Raedt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2776.s.2	De rij van Prinssen oudt , uit welcker brave saedt Ghij u gesproten roemt , en wort hier niet versmeten ; Maer dat ghij d'eer van mijn doorluchtich huis versmaedt , Om dat een oppervoocht is boven mij geseten , Ick en dees Persen al uw bittren ondanck weten .	Emotion_Other
hoof001gran01_01.TEI.2.text.body.div.div.sp.2776.s.3	Want onse Coning valt ons niet soo wreedt en wrang , Noch wij den onsen , als ghij , die trots en vermeten Uw verblufte gemeent in slavernije strang Ondrachelijck verheert met hart gewelt , en dwang : Waer door uw moed verheft dat ghij 't met uw braveren Den Goden , soo ghij waendt , des hemels , maeckt te bang , Die , ( lachens ' er niet om ) 't u ras sullen verleeren : Maer ons bijsonder volck rechtvaerdich wij verheeren , En met bescheidenheit de Coning 't algemeen : Dees deuchden houden wij op 't alderhoochst in eeren , Die ghij , verkeert , vervreemt van alle recht en reên , Soo smaedelijck gewoon met voeten sijt te treên , En moedeloosheit noemt een ondeucht in den helden : Waer door ten aensien van uw overdwaelsche zeên Ghij mij en dese , comt voor halve vrouwen schelden .	Emotion_Pride
hoof001gran01_01.TEI.2.text.body.div.div.sp.2776.s.4	Maer niet meer als uw dulle gramschaps ijl-gewelden , Vrees ick sonder belul uw groove lichaems cracht ; En 't viel licht dat ghij noyt tot uwent nae vertelden De troetelingen van dees halve vrouwen sacht .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2776.s.5	Dan of 't gebeurde , dat ghij mij al ommebracht , Soo souden u nochtans dees Persen cloeck , en moedich Niet kennen voor haer Prins , ( ken ick haer ) maer verwacht Van al het rijck , en elck bijsonder wraeke bloedich : Want sijliên nemmermeer sullen het heerschen woedich , En uw uitheemsche trots lijden in plaets van mij , Noch laten wraeck te doen over een Prinsse goedich , Van wiens verdiensten en loflijcke daden , sij Gunstiger oordelaers en kenners sijn als ghij .	Emotion_Sadness_Vindictiveness
hoof001gran01_01.TEI.2.text.body.div.div.sp.2796.s.1	Een lecker trotst mijn cracht , ( wat sal mij noch ontmoeten ? ) En hij leydt niet vertreên aen mortel van mijn voeten ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2796.s.2	Ostrobas , wat u beurt ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2796.s.3	Ghij dreicht mij met gevaer Van uwe wraeck ; ick tart de Persen allegaêr .	Emotion_Vindictiveness
hoof001gran01_01.TEI.2.text.body.div.div.sp.2796.s.4	Daer leydt den handtschoe , d'eerst van soo veel onvervaerden Tast sonder beven aen , en hef hem van der aerden .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2796.s.5	Soo lang ' er een sal sijn , die mij darf tegenstaen Van allen , en sal ick niet weygeren te slaen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2796.s.6	Ghij meucht u vrij met keur van wapenen versorgen .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2807.s.1	Mijn is dan d'eerste beurt .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.2807.s.2	Nu dat dan tegen morgen , Rechtvaerdich Coning , ons een plaetse werd bestelt , Op dat de bleecke doodt in een besteken veldt , Een van ons beyden doe sijn stijf opset vergeten .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.1	Sijn uw gramschappen op elckander soo gebeten , Dat sachter middel niet can einden uw crackeel , Soo laet ten minsten u de roof van 't afgereten Harnas uws vyants , sonder hem te moorden heel , Volle verwinning sijn , en slechting van 't verscheel .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.2	Wanneer het aertrijck van des ruwen Winters plagen , En sijn ontijdich coudt omhelsen wort ontslagen , Gevoelt sij in haer hart oprekenen de schier Heel uitgedoofde cracht van haer begraven vier ; Door dien de Lenten soet , in sijn verliefde weecken , Haer streelt , en ondergaet met minnelijcker treken , Wanneer dat hij vernieuwt den outsbekenden brandt ; Levende ritseling doorcruipt haer 't ingewant ; Alsoo gevoel ick veel gepeisen in mij wecken Uit haeren diepen slaep , en door mijn leden trecken , Die oorspronck naemen in mijn teer-beweechde geest , Als ick eerst wierd gewaer het schoone , dat mij meest Behaechde van al 't geen dat mij oyt is verscheenen ; Want nae 't verlies van dien , allensjens sij verdweenen , Met de gedaente , die mij in den sinne lach , En nu door dien ick 't eens behaechde schoon hersach Met meerder hefticheit sij op een nieuw verrijsen , Om mij de schoonheit van een harder aen te prijsen .	Emotion_BodyPart_Moved
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.3	Maer sacht , Granida ' , houdt op , houdt op , want waer toe dient Dus hooch te setten een dien ghij tot heer , en vriendt Geensins verkiesen meucht ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.4	Maer leyden moet uw leven Met , dien u andren keur uit weijnige sal geven .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.5	Wat leyder boodtschap , uit wat aengenaemer mondt Helas !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.6	was , Daifilo , die ick van u verstondt ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.7	Ayme !	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.8	Wat vriendtschap in uw voorhooft stondt geschreven ?	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.10	Het schijnt dat op de staten hooch-verheven vs. 727 -733 Wij sitten met gebiedt , maer die 't wel ondertast , Vindt ons verheert , verdruckt onder haer overlast .	None
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.12	Meer droefheit vreest mijn hart dan 't hoopt verblijding : Ick gae vernemen doch nae de verlangde tijding .	Fear_Joy_Emotion_Hope_BodyPart_Sadness
hoof001gran01_01.TEI.2.text.body.div.div.sp.3066.s.13	Wat stort al gaven groot , Bewoonders vander Aerden , Den Hemel in uw schoot , Als ghijs ' ondanckbaer snoodt Niet met de voet en stoot , Maer vorder sorgen doodt , Om 't aengeboôn t'aenvaerden .	None
