meij001verl01_01.TEI.2.text.body.div.head.2412.s.1	De verloofde koninksbruidt , treurspel .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3394.s.1	't Scheelt u dan niet , wie 't zy ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3398.s.1	Het raakt my eeven zeer : Want , wie 't ook zy , hy wordt mjjn Bruîghom nimmermeer .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3401.s.1	Hoe ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3401.s.2	zult ghy dan de wille uws Vaders weederstreeven ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3405.s.1	Dat keer de Heemel !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3405.s.2	Wat hy my heeft voorgheschreeven , Zal ik betrachten , zo als 't eener dóchter past .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3408.s.1	Trouw dan een myner zoons .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3411.s.1	Dat heeft hy niet belast .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3414.s.1	Verloofd ' hy u niet , aan die hier de kroon zal erven ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3417.s.1	Ja , als een wettigh Vórst .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3421.s.1	Zal dat niet , na mijn sterven , Een myner zoonen zijn ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3426.s.1	Hy waar 't , vol roems , zo ghy Die niet verweldighdt hadt , door woede dwinglandy , Den rechten erfghenaam , met onrecht , doende sterven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3429.s.1	Dat zy , zo 't wil ; hy zal de kroon hier wettigh erven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3432.s.1	Onwettigh Koning nooit een wettigh oir naliet .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3441.s.1	Zijn ' last bedisselde dat zo spitsvinnigh niet .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3441.s.2	Hy , als ghy huwbaar waart , heeft u ten echt beschooren Den Britschen erfprins , en dat 's nu mijn eerstghebooren , Dien zo ghy wraakt , wraakt ghy , 't gheen Vader heeft ghewildt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3453.s.1	Doortrapte Dwingelandt , verbeeldt ghy u Mathild ' , Zo slap van moedt , zo slecht van brein , dat , door schoon praaten , Zy , tót dat trouwverbondt , zich zoude inluyen laaten , Bezwalken , met die smet , de Kaledoonsche kroon , En planten haaren voet op uw ' gheroofden troon ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3453.s.2	O neen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3453.s.3	Mijn Vader , als hy my , met zijne kroone , Brittanjes Prins besprak , hadde op uws voorzaats zoone Het oogh ......	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3459.s.1	Die is van kant , en stelt zijn wit te loor , Mêvrouw .....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3466.s.1	Dus lang gheweest : maar komt nu weeder voor Den dagh , om u , Tiran , na zijne kroon te steeken , Mijn ' trouw t'anvaerden , en zijns Vaders doodt te wreeken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3466.s.2	Dus , zijt ghy welberaân , stijgh van zijn ' zeetel neêr , En ruim uw ' Koning in , zijn plaats ; eer hy 't u leer ' .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3472.s.1	Heeft dan dit straatgheruchte u hart meede inghenomen , En steuntghe op d'aankomst , van die nimmermeer zal komen , Die in den oploop , al te zeeker , raakte om hals ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3472.s.2	Zo zultghe .....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3480.s.1	Neen , ik weet dat straatgheruchte is valsch : Maar weet ook ghy ; ik ben te fier , mijn ' trouw te gheeven Den zoon eens Dwinglandts , die mijn bruîghom braght om 't leeven , En in zijn erfghoedt zit met overdwaalsch verraadt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3483.s.1	Wat maaktghe dan ten hove ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3488.s.1	Om u , en uwen Staat , Het onderst ' boven , tót mijns bruîghoms wraak , te wenden , En 't ghansche koningdom u op het lijf te schenden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3491.s.1	Laatdunkende Mathild ' , denkt ghy wel , waar ghy zijt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3494.s.1	Daar zo veel schuld'loos bloedt om wraak gheduurigh krijt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3497.s.1	Wilt eens ter deegh , wie 'k ben , en wie ghy zijt , bezinnen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3500.s.1	Ghy zijt een Dwinglandt , ik een wettighe Vórstinne .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3503.s.1	Hoe trótst ghy dus 't ontzagh van mijnen scepterstaf .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3508.s.1	Zegh van uw ' Dwinglandye , aan elk zo hardt , en straf .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3515.s.1	Welaan : mijn ' Dwinglandy , dewijl u mijn ' zachtzinnigheidt Schijnt voet te gheeven , tót deez ' schamperheidt , en vinnigheidt , Daar zy moest worden , met ghoedtaartigheidt , gheloont , Zal u verleeren , dat ghy my dus smaadigh hoont .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3515.s.2	Daar zijn mijn zoonen .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.3519.s.1	Ghrimoald , Mathilde , Atelstan , Trasimond , Alarik .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3523.s.1	Hoort mijn ' kinderen , komt nader , En wreekt de smaadt , en hoon van u , en uwen Vader .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3526.s.1	Wie is het , die u hoont ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3529.s.1	Wie is het , die ons smaadt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3532.s.1	Hy heeft te wachten 't loon voor zulk een euv'len daadt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3535.s.1	Deez ' handt ons wreeken zal , ten kóste van mijn leeven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.3536.s.1	Atelstan ter zijden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3538.s.1	En deez ' , ten kost ' van 't myne , u beiden weederstreeven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3550.s.1	O eed'le vonken , van mijn ' hooghgheboorenheidt , Ghy aart na 't zaadt , waar van uw ' stam wierdt opgheleidt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3550.s.2	Uw moedt tuight van mijn bloedt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3550.s.3	Mijn ' smaadt te willen wreeken Is van uw ' dapperheidt een onbedrieghlijk teeken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3550.s.4	Een ad'lijk hart , waar in de manhaft spant de kroon , Ghedooght niet , in zijne eer , de kleenste kreuk van hoon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3550.s.5	Welaan dan , vólght dat spoor , en wilt de wraak beghinnen ; Daar staatze , dien het gheldt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3553.s.1	Wie is 't , de Koninginne ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3556.s.1	Wie , ons verloofde bruidt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.1	Gheen bruidt , gheen Koningin ; Maar woede vyandin .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.2	Wat waant ghy , datze in 't zin Ooit heeft ghehadt , met u in d'echt zich te begheeven ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.4	Zy is van stamme , en moedt , te hooghverheeven , Om te bezalighen eens wreeden Dwinglandts zoon , Met d'overmilde ghonst van haare trouw , en troon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.5	Dus hoontze , en lastert ons ; en roemt , alleen ten hove Te zijn verscheenen , om mijn ' Staat het onderst boven Te wentelen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.6	Dóch zien wy haar , eerze ons benart , Dien kans af ......	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.7	Maar , ghy staat versuft .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.8	Waar zinkt uw hart , Welk straks uw ' tong deedt vuur , en vlammen , spuwen teeghen Mijn ' vyandin .	BodyPart_BodilyProcess_Despair_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.9	Waar smelt de fierheidt uwer deeghen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.10	Zijn dit uitwerksels van mijn bloedt , en van uw ' moedt ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.11	Maar 'k merk , waar het u schort .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.12	Een vuîghe minneghloedt Ontzeenuwt uwen arm : haar juk blutst uwe schouderen .	Emotion_BodyPart_BodilyProcess_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.13	Verwijfde , quijtghe u dus tót bystandt uwer ouderen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.14	Mijn ' zoons , waar steektghe ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.15	want ghy zijt mijn ' zoonen niet , Die t'mijner hulp voorheên niets achterweeghe liet .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.16	Ben ik dan zwarmen ramps , en onspoedts doorghespartelt , Om , van een teere maaghdt , te worden afghemarteldt , In 't aanzien mijner zoons ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.17	O neen , 't zal anders ghaan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.18	De spijt wringt my 't ghemoedt .	Emotion_BodyPart_BodilyProcess_Remorse
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.19	De wraak dient vol te staan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.20	'k Weet raadt , om , met een slagh , die op de Koninginne Te neemen , van haar ' tróts , en van hunn ' dwaaze minne .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3589.s.21	Lafhartighe , wie eerst van u wreekt deezen hoon , Zal eerstghebooren zijn , en erfghenaam der kroon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3592.s.1	Heer Vader ...	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3595.s.1	Denk ...	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3601.s.1	Denkt ghy , wat u staat te beghinnen , Oft vólghen mijn ghebódt , en zo mijn ' schepter winnen , Oft vólghen uwe min , en daar van zijn beroofdt .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3601.s.2	Mijn ' kroon is niet te koop , dan voor Mathildes hoofdt .	None
meij001verl01_01.TEI.2.text.body.div.div.head.3603.s.1	V. Tooneel .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.3604.s.1	Mathilde , Atelstan , Trasimond , Alarik .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.3605.s.1	Atelstan teeghen Mathilde .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3608.s.1	Mevrouw , dat 's vonnis van uw ' doodt , zo ghy uw leeven Behouden wilt , laat ons dit heilloos hóf begheeven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.speaker.3609.s.1	Mathilde teeghen Atelstan .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3614.s.1	Hoe , met ghevaar daar in ghetooghen , uit mijn landt ; En al den adeldom ghekreeghen op mijn ' handt , Om , onverrichter zaak , zo lós van hier te scheiden ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3614.s.3	'k Hou standt , en wil het uiterste verbeiden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3618.s.1	Uw ' wil strekt my een wet ; en waaght ghy , om mijn landt , Uw leeven ; 't mijn ' , Mêvrouw , staat daar voor weêr te pandt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3624.s.1	Waar staat standtvastigheidt , ghevest op zulke wortelen , Die deeze donderslagh niet neederslaat an mortelen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3628.s.1	O schrikkelijk ghebódt !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3628.s.2	wat doller donderslagh Plofte ooit , op 't menschdom , neêr , die hier by haalen magh .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3631.s.1	Ach Broeder !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3634.s.1	Broeder , ik bezwijk in zulk een lyen !	Emotion_BodilyProcess_Sadness_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.3637.s.1	Sta pal , en laat den moedt , zo moedeloos , niet ghlyen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3640.s.1	Wat moedt magh teeghen zulk een onghemeeten ' ramp ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3644.s.1	De ramp weeght over : maar ghoê raadt heeft vaak een kamp Ghewonnen , die alleen voor moedt stondt te verliezen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3647.s.1	Wat raadt , voor ons , in dit verwoedt gheval , te kiezen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3651.s.1	Een , die ons redt , uit deez ' erbarmelyken standt ; Zo ons de Koningin maar bieden wil de handt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3656.s.1	Men ondersta , hoe 't by haar Hoogheidt light gheschooren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3667.s.1	Ghy hebt , Mêvrouw , 't ghebódt van Vader mooghen hooren ; Dóch wacht van ons , die , voor uw ' leeven , staan ghereedt Ons bloedt te storten , niet het allerminste leedt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3667.s.2	Wy koomen slechts , om , met uw ' voorzicht , raadt te leeven , Hoedat men dit ghevaar , op 't veilighst , door zal streeven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3692.s.1	Doorluchte Broederen , welwaerdigh mijner trouw , Ghelooft niet , dat mijn hart gheknaaghdt wordt van berouw , Omdat ik my , voor die ik ben , heb laaten hooren , En , door mijn ' rondigheidt , gheterght uw 's Vaders tooren ; Oft dat het light zo laegh , dat daar zijn dreighement , En wreevele eisch , een vonk van laffe vreeze in prent .	Fear_Emotion_BodyPart_BodilyProcess_Anger_Remorse
meij001verl01_01.TEI.2.text.body.div.div.sp.3692.s.3	De Koninksstam , uit welke ik ben ghesprooten , Blaast vry een eed'ler gheest , en fierheidt , in haar ' looten , Die ook mijn ' boezem vult , en door mijne ad'ren vloeit .	BodyPart_BodilyProcess_Pride
meij001verl01_01.TEI.2.text.body.div.div.sp.3692.s.4	Mijne inborst op de leest van haar vooroud'ren schoeit ; En zo hy zich , met eer - en ghódtvergheeten ' handen , Tót koeling zyner wraak , verstout my aan te randen , Ontziende , nócht mijn ' kunn ' , nócht mijn ghezallifdt hoofdt , Hem is meêr weêrstandts , als hy wel verwacht , beloofdt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3692.s.5	Mijne eersleep zal , voor my , haar bloedt ten besten gheeven , En , zo dat schiet te kort , zal 'k , neevens haar , mijn leeven Besluiten , onvertzaaghdt , met een heldinnedoodt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3692.s.6	Maar eevenwel , om , in het nypen deezer noodt , Uw ' raadt niet reuk'loos in den windt te slaan , laat hooren , Wat wegh , om dit ghevaar t'ontghaan , ghy hebt verkooren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3714.s.1	Indien haar ' Majesteit zich wou verneed'ren , om Uit ons , haar ' dienaars , een tót haaren bruideghom Te kiezen , heffend ' hem alzo tót eerstghebooren , 't Ghevaar waare afghewendt , en kracht'loos Vaders tooren .	Emotion_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.3714.s.2	Ons hart belijdt rondtuit , dat onz ' waardy , te kleen , In gheenen deel ' verdient , op 't bruilóftsbedt te treên , Met uwe alwaerdighe , en doorluchtighste ghrootmooghendheidt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3714.s.3	Maar 't hoopt ook weêr , dat uw ' ghenadighe meêdooghendheidt Zich zal erbarremen der heete minneghloedt , Waar in het brandt , en blaakt .	Emotion_BodilyProcess_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3714.s.4	Wy weeten ook , uw ' moedt , Voor gheenigh dreighement , te zwichten , nócht te bukken ; En dat uw vólk , veel eêr zich kappen liet in stukken , Dan toestondt , dat men u in 't minst veronghelijkt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3714.s.5	Nóchtans is 't , dat hunn ' maght zo verr ' voor Vaders wijkt , Dat het zich , t'uwer scherm , vergheefs in 't staal zal steeken , Zo hy maar toeleght , zijn gheleeden leedt te wreeken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3714.s.6	Dies , wil haar ' Majesteit ontvluchten 't anstaand quaadt , Dunkt deeze ons ver de lichtste , en zórghelooste raadt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3719.s.1	Uw 's Vaders ghramschap wil , in woeder vlammen , blaaken , Wen hy u , niet alleen zijn streng ghebódt ziet wraaken ; Maar , met zijn ' vyandinne , anspannen , teeghens hem .	Emotion_BodilyProcess_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.3725.s.1	Zijn ' toorn ghroey , zoze wil : zijn ' maght krijght minder klem ; Mits elk , dien ghy verkiest , zal eeren , en beminnen , Als Errifvórst , en u , als 's Vórsten ghemaalinne , Wien 't ghoudt der majesteit omstraalt het heiligh hoofdt .	Emotion_Love_Dedication_Anger
meij001verl01_01.TEI.2.text.body.div.div.sp.3729.s.1	Hy ondertusschen staat zo niet van maght beroofdt , Oft zoudze , t'onzer schâ , te kóste legghen mooghen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3733.s.1	Elk onderdaan veel meêr beghroet , en ziet na d'ooghen 't Opghaande mórghenlicht , dan d'onderghaande zon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3738.s.1	Mijn ' keur gheen erfprins maakt ; vermits zy doolen kon .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3738.s.2	Uw Vader hoort dat recht : hy kent den eerstghebooren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3741.s.1	Dien ghy verkiest , zy Prins , wien 't rijk sta toebeschooren .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3745.s.1	Mijn keure is , Vórsten , blindt , en , 't hangt an 't lós gheval , Indien zy de natuur niet weederspreeken zal .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3753.s.1	De kroon hoort ons , Prinsses ; en , zonder 't recht te krenken , Kan elk den anderen van ons zijn aandeel schenken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3753.s.2	Wy ruimen , dien ghy kiest , u , en den rijkstroon in , En , dien ghy wraakt , ontstaa de kroon , en uwe min .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3758.s.1	Maar Prinssen , overweeght ghy wel , dat door mijn kiezen , Den schat , die d'een verkryght , weêr d'ander zal verliezen ; En 's eenen voorspoedt baart des anders teeghenspoedt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3762.s.1	Men heeft dien slagh voorzien , en teeghen haar 't ghemoedt Ghewapendt , met een schildt van moedt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3766.s.1	Zo wilt ghy , Heeren , Dat ik zal kiezen ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3769.s.1	't Is ons eenighste begheeren .	Emotion_Desire
meij001verl01_01.TEI.2.text.body.div.div.sp.3772.s.1	Ik ducht , het werd ' zo haast ghevólght van naberouw .	Emotion_Remorse
meij001verl01_01.TEI.2.text.body.div.div.sp.3775.s.1	Eer krijght ons minnevuur een afkeer van uw ' trouw .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3778.s.1	Eer wenscht het , eeuwigh , van uw ' ghonst te zijn versteeken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3783.s.1	Ghy wilt het eindelijk ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3786.s.1	't Is 't eenighst , daarwe om smeeken .	EmotionalAction_Desire_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.1	Welaan dan , 'k vólgh uw ' wille ; en zo mijn ' keur u smart , Wijt dat u zelf , niet my , wienze afghedrongen werdt .	Emotion_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.2	Manhafte Prinssen , 't licht der Deughdt , welk heeft gheblonken Uit al uw doen , bequaam het kilste hart t'ontvonken , Is my bekendt ,; en u de ghlans der trótse stam , En 't Koninglijk gheslacht , waar uit ik oorsprong nam , 't Welk , door uw aanwas , zou afschynen met meêr luisters , Indien uw ' ghlorie niet bezwalkt stondt , van veel duisters , Welk draaiboomt u den wegh na myne troon , en trouw .	BodyPart_BodilyProcess_Love_Moved
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.3	Want , dat ik d'eer mijns huis , nóch onbesprooken , zou Bezoed'len , en , door schandt , zijne achtbaarheidt verneêren , Mijn hart te preutsch is , en te keurigh op haare eere .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.4	Ik min uw ' deughdt , maar haat het bloedt des Dwingelandts , Het een verlicht uw ' lóf , het ander dooft haar ' ghlants .	Emotion_Hatred_Love_Awe
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.5	Bedenkt u , welk van bey ghy kiezen wilt , óft wraaken ; Uw ' keure , óft wraaking zal mijn ' keure óft wraaking maaken .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.6	Ik vólgh , treedt ghy maar voor ; en , die mijn ' handt begheert , Maak , dat het dwinglandtsbloedt zijn ' deughdt niet meêr onteert .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.7	Hy scheur de schakel , die hem hecht aan een verrader , En , wassende zijn ' schande in 't bloedt van zulk een vader , Toon , door een heldendaadt van hooghverheeven aart ; Dat zijne handt mijn hart , zijn ' kruin mijn ' kroon is waerdt .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.8	Oft kleeft ghy nóch te vast an 't maaghschap uwes vaders , Zo veest meê moordenaars , en dwinglandts , en verraders .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.9	Ghy moet hem vólghen , zo ghy u zijn ' zoonen roemt , Oft moet hem straffen , zo ghy zijn misdrijf verdoemt , En toonen , 't slechts na 't bloedt , niet na 't ghemoedt te weezen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.10	Wat 's dit ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.11	uwe yver flaauwt , terstondt zo hoogh ghereezen .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3826.s.12	Ik had dit wel voorzien .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3829.s.1	Vórstin ....	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3837.s.1	Ghy komt te spa .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3837.s.2	Het hoogh woordt is ' er uit ; en 't ghaat mijn ' kroon te na Zo ik 't herriepe .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3837.s.3	Dies , wie eerst zijn bloedt verzaaken , En zich , door 's Dwinglandts doodt , zal mijner waerdigh maaken , Dien zal ik , op mijn ' troon , en bruiloftsbedt , ontfaân .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3837.s.4	Vaart wel .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3837.s.5	Ghy mooght u met ghemak daar op beraân .	None
meij001verl01_01.TEI.2.text.body.div.div.stage.3840.s.1	Trasimond , Alarik .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3843.s.1	O Vonnis , vol ghevlijmde woorden !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3846.s.1	O uitspraak , al te straf , en wreedt !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3849.s.1	Dat my de borst doorsnijdt ,	BodyPart_BodilyProcess_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.3852.s.1	Die my de ziel komt moorden ,	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3855.s.1	Met onverdraaghlijk hartenleedt ,	Emotion_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.3858.s.1	Met weedom , die gheen weêrghâ weet ,	Emotion_Sadness
meij001verl01_01.TEI.2.text.body.div.div.sp.3861.s.1	Daar bystandt steedts voor zwichte ,	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3864.s.1	En weêrstandt onder smoorde .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3867.s.1	Want kiest men niet , men steekt in pijn ;	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3872.s.1	En kiest men al , ons dreight nóch quaader .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3875.s.2	Mathildes hoofdt eischt Vader ,	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3878.s.1	En zy daarteeghen weeder 't zijn !	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3883.s.1	Indienwe , om 't Krooneghoudt te winnen , Ghehoorzaam vólghen Vaders zin ; Wy worden moorders van onze eighen ' Koninginne .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3888.s.1	Indienwe , uit liefde , stemmen in Mathildes eisch , om weedermin , Wy worden vaderbeuls , onwaerdigh haarer minne .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3892.s.2	kiest men niet , men steekt in pijn ,	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3906.s.2	zal men Vaders eisch weêrstreeven ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3906.s.3	Maar zal men ook , om d'errifkroon , Haar neemen 't leeven , daar men zonder niet kan leeven ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3911.s.2	zal men wraaken haar ' gheboôn ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3911.s.3	Maar zal men ook , om weêrmins loon , Hem neemen 't leeven , die ons 't leeven heeft ghegheeven ?	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3935.s.1	't Is best dan , welbedacht , te myden , In deezen stórm , aan laegher wal , Twee klippen , daar ons schip op schipbreuk staat te lyden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3935.s.2	Dies wacht ik , in dit ongheval , Wat uitkomst ons verleenen zal De Heemel , wiens ghenade ons kan alleen bevryden .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3935.s.3	Ik kies niet , schoon ik steeke in pijn : Want kies ik , my dreight nóch veel quaader .	Emotion_BodilyProcess_Despair
meij001verl01_01.TEI.2.text.body.div.div.sp.3935.s.4	'k Onzegh Mathildes hoofdt an Vader , En haar daarteeghen weeder 't zijn .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3947.s.1	't Is best dan , ghoeden raadt te leeven , Het heetste vuur voorby , en in Het zwakst te stappen , en , vol moedts , daar door te streeven .	None
meij001verl01_01.TEI.2.text.body.div.div.sp.3947.s.2	Ik voegh my dan na Vaders zin , Uitdoovende de brandt der min , En kies zijn ' kroon voor 't heil , welk liefd ' belooft te gheeven ; En troost my deeze kleene pijn , Dewyle ik anders storte in quaader .	Emotion_Love
meij001verl01_01.TEI.2.text.body.div.div.sp.3947.s.3	'k Breng dan Mathildes hoofdt an Vader , En weigher haar daarteeghen 't zijn .	None
