ross006zing01_01.TEI.2.text.body.div.head.278.s.1	De zingende kraamer , kaamer spel .	None
ross006zing01_01.TEI.2.text.body.div.sp.1036.s.1	Die niet en rooft , Wanneer wy Scheepe nemen , Die kust het gat van Breemen , Hy is van Breyn berooft .	None
ross006zing01_01.TEI.2.text.body.div.sp.1055.s.1	Maar weer op Zee zynde , wierd onze vreugde schielyk uytgedoost , Door dien vier Spaanse Oorlog-Scheepe , ons zo drommels onthaalden , Dat wy al de vooriege profyt , braaf met Knokkenbroot betaalde , Vermits zy wakker speelde , pof , pef , paf , en gaaven lustig vuur , Wy vloode als de nikker voor een Sprinkhaan , want al dat bruyen stond ons veel te duur , En zy joegen ons lustig na , dog't kon haar weynig baaten , Vermits zy door de duysterheyt der nagt , ons weder hebben verlaten , En wy telde smorgens onze dooden , dat waar de bootsman vyf Matrooze , en de Kok , Ik dagt ô Sint Gerrit !	Joy_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.1055.s.2	kom ik eens weder van dit houte Blok , Hier of daar aan Land , ik pak terstond myn biezen , Nou , het geluk diende me bezonder , want het begon heel fel te Vriezen , Zo dat ik van 't Sehip , over 't Ys myn voetpat nam , Na Wyk op Zee , daar ik ook behoude te Lande kwam , En de alder eerste die ik daar zag , waar een Visser , die zat boven op Duyn , in zyn broek te knooyen , Ik geloof hy Luyze zogt .	None
ross006zing01_01.TEI.2.text.body.div.sp.1074.s.1	De twee eerste plooyen , Daar hy zyn hand in stak , Daar vond by wel een vyf-en-twintig Vlooye , Dien hy altemaal de beene brak , Ook vond hy nog een Luys , Die waar grooter als een Muys , Hy gafze aan zyn Kat , Die hem ook voor een Rot opvrat .	None
ross006zing01_01.TEI.2.text.body.div.sp.1084.s.1	Nou denke de Heere ligt , wat drommelse loogen is dat ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1084.s.2	Want ik kan het aan je ooge zien , dog daar is niet aan geleegen , Ik heb zo eeve gezeyd , dat een loge zomtyds een goeje zege , Kan brenge in de zak , is dat niet waar Musjeurs ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1084.s.3	Is ' er imand onder je alle , die verzien is met de beurs ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1084.s.4	Zo pas ' er op , want ik weetze wonder wel te snuyten .	None
ross006zing01_01.TEI.2.text.body.div.sp.1093.s.1	Komt uyt termuyten , Liefje naar buyten , Daar boord men de Voog'le sluyten .	None
ross006zing01_01.TEI.2.text.body.div.sp.1106.s.1	En te Wyk op Zee , beet me een Hond in de kuyten , Zo dat ik by me zoole in geen vier daage loope kon , En ik had niet in me zak , als nog een Luykse Dukaton , Dog evenwel kouragie , ik ging by een Visser logeren , Daar zou ik een Daalder in de week , voor Eeten en Slaape verteeren , Maar ik had ' er pas drie daage geweest , of ik was al verzeyd , Dat is te zeggen ik had me verlooft aan een jonge Meyd , Die zo zot naar myn waar , als Prokris tot haar uytgeleezen , En daar op zong ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.1113.s.1	Zou het Minne schande weezen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1113.s.2	Als 't in deugd en eer bestaat ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1131.s.2	Neen beget , want riep ik myn hondje , zo riep zy myn toeverlaat , Bloet !	None
ross006zing01_01.TEI.2.text.body.div.sp.1131.s.3	wat waar ik bars , ja 'k meende dat myn gat een Kardinaal was , Maar weynig wist dat Meysje , dat ik ook zo drommels kaal was , Nou , dat liep zo heen , tot den dag dat me trouwe zou , Doe leende die goeje sloof een Jak van haar buurvrou , En ik kreeg een ouwe vaale Rok aan me gat , van een Vent die daar woonde .	None
ross006zing01_01.TEI.2.text.body.div.sp.1131.s.4	Ja ik leek wel een Rogstekker van waard doen ik my vertoonden , Dog wy ginge na de Kerk , en wiere een Paar , En doen wy t'huys kwamme , waarder ook een Keetel met schoone Wyker scharre gaar , Ook twee Konynen , aan een verroeste Dege gebraaden , Maar nu geef ik de Musjeurs eens te raaden ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1131.s.5	Wat men dronk ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1131.s.6	hoe spreekt'er niemand niet ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1131.s.7	Wy dronke van dat goet dat me te Amsterdam Roosegrafje hiet , En dat waar by den houten Duyvel ons Bruylofs Banket , Zo dat ik wel mogt Zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1141.s.1	Een potje Raapen , En daar meê slaapen , Want wy ginge voort na Bed .	None
ross006zing01_01.TEI.2.text.body.div.sp.1147.s.1	En wat me daar zamen uytvoerde , dat behoef ik niet te snakken , Dan staat genoegzaam bekend in de Cineesche Almanakken , Maar ik had in 't kort een walg van al die vreugt , en Zong .	Joy_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.1162.s.2	Zoete Ieugd , Het zyn maar zotte dingen , Die om een korte vreugd , Zuy zuya , op moet zingen , Koop zoete koek , Mang'le , en Razyne , koop zoete koek .	Joy_Emotion_EmotionalAction
ross006zing01_01.TEI.2.text.body.div.sp.1180.s.1	Want eer een Jaar ten eynde was , had ik al een Jongen die moest in de Broek , Doen waard holderdebol , om Luyers , en Pislappe te koope , Ik lied Wyk op Zee myn krent zien , en ging na Haarlem loopen , Daar woonde een Nigt van me , daar kreeg ik tien daage Logimend , Wel hede sprak zy tege myn , gy bent nu een andere Vent , Als toen ik u voor nege Jaare zag Neef Krispyntje , Dat's waar Nigt , ( antwoorde ik haar ) dog zy trok aan 't verkeerde lyntje , Want zy meende dat ik van myn Ouders daar om een plysiertje kwam , Kom zyse , wilje meê , het is Kermis te Sparrendam ; Ja , antwoorden ik haar , en wy stonde niet lang te faaze , Maar ginge na de Kermis , en spronge met de Sparrendammer baazen , Eens deftig in de bogt , en ik toonde dat ik meê een aardige knevel waar , En zong .	None
ross006zing01_01.TEI.2.text.body.div.sp.1187.s.1	De Kermis raar , Die komd maar eens in 't Iaar ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1196.s.1	Dog s'avonts , doen raakten ik in een groot gevaar , Nu mooge de Heeren vraagen , hoe Krispyn , wierd gy doorje bakhuys gesneeden ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1196.s.2	Neen dat kunt gy wel beter zien , hoor ik zal u alles ontleden , Het ging met myn ' , als met die Man , die wel een Kruywaagen van doen had , Of anders .	None
ross006zing01_01.TEI.2.text.body.div.sp.1209.s.1	Ben ik nu dronken , of ben ik nu zat , Ben ik nu dronken , of ben ik nu zat , Ben ik nu dronken , Of ben ik beschonken , Ben ik nu schief , of waggel ik wat .	None
ross006zing01_01.TEI.2.text.body.div.sp.1225.s.1	Want ik bruyde zo plomp verloore van den Dyk , met myn gat Van bovenneer in 't Y , dog ik ging terstond aan 't schreeuwen , Zo dat de Boeren , aan kwamme loopen als jonge Leeuwen , En trokken myn by Armen , en Beenen weer op het Land , ô !	None
ross006zing01_01.TEI.2.text.body.div.sp.1225.s.2	Ik moet'er nog om lagchen , daar kwam een Besje Die vroeg waar is den brand ?	Joy_EmotionalAction
ross006zing01_01.TEI.2.text.body.div.sp.1225.s.3	Ag Moertje !	None
ross006zing01_01.TEI.2.text.body.div.sp.1225.s.4	antwoorden myn Nigt , daar is geen brand geroepen , Dat is goet riep de ouwe sloof , en zy begon te poepen , Dat ik meende dat Jupyn weer met de Reuse in Batalje was , Wy raakte in de kroeg , en daar kreeg ik voort een glas , Met van dat goet , ey !	None
ross006zing01_01.TEI.2.text.body.div.sp.1225.s.5	hoe zal ik het nu beduyen , Men zet het wel op Lepelbladen , en op and're Kruyen , Ja het was .	None
ross006zing01_01.TEI.2.text.body.div.sp.1234.s.2	Goeje drank , der dranken , Gebrouwe voor de Kranken , Tot koeling van haar pyn .	None
ross006zing01_01.TEI.2.text.body.div.sp.1242.s.1	Het waar Spiritus Jinipri , ô neen , ik wil zegge , Brandewyn , En daar lapten ik voort een glas van in me darmen , Dat ging my weder van het , hooft tot aan de teenen verwarmen , Waar op dat ik zong .	None
ross006zing01_01.TEI.2.text.body.div.sp.1249.s.1	Nu weer aan het Kermis bouden , Die nog is verzien van Geld .	None
ross006zing01_01.TEI.2.text.body.div.sp.1266.s.1	Want de Boeren tot klyne Jongens , yder was een Held , En me danste naar de Veedel , van al wat me haast kan bedenken , Van malle Symen , en van ik zalje eens wenken , De Bootermark , de Haarelemmerdyk , en van je Suster de dolle Hoer , Dorateetje , de Mossele , Wilhelmus , en de groene Boer ; Ook van 't Juffertje , de Fransse my , de Krand , ook Klarinde , Ik danste onder de Boere , als malle Jan onder de blinden .	None
ross006zing01_01.TEI.2.text.body.div.sp.1266.s.2	Daar zat ' er een , die had zyn Mes opgehangen , voor de geen die Snyen wou , Daar zat ' er weder een , die bragt Kalven te Mark zonder tou , Of anders gezyd , hy bespoog hem van het hooft , tot aan de voeten , Daar lag'er een op de vloer , met zyn Neus in de stront te vroeten , Ja schopten , en vloekten , als of hy een uytzinden waar , Knarsten op zyn tanden , en trok zig zelve by het Hair ; Waarom ik lagten , en Zong .	None
ross006zing01_01.TEI.2.text.body.div.sp.1278.s.1	Dronkaars zyn gelyk de Beesten , Als men hier beschouwe kan , Ook vind men veel kwaje geesten , Als de Wyn is in de Man .	None
ross006zing01_01.TEI.2.text.body.div.sp.1289.s.1	En zo als ik dat gezongen had , gooyden een Boer met een Tinne kan , Myn na de kop , dat hy door de ruyte vloog in t ' water , Ik stoeg een paar blikken op , en vroeg , is dat op myn gemund komfrater ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1289.s.2	Dog hy sweeg stil , en dat duurde tot Auroor haar gulde Poort ontsloot , Doen waar 't repje , scheerje , Ja alles scheen wel dood , Wy betaalden ook ons gelag en gingen na huys toe faazen , Maar onderweeg hoorden ik nog eenigen van die Sparrendammer Baazen , Die al vroolyk zongen .	Joy_Emotion_EmotionalAction
ross006zing01_01.TEI.2.text.body.div.sp.1298.s.1	Doen ik laast te Sparrendam , te Kermis had geweest , En zou naar huys toe varen , ontmoeten myn een Geest , Hy zo dronken , hy zo dronken , hy zo dronken , als een Beest .	None
ross006zing01_01.TEI.2.text.body.div.sp.1312.s.1	Ik dagt Mannen gy liegt het niet , want zy waare meest Alle zo vol Wyn , als een ey vol zuyvel kan weezen , Wel Krispyn vroeg me Nigje , hebje wel ooyt van zo een Kermis geleezen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1312.s.2	Ik gaf haar tot antwoort , gut het ging'er tebak , Want vrinde regt uytgezyt , ik pisten die zoete sloof maar wat in haar zak , En bleef nog twee dagen by haar om dankje te bewyzen , En doe ging ik Krispyn , van Haarlem na Amsterdam toe reyzen , En daar op zong ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.1323.s.1	Dat gaat na Amsterdam , Dat eerst van Visschers kwam , Maar nu een Koopstad , En een loopstat ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1328.s.1	Dog daar viel voor myn niet veel te koope , want myn beurs was drommels plat , En een die daar geen Gelt heeft , weet zeer weynig te kreuken .	None
ross006zing01_01.TEI.2.text.body.div.sp.1335.s.1	Revelje voe , een schraale keuken , Revelje voe , ik had geen splind .	None
ross006zing01_01.TEI.2.text.body.div.sp.1349.s.1	Ik leefde by me keel wel vier dagen van de wind , ô !	None
ross006zing01_01.TEI.2.text.body.div.sp.1349.s.2	Dagt ik , het is beter te steelen als te branden , En liep by een Bakker , daar kreeg ik een regel Wittebrood in myn handen , Ik speelde broekt hem , want het is voor een Man , Die groote honger heeft en geen duyts bol betaale kan , Maar zy riepen voort hou den dief , en tot myn ongelukken , Daar kwamen twee Luysevangers , ja twee oude krukken , Die liep ik in de Mond , zo dat ik ô wat spyt : Gelyk de grootste schelm daadlyk wierd na de Boeye gelyd , Zo dat ik doe wel mogt zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1364.s.1	t ' Smorgens vroeg als 't was schoon dag , Hoort toe men zaltje verklaaren , Zy bonden myn by me Armen vast , En myn Hertje viel myn zo swaaren , Zy lyden myn door de Stad , En de Burgers fopte me wat ;	None
ross006zing01_01.TEI.2.text.body.div.sp.1374.s.1	Ook hoordem ik , dat ' er veele riepe : dat lykt een olyke plat , Nou , ik dan in de Boeye komende , waar 't krek verhoordag , zo dat ik niet hoefde te wagten , Daar kreeg ik daad'lyk myn Vonnes ; om veertien dagen , en veertien nagten , In 't Rasphuys te zitten , en te speelen met de Zaag , Maar ik gooyde de heelen peeskit in 't rumoer , want ik was drommels traag ; Dog het ging met myn .	None
ross006zing01_01.TEI.2.text.body.div.sp.1393.s.1	Zy bragte myn in een Eys' re klamp , Wie duyvel zou haar bedanken , En op de plaats , daar staat een Paal , Van dikhout , zaagtme de planken , Al heb ik dat ongeluk eens gehad , Nu ben ik Burger van de Stad , Nog een keer , Hy dan word ik wel een Raads-Heer .	None
ross006zing01_01.TEI.2.text.body.div.sp.1405.s.1	Maar steele dat doen ik me leven niet weer , Nou , ik zat dan veertien dagen opgesloten by de boeven , Daar ik me by me keel , nog om moet bedroeven , Want alle dagen was meest onze Spys , Karremelk met Gort , of Boonen met Paardevlys , En 't waar al werk , voor die , en die , of gy krygt uw huyt vol slaagen , ô !	None
ross006zing01_01.TEI.2.text.body.div.sp.1405.s.2	Het is niet om te zeggen , wat ik al moest verdragen , Dan waaren der die zongen het Lietje van ag wat een kruys , En weer andere die lolde .	None
ross006zing01_01.TEI.2.text.body.div.sp.1425.s.1	Had ik myn Mesje gehouden thuys , Ik had gedaar gelyk de Vroomen , Nu moet ik zitten in het Rasphuys , Wie weet wanner ik'er uyt zal komen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1425.s.2	Nu moet ik Zaagen , Schier alle dagen , Van dat rooje Bresilienhout , Om dat ik niet zal worden kout .	None
ross006zing01_01.TEI.2.text.body.div.sp.1450.s.1	Ik dagt wel duysendmaal , ag !	None
ross006zing01_01.TEI.2.text.body.div.sp.1450.s.2	hy is ongelukkig getrouwt , Die hier zo een vyftig Jaar in deze kit moet plakken , Voor my , ik wou liever Pluymgraaf wezen , om den Grooten Mogol zyn scheythuys te rakken ; Dog dit overgeslaagen , myn tyd raakten haast om , En ik trok na myn Ouders , daar was ik drommels wellekom , Want zo dra als myn Vaar me zag , zo ging hy na boven loopen , Daar lag nog van ouds , een end touw met knooppen , Dat kreeg hy voor den dag , dog eer hy beneden was , Zo had ik me al verstooken in myn Besjes Kleere kas , En myn Moeder bad voor me , zo lang tot myn Vaar hem liet bewegen , Maar s'avonds , hadden om mynent wil wel twintig Boeren groote ruzie gekreegen , Want den een die riep ik wed , Krispyn is al weer thuys , Dat zyn loogens riep den aar , en bruyde elkander braaf voor 't bakhuys , En dat liep zo hoog , door woorden , en weer woorden , Datze op elkander schooten , en doen dat de Boeren aan de hand van Leyden hoorden , Die meenden dat den Sweet , met den Deen , op het Leydze Meertje in Battalje waar , Ik ging voor de deur , en zag hoe de Boere met elkaar , Wakker schermutzeerden , waar op ik riep : zoet Mannen zyd te vreeden , Maar daar waaren by me keel al zes Boeren door hun bakhuys gesneeden , Zo dat ik aan 't lollen ging .	None
ross006zing01_01.TEI.2.text.body.div.sp.1461.s.1	Wellekom al uyt den stryd , Boere jongens trotze Helden , Die elkander braaf bescheyd , En door Neus en Ooren sneyd .	None
ross006zing01_01.TEI.2.text.body.div.sp.1469.s.1	Maar ik had nauw'lyks dese reeden gezyd , Of ze kwamen al den bruy in ons huys vallen , En begonnen braaf met myn Exselensie te mallen , En dat duurden , en weer duurden , tot omtrent midder nagt , Want zo als de laatsten onze deur uyt ging , riep den Ratelwagt .	None
ross006zing01_01.TEI.2.text.body.div.sp.1480.s.1	Meysje met je blanke billen , Zout gy wel een Ratelwagt willen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1480.s.2	Een Ratelwagt met zyn dikke stok ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1480.s.3	Twaalef uuren slaat de Klok .	None
ross006zing01_01.TEI.2.text.body.div.sp.1490.s.1	Ik lag myn hooft een weynig daar geen Wagens en reeden , Maar ik kon niet slaapen , want dan dagt ik om 't geen ik in 't Rasphuys had geleeden , Dan dagt ik weer , om myn lieve Wysje tot Wyk op Zee , En dan weer hoe dat de eene Boer , den ander door zyn bakhuys snee , Dan hoe dat ik in Luylekkerland een doot Paart zag hollen , Dog s'morgens doen raakten ik aan 't slaapen en begon al droomend te lollen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1501.s.1	Laat myn Wyk op Zeese Tryntje , Lustig speelen , dou , dou dyntje , Ik ben nu hier , En verwagt een aar plysier ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1524.s.1	Hoewel ik bleef niet langer als een dag of vier , Want myn Vaar die deed gestadig niet als knorren , Ik dagt laat de Vent voor Sunt Jutmus lopen met al zyn morren , En daar me trok ik van Amsterveen , na Amsterdam zo ras als ik kon , En daar verhuurden ik myn voor knegt , in de reyzende Zon Op de Zeedyk , haa , doen waar ik alle dagen by de vreugt en by de mooje Meyden , Daar ik me by me keel wel duyzend maal om verbleyden , En wat ik daar al zag , dat is de vrinden ligt wel bekent , Het ging'er als het altyd op die plaatze gaat , zoenen , en zabbe zonder ent , Dan zag ik eens , hoe dat men de Jonkers van de huyg ligten , Dan hoe dat me twee voor een schreef , en dan hoe dat me Nigten , Als zo een swerm Byen vlooge , als ' er imand in kwam , Dan zag ik weer , hoe Mars zyn Venus in de Armen nam , En dikklaareerde elkander den Oorlog , of ik wil zeggen , Velje Piek , op de Poort , dog dit alles uyt te leggen , Is onnoodig , want alles past juyst niet gezyd , En in die verbruyde Kit woonden ik wel drie Jaar tyd , Ja ik wierd een Kneevel die hem wonder op zyn Mes dorst vertrouwen , Ook leerden ik veel deunen daar ik dit nog van heb onthouwen	Joy_Emotion_BodyPart
ross006zing01_01.TEI.2.text.body.div.sp.1539.s.1	Kom binnen myn Heer , Za zetje wat neer , Zy roepen en winken , Wat lust u te drinken ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1539.s.2	Men zal het u schenken , Naar u begeer .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.1541.s.1	by Spreekt .	None
ross006zing01_01.TEI.2.text.body.div.sp.1555.s.1	Ja 't was maar tap , schenk vol , suyp uyt , hier is meer , Dan een glaasje voor me Nigt , en dan een voor de Musekanten , Als ik'er nog om denk , daar kwamen eens zes ligten kwanten , Die meenden een vlugge , zoet ; ik meen een Kreup'le Waard te slaan , Maar onze Hospes kwamse voort agter't gat met een Walvis Kraan , En ik had een Stok , omtrent zo dik , als myn Armen , 't Waar rompomp , den deur uyt , og laasje , og harmen , Over hals over kop , dadelyk in de handen van den Frank , En zo naar de Kortegaard , vol getier , en gejank .	None
ross006zing01_01.TEI.2.text.body.div.sp.1555.s.2	Bloet !	None
ross006zing01_01.TEI.2.text.body.div.sp.1555.s.3	wat waar ik bars , doen al dat gooregoet was gevangen , Ik wou dien tyd wel voor beul gespeelt hebben , om al die Ligtmissen op te hangen , En daar op zong ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.1566.s.1	Hy doet kwalyk die by nagt , Gaat de dolle Pype stellen , Daar een trotse Raatelwagt , Loerd op zulke snoo Gesellen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1580.s.1	Want het is onmoogelyk om zig tegen de keutel Franken in 't geweer te stellen , Dog dit overgeslaagen , doen ik daar drie Jaar had gewoond , Had ik een schoonen stuyver Gelt te goet , maar ik wierd beloond , Met twee nieten , in een boomeloozen mand , of anders Vrinden , De waard , en de Waardin die waren niet te vinden , De Hel die was bankrot , en de Duyvels op een hond , Og !	None
ross006zing01_01.TEI.2.text.body.div.sp.1580.s.2	wat waar ik droevig , ja zou me zelve haast tot strond , Zoet , ik meen tot water gehuylt hebben , om zulke dingen .	Emotion_BodilyProcess_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.1580.s.3	Zo dat ' er voor myn niet was , als het Lied van den Snottolf te zingen , Of anders .	None
ross006zing01_01.TEI.2.text.body.div.sp.1599.s.1	Wy zynder Duyvels meê gebruyd , ô Selderement !	None
ross006zing01_01.TEI.2.text.body.div.sp.1599.s.2	wat raadt ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1599.s.3	Waar ik op 't Schip Sint Rynout uyt , Dan mogt het nog geen kwaat , Maar nu is 't met myn uyt byle , Ik scheyter voor in folio , Wat raat , ô zeld'rement !	None
ross006zing01_01.TEI.2.text.body.div.sp.1599.s.4	wat raat ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1599.s.5	Wie ziet hoe 't ynt nog gaat ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1607.s.1	Ik trok na Bergen op zolder , en daar wierd ik Soldaat , Om voor agtentwintig stuyvers in de week myn Leven te wagen , En ik had by me keel nog nooyt een Musquet op myn Schouwer gedragen , Wel wat waar ik fors , en riep niet anders , als van dootslaan , En dan zong ik .	None
ross006zing01_01.TEI.2.text.body.div.sp.1615.s.1	Ik ben al naar den Kryg gegaan , 'k Hing den Degen al aan me zy .	None
ross006zing01_01.TEI.2.text.body.div.sp.1626.s.1	Eerst waar ik onder het voet Volk , en daar na onder de Ruytery , En myn Kapiteyn was genaamt Waaghals , een van de dapperste Helden , Maar ik was een van die Mannen , die me het voorsten in 't loopen telden , Dog als wy beraamde om met elkander hier , of daar Den toer te plund're , dan was ik altyd klaar , Want daar iets te beschaaren is , moet me niet luy op weezen , Kreygt men een paar blaauwe ooge , met een dikke Neus daar moet Soldaatje niet voor vreezen , Maar speelen .	Fear_Emotion
ross006zing01_01.TEI.2.text.body.div.sp.1635.s.1	Hy , Boert jongens geef ons knap , Eer dat ik u tot buspot kap , Geeft Spek , geeft Vlees , wy moeten ons vervarssen ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1658.s.2	wy vonden zomtyds meê al drol'ge marssen , Die met Schoppen , Hooyvorken , en and're Boeren tuyg , Ons braaf te keer kwamen , dog wy ligten ' er al menig van de huyg , Hier een Ham of twintig , daar een Worst of hondert , En dan ; Schiet met alle Man door de glaazen dat het dondert , En kwammer ons een agter 't gat , dan wast hak , steek , bruyd hem in de sloot , Poef , pef , paf , schiet doot , schiet doot , En dan weer na 't Regiment , met al de beschaarde brokken , Om braaf te roemen , hoe dat men wist te rooven , en te knokken , En was'er imand onder ons , die wat ongelukkig onthaalt waar , Die bruyde voort na de Meester om een plyster , want die Man was altyd klaar .	None
ross006zing01_01.TEI.2.text.body.div.sp.1658.s.3	Ook raakten wy eens in Battalje , dat zou ik haast vergeeten , Daar wierd ik van een oude Soldaat myn Neus af gebeeten , Maar nu zullen de Musjeurs ligt denken , hoe Krispyn gy hebt ' er een ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1658.s.4	Dat moest myn hoopen , ik maakten voort weer een and're van Kalk en Steen , Ha !	None
ross006zing01_01.TEI.2.text.body.div.sp.1658.s.5	konnen de Jonkertjes die op een verkeerde haaven geweest hebben , haar zelven ook zo geneezen , Dan zou de Meester in de vergulden Engel maar een Kaalis weezen , Met al zyn briefjes , dien hy om laat brengen van den een , of den ander , die geen kostwinning heeft ,	None
ross006zing01_01.TEI.2.text.body.div.sp.1665.s.1	Een die zig in het vuur begeeft , Moet voor vlam , nog vonken schroomen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1672.s.1	Dat is te zeggen , die op party loopt , moet klop hebben , of klop geven , al zou ' er geen lap van te regte komen , Dog dit weer overgeslaagen , doen ik drie weken in 't Leger had geweest , wierd ik Tamboer , Gut ik kon zo mooy , rou , dou , dou .	None
ross006zing01_01.TEI.2.text.body.div.sp.1687.s.1	Piek , en Roer , Op je Schoer , Keertje slegts , Slinx , en Regt ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1687.s.2	Stryd in 't Velt , Als een moedig Held .	None
ross006zing01_01.TEI.2.text.body.div.sp.1696.s.1	Maar of ik Tamboer was , ik waar altyd verleegen om Geld , Dog ik raakte tot Venlo in 't Garnizoen met nog vyf hondert Mannen , En daar ging ik uyt Vryen naar een Meyd die was al tweemaal uytgebannen , Ja tweemaal , wat dunkje , is het niet een braven naam ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1696.s.2	En zy waar tot myn zo geneegen , als Thisbe tot Pyraam , Zo datze dagelyks zong .	None
ross006zing01_01.TEI.2.text.body.div.sp.1712.s.1	Moeder ik wil een Tamboer hebben , Een Tamboer die is goet , Hy doet , Over dag slaat by'er alarm , s'Nagts al in myn Arm .	None
ross006zing01_01.TEI.2.text.body.div.sp.1712.s.2	't Schaat nix .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.1714.s.1	by spreekt .	None
ross006zing01_01.TEI.2.text.body.div.sp.1721.s.1	Nu moogen de Heeren zeggen dat deuntje kan de Kramer fix , Dat's waar , dog ik heb nog geen een lietje gezongen , Of ik hebse in me Mars , voor ouden , en jougen , Nou dat's tot daar aan toe , ik zal daad'lyk van stuk , tot stuk , Alles op noteren , want ik ben beget geen kruk , Die by stukken en brokken , zyn avontuur op wil zingen .	None
ross006zing01_01.TEI.2.text.body.div.sp.1728.s.1	Alderhanden raare dingen , Heb ik in myn Googel tas .	None
ross006zing01_01.TEI.2.text.body.div.sp.speaker.1730.s.1	hy spreekt .	None
ross006zing01_01.TEI.2.text.body.div.sp.1750.s.1	En om dat die Meyd tot myn zo geneegen was , Waar ik wonder in me schik , om by haar de vreyen slemp te houwen , Maar na verloop van een Jaar , zo praaten zy van Trouwen , Want vrinden regt uyt , wy hadden elkander wat te na geweest , Ik riep : praat gy van Trouwen ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1750.s.2	rytje de drommel , of maaltje de geest .	None
ross006zing01_01.TEI.2.text.body.div.sp.1750.s.3	Ik ben al getrouwt tot Wyk op Zee , voor vier Jaar geleeden , Daar begondze , jou Eer dief , jou Egtbreeker , ik zalje onder myn voeten treeden , En zo vloogze myn in 't Hair , als ofze myn zo levendig vreeten wou , ik stak weer myn handen uyt , en dogt wat geef ik om jou , Maar haar Moer , die sloeg me met een kruk zo drommels tegen myn Scheenen , Dat het niet anders waar , als of ik by me Beenen , Had laaten stukkent bruyen van Meester Hans , Dog op het laast , doe kreeg ik een weynig kans , Want het oude Wyf schopten ik in 't Vuur , vermits het een oolyk Swyn was , En de Meyd sloot ik in 't Turfhok , en toonden wat voor een Vent dat Krispyn was , Maar Sunt Robberd !	EmotionalAction_BodyPart_Anger
ross006zing01_01.TEI.2.text.body.div.sp.1750.s.4	wat maakte die twee Vrouluy een getier , Zo dat ik den deur uyt liep en zong .	None
ross006zing01_01.TEI.2.text.body.div.sp.1761.s.1	Dat waar een swier , Wie droely zou dat denken ?	None
ross006zing01_01.TEI.2.text.body.div.sp.1761.s.2	Ik zal haar byden wenken , En ik trek van hier .	None
ross006zing01_01.TEI.2.text.body.div.sp.1779.s.1	Ik disserteerde , en vond op de Mookerhy een Savoyart met een Lier , Die daar , gerust op zyn Bakboors oor lag te luymen , Ik dagt wel aan , nu moet ik hier geen tyd verzuymen , En ik nam knaphandig de Lier , en bond die op me zy , En daar me trok ik heen , en lied den armen duyvel op de Mookerhy , Wie weet hoe bedroeft dat hy wel heeft staan keyken , Dat een ander zo onverwagt met zyn kostwinning was gaan streyken , Wat heeft hy wel gedeabelt , en geboegerd , als een uytzinde gek , Dog wat bruyd dat myn , ik liep by de Boeren , en klopten dan aan een deur , en dan weer aan een Hek , En riep : a , mak eens speel voor de duut , of de stukje Brooten , En zo kwam ik al aan de kost , ook speelden ik de nooten , Als of ik al me leven , by een Musekant was op gevoet , En raad eens , waar ik al heen trok met dit waale poppe goet ?	Emotion_Sadness
ross006zing01_01.TEI.2.text.body.div.sp.1779.s.2	Ik bruyde de Trekvaart langs , die van de Blinkert loopt tot aan Oostinje .	None
