focq001mini02_01.TEI.2.text.body.div.head.227.s.1	De min in 't Lazarus-huys .	None
focq001mini02_01.TEI.2.text.body.div.sp.1465.s.4	Maar neen , ik ben verdoolt : 'k denk dat gy met my spot , Vermits men noit een mensch verliefd zag op een zot .	None
focq001mini02_01.TEI.2.text.body.div.sp.1470.s.1	De min is zelver zot , dat moet Me-Juffer weeten , En die niet zot en is , die mag geen minnaar heeten .	None
focq001mini02_01.TEI.2.text.body.div.sp.1474.s.1	Een teeken , dat hy u niet heel veel wysheid laat .	None
focq001mini02_01.TEI.2.text.body.div.sp.1478.s.1	Wie ziet ' er dat de min met wysheid zamen gaat ?	None
focq001mini02_01.TEI.2.text.body.div.sp.1484.s.2	een vreemde zot , hier korts eerst ingekomen , Die heeft u dan alree al uw verstand ontnomen ?	None
focq001mini02_01.TEI.2.text.body.div.sp.1484.s.3	't Is goed te zien , dat gy niet veel te missen had .	None
focq001mini02_01.TEI.2.text.body.div.sp.1493.s.1	Zyn wezen , en gedaant bedrogen my , zo dat Ik hem daar door in 't eerst lang heb voor wys gerekent .	None
focq001mini02_01.TEI.2.text.body.div.sp.1493.s.2	Want 't was zyn zotheid niet , Me-juffer , die al sprekend , My dus betoovert heeft ; maar 't was terwyl hy zweeeg , Dat ik het minne-vuur eerst in myn boezem kreeg .	Emotion_BodyPart_BodilyProcess_Love
focq001mini02_01.TEI.2.text.body.div.sp.1497.s.1	Hoe kan een wys mensch tog verlieven door het zwygen ?	None
focq001mini02_01.TEI.2.text.body.div.sp.1504.s.1	Gelyk men liefde tot een schildery kan krygen , Waar in een Beeltenis , die ons de zinnen streelt , Ons , al stilz wygende , vaak hart en ziel ontsteelt , Zo ben ik door een beelt meê gants ontrooft van zinnen .	None
focq001mini02_01.TEI.2.text.body.div.sp.1508.s.1	Wat grooter dolligheid , een stomme steen te minnen .	None
focq001mini02_01.TEI.2.text.body.div.sp.1512.s.1	ô Ja , 'k heb aan een steen gegeven ziel en hart .	None
focq001mini02_01.TEI.2.text.body.div.sp.1516.s.1	Maar wat genot of heil verwagt gy uit dees smart ?	None
focq001mini02_01.TEI.2.text.body.div.sp.1520.s.1	Myn heil bestaat alleen in op geen heil te passen .	None
focq001mini02_01.TEI.2.text.body.div.sp.1524.s.1	Gy zyt , geloof ik , dol ; de maan die is aan 't wassen .	None
focq001mini02_01.TEI.2.text.body.div.sp.1529.s.1	Myn dolheid hangt misschien van 't groeyen van de Maan ; Maar , met de Zon van 't luk groeit ook myn liefde aan .	None
focq001mini02_01.TEI.2.text.body.div.sp.1537.s.1	Gy zyt door Zon en Maan alleen niet zot te heeten ; Maar gy zyt Gek en Dol , door al de acht Planeeten .	None
focq001mini02_01.TEI.2.text.body.div.sp.1537.s.2	't Zal best zyn , dat myn Oom u mee een hok vergunt , Waar dat gy uw verstandt weer wat vergaren kunt ; Wyl ik alleen weerom zal na myn Ouders keeren .	None
focq001mini02_01.TEI.2.text.body.div.sp.1547.s.1	Eer ik het waard gezicht van Karel zou ontbeeren , Zo heb ik liever hier puur zot , ja dol te zyn .	None
focq001mini02_01.TEI.2.text.body.div.sp.1547.s.2	Keert gy daarom vry weer na Haarlem zonder myn : Want , wyl ik , als gy zegt , van liefde zot moet wezen , Zo blyf ik liever hier , om my te doen genezen .	None
focq001mini02_01.TEI.2.text.body.div.sp.1547.s.3	Maar ziet daar komt hy aan .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.1552.s.1	Ferdinand in Sots-kleeren , Anna , Catryn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1556.s.1	Is dit uw Minnaar dan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.1	Hoe , ik geboeyent !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.2	wie deê my dees keten an ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.3	Of hebt gy dit gedaan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.4	hebt gy my binden laten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.5	ô Groote Casteleyn van 't Slot van Damiaten !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.6	Zo zweer ik , dat ik my hier over wreeken zal .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1568.s.7	Want , schoon dat gy dien Reus , pas als een Maly-bal , Lest met een Vuist-slag hebt gestiert na d'Antipoden , Zo zal ik , Agters-kind van d'Opperbaas der Goden , U dadelyk het hert doen zinken in uw broek , En u doorbooren met een Amsterdamsche Koek .	Fear_BodyPart_BodilyProcess
focq001mini02_01.TEI.2.text.body.div.div.sp.1572.s.2	laat ons vliên , Catryn !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1577.s.1	Neen Juffer , laat ons blyven ; Ik weet , hy zal op ons geen overlast bedryven .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1597.s.1	Zie hier uw dienstbre slaaf , die om uw min verbrand .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.1597.s.2	ô Schoone !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1597.s.3	ontvlugt my niet : Het zwart Egypten-land , Noch het Barbaars gewest der Platgeneusde Mooren , Heeft my niet voortgebracht , om hier uw rust te stooren ; Maar , zo gy 't weten wild '; de min die stelt my hier , Als tot een Voorbeelt van zyn Edel-aardig vier .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1597.s.4	Ik ben , en ik ben 't niet : want zyn is niet van nooden , Dien 't best is niet te zyn , des kom ik hier gevlooden , Om 't zyn te myden , en om niemendal te zyn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1597.s.5	Wel eer was ik Student , maar zeker Maagdelyn Dêe voor de Boeken my de les van Venus kiezen , Waar door ik eindelyk moest al myn zin verliezen : Want , schoon dat zy aan elk den vryen toegang gaf Zo stak myn Edelheid aan elk de loef noch af .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1597.s.6	En , of ik haar geviel , dat geef ik u te gissen , Wyl zy op zeekren tyd my juyst eens had zien pissen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1601.s.1	ô Onbeschaamde zot !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1601.s.2	en Buffel die ' er leeft !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1609.s.1	'k Bid dat uw Majesteit my toch haar voeten geeft , Dat ik die kussen mag ; wyl gy , gelyk de Goden , ( Nadien gy Godlyk zyt ) geen voeten hebt van noden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1609.s.2	Gewis , ik zie in u 't schets van die serafyn , Die my in Amsterdam nu zot , en dol doet zyn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1614.s.1	Wat jammer is 't , Catryn !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1614.s.2	dat zulke brave leden Niet na hun waardigheid bestiert zyn van de reden ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1623.s.2	gy hebt myn hart geraakt met zo veel viers , Dat ik om u al meer als slaaf ben in Algiers .	BodyPart_BodilyProcess_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.1623.s.3	In 't end het vuur dat kruipt van 't hooft tot in myn zolen , En blaakt veel felder als in Etna's zulfer holen ; Des zo gy my in 't kort geen gunstig woord vereert , Zo ben ik in een uur tot Asch gecalcineert .	BodyPart_BodilyProcess_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.1627.s.2	ik vrees dat hy u meê al zal behagen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1632.s.1	Wat Maan , zeg , ô Catryn !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1632.s.2	regeert ' er in dees dagen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1632.s.3	Die zo besmettelyk in min en zotheid is ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1636.s.1	Gewis gy zyt gevat , indien ik niet en mis .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1640.s.2	dat ik met myn bloed zyn wysheid weer kon kopen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1644.s.1	Wat baat het u , helaas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1644.s.2	tot zulk een wensch te lopen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1649.s.1	'k Beken 't en baat my niet , maar , 't wenschen staat my vry .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1653.s.1	Ach Juffer !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1653.s.2	deze wensch verwekt myn jalouzy .	Emotion_Envy
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.1	In 't punt van jalouzy , een koppel kneppel-slagen , Geplant op 't Achterstuk , kan al die drift verjagen ; Doch wyl de jalouzy in Hoorens meest bestaat , Zo bid ik , zeg my eens , wie dat daar vry van gaat ?	Emotion_Envy_BodyPart
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.2	Lang leeft de groene min , lang moeten d'horens leven !	Emotion_Envy_BodyPart
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.3	Op dat men die malkaar noch lang om sunst mag geven .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.4	Doch twyffelt gy misschien aan zulken fraayen zaak , Zo hoor hoe ik hier op myn Sylogismus maak .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.5	Elk Minnaar is jaloers , de jalouzy maakt Hoorens , Ergo , de Hoorens zyn in Steden meer als Toorens : Indien gy schoone !	Emotion_Envy_BodyPart
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.6	hier de Minor op negeert , Zo hoor , hoe die in 't kort word van my geprobeert : De Hoorens , zo die door de jalouzy niet komen , Hoe krygt men die dan ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.7	door alleen daar van te dromen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.8	Wat dunkt u ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1671.s.9	antwoord eens .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1676.s.2	verdwaalde Geest !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1676.s.3	'k Geloof dat hy voor dees wel wys moet zyn geweest .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1681.s.1	Wild gy m ' een vrindschap doen , om te requiesceeren In Pace ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1685.s.1	En waar mee ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1693.s.1	Wild my die strik vereeren , Waar ik de Roozen van den Ezel Apulé Op afgeschildert zie ; misschien dat zy my meê , Gelyk als hem wel eer , weer geven 't oude wezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1693.s.2	Dit zal myn Antidoot , gy myn Apollo wezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1698.s.2	had het zulk een kracht !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1702.s.1	Het zal myn Noort-star zyn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1706.s.1	Dees zal u beter staan , van Geel , en Carmozyn .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1711.s.1	Het zal u beter staan , dat gy u met myn zaken , Gy kleuter , niet en moeyt , door 't sluiten van uw kaken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1715.s.1	Neen , dees zal beter zyn , want gy zyt beide groen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1721.s.1	Ja , op dat dit myn hoop weer mag herleven doen ; Doch in de plaats van u hier weer wat voor te schenken , Zo zal ik daaglyks drie minuten aan u denken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1725.s.1	Voorwaar , dit is te lang .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1730.s.1	'k Beken het is wat veel , Maar schat het , zo gy wild , slechts op het derden deel .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1734.s.1	Ik dacht , me Juffer , dat gy voor dees zot woud vlugten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1742.s.1	Zwyg stil Catryn !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1742.s.2	zyn praat verdryft myn ongenugten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1742.s.3	Want schoon hy menigmaal veel zotte grillen spreekt , Zo vind ik echter dat daar veel vermaak in steekt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1742.s.4	Maar zagt , daar hoor ik volk .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1742.s.5	Catryn , laat ons vertrekken , Om door die zamen-spraak geen opspraak te verwekken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1750.s.1	Gy gaat myn schoone zon !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1750.s.2	helaas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1750.s.3	wat droever nacht , Of wat voor Nevel , uit den Afgrond voortgebracht , Ontrooft my toch den dag , my door uw licht gegeven ; Maar zagt , zy zyn al weg .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1750.s.4	Wie komt hier herwaarts streven ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1750.s.6	waar ben ik hier gebracht door 't ongeval !	None
focq001mini02_01.TEI.2.text.body.div.div.stage.1755.s.1	Isabella , Ferdinand .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1767.s.1	Waar ik hier kom , ik vind slechts zotten overal .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1767.s.2	Zo dat het vruchtloos is hier reden te gebruiken , Want daar geen reden woont , daar moet de reden duiken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1767.s.3	't Zal best zyn , dat ik my meê puur uitzinnig maak , Wyl 'k aârs geen middel zie hoe 'k hier van daan geraak ; Want daar de zotheid heerscht , daar word 't verstand verwezen : Dies is het noodig by dees zotten zot te wezen , Hoewel van d'and're kant , door zo veel ongeval , Myn dolheid licht van zelfs zyn Rol wel speelen zal .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.2	wat is dit ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.3	wat zie ik voor myn oogen !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.4	Wat aangenamer licht !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.5	wat Blixem uit den hoogen , Treft my door dees zottin met zulk een gloejend vuur ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.6	ô Noyt-geziene schoone !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.7	ô wonder der natuur !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.8	Hoe komt gy in dees staat my zo volmaakt te vooren ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.10	ben ik noch my zelfs , of heb ik my verlooren ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1778.s.11	Gewis ik voel myn brein ontroert door dees zottin , En myn verstand verhuist op 't komen van de min .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1783.s.2	wat deert dien zot , dat hy dus opgetoogen , En dus aandachtig staat , en ziet my onder d'oogen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1794.s.1	Voorwaar een gantsche reeks van jaren achter een , Was noch te kort een tyd , om zo veel wonderheên Recht te bezichtigen , vermits de Hemelingen , Om 't zien van zo een beeld , zelfs vol verwonderingen , En opgetogen , ja betooverd zouden staan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1794.s.2	Wel aan , ik voeg m'er by , en spreek haar eenmaal aan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1794.s.4	ik sta bedeest , wyl dat ik gaa beginnen Te spreeken met een steen , ontbloot van ziel , en zinnen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1802.s.1	Waar sta ik op en denk ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1802.s.2	en waarom vlucht ik niet ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1802.s.3	Het schynt dat zyn gezicht het vluchten my verbiet .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1802.s.4	Wat wel gemaakter man !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1802.s.5	wat aangenamer wezen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1802.s.7	ik min hem eer , dan dat ik hem zou vrezen .	Fear_Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.1807.s.1	ô Hemelsch schepzel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1807.s.2	dat myn ziel vol vuur ontsteekt !	BodyPart_BodilyProcess_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.1807.s.3	Myn tonge blyft verstomt , terwyl myn liefde spreekt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1812.s.1	Wat heerelyker stal van lichaam !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1812.s.2	door wat reden , ô Hemel , is 't verstand geen meester van dees Leden ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1817.s.1	De gantsche wereld zou schier sterven van verdriet , Als hy zo schoonen Beeld berooft van zinnen ziet .	Emotion_Sadness
focq001mini02_01.TEI.2.text.body.div.div.sp.1826.s.1	Rampzalige !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1826.s.2	gy zyt gelyk vergulde vaten , Die in der daat gemaakt , om Amber in te laten , Recht tegen alle reên , vervult zyn met fenyn ; Hoewel dat ik gevoel , dat gy , helaas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1826.s.3	in myn , Schoon gy uw zinnen mist , myn ziel berooft van zinnen , Vermids dat gy my dwingt , uw zotheid zelf te minnen .	Emotion_Love
focq001mini02_01.TEI.2.text.body.div.div.sp.1833.s.2	uit wat kooker , zeg , ô spoorelooze liefd !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1833.s.3	Hebt gy den pyl gezocht , waar meê gy my doorgrieft ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1833.s.4	En in wat zotter nat hebt gy uw punt gaan doopen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1833.s.5	Waar van ik het vergift voel door myn aders loopen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1837.s.2	dat ik hem toch mocht spreken van myn min .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1845.s.2	byaldien ik wist , ô Hemelsche zottin !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1845.s.3	Dat u een zot , wiens lot alleen hem zot doet wezen , U aangenaam zou zyn , wanneer hy was genezen , Zo wierd ik daadlyk wys , in spyt zelfs van myn noot , Nadien dat ik by u geen vrees heb voor de doot .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1856.s.2	ben ik niet die geen , die door myn knecht bedroogen , En arm geplundert ben ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1856.s.3	na dat ik eerst uit d'oogen Van bey myn Ouders zo stoutmoedig was gevlucht ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1856.s.4	En sta ik nu bedeest , verwonnen , en beducht , Door 't aanzien van een zot , berooft van ziel en reden , Niet waardig van op hem myn oogen te besteden ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1856.s.6	wat twyffel ik ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1856.s.7	ben ik meê zot , in 't end .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.speaker.1859.s.1	Ferdinand , spreekt haar aan .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1863.s.2	daar verdwynt myn zon , wyl zy haar oogen wend .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1863.s.3	ô Nachtverwekster !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1863.s.4	ey , doet toch de mist verdwynen , En laat toch uw gezicht op nieuws myn Ziel beschynen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1867.s.1	Dus spraakzaam , en beleeft !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1874.s.1	Myn schoone !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1874.s.2	noch myn Geest , Noch myn verstand is nooit voor dezen zot geweest .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1874.s.3	Maar wyl uit u te zien myn zotheid is gereezen , Zo zweer ik eeuwiglyk met u meê zot te wezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1878.s.1	Sa Pagies !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1878.s.2	haast u wat , breng al het volk by een .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1883.s.2	daar holt haar geest weer buiten alle reên .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1883.s.3	Ik wil my meê , als zy , in volle zotheid stellen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1888.s.1	Breng my zo daadlyk hier een van myn beste tellen , Die my vereert zyn van myn Ridder Mandrikart .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1900.s.1	't Schynt als of door Romans haar brein dus is verwart , Die zeker heden-daags veel nieuwe zotheid teelen : Wel aan , 't lust my met haar die zelfde Rol te speelen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1900.s.2	Sa , breng my hier een paard , myn sabel , schild en speer , Want daar meê trek ik dien doorluchten Reus te keer , Die lestmaal Sacripant tweemaal den zaal deed ruimen ; Sa , breng my myn helmet , beschâut met groene pluimen , Vermits myn oude min voortaan als rook verdwynt , Terwyl een nieuwe hoop weerom myn ziel beschynt .	Emotion_Hope_BodyPart
focq001mini02_01.TEI.2.text.body.div.div.sp.1904.s.1	Gy Ridder , wie gy zyt , wild my den beugel houwen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1910.s.1	Dat ik uw dienaar ben , dat moogt gy vast vertrouwen , Want gy , gy zyt de ziel , waar door myn lichaam leeft .	Emotion_Trust
focq001mini02_01.TEI.2.text.body.div.div.sp.1914.s.1	Hoe Fiel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1914.s.2	byt gy my in de voeten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1920.s.1	Waarom geeft Gy dus de naam van Fiel , Princes , aan uw gevangen , Die uit ootmoedigheid blyft aan uw voeten hangen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1924.s.1	Weet gy wel Ridder , dat ik Doralize ben ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1929.s.1	Uw groote schoonheid maakt dat ik u daar voor ken ; Maar leid , dat ik met een uw Mandricart mag wezen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1935.s.1	Wel aan , ik sta 't u toe ; schoon Mandricart voor dezen In wysheid plag te zyn een Phenix van zyn tyt ; Daar gy de grootste zot van heel Europa zyt .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1940.s.1	'k Boken , ik ben een zot ; maar zaagt gy my van binnen , 'k Weet dat ik Mandricart in wysheid zou verwinnen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1944.s.1	Ga vraag myn schildknaap of Rogier is hier geweest .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1950.s.1	Hy zeid , dat met zyn schip door zeker zwaar tempeest , Hier op de kust gejaagt , hy quam flus aangevlogen , Maar dat hy nu by 't vuur zyn schoenen zit te drogen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1954.s.1	Hoe is uw Naam ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1958.s.1	Myn Naam ? 'k loof dat die Karel is .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1962.s.1	Zo zyt gy dan geen neef van Jonker Amadis ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1967.s.1	Zyn neef ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1967.s.2	wel degelyk : 't is nog geen maant geleden , Dat ik en hy ter jacht op Kabbeljauwen reden .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1971.s.1	Zeg , kend gy Roeland wel ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1977.s.1	Zeer wel , zo 'k aars niet weet ; Is het die man niet die zo graag Pompoenen eet ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1981.s.1	Het is een eerlyk man .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1985.s.1	Wel , heet ik u dat liegen ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1991.s.1	‘ Neen , neen , dees is niet zot , of 'k moet my wel bedriegen , ‘ En zelve zotter zyn dan ik hem heb geacht .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1991.s.2	‘ Helaas !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1991.s.3	waar heeft de min in zotheid zo veel macht ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1999.s.1	‘ 't Schynt schier , als of zy iet van myn verstant moet peinzen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1999.s.2	‘ Daarom volhard ik best in my noch zot te veinzen .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1999.s.3	Wel aan , ik wil ter jacht ; men zadelt my myn Paardt : Waar zyn de brakken ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.1999.s.4	dat men straks de honden paart : Breng hier de valken , met de winden , en de fretten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2003.s.1	Waar zyn de vuur-roers , met de hoorens en de netten ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2010.s.1	Waar zyn de Jagers ; sa , wy moeten op den tril .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2010.s.2	Maar , breng geen valken , mits ik zelver vliegen wil ; Ja , zo hoog , dat ik zelfs de Starren en Planeeten Zal kunnen vangen , om voor wild-braad op te vreeten .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2015.s.1	Sa , geef my garen aan , op dat ik netten braay , Want ginder in 't verschiet , daar komt een Papegaay .	None
focq001mini02_01.TEI.2.text.body.div.div.stage.2019.s.1	Joris-vaar , Isabella , Ferdinand .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2029.s.1	Ik heb u , Juffrou , hier een nieuwe rok doen maken , Die ik u passen wil ; wilt dan die praatjes staken , En gaat met my in huis : en gy , heer Karel !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2029.s.2	zult , Zo 't u belieft , aan my toereekenen de schult , Dat 'k u beletten ga , u niet met haar te moeyen : Want zotten hoeven hier geen zotten voort te broeyen :	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2033.s.1	Hoe komt die wysheid jou toch uit de bokke-baart ?	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2037.s.1	Gans bloet !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2037.s.2	wat is je mont met zulk een neus bewaart !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2044.s.1	Gelyk gy zeer wel zegt , de wysheid hoor ik garen : Maar of dat gintse hok u meê wel zal bewaren , Om u die praatjens met malkander te verbiên , Dat zult gy lichtelyk in 't korte meé eens zien .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2050.s.1	Ik lach met u , ja toch , 'k ben vry in alle zaken : Want ik heb vryheid van myn huik een broek te maken .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2050.s.2	Ja zelver , van myn hart een knap-sak , als ik wil .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2054.s.1	Kom , kom , al praats genoeg ; ga met my , en zwyg stil .	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2058.s.1	Vaar wel dan , waarde zot !	None
focq001mini02_01.TEI.2.text.body.div.div.sp.2063.s.1	ô Hemelsche zottinne !	None
